Date,Low,Close,High,Volume,Open,Adj Close
2015-01-02,40.37,40.56,41.31,1530798.0,41.18,39.3484
2015-01-05,39.7,39.8,40.46,2042240.0,40.32,38.6111
2015-01-06,39.02,39.18,40.02,2084562.0,39.81,38.0096
2015-01-07,39.29,39.7,39.81,3359660.0,39.52,38.5141
2015-01-08,40.18,40.89,40.98,2116341.0,40.24,39.6686
2015-01-09,40.29,40.59,41.0,1640597.0,41.0,39.3775
2015-01-12,39.95,40.11,40.72,2771191.0,40.61,38.9119
2015-01-13,39.33,39.55,40.7,2013474.0,40.47,38.3686
2015-01-14,38.21,39.06,39.1,5134006.0,39.03,37.8932
2015-01-15,37.99,38.01,39.408,2630296.0,39.33,36.8746
2015-01-16,37.76,38.25,38.46,3003980.0,37.83,37.1074
2015-01-20,37.76,37.93,38.66,5033505.0,38.43,36.797
2015-01-21,37.68,38.16,38.41,2721609.0,37.75,37.0201
2015-01-22,38.12,39.65,39.86,4856573.0,38.51,38.4656
2015-01-23,38.76,38.81,39.6,1519250.0,39.6,37.6507
2015-01-26,38.47,39.15,39.17,1511214.0,38.79,37.9805
2015-01-27,38.58,38.75,39.25,1703508.0,38.7,37.5925
2015-01-28,37.96,38.0,39.05,2033523.0,39.01,36.8649
2015-01-29,37.69,38.46,38.47,2329983.0,38.0,37.3111
2015-01-30,37.71,37.77,38.32,3054313.0,38.01,36.6418
2015-02-02,37.71,38.69,38.76,2508493.0,37.9,37.5343
2015-02-03,38.92,39.62,39.63,2950375.0,39.04,38.4365
2015-02-04,38.82,39.11,39.46,2567439.0,39.33,37.9417
2015-02-05,39.22,39.53,39.82,1826367.0,39.22,38.3492
2015-02-06,39.225,39.34,39.81,2697212.0,39.54,38.1649
2015-02-09,38.95,39.04,39.43,3586102.0,39.23,37.8738
2015-02-10,38.78,39.67,39.76,1408747.0,39.31,38.485
2015-02-11,39.2326,39.33,39.81,3336825.0,39.64,38.1552
2015-02-12,39.53,40.02,40.06,1317705.0,39.58,38.8245
2015-02-13,39.91,40.15,40.31,2211931.0,39.97,38.9507
2015-02-17,39.76,40.52,40.53,2874488.0,40.01,39.3096
2015-02-18,40.91,41.54,42.2,9007218.0,41.12,40.2991
2015-02-19,41.04,41.15,41.57,3737331.0,41.4,39.9208
2015-02-20,40.88,41.95,42.11,2971880.0,41.09,40.6969
2015-02-23,41.49,41.73,41.96,1967913.0,41.89,40.4835
2015-02-24,41.6,42.06,42.105,1922102.0,41.62,40.8036
2015-02-25,42.09,42.2,42.49,2343479.0,42.34,40.9394
2015-02-26,42.0,42.36,42.38,1505418.0,42.23,41.0946
2015-02-27,42.045,42.21,42.36,1676351.0,42.3,40.9491
2015-03-02,42.34,42.7,42.74,1847082.0,42.34,41.4245
2015-03-03,42.14,42.26,42.57,1635437.0,42.45,40.9976
2015-03-04,41.73,42.0,42.16,1305992.0,41.95,40.7454
2015-03-05,41.84,42.22,42.24,1376468.0,41.99,40.9588
2015-03-06,41.49,41.53,42.05,1528564.0,41.95,40.2894
2015-03-09,41.435,41.74,41.89,1492378.0,41.54,40.4932
2015-03-10,40.63,40.63,41.27,1961299.0,41.22,39.4163
2015-03-11,40.67,40.85,41.125,2064355.0,40.79,39.6298
2015-03-12,40.97,41.1,41.24,2719895.0,40.99,39.8723
2015-03-13,40.515,40.87,41.4562,4704560.0,40.96,39.6492
2015-03-16,41.11,41.81,41.83,2551437.0,41.16,40.5611
2015-03-17,41.06,41.58,41.69,1504881.0,41.52,40.3379
2015-03-18,41.17,42.12,42.38,1295556.0,41.45,40.8618
2015-03-19,41.82,42.21,42.25,1085684.0,42.05,40.9491
