Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,157.47,162.5,160.85,158.56,157.7407,509983.0
2015-01-05,155.9,158.9875,158.17,156.47,155.6615,803635.0
2015-01-06,153.9,157.29,156.56,156.36,155.5521,872305.0
2015-01-07,157.06,160.61,157.61,159.72,158.8947,1326774.0
2015-01-08,161.0,163.46,163.36,161.12,160.2875,1025714.0
2015-01-09,158.39,161.62,159.95,160.3,159.4717,910965.0
2015-01-12,158.22,160.41,160.13,158.93,158.1088,756863.0
2015-01-13,152.3312,160.72,159.62,153.76,152.9655,824658.0
2015-01-14,149.38,153.16,151.9,150.83,150.0507,719438.0
2015-01-15,147.83,151.86,151.17,148.02,147.2552,926425.0
2015-01-16,147.2001,150.2,148.0,150.0,149.225,776897.0
2015-01-20,148.45,152.75,150.04,152.66,151.8712,941819.0
2015-01-21,152.07,154.085,152.49,153.35,152.5576,711194.0
2015-01-22,153.9,157.62,154.4,156.54,155.7312,738829.0
2015-01-23,154.64,158.05,156.99,155.78,154.9751,685651.0
2015-01-26,155.75,159.25,155.75,159.23,158.4073,615311.0
2015-01-27,156.87,159.525,158.09,159.03,158.2083,541099.0
2015-01-28,158.52,161.13,159.49,159.3,158.4769,1149815.0
2015-01-29,157.58,160.98,159.69,160.26,159.4319,561313.0
2015-01-30,157.4,160.98,159.56,159.0,158.1785,830486.0
2015-02-02,153.29,159.47,159.0,155.97,155.1641,820098.0
2015-02-03,154.47,157.35,157.21,157.07,156.2584,572597.0
2015-02-04,154.52,157.27,156.76,156.47,155.6615,744977.0
2015-02-05,156.79,160.66,157.74,160.16,159.3325,1294215.0
2015-02-06,160.22,162.43,160.4,162.0,161.163,863801.0
2015-02-09,159.07,161.76,161.62,160.74,159.9095,1064157.0
2015-02-10,160.79,163.23,160.82,162.9,162.0583,684595.0
2015-02-11,161.54,164.9997,163.5,162.39,161.5509,1206500.0
2015-02-12,150.95,157.075,155.0,151.42,150.6376,4046068.0
2015-02-13,149.2,151.83,151.02,150.16,149.3841,2117562.0
2015-02-17,148.86,151.38,149.91,150.23,149.4538,1564383.0
2015-02-18,148.5,153.6,149.65,153.22,152.4283,1789198.0
2015-02-19,152.46,154.948,153.18,153.27,152.4781,1149733.0
2015-02-20,151.82,155.14,152.64,155.06,154.2588,928910.0
2015-02-23,154.71,157.21,155.59,157.18,156.3679,853683.0
2015-02-24,155.3,157.7,157.35,156.4,155.5919,643245.0
2015-02-25,155.5,156.57,156.5,156.25,155.4427,397548.0
2015-02-26,155.225,156.7099,156.25,155.38,154.5772,493216.0
2015-02-27,154.63,156.24,155.74,154.93,154.1295,718451.0
2015-03-02,153.93,155.41,154.71,154.77,153.9703,909090.0
2015-03-03,153.5,156.6,155.39,154.47,153.6719,718061.0
2015-03-04,150.44,153.97,153.97,150.83,150.0507,869807.0
2015-03-05,150.93,153.23,151.82,152.52,151.7319,753245.0
2015-03-06,148.47,152.96,151.71,149.07,148.2998,1711064.0
2015-03-09,147.75,149.51,149.0,148.29,147.5238,839309.0
2015-03-10,145.1,147.65,146.8,146.53,145.7729,1291542.0
2015-03-11,145.61,147.72,146.97,147.33,146.5688,703890.0
2015-03-12,146.88,150.23,146.88,149.32,148.5485,778450.0
2015-03-13,146.58,150.4,149.2,149.61,148.837,674582.0
2015-03-16,149.49,151.23,149.96,151.12,150.3392,679887.0
2015-03-17,149.83,151.69,151.02,150.0,149.225,531896.0
2015-03-18,147.01,149.71,149.56,149.03,148.3197,715551.0
2015-03-19,147.42,149.42,149.06,149.19,148.4789,912481.0
2015-03-20,148.48,152.29,149.4,151.91,151.1859,1563045.0
2015-03-23,149.49,152.22,151.06,149.51,148.7974,1037234.0
2015-03-24,148.15,151.91,148.9,151.01,150.2902,688538.0
2015-03-25,148.62,152.18,150.87,148.73,148.0211,715091.0
2015-03-26,146.7,150.33,147.63,149.41,148.6978,828273.0
2015-03-27,149.35,152.13,149.67,151.39,150.6684,858800.0
2015-03-30,151.2,153.27,152.29,152.08,151.3551,608165.0
2015-03-31,149.48,152.57,151.8,149.69,148.9765,887737.0
2015-04-01,143.45,148.845,147.78,143.75,143.0648,2423428.0
2015-04-02,143.02,145.645,143.95,143.98,143.2937,1529960.0
2015-04-06,143.34,147.26,143.77,145.73,145.0354,1150930.0
2015-04-07,145.79,147.1,146.05,146.71,146.0107,796969.0
2015-04-08,146.36,148.84,146.96,148.81,148.1007,770690.0
2015-04-09,146.99,149.23,148.31,148.05,147.3443,646873.0
2015-04-10,147.57,150.53,148.67,150.2,149.4841,587907.0
2015-04-13,148.92,150.75,149.97,149.18,148.4689,376552.0
2015-04-14,147.63,150.19,148.77,149.05,148.3396,731664.0
2015-04-15,148.56,150.401,149.45,149.58,148.867,578292.0
2015-04-16,148.32,151.31,149.13,150.0,149.285,716681.0
2015-04-17,147.93,149.8,149.01,149.8,149.086,795672.0
2015-04-20,149.83,152.53,149.83,152.4,151.6736,890133.0
2015-04-21,152.18,154.66,153.28,152.4,151.6736,898830.0
2015-04-22,150.5,152.61,152.23,151.51,150.7878,1189374.0
2015-04-23,146.54,153.98,153.65,146.69,145.9908,1865051.0
2015-04-24,143.2,148.74,144.82,148.61,147.9017,1441627.0
2015-04-27,144.54,148.99,148.99,144.99,144.2989,905724.0
2015-04-28,143.0,145.23,145.0,144.5,143.8113,795335.0
2015-04-29,143.51,145.18,144.5,144.66,143.9705,707881.0
2015-04-30,142.9,145.21,144.43,143.0,142.3184,1269152.0
2015-05-01,142.63,145.46,143.09,145.34,144.6472,596335.0
2015-05-04,144.95,146.15,145.25,145.45,144.7567,675943.0
2015-05-05,143.42,145.73,145.45,143.99,143.3037,680113.0
2015-05-06,143.0,144.84,144.32,144.09,143.4032,591724.0
2015-05-07,143.89,145.84,144.39,144.53,143.8411,782529.0
2015-05-08,144.37,147.0,145.46,144.76,144.07,579694.0
2015-05-11,144.1,146.45,144.98,145.51,144.8164,348213.0
2015-05-12,144.1,147.17,144.74,147.13,146.4287,807362.0
2015-05-13,146.63,149.49,147.0,149.38,148.668,1286064.0
2015-05-14,148.75,151.215,150.0,149.86,149.1457,979890.0
2015-05-15,149.52,151.84,149.57,151.62,150.8973,840057.0
2015-05-18,150.85,153.125,150.99,151.88,151.1561,2099333.0
2015-05-19,151.98,154.84,152.65,152.94,152.211,1096306.0
2015-05-20,149.9,153.97,152.76,149.9,149.1855,1581892.0
2015-05-21,143.0,160.9,144.19,157.5,156.7493,4243634.0
2015-05-22,156.73,161.55,157.42,160.2,159.4364,2200971.0
2015-05-26,157.44,160.82,160.07,158.0,157.2469,1120856.0
2015-05-27,156.51,158.8,158.29,157.22,156.4706,870790.0
2015-05-28,155.63,158.05,157.25,156.35,155.6048,643706.0
2015-05-29,153.19,155.69,155.31,153.22,152.4897,1032745.0
2015-06-01,152.71,154.89,154.28,153.32,152.5892,764135.0
2015-06-02,152.2,155.42,153.26,155.36,154.6195,976665.0
2015-06-03,154.8101,156.83,155.72,156.53,155.7839,997998.0
2015-06-04,155.545,157.1,155.73,156.6,155.8536,579850.0
2015-06-05,156.03,157.86,156.27,157.39,156.6398,672610.0
2015-06-08,156.59,157.85,157.25,157.31,156.5602,924514.0
2015-06-09,156.245,158.54,156.4,157.42,156.6697,1012156.0
2015-06-10,157.54,160.65,158.55,160.27,159.5061,1170105.0
2015-06-11,159.68,161.08,160.31,160.53,159.7648,462429.0
2015-06-12,159.98,161.65,160.29,161.21,160.4416,438503.0
2015-06-15,158.12,160.68,160.12,158.32,157.5654,600812.0
2015-06-16,157.87,159.59,158.41,159.05,158.2919,524097.0
2015-06-17,157.65,160.67,159.12,158.99,158.2919,688562.0
2015-06-18,159.13,160.78,159.67,160.25,159.5464,470820.0
2015-06-19,159.49,161.94,159.64,160.5,159.7953,649737.0
2015-06-22,160.33,163.505,161.02,163.26,162.5432,879679.0
2015-06-23,163.04,165.0,163.71,163.89,163.1704,560272.0
2015-06-24,162.7,164.72,164.0,163.42,162.7024,491248.0
2015-06-25,162.97,164.59,163.46,164.2,163.479,653350.0
2015-06-26,163.48,165.16,164.98,164.28,163.5587,858630.0
2015-06-29,158.81,163.08,163.08,158.93,158.2322,516328.0
2015-06-30,158.03,160.73,160.41,159.29,158.5906,789623.0
2015-07-01,160.31,162.85,160.59,162.65,161.9358,675400.0
2015-07-02,161.18,164.3,163.58,162.11,161.3982,414449.0
2015-07-06,161.22,164.42,161.37,163.42,162.7024,618196.0
2015-07-07,161.68,165.2,164.74,163.53,162.812,1345317.0
2015-07-08,159.12,163.82,162.63,159.99,159.2875,14312381.0
2015-07-09,160.685,162.66,161.29,162.07,161.3584,1909234.0
2015-07-10,162.96,164.98,163.95,164.11,163.3894,505994.0
2015-07-13,164.975,169.33,165.05,169.31,168.5666,1609187.0
2015-07-14,167.06,169.9,169.39,167.21,166.4758,829151.0
2015-07-15,166.46,169.134,167.21,168.47,167.7303,645519.0
2015-07-16,168.27,169.82,168.91,169.36,168.6164,572571.0
2015-07-17,168.06,169.865,169.07,169.7,168.9549,522783.0
2015-07-20,168.24,170.0,169.7,168.69,167.9493,480595.0
2015-07-21,166.55,168.93,168.54,167.53,166.7944,525652.0
2015-07-22,166.842,169.84,167.48,168.22,167.4814,1012995.0
2015-07-23,168.25,171.09,169.05,168.39,167.6506,590109.0
2015-07-24,167.8,170.06,168.66,168.31,167.571,529511.0
2015-07-27,166.5,169.18,167.53,168.34,167.6008,586374.0
2015-07-28,167.69,170.74,169.08,170.3,169.5522,411133.0
2015-07-29,169.88,173.61,170.65,173.06,172.3001,838014.0
2015-07-30,170.91,173.68,172.98,172.54,171.7824,509711.0
2015-07-31,172.06,175.0,173.44,174.21,173.4451,644350.0
2015-08-03,172.22,175.11,174.93,173.81,173.0468,472405.0
2015-08-04,173.7,176.1,174.3,175.1,174.3312,475183.0
2015-08-05,174.09,177.22,175.52,175.27,174.5004,810417.0
2015-08-06,171.36,175.775,175.59,172.74,171.9815,596808.0
2015-08-07,171.54,174.03,172.76,173.75,172.9871,534467.0
2015-08-10,172.92,175.32,174.87,173.66,172.8975,937510.0
2015-08-11,171.56,173.73,172.74,171.92,171.1651,2068287.0
2015-08-12,169.4,172.58,170.69,172.0,171.2448,2967607.0
2015-08-13,173.0,192.27,173.9,187.79,186.9654,3745812.0
2015-08-14,186.76,190.135,188.49,187.03,186.2088,1252677.0
2015-08-17,183.12,188.06,187.24,184.69,183.8791,1580603.0
2015-08-18,183.59,186.27,186.22,185.77,184.9543,1508093.0
2015-08-19,184.39,188.5,185.28,187.84,187.0152,912512.0
2015-08-20,184.37,187.65,187.48,184.45,183.6401,592629.0
2015-08-21,177.23,183.93,182.13,177.54,176.7604,1392647.0
2015-08-24,151.3,178.695,173.26,173.75,172.9871,1464478.0
2015-08-25,171.14,179.13,177.49,171.22,170.4682,1043958.0
2015-08-26,169.13,174.47,173.94,171.46,170.7071,2016385.0
2015-08-27,172.25,176.3,172.81,176.23,175.4562,1591612.0
2015-08-28,174.66,176.83,175.5,176.48,175.7051,642385.0
2015-08-31,174.3,176.99,175.91,175.25,174.4805,950044.0
2015-09-01,171.47,173.92,172.53,172.62,171.8621,803725.0
2015-09-02,172.77,176.11,173.72,175.25,174.4805,444381.0
2015-09-03,172.7,177.04,175.17,173.24,172.4793,728404.0
2015-09-04,170.96,173.41,171.82,172.13,171.3742,687693.0
2015-09-08,171.9,176.33,174.73,175.32,174.5502,618171.0
2015-09-09,174.35,178.4,176.1,174.92,174.152,1024639.0
2015-09-10,173.1,176.7,174.39,174.88,174.1121,885607.0
2015-09-11,172.8,175.45,173.71,174.84,174.0723,1123618.0
2015-09-14,173.48,176.04,175.1,175.0,174.2316,556411.0
2015-09-15,173.35,177.84,175.03,176.85,176.0735,822497.0
2015-09-16,175.41,178.99,175.92,178.59,177.8656,601210.0
2015-09-17,177.53,181.03,178.39,178.28,177.5568,768226.0
2015-09-18,173.3,177.59,176.4,173.7,172.9954,922408.0
2015-09-21,173.04,175.65,174.32,174.75,174.0412,454146.0
2015-09-22,172.54,175.0,173.68,174.44,173.7324,662527.0
2015-09-23,173.955,176.08,174.36,175.87,175.1566,315748.0
2015-09-24,173.617,175.19,175.19,174.8,174.0909,427191.0
2015-09-25,175.6,178.76,175.84,176.84,176.1227,481936.0
2015-09-28,171.28,177.77,176.53,171.4,170.7047,1009079.0
2015-09-29,169.4,172.31,171.27,170.53,169.8383,904260.0
2015-09-30,183.48,192.5,183.49,189.53,188.7612,4111243.0
2015-10-01,188.1,192.64,190.28,192.04,191.261,1586858.0
2015-10-02,188.03,192.02,189.81,191.69,190.9124,1280170.0
2015-10-05,189.42,194.61,193.56,191.17,190.3945,887649.0
2015-10-06,189.399,192.44,191.34,191.1,190.3248,543355.0
2015-10-07,188.91,192.18,191.4,190.35,189.5779,994442.0
2015-10-08,186.46,191.15,190.4,187.35,186.59,986809.0
2015-10-09,186.13,189.91,186.88,189.52,188.7512,785639.0
2015-10-12,188.9001,192.46,189.75,191.28,190.5041,942499.0
2015-10-13,189.65,191.85,190.85,190.85,190.0758,503241.0
2015-10-14,185.16,191.0,190.45,187.07,186.3112,849135.0
2015-10-15,187.63,190.87,188.07,190.55,189.7771,607848.0
2015-10-16,189.81,191.94,191.84,190.8,190.026,627409.0
2015-10-19,189.79,192.03,190.78,191.4,190.6236,726352.0
2015-10-20,191.5,194.305,191.78,193.59,192.8047,774254.0
2015-10-21,191.75,196.085,194.5,192.15,191.3706,617573.0
2015-10-22,191.28,193.9,192.89,191.87,191.0917,705921.0
2015-10-23,189.0,193.79,193.71,191.94,191.1614,571665.0
2015-10-26,191.885,194.19,192.82,192.45,191.6694,500139.0
2015-10-27,191.382,193.89,192.25,193.27,192.486,416695.0
2015-10-28,192.3,194.67,194.01,194.28,193.4919,384618.0
2015-10-29,194.4,198.57,194.64,197.48,196.679,727722.0
2015-10-30,196.51,199.39,197.66,198.43,197.6251,732021.0
2015-11-02,197.98,201.17,199.14,200.38,199.5672,728521.0
2015-11-03,196.64,200.64,200.15,198.7,197.894,674656.0
2015-11-04,196.8,199.79,198.77,199.34,198.5314,692584.0
2015-11-05,198.16,201.21,199.96,200.34,199.5274,712013.0
2015-11-06,197.07,201.24,201.24,198.72,197.9139,684117.0
2015-11-09,193.76,198.88,198.71,194.9,194.1094,865780.0
2015-11-10,193.77,196.12,193.77,194.11,193.3226,1379738.0
2015-11-11,193.38,196.07,194.37,194.67,193.8803,1315822.0
2015-11-12,164.23,177.0,173.75,164.64,163.9722,6955577.0
2015-11-13,161.19,165.33,163.31,161.62,160.9644,3092729.0
2015-11-16,159.69,164.538,161.0,164.22,163.5539,1494074.0
2015-11-17,162.53,167.22,165.09,164.09,163.4244,1170997.0
2015-11-18,162.6,164.67,164.37,164.44,163.773,784765.0
2015-11-19,162.22,165.27,164.19,162.37,161.7114,684246.0
2015-11-20,162.55,165.1,162.86,162.82,162.1595,733429.0
2015-11-23,161.5,164.5,162.68,162.62,161.9604,895911.0
2015-11-24,160.82,163.86,160.82,163.19,162.528,754505.0
2015-11-25,163.65,167.07,164.0,164.3,163.6335,919310.0
2015-11-27,162.83,164.88,164.88,164.84,164.1714,293399.0
2015-11-30,162.61,164.75,164.69,162.73,162.0699,1329331.0
2015-12-01,161.17,163.98,162.99,162.34,161.6815,952971.0
2015-12-02,157.09,163.22,162.21,157.93,157.2894,1331781.0
2015-12-03,153.25,159.23,158.1,154.78,154.1522,1320540.0
2015-12-04,154.18,156.33,155.06,155.83,155.1979,996339.0
2015-12-07,150.62,156.9,155.68,151.22,150.6066,1358456.0
2015-12-08,149.0,153.08,150.61,149.88,149.272,1485523.0
2015-12-09,149.65,156.26,149.75,153.21,152.5885,1699878.0
