Date,Close,Adj Close,Low,Volume,High,Open
2016-01-04,105.35,101.4181,102.0,67649387.0,105.368,102.61
2016-01-05,102.71,98.8766,102.41,55790992.0,105.85,105.75
2016-01-06,100.7,96.9416,99.87,68457388.0,102.37,100.56
2016-01-07,96.45,92.8503,96.43,81094428.0,100.13,98.68
2016-01-08,96.96,93.3412,96.76,70798016.0,99.11,98.55
2016-01-11,98.53,94.8526,97.34,49739377.0,99.06,98.97
2016-01-12,99.96,96.2293,98.8399,49154227.0,100.69,100.55
2016-01-13,97.39,93.7552,97.3,62439631.0,101.19,100.32
2016-01-14,99.52,95.8057,95.74,63170127.0,100.48,97.96
2016-01-15,97.13,93.5049,95.36,79833891.0,97.71,96.2
2016-01-19,96.66,93.0524,95.5,53087747.0,98.65,98.41
2016-01-20,96.79,93.1776,93.42,72334416.0,98.1897,95.1
2016-01-21,96.3,92.7059,94.94,52161463.0,97.88,97.06
2016-01-22,101.42,97.6348,98.37,65800467.0,101.46,98.63
2016-01-25,99.44,95.7287,99.21,51794525.0,101.53,101.52
2016-01-26,99.99,96.2581,98.07,75077002.0,100.88,99.93
2016-01-27,93.42,89.9334,93.34,133369674.0,96.6289,96.04
2016-01-28,94.09,90.5783,92.39,55678825.0,94.52,93.79
2016-01-29,97.34,93.7071,94.35,64416504.0,97.34,94.79
2016-02-01,96.43,92.831,95.4,40943541.0,96.71,96.47
2016-02-02,94.48,90.9538,94.28,37357215.0,96.04,95.42
2016-02-03,96.35,92.754,94.08,45964294.0,96.84,95.0
2016-02-04,96.6,93.4953,95.19,46471652.0,97.33,95.86
2016-02-05,94.02,90.9982,93.69,46418064.0,96.92,96.52
2016-02-08,95.01,91.9564,93.04,54021375.0,95.7,93.13
2016-02-09,94.99,91.937,93.93,44331195.0,95.94,94.29
2016-02-10,94.27,91.2401,94.1,42343601.0,96.35,95.92
2016-02-11,93.7,90.6885,92.59,50074711.0,94.72,93.79
2016-02-12,93.99,90.9691,93.01,40351381.0,94.5,94.19
2016-02-16,96.64,93.534,94.61,49057916.0,96.85,95.02
2016-02-17,98.12,94.9664,96.15,44863243.0,98.21,96.67
2016-02-18,96.26,93.1662,96.091,39020983.0,98.89,98.84
2016-02-19,96.04,92.9533,95.8,35374173.0,96.7599,96.0
2016-02-22,96.88,93.7663,95.92,34280758.0,96.9,96.31
2016-02-23,94.69,91.6467,94.55,31942633.0,96.5,96.4
2016-02-24,96.1,93.0113,93.32,36255745.0,96.38,93.98
2016-02-25,96.76,93.6501,95.25,27582659.0,96.76,96.05
2016-02-26,96.91,93.7953,96.58,28991131.0,98.0237,97.2
2016-02-29,96.69,93.5824,96.65,35216277.0,98.23,96.86
2016-03-01,100.53,97.299,97.42,50407147.0,100.77,97.65
2016-03-02,100.75,97.5119,99.64,33169560.0,100.89,100.51
2016-03-03,101.5,98.2378,100.45,36955742.0,101.7099,100.58
2016-03-04,103.01,99.6992,101.37,46055100.0,103.75,102.37
2016-03-07,101.87,98.5959,100.96,35915810.0,102.83,102.39
2016-03-08,101.03,97.7829,100.4,31182194.0,101.76,100.78
2016-03-09,101.12,97.87,100.27,27201683.0,101.58,101.31
2016-03-10,101.17,97.9184,100.15,33513577.0,102.24,101.41
2016-03-11,102.26,98.9733,101.5,27408237.0,102.28,102.24
2016-03-14,102.52,99.225,101.78,25076062.0,102.91,101.91
2016-03-15,104.58,101.2188,103.85,40067734.0,105.18,103.96
2016-03-16,105.97,102.5641,104.59,38303493.0,106.31,104.61
2016-03-17,105.8,102.3996,104.96,34420705.0,106.47,105.52
2016-03-18,105.92,102.5157,105.19,44205171.0,106.5,106.34
2016-03-21,105.91,102.506,105.1401,35502678.0,107.65,105.93
2016-03-22,106.72,103.29,105.21,32444375.0,107.29,105.25
2016-03-23,106.13,102.719,105.9,25703495.0,107.07,106.48
2016-03-24,105.67,102.2738,104.89,26132955.0,106.25,105.47
2016-03-28,105.19,101.8092,105.06,19411372.0,106.19,106.0
2016-03-29,107.68,104.2192,104.88,31190083.0,107.79,104.89
2016-03-30,109.56,106.0387,108.6,45601149.0,110.42,108.65
2016-03-31,108.99,105.487,108.88,25888449.0,109.9,109.72
2016-04-01,109.99,106.4549,108.2,25873950.0,110.0,108.78
2016-04-04,111.12,107.5486,110.27,37356204.0,112.19,110.42
2016-04-05,109.81,106.2807,109.42,26578652.0,110.73,109.51
2016-04-06,110.96,107.3937,109.2,26404077.0,110.98,110.23
2016-04-07,108.54,105.0515,108.121,31801870.0,110.42,109.95
2016-04-08,108.66,105.1677,108.17,23581740.0,109.77,108.91
2016-04-11,109.02,105.5161,108.83,29407518.0,110.61,108.97
2016-04-12,110.44,106.8904,108.66,27232325.0,110.5,109.34
2016-04-13,112.04,108.439,110.8,33257316.0,112.34,110.8
2016-04-14,112.1,108.4971,111.33,25473923.0,112.39,111.62
2016-04-15,109.85,106.3194,109.73,46938969.0,112.3,112.11
2016-04-18,107.48,104.0256,106.94,60821461.0,108.95,108.89
2016-04-19,106.91,103.4739,106.23,32384879.0,108.0,107.88
2016-04-20,107.13,103.6868,106.06,30611030.0,108.09,106.64
2016-04-21,105.97,102.5641,105.52,31552525.0,106.93,106.93
2016-04-22,105.68,102.2834,104.62,33683121.0,106.48,105.01
2016-04-25,105.08,101.7027,104.51,28031588.0,105.65,105.0
2016-04-26,104.35,100.9962,103.91,56016165.0,105.3,103.91
2016-04-27,97.82,94.6761,95.68,114602142.0,98.71,96.0
2016-04-28,94.83,91.7822,94.25,82242690.0,97.88,97.61
2016-04-29,93.74,90.7272,92.51,68531478.0,94.72,93.99
2016-05-02,93.64,90.6304,92.4,48160104.0,94.08,93.965
2016-05-03,95.18,92.1209,93.68,56831277.0,95.74,94.2
2016-05-04,94.19,91.1627,93.82,41025475.0,95.9,95.2
2016-05-05,93.24,90.7949,92.68,35890500.0,94.07,94.0
2016-05-06,92.72,90.2886,91.85,43699886.0,93.45,93.37
2016-05-09,92.79,90.3567,92.59,32936436.0,93.77,93.0
2016-05-10,93.42,90.9702,92.11,33686836.0,93.57,93.33
2016-05-11,92.51,90.0841,92.46,28719109.0,93.57,93.48
2016-05-12,90.34,87.971,89.47,76314690.0,92.78,92.72
2016-05-13,90.52,88.1463,90.0,44392765.0,91.67,90.0
2016-05-16,93.88,91.4182,91.65,61259756.0,94.39,92.39
2016-05-17,93.49,91.0384,93.01,46916939.0,94.7,94.55
2016-05-18,94.56,92.0803,93.89,42062391.0,95.21,94.16
2016-05-19,94.2,91.7298,93.57,30442100.0,94.64,94.64
2016-05-20,95.22,92.723,94.52,32025968.0,95.43,94.64
2016-05-23,96.43,93.9013,95.67,38018643.0,97.19,95.87
2016-05-24,97.9,95.3327,96.84,35140174.0,98.09,97.22
2016-05-25,99.62,97.0076,98.11,38642108.0,99.74,98.67
2016-05-26,100.41,97.7769,98.64,56331159.0,100.73,99.68
2016-05-27,100.35,97.7185,99.245,36341240.0,100.47,99.44
2016-05-31,99.86,97.2413,98.82,42307212.0,100.4,99.6
2016-06-01,98.46,95.878,98.33,29173285.0,99.54,99.02
2016-06-02,97.72,95.1575,96.63,40191600.0,97.84,97.6
2016-06-03,97.92,95.3522,97.45,28504888.0,98.27,97.79
2016-06-06,98.63,96.0436,97.55,23292504.0,101.89,97.99
2016-06-07,99.03,96.4331,98.96,22409450.0,99.87,99.25
2016-06-08,98.94,96.3455,98.68,20848131.0,99.56,99.02
2016-06-09,99.65,97.0368,98.46,26601354.0,99.99,98.5
2016-06-10,98.83,96.2383,98.48,31712936.0,99.3457,98.53
2016-06-13,97.34,94.7874,97.1,38020494.0,99.12,98.69
2016-06-14,97.46,94.9043,96.75,31931944.0,98.475,97.32
2016-06-15,97.14,94.5927,97.03,29445227.0,98.41,97.82
2016-06-16,97.55,94.9919,96.07,31326815.0,97.75,96.45
2016-06-17,95.33,92.8301,95.3,61008219.0,96.65,96.62
2016-06-20,95.1,92.6062,95.03,34411901.0,96.57,96.0
2016-06-21,95.91,93.3949,94.676,35546358.0,96.35,94.94
2016-06-22,95.55,93.0444,95.35,29219122.0,96.89,96.25
2016-06-23,96.1,93.5799,95.25,32240187.0,96.29,95.94
2016-06-24,93.4,90.9507,92.65,75311356.0,94.655,92.91
2016-06-27,92.04,89.6264,91.5,46622188.0,93.05,93.0
2016-06-28,93.59,91.1358,92.14,40444914.0,93.66,92.9
2016-06-29,94.4,91.9245,93.63,36531006.0,94.55,93.97
2016-06-30,95.6,93.093,94.3,35836356.0,95.77,94.44
2016-07-01,95.89,93.3754,95.33,26026540.0,96.465,95.49
2016-07-05,94.99,92.499,94.46,27705210.0,95.4,95.39
2016-07-06,95.53,93.0249,94.37,30949090.0,95.66,94.6
2016-07-07,95.94,93.4241,95.62,25139558.0,96.5,95.7
2016-07-08,96.68,94.1447,96.05,28912103.0,96.89,96.49
2016-07-11,96.98,94.4369,96.73,23794945.0,97.65,96.75
2016-07-12,97.42,94.8653,97.12,24167463.0,97.7,97.17
2016-07-13,96.87,94.3297,96.84,25892171.0,97.67,97.41
2016-07-14,98.79,96.1994,97.32,38918997.0,98.99,97.39
2016-07-15,98.78,96.1897,98.5,30136990.0,99.3,98.92
2016-07-18,99.83,97.2121,98.6,36493867.0,100.13,98.7
2016-07-19,99.87,97.2511,99.34,23779924.0,100.0,99.56
2016-07-20,99.96,97.3387,99.735,26275968.0,100.46,100.0
2016-07-21,99.43,96.8226,99.13,32702028.0,101.0,99.83
2016-07-22,98.66,96.0728,98.31,28313669.0,99.3,99.26
2016-07-25,97.34,94.7874,96.92,40382921.0,98.84,98.25
2016-07-26,96.67,94.135,96.42,56239822.0,97.97,96.82
2016-07-27,102.95,100.2503,102.75,92344820.0,104.35,104.265
2016-07-28,104.34,101.6039,102.82,39869839.0,104.45,102.83
2016-07-29,104.21,101.4773,103.68,27733688.0,104.55,104.19
2016-08-01,106.05,103.269,104.41,38167871.0,106.15,104.41
2016-08-02,104.48,101.7402,104.0,33816556.0,106.07,106.05
2016-08-03,105.79,103.0158,104.77,30202641.0,105.84,104.81
2016-08-04,105.87,103.6488,105.28,27408650.0,106.0,105.58
2016-08-05,107.48,105.225,106.18,40553402.0,107.65,106.27
2016-08-08,108.37,106.0963,107.16,28037220.0,108.37,107.52
2016-08-09,108.81,106.5271,108.01,26315204.0,108.94,108.23
2016-08-10,108.0,105.7341,107.76,24008505.0,108.9,108.71
2016-08-11,107.93,105.6656,107.85,27484506.0,108.93,108.52
2016-08-12,108.18,105.9103,107.78,18660434.0,108.44,107.78
2016-08-15,109.48,107.183,108.08,25868209.0,109.54,108.14
2016-08-16,109.38,107.0851,109.21,33794448.0,110.23,109.63
2016-08-17,109.22,106.9285,108.34,25355976.0,109.37,109.1
2016-08-18,109.08,106.7914,109.02,21984703.0,109.6,109.23
2016-08-19,109.36,107.0656,108.36,25368072.0,109.69,108.77
2016-08-22,108.51,106.2334,107.85,25820230.0,109.1,108.86
2016-08-23,108.85,106.5663,108.53,21257669.0,109.32,108.59
2016-08-24,108.03,105.7635,107.68,23675081.0,108.75,108.565
2016-08-25,107.57,105.3131,106.68,25086248.0,107.88,107.39
2016-08-26,106.94,104.6963,106.31,27766291.0,107.95,107.41
2016-08-29,106.82,104.5789,106.29,24970300.0,107.44,106.62
2016-08-30,106.0,103.7761,105.5,24863945.0,106.5,105.8
2016-08-31,106.1,103.874,105.64,29662406.0,106.5699,105.66
2016-09-01,106.73,104.4907,105.62,26701523.0,106.8,106.14
2016-09-02,107.73,105.4698,106.82,26802450.0,108.0,107.7
2016-09-06,107.7,105.4404,107.51,26880391.0,108.3,107.9
2016-09-07,108.36,106.0865,107.07,42364328.0,108.76,107.83
2016-09-08,105.52,103.3061,105.24,53002026.0,107.27,107.25
2016-09-09,103.13,100.9663,103.13,46556984.0,105.72,104.64
2016-09-12,105.44,103.2278,102.53,45292770.0,105.72,102.65
2016-09-13,107.95,105.6851,107.24,62176190.0,108.79,107.51
2016-09-14,111.77,109.425,108.6,112340318.0,113.03,108.73
2016-09-15,115.57,113.1453,113.49,90613177.0,115.73,113.86
2016-09-16,114.92,112.5089,114.04,79886911.0,116.13,115.12
2016-09-19,113.58,111.197,113.25,47023046.0,116.18,115.19
2016-09-20,113.57,111.1872,112.51,34514269.0,114.12,113.05
2016-09-21,113.55,111.1677,112.441,36003185.0,113.989,113.85
2016-09-22,114.62,112.2152,114.0,31073984.0,114.94,114.35
2016-09-23,112.71,110.3453,111.55,52481151.0,114.79,114.42
2016-09-26,112.88,110.5117,111.55,29869442.0,113.39,111.64
