Date,Low,Close,High,Volume,Open,Adj Close
2015-01-02,65.49,65.89,66.4,5087291.0,65.62,58.7466
2015-01-05,63.88,64.65,66.1,8007433.0,65.5,57.6411
2015-01-06,63.7,64.33,65.75,5488071.0,65.62,57.3558
2015-01-07,64.48,66.93,67.05,8283083.0,64.57,59.6739
2015-01-08,67.42,67.63,68.29,7945920.0,68.16,60.298
2015-01-09,65.11,65.78,67.2,8758893.0,66.69,58.6486
2015-01-12,65.3104,65.76,66.928,6159740.0,66.34,58.6307
2015-01-13,62.91,63.39,66.07,13909291.0,65.72,56.9546
2015-01-14,61.86,63.7,64.07,9448317.0,62.62,57.2331
2015-01-15,62.87,62.89,64.11,6149083.0,64.0,56.5053
2015-01-16,62.64,64.54,64.62,8106002.0,62.95,57.9878
2015-01-20,62.75,63.45,65.29,9064795.0,65.06,57.0085
2015-01-21,62.28,62.7,63.45,7979249.0,63.1,56.3346
2015-01-22,61.88,62.98,63.45,8941629.0,63.2,56.5862
2015-01-23,62.35,62.43,63.66,6880963.0,63.66,56.092
2015-01-26,61.68,62.83,63.04,8181088.0,62.26,56.4514
2015-01-27,62.2,63.1,63.5,6532303.0,62.33,56.694
2015-01-28,61.69,61.85,63.56,6909406.0,63.44,55.5709
2015-01-29,61.59,63.12,63.38,8481477.0,62.12,56.712
2015-01-30,60.12,60.35,62.68,17582302.0,62.09,54.2232
2015-02-02,58.65,60.7,61.49,11489771.0,61.49,54.5376
2015-02-03,59.98,61.65,61.76,10721752.0,61.6,55.3912
2015-02-04,56.65,56.91,58.95,31249154.0,58.95,51.1324
2015-02-05,56.15,57.99,58.26,18964493.0,57.545,52.1028
2015-02-06,56.69,56.9,57.83,13890796.0,57.71,51.1234
2015-02-09,55.18,55.48,56.35,22521928.0,55.67,49.8476
2015-02-10,55.6,56.89,57.005,18916988.0,55.93,51.1144
2015-02-11,56.26,56.69,57.83,14681352.0,57.36,50.9347
2015-02-12,56.16,57.05,57.58,11940929.0,57.4,51.2582
2015-02-13,56.9,58.05,58.1,11303213.0,57.35,52.1567
2015-02-17,57.9,58.72,59.0,12789265.0,58.95,52.7587
2015-02-18,58.305,59.24,59.48,10781655.0,59.15,53.2259
2015-02-19,58.65,59.0,59.08,8665548.0,58.92,53.0102
2015-02-20,59.22,61.3,61.34,15533376.0,59.61,55.0767
2015-02-23,60.24,60.57,61.9,11582656.0,61.54,54.4208
2015-02-24,60.52,60.87,61.3,7900656.0,60.85,54.6904
2015-02-25,60.21,60.62,61.1,9983859.0,61.1,54.4658
2015-02-26,60.27,60.52,60.81,7327885.0,60.35,54.3759
2015-02-27,60.37,60.5,60.99,8649052.0,60.53,54.3579
2015-03-02,60.06,60.46,60.75,6150774.0,60.3,54.322
2015-03-03,59.4371,59.62,60.45,7388032.0,60.35,53.5673
2015-03-04,59.03,60.27,60.42,8535895.0,59.32,54.1513
2015-03-05,56.649,56.86,59.48,47051781.0,57.21,51.0875
2015-03-06,55.44,55.64,57.4,22852963.0,56.95,49.9913
2015-03-09,55.26,55.54,56.03,14779867.0,55.93,49.9015
2015-03-10,54.78,55.84,56.3,17907725.0,55.22,50.171
2015-03-11,55.6628,56.62,56.8772,14628990.0,56.19,50.8719
2015-03-12,56.65,58.0,58.905,18227835.0,56.78,52.1118
2015-03-13,57.345,58.0,58.87,10114502.0,58.12,52.1118
2015-03-16,58.33,59.12,59.7,12098670.0,58.46,53.118
2015-03-17,58.7,59.73,60.18,10983450.0,58.72,53.6661
2015-03-18,59.25,59.89,60.42,11889103.0,59.76,53.8099
2015-03-19,59.99,61.19,61.4762,14110366.0,60.09,54.9779
2015-03-20,60.32,60.4,61.73,13313128.0,61.5,54.2681
2015-03-23,59.62,60.48,61.19,7926391.0,60.05,54.34
2015-03-24,59.45,59.63,60.82,7969786.0,60.65,53.5763
2015-03-25,58.21,58.22,60.09,11619133.0,60.08,52.3094
2015-03-26,57.22,57.27,58.09,10853808.0,57.98,51.4559
2015-03-27,57.31,57.65,58.05,6829781.0,57.63,51.7973
2015-03-30,57.79,58.24,58.34,5781559.0,57.93,52.3274
2015-03-31,57.71,58.54,58.81,12313641.0,58.01,52.5969
2015-04-01,56.33,57.1,58.49,14903269.0,58.48,51.3031
2015-04-02,56.9,57.01,57.81,8787023.0,57.44,51.2223
2015-04-06,56.68,57.61,57.89,10280058.0,56.81,51.7613
2015-04-07,57.785,58.42,58.75,10171455.0,58.25,52.4891
2015-04-08,57.95,58.81,58.98,11075839.0,58.5,52.8395
2015-04-09,59.05,60.32,60.43,12697994.0,59.2,54.1962
2015-04-10,60.32,62.0,62.33,17894054.0,60.5,55.7057
2015-04-13,61.06,61.2,62.16,11400898.0,61.81,55.4451
2015-04-14,60.51,61.72,61.81,13071393.0,61.4,55.9162
2015-04-15,61.97,62.03,62.7,11534244.0,62.1,56.1971
2015-04-16,61.65,62.59,62.91,9815626.0,61.8,56.7044
2015-04-17,61.87,62.29,62.79,9905475.0,62.12,56.4326
2015-04-20,62.8,63.54,64.0,12779184.0,62.91,57.5651
2015-04-21,63.27,63.61,64.24,8457272.0,63.89,57.6285
2015-04-22,63.5605,64.52,64.73,13872497.0,63.6,58.4529
2015-04-23,62.73,64.25,65.31,18405130.0,65.26,58.2083
2015-04-24,64.14,66.07,66.37,14859514.0,64.31,59.8572
2015-04-27,64.86,65.02,66.66,18141505.0,66.02,58.9059
2015-04-28,64.2,66.49,66.49,13084546.0,64.6,60.2377
2015-04-29,65.51,65.63,66.18,9864252.0,65.7,59.4585
2015-04-30,64.32,64.66,65.92,10298594.0,65.39,58.5797
2015-05-01,63.88,64.32,65.5,9870805.0,65.09,58.2717
2015-05-04,64.01,64.68,65.4375,8493439.0,64.32,58.5979
2015-05-05,63.78,63.86,64.9,7635922.0,64.2,57.855
2015-05-06,63.4,63.94,64.529,8476305.0,64.11,57.9275
2015-05-07,63.59,64.7,64.81,8638220.0,63.59,58.616
2015-05-08,64.9,65.24,65.8,7541105.0,65.1,59.1052
2015-05-11,65.08,65.2,65.8,7978734.0,65.19,59.069
2015-05-12,64.59,64.81,65.27,5926876.0,64.75,58.7156
2015-05-13,64.63,65.3,65.32,8519240.0,64.98,59.1596
2015-05-14,64.94,65.97,66.27,5868887.0,65.86,59.7666
2015-05-15,65.91,65.99,66.52,6786394.0,65.93,59.7847
2015-05-18,65.14,65.61,65.91,7858040.0,65.79,59.4404
2015-05-19,65.4,65.73,66.12,7674605.0,65.71,59.5491
2015-05-20,65.39,65.89,66.2,9955983.0,65.92,59.6941
2015-05-21,64.87,65.65,65.805,10553421.0,65.45,59.4767
2015-05-22,65.31,65.48,65.87,14041469.0,65.48,59.3226
2015-05-26,65.66,66.1,67.0,21033826.0,65.72,59.8843
2015-05-27,66.57,67.38,67.99,40778841.0,66.75,61.044
