Date,Low,Close,High,Volume,Open,Adj Close
2015-01-02,44.635,44.9,45.4501,3217165.0,45.25,41.7137
2015-01-05,44.63,44.91,45.4,5735878.0,44.8,41.723
2015-01-06,43.93,44.4,45.11,6589381.0,44.99,41.2492
2015-01-07,44.38,44.76,44.94,4609541.0,44.73,41.5837
2015-01-08,45.01,45.68,45.785,4890877.0,45.19,42.4384
2015-01-09,45.11,45.2,45.87,4727267.0,45.75,41.9924
2015-01-12,44.94,45.58,45.76,6178783.0,45.38,42.3455
2015-01-13,44.25,44.61,45.53,6744933.0,45.34,41.6673
2015-01-14,43.93,44.28,44.66,5865894.0,44.29,41.359
2015-01-15,43.9,43.95,44.67,3920286.0,44.5,41.0508
2015-01-16,43.72,44.49,44.55,4564231.0,43.8,41.5552
2015-01-20,43.89,44.22,44.75,5159886.0,44.67,41.303
2015-01-21,43.62,44.06,44.25,5328154.0,43.96,41.1535
2015-01-22,43.8,44.49,44.57,5329031.0,44.34,41.5552
2015-01-23,43.82,43.86,44.48,6667880.0,44.48,40.9667
2015-01-26,43.42,44.15,44.1968,4376220.0,43.74,41.2376
2015-01-27,43.43,43.68,44.015,4848014.0,43.88,40.7986
2015-01-28,43.355,43.41,44.2,7640875.0,43.94,40.5464
2015-01-29,43.7,45.26,45.41,10054599.0,43.79,42.2744
2015-01-30,44.7,44.76,45.63,9613315.0,45.4,41.8074
2015-02-02,44.28,45.23,45.24,7313058.0,44.93,42.2464
2015-02-03,45.34,45.83,45.88,8380452.0,45.41,42.8068
2015-02-04,45.05,45.17,45.9901,8231178.0,45.55,42.1903
2015-02-05,45.26,45.65,45.865,6374401.0,45.26,42.6387
2015-02-06,45.33,45.5,46.21,5601576.0,45.59,42.4986
2015-02-09,44.3,44.52,45.21,6585898.0,45.21,41.5832
2015-02-10,44.4,44.92,45.01,5210459.0,44.68,41.9568
2015-02-11,44.56,44.93,45.2,4303211.0,44.88,41.9662
2015-02-12,44.8,45.22,45.25,4683672.0,45.04,42.237
2015-02-13,45.02,46.09,46.17,6524939.0,45.05,43.0496
2015-02-17,46.0,46.41,46.53,6366566.0,46.05,43.3485
2015-02-18,46.15,46.41,46.53,4051384.0,46.26,43.3485
2015-02-19,46.085,46.61,46.67,6590305.0,46.36,43.5353
2015-02-20,46.4,47.48,47.57,6512461.0,46.53,44.3479
2015-02-23,47.0235,47.32,47.5,5608147.0,47.33,44.1985
2015-02-24,47.13,47.47,47.59,4789018.0,47.27,44.3386
2015-02-25,47.24,47.4,47.735,4777445.0,47.55,44.2732
2015-02-26,47.1,47.61,47.71,5113056.0,47.32,44.4694
2015-02-27,47.37,47.37,47.88,5805846.0,47.48,44.2452
2015-03-02,47.13,47.22,47.63,7016259.0,47.34,44.1051
2015-03-03,46.67,47.09,47.14,6018949.0,47.14,43.9837
2015-03-04,46.82,47.01,47.48,5558476.0,46.87,43.9089
2015-03-05,46.82,47.44,47.5,4842614.0,46.88,44.3106
2015-03-06,46.35,46.5,47.26,7264893.0,47.18,43.4326
2015-03-09,46.4,46.83,46.98,4465177.0,46.5,43.7408
2015-03-10,46.16,46.17,46.6056,5106149.0,46.42,43.1244
2015-03-11,46.21,46.3,46.65,5030819.0,46.39,43.2458
2015-03-12,46.35,47.25,47.31,5209681.0,46.47,44.1331
2015-03-13,46.61,46.88,47.23,4744141.0,47.21,43.7875
2015-03-16,47.12,47.83,47.85,4763607.0,47.12,44.6749
2015-03-17,47.065,47.09,47.8,5609080.0,47.43,43.9837
2015-03-18,46.39,47.39,47.65,6656678.0,46.87,44.2639
2015-03-19,47.13,47.44,47.54,4013577.0,47.46,44.3106
2015-03-20,47.33,47.47,47.77,7563000.0,47.66,44.3386
2015-03-23,47.22,47.47,47.73,3931064.0,47.47,44.3386
2015-03-24,46.99,47.0,47.63,4595765.0,47.31,43.8996
2015-03-25,46.5,46.53,47.5,5061123.0,47.04,43.4606
2015-03-26,46.1,46.5,46.79,4367392.0,46.41,43.4326
2015-03-27,46.42,46.78,47.03,3444352.0,46.61,43.6941
2015-03-30,46.89,47.08,47.21,2967205.0,47.0,43.9743
2015-03-31,46.33,46.33,46.98,5358141.0,46.83,43.2738
2015-04-01,45.545,45.89,46.37,6368966.0,46.33,42.8628
2015-04-02,45.73,46.13,46.39,3974001.0,46.11,43.087
2015-04-06,45.65,46.3,46.57,4083515.0,45.8,43.2458
2015-04-07,46.16,46.19,46.595,3161108.0,46.3,43.143
2015-04-08,45.9,46.61,46.75,6011829.0,46.21,43.5353
2015-04-09,46.45,47.0,47.12,4337295.0,46.5,43.8996
2015-04-10,46.7,47.15,47.195,3759949.0,46.98,44.0397
2015-04-13,46.5,46.53,47.11,3064458.0,46.78,43.6848
2015-04-14,46.335,46.7,46.75,3244035.0,46.51,43.8444
2015-04-15,46.59,46.83,46.95,4046567.0,46.81,43.9664
2015-04-16,46.38,46.52,46.89,3768951.0,46.61,43.6754
2015-04-17,45.81,46.25,46.45,4311873.0,46.29,43.4219
2015-04-20,46.37,46.63,46.71,3371941.0,46.42,43.7787
2015-04-21,46.715,47.12,47.28,8616020.0,46.94,44.2387
2015-04-22,47.12,48.35,48.4,7637695.0,47.25,45.3935
2015-04-23,47.83,48.46,48.62,6401887.0,48.35,45.4968
2015-04-24,48.09,48.32,48.52,3450954.0,48.36,45.3653
2015-04-27,47.38,47.49,48.4,5254539.0,48.28,44.5861
