Date,Low,Close,High,Volume,Open,Adj Close
2015-01-02,88.43,88.84,90.09,2021565.0,89.67,83.5679
2015-01-05,87.18,87.34,88.32,2998923.0,88.04,82.1569
2015-01-06,86.01,86.71,87.77,2867550.0,87.5,81.5643
2015-01-07,87.16,88.53,88.75,2865541.0,87.16,83.2763
2015-01-08,88.84,89.88,90.15,2807888.0,89.0,84.5462
2015-01-09,89.38,89.78,90.15,2392955.0,89.95,84.4521
2015-01-12,88.91,89.51,90.0201,2418523.0,89.11,84.1982
2015-01-13,89.15,89.83,91.34,4009506.0,89.77,84.4992
2015-01-14,88.0,88.78,89.54,2377914.0,89.54,83.5115
2015-01-15,87.67,88.17,89.1,1824431.0,89.01,82.9377
2015-01-16,87.55,88.89,89.01,2657392.0,87.75,83.615
2015-01-20,87.92,88.62,89.42,2335235.0,88.89,83.361
2015-01-21,87.73,88.34,88.63,2040751.0,88.35,83.0976
2015-01-22,87.95,89.5,89.56,2656855.0,88.72,84.1888
2015-01-23,89.14,89.22,89.92,1940730.0,89.51,83.9254
2015-01-26,88.24,89.08,89.2,1997695.0,89.04,83.7937
2015-01-27,86.0,86.16,88.32,3689037.0,87.95,81.047
2015-01-28,84.33,84.36,87.12,3469070.0,86.93,79.3538
2015-01-29,83.94,85.64,85.7,3590586.0,84.95,80.5578
2015-01-30,83.86,84.03,85.44,3837548.0,85.12,79.0434
2015-02-02,83.47,85.83,85.85,3088515.0,84.42,80.7365
2015-02-03,85.97,87.92,87.96,3501305.0,86.25,82.7025
2015-02-04,87.165,87.34,89.18,2764092.0,89.18,82.1569
2015-02-05,87.34,88.47,88.54,2102529.0,88.11,83.2199
2015-02-06,87.84,88.15,89.1,2386506.0,88.6,82.9189
2015-02-09,87.1,87.36,88.23,2670455.0,87.51,82.1757
2015-02-10,86.68,87.52,87.91,2573782.0,87.74,82.3263
2015-02-11,87.25,87.96,88.17,1829790.0,87.52,82.7401
2015-02-12,87.98,89.09,89.22,1931324.0,88.06,83.8031
2015-02-13,89.08,89.79,89.8,1774397.0,89.09,84.4615
2015-02-17,88.825,89.3,89.79,1915989.0,89.63,84.0006
2015-02-18,88.86,89.43,89.515,1509467.0,89.0,84.1229
2015-02-19,89.37,90.27,90.38,1751661.0,89.53,84.9131
2015-02-20,89.31,90.49,90.98,2950629.0,90.02,85.12
2015-02-23,90.13,90.57,90.79,1579045.0,90.6,85.1953
2015-02-24,89.89,90.85,90.995,1592032.0,90.17,85.4586
2015-02-25,90.33,90.6,91.44,1732915.0,90.64,85.2235
2015-02-26,90.0,90.3,91.23,2156791.0,90.82,84.9413
2015-02-27,89.86,90.03,90.76,1686052.0,90.05,84.6873
2015-03-02,89.73,91.18,91.24,1974960.0,89.76,85.7691
2015-03-03,90.55,90.84,91.27,2888328.0,91.18,85.4492
2015-03-04,90.06,90.91,91.2,2728849.0,90.83,85.5151
2015-03-05,91.18,92.05,92.18,3019572.0,91.31,86.5874
2015-03-06,90.49,90.67,91.95,3735001.0,91.62,85.2893
2015-03-09,90.14,90.79,90.96,1464248.0,90.73,85.4022
2015-03-10,88.05,88.06,90.21,3230953.0,89.96,82.8342
2015-03-11,86.76,86.86,88.9,4320442.0,88.29,81.7054
2015-03-12,86.86,88.2,88.3,2165238.0,87.03,82.9659
2015-03-13,86.4,87.87,88.21,3617194.0,88.18,82.6555
2015-03-16,88.14,88.91,89.1,2245954.0,88.32,83.6338
2015-03-17,88.21,88.84,88.88,2210911.0,88.35,83.5679
2015-03-18,88.365,90.93,91.3499,2664857.0,88.8,85.5339
2015-03-19,89.99,90.19,91.34,2658467.0,90.89,84.8378
2015-03-20,90.51,91.48,91.65,3558190.0,90.89,86.0513
2015-03-23,91.21,91.54,91.775,1916215.0,91.38,86.1077
2015-03-24,89.28,89.41,91.49,2948550.0,91.49,84.1041
2015-03-25,88.18,88.21,89.95,3606465.0,89.41,82.9753
2015-03-26,90.94,94.17,94.98,7156948.0,91.51,88.5816
2015-03-27,92.65,93.94,94.14,4352015.0,93.92,88.3653
2015-03-30,93.94,94.42,94.84,3333089.0,94.15,88.8168
2015-03-31,93.55,93.69,94.49,2708039.0,94.01,88.1301
2015-04-01,92.68,93.56,93.93,2737163.0,93.56,88.0078
2015-04-02,93.1,94.18,94.42,2145674.0,93.7,88.591
2015-04-06,93.13,95.69,96.0,2563700.0,93.46,90.0114
2015-04-07,95.14,96.39,96.78,4233017.0,95.64,90.6699
2015-04-08,94.66,95.12,96.16,2652113.0,95.46,90.4347
2015-04-09,94.68,95.47,95.66,1952209.0,95.4,90.7675
2015-04-10,94.53,94.69,95.47,2158015.0,95.45,90.0259
2015-04-13,93.44,93.49,94.88,2443882.0,94.34,88.885
2015-04-14,93.22,93.81,94.22,2087008.0,93.57,89.1892
2015-04-15,94.01,94.16,94.5,2094737.0,94.27,89.522
2015-04-16,93.67,94.06,94.22,1934824.0,93.91,89.4269
2015-04-17,92.16,92.39,93.41,2647838.0,93.29,87.8392
2015-04-20,92.62,93.27,93.56,3294388.0,92.99,88.6758
2015-04-21,92.865,93.0,94.0,1949793.0,93.91,88.4191
2015-04-22,92.755,93.38,93.63,1896224.0,93.34,88.7804
2015-04-23,92.85,93.84,94.27,2165463.0,93.38,89.2178
