Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,52.2,47.726,52.6,52.02,2039815.0,51.59
2015-01-05,51.45,46.0746,51.68,50.22,3827982.0,49.98
2015-01-06,50.46,45.1663,50.49,49.23,4855680.0,48.94
2015-01-07,49.7,45.8452,50.26,49.97,2849479.0,49.62
2015-01-08,49.29,45.1755,49.6,49.24,7463035.0,48.54
2015-01-09,49.47,44.7901,49.69,48.82,3673008.0,48.8
2015-01-12,49.0,44.2305,49.0,48.21,3871563.0,47.98
2015-01-13,48.33,44.2947,49.08,48.28,4434688.0,47.87
2015-01-14,47.67,43.5332,48.09,47.45,4244737.0,46.85
2015-01-15,47.34,43.313,47.77,47.21,4258527.0,46.85
2015-01-16,47.1,43.7442,47.76,47.68,3151252.0,46.9
2015-01-20,47.19,43.3039,47.47,47.2,5343556.0,46.57
2015-01-21,47.1,43.7626,48.04,47.7,3987692.0,46.913
2015-01-22,47.99,44.1112,48.47,48.08,4547780.0,47.53
2015-01-23,47.91,43.9186,48.3,47.87,2980848.0,47.56
2015-01-26,47.68,44.3039,48.52,48.29,3147824.0,47.5
2015-01-27,47.96,44.2947,48.65,48.28,3217429.0,47.75
2015-01-28,48.3,43.5699,48.6,47.49,3277861.0,47.42
2015-01-29,47.57,43.9644,48.04,47.92,3678945.0,46.8901
2015-01-30,47.63,42.7809,47.86,46.63,5406781.0,46.56
2015-02-02,46.79,44.1938,48.195,48.17,6479474.0,46.72
2015-02-03,47.36,44.7351,48.9,48.76,7107564.0,46.21
2015-02-04,48.4,42.3405,48.4,46.15,9231158.0,45.87
2015-02-05,46.55,44.6617,48.72,48.68,7981700.0,46.55
2015-02-06,48.7,43.6341,48.8099,47.56,3644114.0,47.455
2015-02-09,47.42,43.469,47.76,47.38,4626106.0,47.2301
2015-02-10,47.91,43.6525,47.91,47.58,3481725.0,47.21
2015-02-11,47.23,43.047,47.46,46.92,3692270.0,46.37
2015-02-12,46.8,43.7809,47.62,47.44,4750089.0,46.75
2015-02-13,47.34,44.39,48.24,48.1,4074690.0,47.34
2015-02-17,48.14,44.0855,48.17,47.77,3611658.0,47.42
2015-02-18,47.67,44.0301,48.1,47.71,2713582.0,47.535
2015-02-19,47.5,44.0947,48.1,47.78,2351063.0,47.41
2015-02-20,47.72,44.4362,48.2,48.15,2704333.0,47.02
2015-02-23,48.25,44.5377,48.35,48.26,1974027.0,47.95
2015-02-24,48.21,44.8976,48.8,48.65,2418759.0,47.9986
2015-02-25,48.59,44.39,48.79,48.1,2965465.0,47.92
2015-02-26,48.28,43.8824,48.29,47.55,2940917.0,47.4
2015-02-27,47.49,44.187,48.13,47.88,2863415.0,47.49
2015-03-02,47.82,44.1593,47.89,47.85,3704740.0,47.02
2015-03-03,47.52,43.8548,47.7,47.52,3369324.0,47.02
2015-03-04,47.37,43.4487,47.43,47.08,3419005.0,46.73
2015-03-05,47.3,43.8178,47.54,47.48,4734767.0,46.63
2015-03-06,47.0,42.6827,47.23,46.25,3877962.0,46.09
2015-03-09,46.21,42.8119,46.6,46.39,2409064.0,45.76
2015-03-10,45.92,42.009,46.21,45.52,3299264.0,45.45
2015-03-11,45.68,41.9906,45.775,45.5,3321792.0,45.145
2015-03-12,45.8,43.0426,46.71,46.64,3547424.0,45.8
2015-03-13,46.42,42.7289,46.51,46.3,2831736.0,45.64
2015-03-16,46.36,42.9042,46.56,46.49,2911817.0,45.91
2015-03-17,46.3,42.6827,46.445,46.25,2942383.0,45.84
2015-03-18,46.22,43.5318,47.395,47.17,4289846.0,45.74
2015-03-19,47.05,42.9042,47.11,46.49,2922699.0,46.06
2015-03-20,46.69,43.3287,47.51,46.95,6713678.0,46.53
2015-03-23,47.07,43.4948,47.72,47.13,4700705.0,47.07
2015-03-24,47.2,43.338,47.62,46.96,3167351.0,46.96
2015-03-25,47.16,43.1072,47.59,46.71,3547639.0,46.68
2015-03-26,46.57,42.7289,47.05,46.3,3803159.0,46.28
2015-03-27,46.28,42.8765,46.64,46.46,3834600.0,46.17
2015-03-30,46.76,43.7625,47.615,47.42,2774890.0,46.56
2015-03-31,47.06,43.744,47.61,47.4,4967987.0,46.99
2015-04-01,47.45,43.7717,47.7,47.43,5544788.0,47.23
2015-04-02,47.47,43.6979,48.34,47.35,5836027.0,47.34
2015-04-06,47.36,44.6023,48.55,48.33,3385154.0,47.34
2015-04-07,48.39,44.4454,48.64,48.16,2477333.0,48.14
2015-04-08,48.19,44.6023,48.65,48.33,2996122.0,48.05
2015-04-09,48.17,44.2055,48.28,47.9,4275498.0,47.71
2015-04-10,47.97,44.2608,48.325,47.96,3263441.0,47.69
2015-04-13,47.9,44.187,48.39,47.88,2691086.0,47.83
2015-04-14,47.95,44.307,48.23,48.01,2143915.0,47.6
2015-04-15,48.28,44.6669,48.49,48.4,4036427.0,47.9574
2015-04-16,48.19,44.5746,48.48,48.3,4242320.0,48.1
2015-04-17,47.85,44.5561,48.3,48.28,3741255.0,47.82
2015-04-20,48.35,44.5746,48.75,48.3,1922726.0,48.27
2015-04-21,48.32,44.2424,48.53,47.94,2321857.0,47.905
2015-04-22,47.93,44.39,48.24,48.1,2069227.0,47.69
2015-04-23,47.93,44.5469,48.54,48.27,2298024.0,47.85
2015-04-24,48.39,44.4915,48.59,48.21,2774407.0,48.095
2015-04-27,48.35,44.8607,48.75,48.61,2489630.0,48.3
2015-04-28,48.45,45.0176,48.81,48.78,2278226.0,48.32
2015-04-29,48.69,45.1745,49.15,48.95,3186304.0,48.44
2015-04-30,48.88,45.1099,49.43,48.88,4257577.0,48.66
2015-05-01,48.91,45.9404,49.93,49.78,5681176.0,48.91
2015-05-04,49.78,46.4388,50.49,50.32,3786577.0,49.78
2015-05-05,50.42,46.4665,50.76,50.35,4623523.0,49.77
2015-05-06,50.45,46.0881,50.46,49.94,4389037.0,49.34
2015-05-07,50.14,46.4388,50.82,50.32,4169901.0,49.79
2015-05-08,50.79,47.2971,51.38,51.25,2793270.0,50.78
2015-05-11,51.09,47.6201,51.705,51.6,4158859.0,51.0
2015-05-12,51.25,47.9154,52.37,51.92,4873928.0,51.13
2015-05-13,52.16,48.1369,52.74,52.16,4037102.0,51.765
2015-05-14,52.51,48.8013,52.97,52.88,2964692.0,52.31
2015-05-15,52.79,48.949,53.16,53.04,2304361.0,52.53
2015-05-18,52.8,49.0321,53.245,53.13,3097335.0,52.67
2015-05-19,52.88,48.7275,52.91,52.52,2739949.0,52.21
2015-05-20,52.53,48.644,52.89,52.43,2703366.0,52.41
2015-05-21,52.33,49.0986,53.07,52.92,2991118.0,52.29
2015-05-22,52.77,48.8667,52.93,52.67,1838466.0,52.39
2015-05-26,52.59,48.3842,52.59,52.15,3018030.0,52.07
2015-05-27,52.16,49.3306,53.23,53.17,4035361.0,52.05
2015-05-28,53.0,48.8574,53.01,52.66,2119934.0,52.365
2015-05-29,52.81,49.0337,53.26,52.85,5441743.0,52.6
2015-06-01,52.89,49.2007,53.31,53.03,3343132.0,52.43
2015-06-02,52.94,48.9502,53.02,52.76,2389048.0,52.55
2015-06-03,52.93,48.6718,52.93,52.46,2567189.0,52.21
2015-06-04,52.05,47.6791,52.23,51.39,4997320.0,51.31
2015-06-05,51.27,47.3266,51.385,51.01,3497773.0,50.82
2015-06-08,51.15,47.3266,51.55,51.01,2706393.0,50.81
2015-06-09,51.09,47.3266,51.465,51.01,2761278.0,50.99
2015-06-10,51.07,48.4399,52.25,52.21,3022783.0,51.07
2015-06-11,52.17,48.3007,52.69,52.06,2827490.0,51.995
2015-06-12,51.79,48.1616,51.97,51.91,2289962.0,51.58
2015-06-15,51.42,47.5678,51.56,51.27,2869904.0,51.12
2015-06-16,51.34,47.7348,51.6,51.45,2369344.0,51.28
2015-06-17,51.04,47.2616,51.79,50.94,4589102.0,50.26
2015-06-18,51.17,47.6606,51.65,51.37,3274983.0,51.17
2015-06-19,51.25,47.7812,51.665,51.5,4952903.0,51.25
2015-06-22,51.73,48.2358,52.0299,51.99,2576499.0,51.62
2015-06-23,52.19,48.2451,52.42,52.0,2500406.0,51.85
2015-06-24,51.91,47.7348,52.01,51.45,2314792.0,51.42
2015-06-25,51.62,47.0389,51.62,50.7,2570736.0,50.66
2015-06-26,50.64,45.9905,50.99,49.57,5016793.0,49.53
2015-06-29,49.34,44.9514,49.67,48.45,4376174.0,48.43
2015-06-30,48.87,44.738,49.19,48.22,5618125.0,48.19
2015-07-01,48.71,45.1277,48.8899,48.64,3320769.0,48.38
2015-07-02,48.82,45.137,49.01,48.65,3063015.0,48.34
2015-07-06,48.16,44.6174,48.595,48.09,4228565.0,47.83
2015-07-07,48.11,44.6638,48.32,48.14,6457734.0,46.725
2015-07-08,47.97,44.0793,48.13,47.51,4080781.0,47.46
2015-07-09,47.75,43.6896,48.04,47.09,6044975.0,46.93
2015-07-10,47.72,43.801,47.77,47.21,3145992.0,47.125
2015-07-13,47.55,44.07,47.74,47.5,2209714.0,47.34
2015-07-14,47.5,44.3391,47.86,47.79,2569294.0,47.43
2015-07-15,47.77,44.0329,47.84,47.46,2448775.0,47.22
2015-07-16,47.86,44.3947,48.01,47.85,2663251.0,47.62
