Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,82.98,77.6785,84.18,83.29,1872279.0,82.52
2015-01-05,83.25,77.6226,84.44,83.23,3273231.0,82.95
2015-01-06,83.3,76.9744,83.74,82.535,2569709.0,81.96
2015-01-07,82.22,77.6505,83.32,83.26,2078972.0,81.8
2015-01-08,83.96,79.4319,85.18,85.17,3358749.0,83.638
2015-01-09,85.05,78.863,85.19,84.56,1725240.0,84.11
2015-01-12,84.72,78.4759,85.04,84.145,1326100.0,83.81
2015-01-13,84.8,78.322,85.5,83.98,1924069.0,83.29
2015-01-14,83.08,78.0935,83.99,83.735,1792204.0,82.97
2015-01-15,83.87,78.0609,84.34,83.7,1434838.0,83.33
2015-01-16,83.56,78.8723,84.64,84.57,2261450.0,83.16
2015-01-20,84.83,79.2453,85.22,84.97,1572181.0,83.79
2015-01-21,84.56,78.863,85.15,84.56,1729877.0,84.1
2015-01-22,85.0,80.7748,86.79,86.61,1980007.0,84.0
2015-01-23,86.65,80.9987,87.18,86.85,2088011.0,86.389
2015-01-26,86.25,80.7375,86.8926,86.57,1527596.0,85.49
2015-01-27,85.71,79.8609,86.44,85.63,1697276.0,84.78
2015-01-28,85.86,78.835,86.3,84.53,2136996.0,84.46
2015-01-29,84.45,78.6671,84.82,84.35,2968940.0,83.5
2015-01-30,83.96,76.9697,84.24,82.53,4076699.0,82.47
2015-02-02,81.82,77.8184,83.5,83.44,2810151.0,81.7116
2015-02-03,84.18,79.4039,85.36,85.14,3448977.0,83.51
2015-02-04,87.14,80.7469,87.1806,86.58,3659204.0,85.67
2015-02-05,86.43,81.2971,87.19,87.17,2151327.0,85.89
2015-02-06,87.15,80.6163,87.35,86.44,2391236.0,86.23
2015-02-09,86.01,80.2153,86.49,86.01,1700893.0,85.74
2015-02-10,86.19,80.6909,86.75,86.52,2552171.0,85.65
2015-02-11,86.71,80.9707,87.23,86.82,1816225.0,86.3
2015-02-12,87.2,81.8334,87.79,87.745,1872978.0,86.98
2015-02-13,87.95,82.7707,88.75,88.75,1936987.0,87.78
2015-02-17,87.76,81.2412,88.07,87.11,3990945.0,86.545
2015-02-18,86.6,81.6888,87.73,87.59,1764197.0,86.6
2015-02-19,87.61,81.8194,87.83,87.73,1568519.0,86.86
2015-02-20,87.81,82.71,88.75,88.685,2010949.0,87.04
2015-02-23,88.73,83.1624,89.24,89.17,1801431.0,88.23
2015-02-24,89.17,83.2463,89.38,89.26,1418717.0,88.51
2015-02-25,89.33,83.0691,89.7,89.07,1617915.0,88.79
2015-02-26,89.19,82.8546,89.25,88.84,1426287.0,88.61
2015-02-27,88.85,82.8546,89.44,88.84,1815944.0,88.45
2015-03-02,88.88,84.1043,90.23,90.18,1771365.0,88.58
2015-03-03,89.55,82.724,89.99,88.7,3012171.0,88.33
2015-03-04,88.25,80.7422,88.3,86.575,3306010.0,86.52
2015-03-05,86.59,80.9054,86.91,86.75,2728568.0,86.26
2015-03-06,86.33,80.2013,86.97,85.995,2010986.0,85.84
2015-03-09,86.4,80.9893,87.0,86.84,1481848.0,85.86
2015-03-10,86.06,79.4132,86.31,85.15,1915348.0,85.15
2015-03-11,84.99,79.7163,85.44,84.985,1721823.0,84.64
2015-03-12,85.41,81.0342,86.49,86.39,1190710.0,85.12
2015-03-13,86.09,80.5558,86.47,85.88,1650621.0,85.32
2015-03-16,86.52,81.9347,87.53,87.35,1663763.0,86.2
2015-03-17,86.91,81.2687,87.32,86.64,1986173.0,86.56
2015-03-18,86.63,81.9347,87.76,87.35,1928036.0,85.56
2015-03-19,87.38,81.9534,87.79,87.37,2143890.0,87.27
2015-03-20,87.8,82.3286,88.005,87.77,4119092.0,87.48
2015-03-23,88.02,81.8925,88.02,87.305,1593071.0,87.29
2015-03-24,87.15,81.5736,87.6,86.965,1167837.0,86.96
2015-03-25,87.13,79.4865,87.155,84.74,1707068.0,84.74
2015-03-26,84.26,79.177,84.77,84.41,1599903.0,83.911
2015-03-27,84.34,79.3833,84.91,84.63,1424992.0,84.2
2015-03-30,84.96,80.5652,86.17,85.89,1139776.0,84.9176
2015-03-31,85.35,80.3307,86.3375,85.64,1682183.0,85.18
2015-04-01,85.73,79.9743,85.73,85.26,1502882.0,84.33
2015-04-02,85.85,80.5933,86.58,85.92,1699873.0,85.47
2015-04-06,85.66,80.9029,86.66,86.25,1449702.0,85.4154
2015-04-07,86.23,80.5324,86.63,85.855,1039589.0,85.82
2015-04-08,85.69,81.203,86.7,86.57,1328525.0,85.53
2015-04-09,86.45,81.2312,86.74,86.6,1155351.0,85.67
2015-04-10,86.76,80.9873,86.79,86.34,1857474.0,86.16
2015-04-13,86.12,80.5933,86.7,85.92,1331739.0,85.76
2015-04-14,85.74,80.3119,86.14,85.62,1366759.0,85.2
2015-04-15,85.9,80.4433,86.08,85.76,1481227.0,85.605
2015-04-16,85.56,80.0868,85.75,85.38,1463359.0,85.25
2015-04-17,84.64,78.3515,85.01,83.53,1965598.0,83.3
2015-04-20,83.84,79.5428,84.905,84.8,1412630.0,83.6
2015-04-21,85.16,79.8242,86.12,85.1,1552471.0,84.8
2015-04-22,85.14,80.0212,85.49,85.31,993563.0,84.61
2015-04-23,85.12,80.4479,86.1,85.765,1000080.0,85.02
2015-04-24,85.65,79.7257,85.65,84.995,1187070.0,84.32
2015-04-27,85.42,79.449,85.46,84.7,1466950.0,84.52
2015-04-28,84.8,80.3026,85.645,85.61,1639374.0,84.37
2015-04-29,85.08,80.0962,85.94,85.39,1914618.0,84.76
2015-04-30,85.22,79.2989,86.0,84.54,2194397.0,84.32
2015-05-01,84.53,80.6965,86.28,86.03,2086031.0,84.52
2015-05-04,86.46,81.1374,86.99,86.5,1992482.0,86.12
2015-05-05,86.56,80.3026,86.56,85.61,1534377.0,85.15
2015-05-06,85.72,80.115,86.17,85.41,1610354.0,84.79
2015-05-07,85.62,80.9451,86.59,86.295,1656908.0,84.9801
2015-05-08,86.82,81.9347,87.81,87.35,1465071.0,86.77
2015-05-11,87.28,81.8034,87.72,87.21,1701327.0,87.06
2015-05-12,86.84,81.3813,87.2,86.76,1549814.0,85.85
2015-05-13,86.65,80.9592,87.26,86.31,1951042.0,86.2
2015-05-14,86.97,82.535,88.03,87.99,1892400.0,86.52
2015-05-15,88.25,82.3286,88.4,87.77,1607075.0,87.51
2015-05-18,87.37,82.0566,87.81,87.48,1593347.0,87.01
2015-05-19,87.8,82.4506,88.12,87.9,1875725.0,87.42
2015-05-20,88.06,82.0097,88.06,87.43,1767733.0,87.42
2015-05-21,87.36,81.8596,87.62,87.27,1517448.0,87.08
2015-05-22,87.19,81.4375,87.44,86.82,1499264.0,86.81
2015-05-26,86.55,80.1243,86.82,85.42,1867570.0,85.22
2015-05-27,85.46,80.584,86.03,85.91,2017388.0,85.28
2015-05-28,85.87,80.6402,86.29,85.97,1297452.0,85.615
2015-05-29,85.96,80.2088,86.0,85.51,2188945.0,85.08
2015-06-01,85.7,80.0118,85.98,85.3,1617500.0,84.51
