Date,Low,High,Volume,Adj Close,Close,Open
2016-01-04,32.11,33.0,2460845.0,32.1646,32.41,32.44
2016-01-05,31.96,32.83,1713344.0,32.1149,32.36,32.52
2016-01-06,31.09,32.0,1597803.0,31.1027,31.34,31.79
2016-01-07,30.71,31.65,1765290.0,30.666,30.9,30.95
2016-01-08,30.17,31.24,1793233.0,29.9911,30.22,30.98
2016-01-11,29.6801,30.54,2336985.0,29.6835,29.91,30.35
2016-01-12,28.94,30.28,2831069.0,29.1972,29.42,30.26
2016-01-13,29.4,30.12,3597667.0,29.4255,29.65,29.66
2016-01-14,29.29,30.51,2419458.0,30.1499,30.38,29.76
2016-01-15,28.53,29.94,2854642.0,28.6414,28.86,29.7
2016-01-19,28.41,29.62,2662767.0,28.6613,28.88,29.13
2016-01-20,27.13,28.94,2910570.0,28.5025,28.72,28.34
2016-01-21,28.43,29.53,2440862.0,28.3735,28.59,28.7
2016-01-22,28.87,29.46,2438412.0,29.1079,29.33,29.15
2016-01-25,28.78,29.31,2545631.0,28.83,28.83,29.11
2016-01-26,28.73,29.33,1774659.0,29.16,29.16,28.85
2016-01-27,28.64,29.45,1631119.0,28.82,28.82,29.11
2016-01-28,28.475,29.55,1528895.0,28.59,28.59,29.2
2016-01-29,28.79,29.6,1731560.0,29.58,29.58,28.79
2016-02-01,28.96,29.93,2752998.0,29.57,29.57,29.34
2016-02-02,24.22,27.65,11639022.0,24.94,24.94,27.58
2016-02-03,25.66,27.61,7359430.0,26.89,26.89,25.72
2016-02-04,26.32,27.42,2771972.0,26.97,26.97,26.67
2016-02-05,26.88,28.43,4860722.0,27.97,27.97,27.0
2016-02-08,26.26,27.88,2899558.0,27.0,27.0,27.5
2016-02-09,26.65,28.02,4055342.0,27.4,27.4,26.69
2016-02-10,27.29,28.165,1954894.0,27.34,27.34,27.52
2016-02-11,25.9975,27.15,1947239.0,26.37,26.37,26.87
2016-02-12,26.4,27.1,1961857.0,26.87,26.87,26.71
2016-02-16,39.45,41.3,70640686.0,39.64,39.64,40.62
2016-02-17,39.59,40.07,18193281.0,39.59,39.59,39.75
2016-02-18,39.68,39.9,9247741.0,39.78,39.78,39.75
2016-02-19,39.75,40.0,8085098.0,40.0,40.0,39.83
2016-02-22,39.99,40.2401,6536578.0,40.02,40.02,40.12
2016-02-23,39.93,40.16,5167594.0,39.95,39.95,40.02
2016-02-24,39.9,40.12,3237568.0,40.09,40.09,39.9
2016-02-25,40.05,40.47,3929464.0,40.29,40.29,40.13
2016-02-26,40.3,40.6,3320670.0,40.4,40.4,40.3
2016-02-29,40.35,40.52,2483444.0,40.37,40.37,40.4
2016-03-01,40.43,40.74,2180186.0,40.73,40.73,40.44
2016-03-02,40.51,40.8,2291012.0,40.51,40.51,40.62
2016-03-03,40.33,40.75,2843648.0,40.63,40.63,40.51
2016-03-04,40.51,40.9,1883673.0,40.85,40.85,40.57
2016-03-07,40.78,41.15,2746144.0,40.96,40.96,40.79
2016-03-08,40.6,40.95,3646813.0,40.69,40.69,40.87
2016-03-09,40.61,40.77,2053329.0,40.66,40.66,40.74
2016-03-10,40.76,41.19,5415852.0,41.07,41.07,40.81
2016-03-11,41.04,41.43,2188774.0,41.4,41.4,41.1
2016-03-14,41.1,41.42,2381447.0,41.38,41.38,41.17
2016-03-15,41.02,41.34,2590600.0,41.1,41.1,41.22
2016-03-16,41.11,41.33,1583154.0,41.15,41.15,41.11
2016-03-17,41.15,41.36,2060141.0,41.23,41.23,41.15
2016-03-18,41.05,41.29,3574365.0,41.08,41.08,41.28
2016-03-21,41.06,41.22,2348797.0,41.06,41.06,41.16
2016-03-22,40.91,41.15,2758229.0,40.91,40.91,41.1
2016-03-23,40.93,41.2,2311006.0,40.95,40.95,40.95
2016-03-24,40.95,41.15,1257137.0,41.1,41.1,40.97
2016-03-28,41.13,41.421,4080361.0,41.35,41.35,41.15
2016-03-29,41.21,41.38,3186421.0,41.25,41.25,41.3
2016-03-30,40.98,41.38,4641472.0,41.3,41.3,41.32
2016-03-31,41.21,41.35,2332650.0,41.26,41.26,41.27
2016-04-01,41.25,41.37,4624697.0,41.32,41.32,41.25
2016-04-04,41.23,41.37,3318781.0,41.29,41.29,41.3
2016-04-05,41.11,41.32,5201879.0,41.27,41.27,41.14
2016-04-06,41.21,41.41,3791296.0,41.4,41.4,41.28
2016-04-07,41.355,41.66,4971903.0,41.39,41.39,41.37
2016-04-08,41.39,41.58,2341733.0,41.44,41.44,41.53
2016-04-11,41.42,41.55,3643712.0,41.45,41.45,41.46
2016-04-12,41.41,41.53,2364315.0,41.42,41.42,41.45
2016-04-13,41.49,41.69,3495769.0,41.67,41.67,41.5
2016-04-14,41.64,41.8,2174662.0,41.67,41.67,41.7
2016-04-15,41.67,41.75,2270530.0,41.71,41.71,41.67
2016-04-18,41.67,41.78,4372344.0,41.76,41.76,41.69
2016-04-19,41.75,41.82,3345426.0,41.78,41.78,41.77
2016-04-20,41.76,41.825,3124179.0,41.78,41.78,41.8
2016-04-21,41.77,41.82,7170119.0,41.79,41.79,41.8
2016-04-22,41.78,41.87,2595481.0,41.79,41.79,41.8
2016-04-25,41.9,41.94,5333268.0,41.93,41.93,41.9
2016-04-26,41.93,41.96,7879969.0,41.96,41.96,41.94
2016-04-27,41.95,41.97,3577347.0,41.95,41.95,41.96
2016-04-28,41.95,41.97,3414964.0,41.95,41.95,41.95
2016-04-29,41.95,41.98,4110546.0,41.98,41.98,41.96
2016-05-02,41.98,41.98,0.0,41.98,41.98,41.98
2016-05-03,41.98,41.98,0.0,41.98,41.98,41.98
2016-05-04,41.98,41.98,0.0,41.98,41.98,41.98
2016-05-05,41.98,41.98,0.0,41.98,41.98,41.98
2016-05-06,41.98,41.98,0.0,41.98,41.98,41.98
2016-05-09,41.98,41.98,0.0,41.98,41.98,41.98
2016-05-10,41.98,41.98,0.0,41.98,41.98,41.98
2018-01-19,12.0,12.97,68187376.0,12.39,12.39,12.65
