Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,60.88,54.9085,61.24,61.15,2011402.0,60.39
2015-01-05,61.1,54.1003,61.28,60.25,2643394.0,59.97
2015-01-06,60.42,54.3966,61.84,60.58,4170274.0,60.37
2015-01-07,60.71,55.1689,61.88,61.44,2798762.0,60.36
2015-01-08,61.63,55.6448,62.19,61.97,2473982.0,61.63
2015-01-09,62.03,55.3484,62.166,61.64,2408927.0,61.15
2015-01-12,61.88,55.2766,61.96,61.56,2411703.0,61.1
2015-01-13,62.04,55.555,62.88,61.87,2642000.0,61.52
2015-01-14,61.71,56.3541,62.83,62.76,2599767.0,61.41
2015-01-15,62.8,56.7133,63.39,63.16,2608974.0,62.54
2015-01-16,63.19,57.0814,63.6,63.57,2334483.0,62.76
2015-01-20,64.0,57.0455,64.05,63.53,2257616.0,63.02
2015-01-21,63.38,57.5933,64.25,64.14,2481311.0,62.95
2015-01-22,64.56,57.5394,64.63,64.08,1944667.0,63.67
2015-01-23,64.38,57.9345,64.9,64.52,2057853.0,64.12
2015-01-26,64.42,57.9794,64.6,64.57,1803074.0,64.02
2015-01-27,64.41,57.692,64.816,64.25,2736103.0,64.2
2015-01-28,64.28,56.9108,65.38,63.38,3643028.0,63.245
2015-01-29,63.36,57.2161,63.9857,63.72,3007704.0,62.75
2015-01-30,63.59,56.399,64.27,62.81,3855932.0,62.76
2015-02-02,62.81,56.6235,63.51,63.06,3641319.0,62.28
2015-02-03,62.92,56.3541,63.14,62.76,3641297.0,62.499
2015-02-04,62.75,55.8692,63.0,62.22,3355621.0,62.02
2015-02-05,62.56,56.0758,62.69,62.45,2201903.0,61.89
2015-02-06,61.8,53.5885,62.03,59.15,4139610.0,58.86
2015-02-09,59.09,52.7641,59.4293,58.24,3748690.0,58.02
2015-02-10,58.26,53.7335,59.4299,59.31,3403724.0,58.26
2015-02-11,59.07,52.8003,59.07,58.28,2820122.0,58.09
2015-02-12,58.28,52.5285,58.52,57.98,3705159.0,57.75
2015-02-13,57.81,52.3926,58.11,57.83,3856644.0,57.005
2015-02-17,57.54,52.4288,58.465,57.87,4017959.0,57.279
2015-02-18,58.05,53.5613,59.3075,59.12,3712648.0,57.69
2015-02-19,58.92,52.9181,59.07,58.41,2956497.0,58.03
2015-02-20,58.33,53.1989,58.77,58.72,3899408.0,57.64
2015-02-23,58.77,53.5341,59.15,59.09,2136372.0,58.69
2015-02-24,58.99,53.7063,59.64,59.28,2155262.0,58.75
2015-02-25,59.18,52.6191,59.29,58.08,3058519.0,58.03
2015-02-26,58.22,52.0121,58.42,57.41,3200636.0,57.3
2015-02-27,57.53,52.1661,57.89,57.58,2475391.0,57.26
2015-03-02,57.39,50.8706,57.58,56.15,2989885.0,55.77
2015-03-03,56.08,51.396,56.745,56.73,2959293.0,55.78
2015-03-04,56.45,51.2601,57.55,56.58,3193999.0,56.25
2015-03-05,57.0,51.7131,57.5,57.08,2319865.0,56.8445
2015-03-06,56.52,49.8378,56.52,55.01,3794848.0,54.66
2015-03-09,55.1,49.9918,55.515,55.18,2303891.0,54.94
2015-03-10,55.06,50.0642,55.85,55.26,2588160.0,54.93
2015-03-11,55.27,49.6203,55.56,54.77,2107908.0,54.7
2015-03-12,55.04,50.7075,56.23,55.97,2256914.0,54.93
2015-03-13,55.85,50.1095,55.85,55.31,2303544.0,54.7
2015-03-16,55.5,50.8796,56.54,56.16,1875875.0,55.48
2015-03-17,55.88,50.6441,56.43,55.9,2370470.0,55.73
2015-03-18,55.93,52.1389,57.94,57.55,3072487.0,55.67
2015-03-19,57.39,51.6859,57.95,57.05,2227224.0,56.86
2015-03-20,57.32,52.2748,57.98,57.7,3453314.0,57.02
2015-03-23,57.71,52.5013,58.15,57.95,1905611.0,57.6
2015-03-24,57.85,51.8671,58.28,57.25,1919585.0,57.065
2015-03-25,57.32,50.6531,57.75,55.91,5557092.0,55.88
2015-03-26,55.8,50.1277,56.23,55.33,3077175.0,55.09
