Date,Low,Close,High,Volume,Open,Adj Close
2015-01-02,13.51,13.7,13.87,5228725.0,13.86,12.2074
2015-01-05,13.24,13.31,13.7,5411368.0,13.67,11.8599
2015-01-06,12.945,13.01,13.46,7171225.0,13.31,11.5926
2015-01-07,12.925,13.03,13.13,4931998.0,13.11,11.6104
2015-01-08,13.09,13.23,13.37,6674350.0,13.15,11.7886
2015-01-09,12.87,12.9,13.3,5295837.0,13.26,11.4946
2015-01-12,12.545,12.88,12.95,9184037.0,12.87,11.4767
2015-01-13,12.895,13.02,13.18,6227808.0,12.97,11.6015
2015-01-14,12.82,13.14,13.165,4677008.0,12.92,11.7084
2015-01-15,13.08,13.1,13.375,7513496.0,13.15,11.6728
2015-01-16,13.13,13.37,13.39,6423020.0,13.14,11.9134
2015-01-20,12.93,13.09,13.49,6671875.0,13.44,11.6639
2015-01-21,12.89,13.2,13.22,5309528.0,12.97,11.7619
2015-01-22,12.835,12.92,13.31,4864679.0,13.26,11.5124
2015-01-23,12.68,12.68,13.01,7665974.0,12.93,11.2985
2015-01-26,12.48,12.73,12.73,4682239.0,12.67,11.3431
2015-01-27,12.55,12.73,12.79,3538460.0,12.64,11.3431
2015-01-28,12.3,12.32,12.82,5554403.0,12.74,10.9778
2015-01-29,12.23,12.44,12.48,5447146.0,12.28,11.0847
2015-01-30,12.17,12.22,12.44,6475030.0,12.22,10.9778
2015-02-02,12.18,12.36,12.37,5404963.0,12.24,11.1035
2015-02-03,12.35,12.48,12.72,8190068.0,12.35,11.2113
2015-02-04,12.39,12.52,12.69,5828283.0,12.41,11.2473
2015-02-05,12.51,12.67,12.7,3304993.0,12.58,11.382
2015-02-06,12.02,12.07,12.65,7097745.0,12.6,10.843
2015-02-09,11.8,11.85,12.16,7783493.0,12.05,10.6454
2015-02-10,11.53,12.16,12.2,11225954.0,11.74,10.9239
2015-02-11,11.81,11.93,12.1,9966547.0,12.05,10.7172
2015-02-12,11.83,11.86,12.04,4403059.0,12.0,10.6543
2015-02-13,11.73,11.86,12.04,4336572.0,11.84,10.6543
2015-02-17,11.54,11.64,11.85,5690292.0,11.85,10.4567
2015-02-18,11.58,11.83,11.89,5922615.0,11.63,10.6274
2015-02-19,11.765,11.85,11.97,4350576.0,11.79,10.6454
2015-02-20,11.64,11.89,11.9,5632356.0,11.86,10.6813
2015-02-23,11.77,11.92,11.965,3463702.0,11.9,10.7082
2015-02-24,11.85,12.12,12.15,6941696.0,11.87,10.8879
2015-02-25,11.87,12.0,12.17,9024433.0,12.11,10.7801
2015-02-26,12.12,12.63,12.74,11809360.0,12.12,11.3461
2015-02-27,12.57,12.97,13.01,13541891.0,12.68,11.6515
2015-03-02,12.55,12.65,12.91,8968977.0,12.91,11.364
2015-03-03,12.65,13.0,13.02,9570237.0,12.65,11.6785
2015-03-04,12.71,12.75,12.995,7084452.0,12.92,11.4539
2015-03-05,12.6699,12.7,12.83,6011040.0,12.78,11.409
2015-03-06,12.19,12.23,12.68,7885765.0,12.52,10.9867
2015-03-09,12.12,12.19,12.32,7395547.0,12.26,10.9508
2015-03-10,12.08,12.12,12.22,10515675.0,12.12,10.8879
2015-03-11,11.96,12.05,12.17,7554515.0,12.11,10.825
2015-03-12,12.01,12.1,12.14,6946762.0,12.09,10.8699
2015-03-13,11.83,11.92,12.05,7016805.0,12.04,10.7082
2015-03-16,11.96,12.01,12.1258,5400729.0,12.0,10.7891
2015-03-17,11.99,12.19,12.23,5414884.0,12.0,10.9508
2015-03-18,12.15,12.64,12.71,6142990.0,12.23,11.3551
2015-03-19,12.47,12.52,12.72,4109687.0,12.62,11.2473
2015-03-20,12.49,12.84,12.84,9076508.0,12.54,11.5347
2015-03-23,12.77,12.88,12.97,3821333.0,12.83,11.5707
2015-03-24,12.61,12.69,12.98,4734229.0,12.82,11.4
2015-03-25,12.37,12.5,12.7,5064409.0,12.7,11.2293
2015-03-26,12.331,12.46,12.56,3967483.0,12.47,11.1934
2015-03-27,12.39,12.48,12.63,3532781.0,12.48,11.2113
2015-03-30,12.48,12.74,12.8,3694103.0,12.52,11.4449
2015-03-31,12.68,12.85,12.87,4051317.0,12.74,11.5437
2015-04-01,12.64,12.83,12.95,5371222.0,12.86,11.5257
2015-04-02,12.71,12.84,12.9,3860683.0,12.8,11.5347
2015-04-06,12.85,13.33,13.38,7424649.0,12.86,11.9749
2015-04-07,13.14,13.14,13.31,3424934.0,13.31,11.8042
2015-04-08,13.04,13.12,13.28,5015792.0,13.22,11.7863
2015-04-09,12.93,13.05,13.11,2901473.0,13.08,11.7234
2015-04-10,12.99,13.2,13.21,2411733.0,13.07,11.8581
2015-04-13,12.97,12.97,13.18,3576537.0,13.17,11.6515
2015-04-14,12.99,13.27,13.27,3806114.0,13.02,11.921
2015-04-15,13.28,13.35,13.41,4993394.0,13.31,11.9929
2015-04-16,13.195,13.28,13.42,3877924.0,13.3,11.93
2015-04-17,13.13,13.16,13.335,2823237.0,13.17,11.8222
2015-04-20,13.17,13.24,13.4,2949482.0,13.18,11.8941
2015-04-21,13.0,13.33,13.385,10480790.0,13.25,11.9749
2015-04-22,13.175,13.56,13.59,8470891.0,13.42,12.1815
2015-04-23,13.3,13.31,13.62,4944951.0,13.51,11.9569
2015-04-24,13.27,13.46,13.67,4989358.0,13.33,12.0917
2015-04-27,13.23,13.25,13.61,4778045.0,13.54,11.903
2015-04-28,13.13,13.39,13.39,3413912.0,13.24,12.0288
2015-04-29,13.12,13.45,13.47,7989538.0,13.27,12.0827
2015-04-30,13.15,13.25,13.43,6241542.0,13.42,11.903
2015-05-01,13.05,13.27,13.3,3362833.0,13.24,12.0108
2015-05-04,13.31,13.64,13.72,5056994.0,13.42,12.3457
2015-05-05,13.44,13.48,13.6,7865887.0,13.6,12.2009
2015-05-06,13.3,13.45,13.52,6778029.0,13.49,12.1738
2015-05-07,13.375,13.54,13.65,4460939.0,13.49,12.2552
2015-05-08,13.57,13.66,13.83,6244606.0,13.72,12.3638
2015-05-11,13.2,13.68,13.835,6797677.0,13.29,12.3819
2015-05-12,13.36,13.71,13.72,8162303.0,13.57,12.4091
2015-05-13,13.3,13.36,13.5,46067618.0,13.48,12.0923
2015-05-14,13.34,13.54,13.59,9334159.0,13.5,12.2552
2015-05-15,13.49,13.7,13.75,4707622.0,13.56,12.4
2015-05-18,13.58,13.74,13.76,3979630.0,13.66,12.4362
2015-05-19,13.31,13.62,13.68,7772460.0,13.68,12.3276
2015-05-20,13.6,13.63,13.79,7150841.0,13.66,12.3367
2015-05-21,13.57,13.78,13.79,4188237.0,13.62,12.4725
2015-05-22,13.595,13.7,13.79,4367909.0,13.73,12.4
2015-05-26,13.37,13.42,13.7,5193525.0,13.68,12.1466
2015-05-27,13.39,13.44,13.65,4055888.0,13.63,12.1647
2015-05-28,13.3,13.33,13.47,3498598.0,13.39,12.0652
2015-05-29,13.29,13.6,13.6,7877756.0,13.33,12.3095
2015-06-01,13.51,13.64,13.73,5456899.0,13.59,12.3457
2015-06-02,13.29,13.45,13.57,5670527.0,13.56,12.1738
2015-06-03,12.895,13.15,13.45,7423394.0,13.44,11.9022
2015-06-04,12.995,13.02,13.16,5948975.0,13.08,11.7846
2015-06-05,12.98,13.15,13.24,8965640.0,13.09,11.9022
2015-06-08,13.02,13.08,13.16,4516921.0,13.12,11.8389
2015-06-09,13.06,13.51,13.51,9146188.0,13.07,12.2281
2015-06-10,13.3,13.32,13.65,5886451.0,13.64,12.0561
2015-06-11,13.32,13.52,13.58,4962357.0,13.4,12.2371
2015-06-12,13.305,13.35,13.515,3640202.0,13.48,12.0833
2015-06-15,13.28,13.44,13.48,5385757.0,13.33,12.1647
2015-06-16,13.33,13.58,13.6,3959727.0,13.47,12.2914
2015-06-17,13.52,13.67,13.73,5207832.0,13.61,12.3729
2015-06-18,13.61,13.85,13.875,5044833.0,13.67,12.5358
2015-06-19,13.765,13.85,13.97,6008683.0,13.87,12.5358
2015-06-22,13.77,13.94,14.02,4468882.0,13.89,12.6173
2015-06-23,13.67,13.71,13.97,5309445.0,13.94,12.4091
2015-06-24,13.54,13.64,13.8,5063533.0,13.72,12.3457
2015-06-25,13.47,13.53,13.66,4029094.0,13.64,12.2462
2015-06-26,13.33,13.46,13.53,5044651.0,13.49,12.1828
2015-06-29,13.15,13.16,13.52,4530149.0,13.41,11.9113
2015-06-30,13.05,13.26,13.3,6800052.0,13.21,12.0018
2015-07-01,13.15,13.19,13.36,4998049.0,13.3,11.9384
