Date,Volume,Adj Close,High,Low,Close,Open
2016-01-04,2474153.0,56.4416,59.18,58.2,59.18,58.79
2016-01-05,2049962.0,56.3653,59.63,58.74,59.1,59.17
2016-01-06,1863736.0,55.507,58.61,57.95,58.2,58.33
2016-01-07,2353018.0,54.5628,57.995,56.93,57.21,57.12
2016-01-08,2230386.0,54.0859,57.79,56.61,56.71,57.67
2016-01-11,2011792.0,54.4388,57.29,56.27,57.08,57.02
2016-01-12,2372195.0,55.1255,57.94,57.02,57.8,57.63
2016-01-13,2803686.0,54.2766,58.84,56.67,56.91,58.32
2016-01-14,2709369.0,54.6677,57.89,56.51,57.32,57.02
2016-01-15,3446842.0,53.9905,57.03,55.88,56.61,56.02
2016-01-19,2764960.0,53.8761,57.27,56.11,56.49,57.08
2016-01-20,2957929.0,52.9796,56.18,54.57,55.55,55.45
2016-01-21,2422421.0,53.2371,56.46,55.35,55.82,55.74
2016-01-22,2193573.0,54.62,57.32,56.55,57.27,56.72
2016-01-25,3149070.0,53.9333,57.63,56.435,56.55,57.24
2016-01-26,1589373.0,54.8584,57.81,56.94,57.52,57.03
2016-01-27,2513433.0,54.7917,58.27,56.91,57.45,57.41
2016-01-28,2118446.0,55.6119,58.49,57.41,58.31,57.89
2016-01-29,5189190.0,55.2781,58.09,56.55,57.96,57.98
2016-02-01,5643064.0,53.8952,57.56,56.31,56.51,57.36
2016-02-02,5002750.0,54.6295,58.62,55.74,57.28,56.73
2016-02-03,2557142.0,54.6677,58.83,56.08,57.32,58.4
2016-02-04,2279162.0,55.3353,58.11,56.96,58.02,57.14
2016-02-05,2286533.0,55.5165,58.49,57.66,58.21,57.97
2016-02-08,2623549.0,55.3162,58.2,57.04,58.0,57.39
2016-02-09,2780624.0,55.2494,58.36,57.05,57.93,57.51
2016-02-10,2228451.0,54.8298,58.86,57.43,57.49,58.3
2016-02-11,3429201.0,53.4183,56.6,55.2356,55.6,55.61
2016-02-12,2633093.0,55.0612,57.3799,56.26,57.31,56.52
2016-02-16,2574549.0,55.849,58.36,57.35,58.13,58.1
2016-02-17,2205221.0,56.7521,59.37,58.7,59.07,58.75
2016-02-18,2078657.0,56.8386,59.4101,58.813,59.16,59.24
2016-02-19,2713581.0,56.9923,59.35,58.54,59.32,58.98
2016-02-22,2140221.0,57.3574,60.06,59.43,59.7,59.81
2016-02-23,1583208.0,57.0404,59.78,59.25,59.37,59.64
2016-02-24,1683079.0,57.2902,59.815,58.46,59.63,58.73
2016-02-25,1716729.0,57.9627,60.35,59.15,60.33,59.72
2016-02-26,2084098.0,57.809,60.77,60.02,60.17,60.58
2016-02-29,2077990.0,57.1845,60.44,59.52,59.52,60.18
2016-03-01,2462771.0,58.6737,61.16,59.92,61.07,59.92
2016-03-02,2110107.0,59.0003,61.45,60.78,61.41,61.02
2016-03-03,2606846.0,58.5872,61.38,60.75,60.98,61.26
2016-03-04,2065701.0,58.6352,61.37,60.69,61.03,61.23
2016-03-07,2505807.0,58.1741,60.98,60.37,60.55,60.58
2016-03-08,2938431.0,57.7033,60.58,59.32,60.06,60.11
2016-03-09,2526511.0,58.0588,60.77,59.66,60.43,60.43
2016-03-10,1906662.0,58.0011,61.0,59.87,60.37,60.53
2016-03-11,2457494.0,59.8266,62.35,60.96,62.27,61.12
2016-03-14,2064983.0,59.2309,62.08,61.51,61.65,61.84
2016-03-15,1815152.0,59.1348,61.66,61.05,61.55,61.23
2016-03-16,2697458.0,60.0091,62.62,61.25,62.46,61.45
2016-03-17,2813809.0,60.9026,63.78,61.86,63.39,62.33
2016-03-18,3882498.0,61.0275,63.95,63.01,63.52,63.66
2016-03-21,1506209.0,60.7969,63.6847,63.12,63.28,63.25
2016-03-22,1781967.0,60.8546,63.73,62.85,63.34,63.06
2016-03-23,1923391.0,60.9122,63.67,63.19,63.4,63.46
2016-03-24,1744713.0,60.2397,62.94,62.34,62.7,62.91
2016-03-28,1567152.0,60.6816,63.41,62.79,63.16,62.79
2016-03-29,1637577.0,60.7009,63.35,62.65,63.18,62.93
2016-03-30,1565902.0,61.2293,64.33,63.4,63.73,63.5
2016-03-31,2326498.0,60.6624,63.97,63.075,63.14,63.73
2016-04-01,2213453.0,61.604,64.17,62.83,64.12,63.0
2016-04-04,1852973.0,61.0948,64.15,63.4579,63.59,64.14
2016-04-05,2238477.0,61.2197,64.1,63.21,63.72,63.21
2016-04-06,1624039.0,61.162,63.925,63.23,63.66,63.71
2016-04-07,1768907.0,60.5279,63.63,62.59,63.0,63.18
2016-04-08,2312757.0,61.4022,64.09,63.45,63.91,63.48
2016-04-11,2146721.0,61.5271,64.61,63.915,64.04,64.02
2016-04-12,3555502.0,62.9586,65.6,64.08,65.53,64.27
2016-04-13,2439424.0,63.8425,66.45,65.75,66.45,65.94
2016-04-14,2533464.0,64.3421,67.335,66.67,66.97,66.8
2016-04-15,2204064.0,64.2557,67.23,66.65,66.88,66.91
2016-04-18,2029913.0,64.5727,67.3,66.42,67.21,66.73
2016-04-19,2669091.0,64.909,67.63,67.17,67.56,67.25
2016-04-20,2814633.0,65.3798,68.31,67.63,68.05,67.77
2016-04-21,1965317.0,64.7553,68.08,67.34,67.4,67.55
2016-04-22,2642620.0,65.2549,68.155,67.4401,67.92,67.51
2016-04-25,1913868.0,65.2068,68.0,67.21,67.87,67.64
2016-04-26,2725056.0,65.3317,68.68,67.745,68.0,68.04
2016-04-27,3080809.0,66.5999,69.47,67.82,69.32,67.9
2016-04-28,2755777.0,66.3021,69.6,68.76,69.01,69.06
2016-04-29,3032659.0,66.2637,69.22,68.52,68.97,68.82
2016-05-02,2273367.0,66.4174,69.3,68.34,69.13,68.47
2016-05-03,2845573.0,66.2637,69.04,68.26,68.97,68.77
2016-05-04,2147620.0,65.7448,68.755,68.02,68.43,68.62
2016-05-05,1971633.0,65.9658,68.98,68.41,68.66,68.48
2016-05-06,1600759.0,66.1484,68.9124,68.185,68.85,68.42
2016-05-09,1470685.0,65.9466,68.98,68.39,68.64,68.65
2016-05-10,1917299.0,66.4654,69.24,68.23,69.18,68.42
2016-05-11,1508939.0,66.0619,69.295,68.55,68.76,68.74
2016-05-12,2530980.0,66.5231,69.44,68.77,69.24,69.21
2016-05-13,1923464.0,66.1772,69.69,68.8,68.88,69.12
2016-05-16,3106709.0,66.7056,69.28,68.46,69.02,68.56
2016-05-17,2175101.0,66.1451,69.15,68.255,68.44,69.03
2016-05-18,3049548.0,66.6863,69.39,68.25,69.0,68.41
2016-05-19,2433535.0,66.2997,68.96,68.02,68.6,68.84
2016-05-20,2518104.0,66.4253,68.85,68.43,68.73,68.68
2016-05-23,1832954.0,66.203,68.65,68.22,68.5,68.47
2016-05-24,3240046.0,67.2178,69.8,68.78,69.55,68.78
2016-05-25,1644321.0,67.5078,70.0874,69.71,69.85,69.95
2016-05-26,2297324.0,66.8602,69.9,69.15,69.18,69.77
2016-05-27,1910400.0,67.2275,69.56,69.1702,69.56,69.25
2016-05-31,2623415.0,67.1309,69.86,68.9,69.46,69.66
2016-06-01,1792558.0,67.0825,69.5,68.75,69.41,69.01
2016-06-02,2670123.0,67.2468,69.59,68.97,69.58,69.23
2016-06-03,1958477.0,66.8023,69.34,68.53,69.12,68.97
2016-06-06,1612274.0,67.0245,69.8,68.87,69.35,69.36
2016-06-07,1699705.0,66.9859,69.74,69.225,69.31,69.54
2016-06-08,1809726.0,67.5561,69.955,69.09,69.9,69.23
2016-06-09,1542744.0,67.3628,69.78,69.25,69.7,69.55
2016-06-10,1509618.0,66.638,69.345,68.8,68.95,68.96
2016-06-13,1869668.0,66.0774,69.07,68.29,68.37,68.78
2016-06-14,1538735.0,66.0194,68.6,68.1,68.31,68.29
2016-06-15,1498700.0,65.8744,68.73,68.11,68.16,68.51
2016-06-16,1420160.0,66.5027,68.82,67.42,68.81,67.64
2016-06-17,2248342.0,66.4833,69.09,68.54,68.79,68.78
2016-06-20,1855280.0,67.4401,70.21,69.68,69.78,69.75
2016-06-21,2010932.0,68.1843,70.62,69.88,70.55,70.05
2016-06-22,2012774.0,68.4646,71.055,70.55,70.84,70.69
2016-06-23,2269520.0,69.3634,71.97,71.26,71.77,71.6
2016-06-24,3995149.0,66.9376,70.49,68.56,69.26,68.68
2016-06-27,3561024.0,65.0723,68.59,67.13,67.33,68.45
2016-06-28,2463956.0,66.5413,69.11,67.82,68.85,68.32
2016-06-29,1993768.0,67.7301,70.12,69.07,70.08,69.22
2016-06-30,2574177.0,69.7403,72.17,70.0,72.16,70.19
2016-07-01,1847439.0,70.0689,72.805,72.01,72.5,72.19
2016-07-05,2082045.0,69.1024,72.0,71.28,71.5,71.94
2016-07-06,2291282.0,69.7886,72.215,71.18,72.21,71.27
2016-07-07,1958020.0,69.0251,72.16,71.02,71.42,72.15
2016-07-08,1725837.0,70.0593,72.76,71.91,72.49,72.26
2016-07-11,1883046.0,70.2236,73.06,72.5,72.66,72.5
2016-07-12,1488280.0,70.7454,73.53,73.0,73.2,73.04
2016-07-13,1900162.0,70.8228,73.6,73.11,73.28,73.36
2016-07-14,2385399.0,71.2287,74.11,73.7,73.7,74.0
2016-07-15,2564606.0,70.9001,74.14,73.21,73.36,73.93
2016-07-18,1502255.0,70.7551,73.63,73.19,73.21,73.37
2016-07-19,1424604.0,70.7551,73.52,72.9,73.21,73.05
2016-07-20,1339873.0,70.9871,73.76,73.3,73.45,73.65
2016-07-21,1022238.0,70.8711,73.62,73.155,73.33,73.51
2016-07-22,1385763.0,71.0257,73.5,73.17,73.49,73.47
2016-07-25,1024769.0,70.7938,73.61,73.13,73.25,73.61
2016-07-26,1534154.0,71.219,73.7301,73.26,73.69,73.39
2016-07-27,1534851.0,70.9001,73.95,73.34,73.36,73.59
2016-07-28,1972684.0,70.8614,73.51,72.8315,73.32,73.12
2016-07-29,3397376.0,69.8563,73.88,71.12,72.28,71.87
2016-08-01,2671631.0,69.1798,72.24,71.33,71.58,71.91
2016-08-02,1750683.0,69.2184,71.8,71.15,71.62,71.64
2016-08-03,1816493.0,69.5567,72.25,71.53,71.97,71.79
2016-08-04,1476305.0,69.547,72.07,71.51,71.96,71.79
2016-08-05,1829361.0,70.6198,73.32,72.21,73.07,72.42
2016-08-08,1269612.0,70.6295,73.34,72.93,73.08,73.22
2016-08-09,1425238.0,70.6585,73.2,72.72,73.11,73.0
2016-08-10,1776759.0,70.7165,73.18,72.92,73.17,73.06
2016-08-11,2260598.0,70.6198,73.86,73.05,73.07,73.2
2016-08-12,1243341.0,70.2525,73.15,72.6,72.69,72.89
2016-08-15,1895732.0,70.2429,73.1499,72.64,72.68,72.96
2016-08-16,1420362.0,69.779,72.647,72.195,72.2,72.63
2016-08-17,1372103.0,70.2332,72.69,72.25,72.67,72.41
2016-08-18,1669467.0,69.837,72.75,71.97,72.26,72.75
2016-08-19,1779549.0,70.4458,73.04,71.67,72.89,72.03
2016-08-22,1111633.0,70.6005,72.68,72.12,72.64,72.25
2016-08-23,1210290.0,70.7365,72.99,72.69,72.78,72.7
2016-08-24,1331791.0,70.6588,72.865,72.56,72.7,72.7
2016-08-25,2153858.0,70.9406,73.05,72.51,72.99,72.52
2016-08-26,2050389.0,70.7074,73.58,72.415,72.75,72.95
2016-08-29,1368364.0,71.6307,73.99,72.915,73.7,72.95
2016-08-30,1380634.0,72.1944,74.37,73.78,74.28,73.78
2016-08-31,1736987.0,72.0972,74.5,73.62,74.18,74.37
2016-09-01,1415585.0,71.7959,74.36,73.37,73.87,74.28
2016-09-02,1186050.0,71.9126,74.36,73.65,73.99,74.08
2016-09-06,1247337.0,71.5918,73.95,73.32,73.66,73.95
2016-09-07,1150773.0,71.4655,73.78,73.26,73.53,73.47
2016-09-08,1608004.0,70.8921,73.55,72.9,72.94,73.54
2016-09-09,2261111.0,70.3672,73.34,72.4,72.4,72.81
2016-09-12,2717870.0,71.3586,73.67,71.72,73.42,72.07
2016-09-13,2141411.0,69.8132,72.75,71.69,71.83,72.64
2016-09-14,1723052.0,69.7841,72.26,71.6,71.8,71.87
2016-09-15,1515737.0,70.3089,72.455,71.81,72.34,71.83
2016-09-16,2413941.0,69.337,72.02,71.3,71.34,72.02
2016-09-19,2000808.0,69.9979,72.32,71.6,72.02,71.67
2016-09-20,1435320.0,70.4158,72.92,72.15,72.45,72.54
2016-09-21,1746269.0,71.4363,73.53,72.79,73.5,72.92
2016-09-22,1477723.0,71.4558,73.95,73.45,73.52,73.69
2016-09-23,1334120.0,70.6977,73.5,72.74,72.74,73.36
2016-09-26,1537909.0,69.9979,72.39,71.75,72.02,72.31
2016-09-27,1338661.0,70.3867,72.61,71.5,72.42,71.87
2016-09-28,1058924.0,70.4352,72.66,71.91,72.47,72.44
2016-09-29,1280265.0,69.5508,72.57,71.27,71.56,72.42
2016-09-30,1546004.0,69.8521,72.275,71.56,71.87,71.85
2016-10-03,1555931.0,69.5605,71.94,71.25,71.57,71.62
2016-10-04,2665489.0,69.4925,71.83,71.195,71.5,71.7
2016-10-05,1618558.0,69.8813,72.08,71.66,71.9,71.72
2016-10-06,1197572.0,70.0465,72.2,71.65,72.07,72.06
2016-10-07,1246319.0,69.3759,72.02,71.235,71.38,71.67
2016-10-10,1036140.0,69.6674,72.02,71.55,71.68,71.64
2016-10-11,1350623.0,68.9871,71.64,70.73,70.98,71.59
2016-10-12,1611941.0,69.6091,71.73,71.01,71.62,71.02
2016-10-13,1590701.0,68.6275,71.26,70.155,70.61,71.0
2016-10-14,1214704.0,68.9676,71.77,70.91,70.96,71.14
2016-10-17,1296800.0,68.6372,71.0,70.56,70.62,70.98
2016-10-18,1910614.0,68.3262,71.22,70.12,70.3,71.12
2016-10-19,2153067.0,68.5594,71.0,70.41,70.54,70.51
2016-10-20,1721620.0,67.8013,70.54,69.66,69.76,70.32
2016-10-21,1763044.0,67.432,69.55,68.67,69.38,69.17
2016-10-24,1377685.0,68.054,70.14,69.63,70.02,69.73
2016-10-25,1313103.0,67.6847,70.0,69.32,69.64,70.0
2016-10-26,1206881.0,67.8402,70.0063,69.24,69.8,69.24
2016-10-27,2270530.0,68.2387,70.39,69.555,70.21,70.17
2016-10-28,2726381.0,66.5864,70.99,68.22,68.51,70.48
2016-10-31,2136969.0,66.9363,69.18,68.72,68.87,68.86
2016-11-01,1797823.0,66.4698,69.21,67.92,68.39,69.18
2016-11-02,1147293.0,66.4698,68.81,68.17,68.39,68.39
2016-11-03,1686037.0,66.9072,69.22,68.58,68.84,68.72
2016-11-04,1976387.0,66.635,69.06,68.37,68.56,69.0
2016-11-07,1669362.0,67.6361,69.72,69.36,69.59,69.48
2016-11-08,1548698.0,68.1221,70.43,69.34,70.09,69.59
2016-11-09,2518511.0,69.5897,72.07,69.85,71.6,70.44
2016-11-10,2908887.0,71.1933,73.95,71.72,73.25,72.22
2016-11-11,1845929.0,70.5713,73.31,72.275,72.61,72.83
2016-11-14,2514119.0,70.6685,73.56,72.18,72.28,72.72
2016-11-15,2012955.0,70.8836,72.5,71.585,72.5,72.07
2016-11-16,1808918.0,70.2285,72.34,71.75,71.83,72.08
2016-11-17,1586830.0,70.7761,72.62,71.65,72.39,71.77
2016-11-18,2493856.0,70.8836,72.77,72.15,72.5,72.36
2016-11-21,2096857.0,70.0526,72.85,71.55,71.65,72.52
2016-11-22,2185312.0,69.593,71.8,70.95,71.18,71.78
2016-11-23,1579666.0,70.0232,71.89,71.11,71.62,71.45
2016-11-25,594374.0,70.1308,71.91,71.34,71.73,71.62
2016-11-28,1442582.0,69.4073,71.61,70.83,70.99,71.31
2016-11-29,1143129.0,69.6908,71.61,71.07,71.28,71.11
2016-11-30,2149609.0,69.7886,71.9328,71.25,71.38,71.76
2016-12-01,2972681.0,68.9086,71.6,70.13,70.48,71.52
2016-12-02,4695274.0,66.7675,70.255,68.15,68.29,70.0
2016-12-05,3036291.0,67.1585,68.99,68.18,68.69,68.64
2016-12-06,3293893.0,67.051,68.85,68.15,68.58,68.75
2016-12-07,2362297.0,67.9114,69.59,68.405,69.46,68.54
2016-12-08,2309256.0,68.0678,70.15,69.42,69.62,69.76
2016-12-09,4460264.0,67.5203,69.21,67.5,69.06,68.78
2016-12-12,3344247.0,67.4225,69.23,68.52,68.96,68.95
2016-12-13,2869636.0,68.4198,70.14,69.32,69.98,69.33
2016-12-14,3188664.0,68.1656,70.8,69.42,69.72,69.69
2016-12-15,3347909.0,67.7256,70.35,69.21,69.27,69.75
2016-12-16,2991221.0,67.8625,69.62,69.02,69.41,69.39
2016-12-19,1803309.0,68.234,69.81,68.79,69.79,69.21
2016-12-20,1743049.0,68.3025,70.31,69.545,69.86,69.85
2016-12-21,1284297.0,68.7327,70.6767,69.86,70.3,69.86
2016-12-22,1354948.0,68.8109,70.46,69.69,70.38,70.15
2016-12-23,1074013.0,68.586,70.4099,69.95,70.15,70.37
2016-12-27,883346.0,68.8304,70.71,70.03,70.4,70.16
2016-12-28,1569301.0,68.2438,70.29,69.7,69.8,70.22
2016-12-29,1388343.0,68.2731,70.13,69.8,69.83,69.86
2016-12-30,1193900.0,68.0483,70.14,69.43,69.6,70.02
2017-01-03,2324808.0,68.2145,70.335,69.32,69.77,70.09
2017-01-04,1946700.0,68.8402,70.75,69.81,70.41,70.0
2017-01-05,2240193.0,68.3905,70.62,69.61,69.95,70.29
2017-01-06,2234016.0,68.6251,70.64,69.78,70.19,70.19
2017-01-09,1811813.0,67.97,70.15,69.375,69.52,69.89
2017-01-10,2694535.0,67.8821,70.1,69.14,69.43,69.51
2017-01-11,2161218.0,68.3025,69.91,69.27,69.86,69.51
2017-01-12,2783793.0,68.0189,70.1,69.045,69.57,69.45
2017-01-13,2009302.0,68.0874,70.2,68.86,69.64,69.77
2017-01-17,3217341.0,68.322,70.115,69.09,69.88,69.13
2017-01-18,2386952.0,68.41,70.2375,69.38,69.97,70.07
2017-01-19,2293582.0,67.9114,70.24,68.84,69.46,70.06
2017-01-20,2406308.0,68.5176,70.185,69.62,70.08,69.92
2017-01-23,1771424.0,67.8038,70.04,69.14,69.35,70.0
2017-01-24,2508770.0,68.2634,69.96,69.34,69.82,69.67
2017-01-25,3582985.0,68.8891,70.58,69.96,70.46,70.11
2017-01-26,2985851.0,68.9869,70.77,70.38,70.56,70.55
2017-01-27,1200788.0,68.7033,70.55,70.0,70.27,70.41
2017-01-30,2392567.0,68.7815,70.515,69.86,70.35,70.25
2017-01-31,3790654.0,68.4296,70.76,69.61,69.99,70.31
2017-02-01,4608837.0,65.6431,69.95,66.6,67.14,69.0
2017-02-02,2686827.0,66.3177,68.13,66.5,67.83,66.77
2017-02-03,2139173.0,67.0803,68.92,68.2,68.61,68.9
2017-02-06,1826210.0,67.3932,69.05,68.17,68.93,68.4
2017-02-07,1855283.0,67.4323,69.28,68.63,68.97,69.22
2017-02-08,2111454.0,68.0874,69.76,68.8,69.64,68.95
2017-02-09,2419046.0,68.3416,70.07,69.51,69.9,69.9
2017-02-10,2132011.0,68.4198,70.1,69.91,69.98,70.0
2017-02-13,3005770.0,69.8179,71.25,69.81,70.98,69.81
2017-02-14,2167057.0,69.8769,71.22,70.7,71.04,70.86
2017-02-15,2264590.0,69.8376,71.22,70.71,71.0,70.87
2017-02-16,2399047.0,70.0245,71.34,70.64,71.19,70.7
2017-02-17,2081865.0,69.9359,71.13,70.34,71.1,70.93
2017-02-21,1821930.0,70.2507,71.74,71.12,71.42,71.12
2017-02-22,1758088.0,69.995,71.48,70.98,71.16,71.06
2017-02-23,1398646.0,70.5458,71.72,71.2,71.72,71.2
2017-02-24,1571124.0,70.536,71.73,71.13,71.71,71.24
2017-02-27,1831589.0,71.1458,72.47,71.75,72.33,71.98
2017-02-28,3192233.0,71.1655,72.58,72.05,72.35,72.15
2017-03-01,2683646.0,71.7852,73.33,72.81,72.98,73.0
2017-03-02,1903104.0,71.0081,72.94,72.15,72.19,72.87
2017-03-03,1365517.0,71.0868,72.54,72.14,72.27,72.27
2017-03-06,1221606.0,71.0081,72.43,71.82,72.19,71.86
2017-03-07,1346009.0,70.772,72.25,71.82,71.95,72.16
2017-03-08,1723611.0,70.713,72.58,71.89,71.89,72.4
2017-03-09,1670301.0,70.9097,72.47,71.9,72.09,72.34
2017-03-10,1515421.0,70.8409,72.72,71.66,72.02,72.37
2017-03-13,1608887.0,70.8704,72.26,71.8,72.05,72.08
2017-03-14,1604875.0,70.6638,72.0,71.57,71.84,71.92
2017-03-15,1948090.0,71.1655,72.4,71.58,72.35,71.85
2017-03-16,2003234.0,71.2147,72.84,72.25,72.4,72.31
2017-03-17,3079140.0,71.3425,72.93,71.95,72.53,72.52
