Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,2180199.0,260.27,258.11,259.13,262.27,255.6866
2015-01-05,2410949.0,257.94,255.51,256.69,259.27,253.279
2015-01-06,2773144.0,257.16,253.0,255.17,260.04,251.7792
2015-01-07,4392008.0,256.99,256.11,265.23,267.97,261.7055
2015-01-08,2978195.0,268.0,266.47,268.96,270.05,265.386
2015-01-09,2214921.0,270.63,267.0,268.68,271.5,265.1097
2015-01-12,3118651.0,275.29,269.8,272.28,275.75,268.6619
2015-01-13,2910887.0,274.0,267.79,269.9,276.18,266.3135
2015-01-14,1938883.0,266.11,264.48,266.42,269.38,262.8797
2015-01-15,2570304.0,267.0,263.05,263.75,268.86,260.2452
2015-01-16,2098659.0,262.97,262.536,268.66,269.26,265.09
2015-01-20,2423402.0,269.0,265.86,269.01,270.158,265.4353
2015-01-21,3624581.0,268.45,268.2,275.77,276.8964,272.1055
2015-01-22,2579270.0,275.9,273.63,278.01,279.22,274.3157
2015-01-23,2716568.0,277.65,276.81,279.12,280.24,275.411
2015-01-26,2520902.0,279.0,276.88,285.02,285.09,281.2326
2015-01-27,2649370.0,281.74,280.1,280.2,283.5699,276.4766
2015-01-28,2207052.0,282.32,272.75,273.88,282.5,270.2406
2015-01-29,2359986.0,275.12,269.2,273.25,275.12,269.619
2015-01-30,2747839.0,271.22,266.18,266.54,273.03,262.9981
2015-02-02,2193430.0,268.39,262.0001,267.79,269.245,264.2315
2015-02-03,2045599.0,268.23,263.38,268.35,268.81,264.7841
2015-02-04,1883647.0,267.45,264.48,266.23,268.4,262.6922
2015-02-05,4285286.0,266.69,266.67,274.67,276.645,271.0694
2015-02-06,2755301.0,274.18,270.92,276.55,278.65,272.9248
2015-02-09,1934067.0,275.45,271.46,272.31,276.73,268.7404
2015-02-10,2407406.0,274.79,272.78,279.14,279.76,275.4808
2015-02-11,2090547.0,279.15,275.0,277.51,282.01,273.8722
2015-02-12,1526902.0,280.18,276.75,281.66,281.75,277.9678
2015-02-13,2235830.0,280.84,279.285,285.37,287.12,281.6292
2015-02-17,2845888.0,287.53,284.01,286.9,288.8,283.1391
2015-02-18,4967602.0,289.13,277.67,284.0,289.68,280.2771
2015-02-19,5164168.0,281.67,281.51,289.44,291.23,285.6458
2015-02-20,3413638.0,290.0,289.21,295.77,296.77,291.8928
2015-02-23,2779837.0,296.43,291.0,292.45,296.75,288.6164
2015-02-24,4671976.0,292.21,287.99,289.11,292.95,285.3201
2015-02-25,12552531.0,291.0,290.1,290.4,294.0,286.6426
2015-02-26,3206511.0,290.25,286.59,289.78,291.7,286.0306
2015-02-27,3747249.0,290.1,289.86,291.36,292.62,287.5902
2015-03-02,3427408.0,293.16,292.8,297.31,297.5,293.4632
2015-03-03,2926876.0,296.8,291.46,296.23,297.3,292.3971
2015-03-04,2386755.0,295.93,290.83,296.14,296.75,292.3083
2015-03-05,2199051.0,297.1,293.72,295.7,298.23,291.874
2015-03-06,3071315.0,295.29,289.26,289.92,295.86,286.1688
2015-03-09,3252248.0,290.08,287.62,293.6,294.14,289.8012
2015-03-10,2856352.0,290.51,287.6,287.6,291.89,283.8788
2015-03-11,3256780.0,290.57,289.84,292.86,295.2,289.0707
2015-03-12,4087769.0,294.74,293.39,298.63,299.88,294.7661
2015-03-13,2660520.0,298.26,295.7,298.95,299.5,295.0819
2015-03-16,6217483.0,300.58,299.0,305.0,306.35,301.0537
2015-03-17,3941517.0,308.34,304.5,307.51,308.75,303.5312
2015-03-18,5805387.0,308.5,307.62,313.95,315.0,309.8879
2015-03-19,3595800.0,313.0,310.71,314.41,315.38,310.3419
2015-03-20,8885768.0,316.55,314.71,317.06,317.72,312.9576
2015-03-23,3199256.0,316.17,313.035,314.97,316.65,310.8947
2015-03-24,3272398.0,315.64,308.92,309.13,316.93,305.1302
2015-03-25,4313908.0,309.26,300.12,300.63,309.65,296.7402
2015-03-26,3274209.0,298.0,297.2,301.32,305.34,297.4213
2015-03-27,2032423.0,300.91,300.642,303.56,306.17,299.6323
2015-03-30,2298756.0,307.82,304.1,304.76,307.82,300.8168
2015-03-31,3552783.0,303.52,297.62,297.62,304.8,293.7692
2015-04-01,4499958.0,299.5,292.82,296.43,299.77,292.5946
2015-04-02,2279375.0,297.92,295.3,298.37,299.864,294.5095
2015-04-06,2173548.0,296.79,296.45,297.84,299.88,293.9863
2015-04-07,2026736.0,298.4,295.26,295.56,299.81,291.7358
2015-04-08,5173195.0,296.68,291.85,294.78,300.51,290.9659
2015-04-09,3064643.0,295.93,291.72,292.27,297.86,288.4884
2015-04-10,3183472.0,293.48,289.48,294.79,295.31,290.9758
2015-04-13,3192058.0,294.65,294.06,294.06,297.8,290.2552
2015-04-14,3214923.0,294.4,293.58,298.16,298.78,294.3022
2015-04-15,2260776.0,299.33,298.0,298.92,301.76,295.0523
2015-04-16,2297265.0,297.5,295.16,296.45,298.92,292.6143
2015-04-17,2839492.0,294.3,291.74,297.05,297.05,293.2065
2015-04-20,2627188.0,297.77,293.7021,295.37,298.94,291.5483
2015-04-21,2376617.0,296.89,294.1,294.53,299.525,290.7191
2015-04-22,2127705.0,294.62,291.99,295.22,296.03,291.4002
2015-04-23,2218057.0,294.16,294.12,298.36,299.21,294.4996
2015-04-24,1983512.0,298.34,295.22,295.41,298.76,291.5878
2015-04-27,3989246.0,296.95,284.88,285.19,296.98,281.5
2015-04-28,3282219.0,281.9,280.06,288.1,290.16,284.3723
2015-04-29,2192753.0,286.35,285.0,288.23,289.82,284.5007
2015-04-30,2818750.0,287.27,280.14,282.86,289.6,279.2001
2015-05-01,2628461.0,285.17,284.68,289.74,290.01,285.9911
2015-05-04,1733300.0,290.19,289.09,289.81,292.49,286.0602
2015-05-05,1901575.0,290.45,285.0,285.75,290.99,282.0527
