Date,Low,Open,Close,High,Volume,Adj Close
2016-01-04,39.17,39.47,39.65,39.66,1140015.0,39.3332
2016-01-05,39.6,39.78,40.66,40.84,1692417.0,40.3351
2016-01-06,40.01,40.37,40.2,40.69,1008728.0,39.8788
2016-01-07,39.67,39.76,39.97,40.1,1580156.0,39.6506
2016-01-08,39.12,40.02,39.21,40.17,849747.0,38.8967
2016-01-11,38.8163,39.29,39.46,39.7,1167492.0,39.1447
2016-01-12,38.86,39.67,39.18,39.72,1286722.0,38.8669
2016-01-13,38.4,39.2,38.44,39.49,1693196.0,38.1328
2016-01-14,37.76,38.56,37.81,38.8,1858917.0,37.5079
2016-01-15,37.01,37.22,37.81,37.94,1780348.0,37.5079
2016-01-19,37.975,38.16,38.24,40.24,1805275.0,37.9344
2016-01-20,36.62,38.02,36.96,38.47,2282664.0,36.6646
2016-01-21,36.51,37.16,36.95,37.47,1563163.0,36.6547
2016-01-22,36.95,37.28,37.76,37.96,856454.0,37.4583
2016-01-25,37.49,37.72,37.67,38.24,1210847.0,37.369
2016-01-26,37.75,37.78,38.73,38.73,1050207.0,38.4205
2016-01-27,37.99,38.69,38.24,38.69,1332325.0,37.9344
2016-01-28,37.55,38.1,38.11,38.86,1940461.0,37.8055
2016-01-29,38.25,38.52,39.15,39.23,2006355.0,38.8371
2016-02-01,38.68,38.87,39.61,40.05,1659823.0,39.2935
2016-02-02,38.98,39.58,39.14,39.69,1539243.0,38.8272
2016-02-03,38.86,39.31,39.62,39.65,1540673.0,39.3034
2016-02-04,39.03,39.37,39.68,39.97,1438144.0,39.3629
2016-02-05,36.825,38.69,37.01,39.36,3398623.0,36.7142
2016-02-08,34.97,36.95,35.6,37.09,2913543.0,35.3155
2016-02-09,35.0,35.24,35.45,35.82,2116749.0,35.1667
2016-02-10,35.61,35.68,36.32,36.965,1647468.0,36.0298
2016-02-11,35.47,35.51,35.77,36.04,1457266.0,35.4842
2016-02-12,35.43,36.01,36.05,36.12,1676029.0,35.7619
2016-02-16,35.83,36.36,36.62,36.65,1522630.0,36.3274
2016-02-17,36.025,36.52,36.25,36.78,2049778.0,35.9603
2016-02-18,36.0,36.23,36.35,36.5,1526447.0,36.0595
2016-02-19,35.98,36.28,36.18,36.49,2130949.0,35.8909
2016-02-22,36.29,36.42,36.46,36.875,1699074.0,36.1686
2016-02-23,36.03,36.27,36.17,36.97,1603041.0,35.881
2016-02-24,35.455,36.12,36.04,36.43,1818378.0,35.752
2016-02-25,36.25,36.25,36.62,36.77,1437111.0,36.3274
2016-02-26,36.39,36.65,36.47,36.78,1103165.0,36.1786
2016-02-29,36.38,36.4,36.61,37.15,1591727.0,36.3174
2016-03-01,36.74,36.91,37.87,37.885,1141295.0,37.5674
