Date,Volume,Adj Close,High,Low,Close,Open
2016-01-04,4341097.0,52.31,52.32,50.91,52.31,51.8
2016-01-05,1505033.0,52.02,52.65,51.93,52.02,52.38
2016-01-06,2588749.0,50.48,51.76,50.38,50.48,51.0
2016-01-07,4029624.0,48.19,50.7,48.16,48.19,49.34
2016-01-08,4122741.0,48.1,49.18,48.05,48.1,48.51
2016-01-11,6487045.0,45.46,48.87,44.93,45.46,48.27
2016-01-12,6203449.0,46.88,48.19,46.01,46.88,46.01
2016-01-13,4134906.0,45.82,47.69,45.75,45.82,47.14
2016-01-14,2974796.0,46.91,47.26,45.1,46.91,45.98
2016-01-15,3836083.0,44.15,45.91,43.93,44.15,45.33
2016-01-19,3590128.0,45.44,45.64,43.75,45.44,44.82
2016-01-20,3493890.0,46.11,46.75,43.75,46.11,44.79
2016-01-21,3350361.0,46.21,47.82,45.8,46.21,46.33
2016-01-22,1984684.0,46.91,47.89,46.52,46.91,46.97
2016-01-25,1413870.0,45.7,46.9,45.64,45.7,46.81
2016-01-26,2256567.0,46.2,46.42,45.26,46.2,45.86
2016-01-27,2082825.0,44.35,46.44,44.15,44.35,45.7
2016-01-28,2726349.0,43.47,45.21,43.28,43.47,44.85
2016-01-29,2278158.0,45.62,45.63,43.53,45.62,43.79
2016-02-01,2765770.0,45.3,45.54,44.31,45.3,45.5
2016-02-02,2789195.0,42.94,44.96,42.68,42.94,44.96
2016-02-03,3792873.0,44.39,44.81,42.96,44.39,43.25
2016-02-04,2402873.0,44.64,45.275,43.87,44.64,44.41
2016-02-05,2629279.0,43.2,44.19,42.88,43.2,44.15
2016-02-08,3280033.0,40.98,43.0,40.22,40.98,42.51
2016-02-09,6686739.0,39.57,41.53,39.43,39.57,40.59
2016-02-10,14254350.0,47.96,49.28,44.68,47.96,46.99
2016-02-11,5810001.0,49.14,49.44,46.5,49.14,47.13
2016-02-12,4037236.0,50.76,50.9,49.28,50.76,49.57
2016-02-16,5450184.0,52.55,53.15,50.47,52.55,51.27
2016-02-17,3354969.0,53.42,54.0,52.85,53.42,53.18
2016-02-18,3447949.0,53.28,54.83,53.07,53.28,54.83
2016-02-19,3426734.0,53.13,53.14,52.0,53.13,52.9
2016-02-22,3963500.0,54.48,55.6,53.39,54.48,53.63
2016-02-23,3878854.0,53.97,54.76,53.58,53.97,54.07
2016-02-24,2165272.0,54.78,54.97,53.015,54.78,53.59
2016-02-25,2554557.0,54.96,55.0,54.15,54.96,54.92
2016-02-26,3038186.0,55.24,55.55,54.6,55.24,55.35
2016-02-29,4323435.0,53.97,55.54,53.97,53.97,55.29
2016-03-01,3930484.0,55.53,55.57,54.0,55.53,54.37
2016-03-02,2425746.0,56.21,56.31,55.0401,56.21,55.4
2016-03-03,2524406.0,55.64,55.892,55.2,55.64,55.83
2016-03-04,2835654.0,55.57,55.98,55.03,55.57,55.65
2016-03-07,2950542.0,55.33,55.98,54.92,55.33,55.0
2016-03-08,2899089.0,54.58,55.15,54.15,54.58,54.94
2016-03-09,1595568.0,55.19,55.49,54.29,55.19,54.99
2016-03-10,3072663.0,54.64,55.43,53.9,54.64,55.24
2016-03-11,1264383.0,56.07,56.29,55.18,56.07,55.26
2016-03-14,1896623.0,55.28,55.83,55.08,55.28,55.75
2016-03-15,1844906.0,54.67,55.09,54.34,54.67,54.89
2016-03-16,1610726.0,55.81,56.0923,54.19,55.81,54.29
2016-03-17,1688384.0,56.06,56.08,55.275,56.06,55.48
2016-03-18,2417964.0,55.95,57.05,55.69,55.95,56.5
2016-03-21,1071877.0,56.29,56.36,55.685,56.29,55.85
2016-03-22,1193505.0,56.74,57.0,55.81,56.74,55.98
2016-03-23,1697920.0,55.12,56.67,54.95,55.12,56.67
2016-03-24,1940498.0,54.84,55.13,54.391,54.84,54.65
2016-03-28,1289600.0,54.93,55.31,54.57,54.93,55.1
2016-03-29,1159516.0,55.26,55.54,54.02,55.26,54.65
2016-03-30,1540116.0,55.1,55.801,54.79,55.1,55.74
2016-03-31,1643033.0,55.57,55.73,54.7,55.57,55.06
2016-04-01,1671775.0,55.22,55.31,54.244,55.22,55.14
2016-04-04,1034096.0,55.33,55.84,54.76,55.33,55.17
2016-04-05,2116879.0,53.14,54.32,52.76,53.14,54.19
2016-04-06,1672620.0,54.78,54.8,53.08,54.78,53.08
2016-04-07,1754484.0,53.28,55.0,53.0,53.28,54.5
2016-04-08,1863545.0,52.38,53.95,52.2,52.38,53.59
2016-04-11,2409524.0,51.06,52.985,51.01,51.06,52.69
2016-04-12,3063091.0,50.54,51.61,49.8001,50.54,51.18
2016-04-13,1600034.0,51.79,51.97,50.6101,51.79,50.76
2016-04-14,1273999.0,51.67,52.34,51.13,51.67,51.53
2016-04-15,1985923.0,50.93,51.91,50.77,50.93,51.58
2016-04-18,2296226.0,51.75,51.98,49.87,51.75,50.54
2016-04-19,1845430.0,51.35,52.25,50.76,51.35,51.93
2016-04-20,2125182.0,51.27,51.66,50.0,51.27,51.35
2016-04-21,1319306.0,51.36,51.71,51.03,51.36,51.36
2016-04-22,2987927.0,51.13,51.81,50.64,51.13,51.26
2016-04-25,1617719.0,51.09,51.11,50.5604,51.09,51.0
2016-04-26,3781214.0,52.66,52.84,50.827,52.66,50.93
2016-04-27,6939678.0,54.85,57.5,52.03,54.85,52.1
2016-04-28,2530279.0,52.41,54.81,52.29,52.41,54.48
2016-04-29,2741351.0,50.99,52.38,50.38,50.99,52.21
2016-05-02,1982908.0,50.94,51.1772,50.03,50.94,50.75
2016-05-03,1979053.0,49.91,50.94,49.64,49.91,50.82
2016-05-04,2677348.0,49.54,49.97,49.09,49.54,49.62
2016-05-05,2055127.0,49.51,50.04,49.0923,49.51,49.77
2016-05-06,1444676.0,49.94,49.97,48.88,49.94,49.35
2016-05-09,1243439.0,50.15,50.44,49.56,50.15,49.65
2016-05-10,1904264.0,51.97,52.03,50.27,51.97,50.35
2016-05-11,1326931.0,50.72,51.86,50.58,50.72,51.77
2016-05-12,1652649.0,51.12,51.74,50.5,51.12,51.0
2016-05-13,1505200.0,50.49,51.38,50.28,50.49,50.93
2016-05-16,1281039.0,51.36,51.68,50.36,51.36,50.49
2016-05-17,1221495.0,50.965,51.75,50.705,50.965,51.2
2016-05-18,862973.0,50.97,51.4,50.44,50.97,51.03
2016-05-19,838377.0,50.68,51.29,50.06,50.68,50.68
2016-05-20,1584861.0,51.73,51.99,50.95,51.73,51.05
2016-05-23,1586848.0,51.29,51.87,50.8,51.29,51.61
2016-05-24,1182487.0,52.7,52.91,51.0,52.7,51.32
2016-05-25,1142028.0,52.86,53.8125,52.71,52.86,52.87
2016-05-26,2335184.0,53.98,54.17,52.62,53.98,52.76
2016-05-27,1166801.0,54.2,54.5,53.64,54.2,54.0
2016-05-31,1261013.0,54.58,54.78,54.18,54.58,54.42
2016-06-01,1240840.0,54.42,54.62,53.73,54.42,54.01
2016-06-02,707489.0,54.9,54.97,54.1,54.9,54.1
2016-06-03,1280602.0,53.55,54.58,52.99,53.55,54.46
2016-06-06,909543.0,54.53,54.7297,53.17,54.53,53.77
2016-06-07,1238209.0,54.85,54.885,53.92,54.85,54.5
2016-06-08,1237399.0,54.92,55.4,54.81,54.92,54.99
2016-06-09,1424082.0,55.44,55.5,54.16,55.44,54.63
2016-06-10,1434128.0,52.73,55.24,52.67,52.73,54.65
2016-06-13,1245469.0,52.21,53.16,52.18,52.21,52.47
2016-06-14,1184998.0,52.66,52.69,51.97,52.66,52.09
2016-06-15,1471576.0,53.27,54.058,52.66,53.27,52.66
2016-06-16,1281228.0,53.71,53.81,52.35,53.71,52.8
2016-06-17,2330298.0,53.19,53.99,53.16,53.19,53.73
2016-06-20,1806855.0,54.14,54.82,53.5,54.14,54.04
2016-06-21,1132152.0,54.7,54.74,54.14,54.7,54.42
2016-06-22,1495909.0,54.7,55.24,54.57,54.7,54.66
2016-06-23,2517337.0,57.17,57.17,55.125,57.17,55.24
2016-06-24,3494509.0,53.35,55.74,53.17,53.35,54.96
2016-06-27,2460302.0,51.16,52.88,50.91,51.16,52.7
2016-06-28,1965723.0,53.05,53.43,51.88,53.05,51.96
2016-06-29,1780193.0,54.56,54.84,52.8,54.56,53.09
2016-06-30,1957599.0,55.93,55.94,53.99,55.93,54.79
2016-07-01,1242377.0,55.5,56.33,55.2,55.5,55.81
2016-07-05,1327230.0,54.25,55.5,53.81,54.25,55.1
2016-07-06,1443457.0,54.96,55.03,53.72,54.96,54.18
2016-07-07,989553.0,54.94,55.385,54.675,54.94,55.0
2016-07-08,1919170.0,56.38,56.64,54.86,56.38,55.5
2016-07-11,1498036.0,56.24,57.4,55.8899,56.24,56.66
2016-07-12,2018411.0,56.16,56.9,56.11,56.16,56.74
2016-07-13,1789644.0,56.86,57.69,56.5,56.86,56.7
2016-07-14,1611116.0,57.43,58.01,57.11,57.43,57.72
2016-07-15,1137960.0,57.25,57.91,57.03,57.25,57.7
2016-07-18,937932.0,57.47,57.86,57.28,57.47,57.39
2016-07-19,1000052.0,57.45,57.96,57.24,57.45,57.24
2016-07-20,1164647.0,57.83,57.89,57.42,57.83,57.71
2016-07-21,1486517.0,57.2,58.12,57.01,57.2,57.89
2016-07-22,1048026.0,57.89,58.14,57.24,57.89,57.45
2016-07-25,1676791.0,57.9,58.33,57.565,57.9,57.83
2016-07-26,3896212.0,58.09,58.47,57.69,58.09,58.0
2016-07-27,19372284.0,50.51,51.44,47.8,50.51,51.23
2016-07-28,4725013.0,50.69,51.125,50.21,50.69,50.45
2016-07-29,3622526.0,50.53,50.83,49.76,50.53,50.64
2016-08-01,3028327.0,50.6,50.71,50.187,50.6,50.56
2016-08-02,3083522.0,49.96,50.69,49.21,49.96,50.46
2016-08-03,1909039.0,49.44,49.98,49.16,49.44,49.86
2016-08-04,1939228.0,49.43,49.705,48.92,49.43,49.28
2016-08-05,2085659.0,50.66,50.87,49.1588,50.66,49.73
2016-08-08,1405299.0,50.21,50.94,50.05,50.21,50.78
2016-08-09,1802561.0,50.22,50.95,50.16,50.22,50.17
2016-08-10,2997435.0,52.02,52.06,50.35,52.02,50.35
2016-08-11,1582287.0,51.41,52.3,51.3,51.41,52.15
2016-08-12,1979593.0,51.97,52.57,51.955,51.97,52.19
2016-08-15,1960670.0,52.05,53.0075,52.02,52.05,52.05
2016-08-16,1241019.0,52.0,52.63,52.0,52.0,52.07
2016-08-17,1608480.0,52.34,52.4,51.98,52.34,52.24
2016-08-18,1108053.0,52.35,52.64,52.0,52.35,52.35
2016-08-19,1391247.0,52.95,52.96,52.0,52.95,52.3
2016-08-22,1286074.0,52.98,53.0,52.25,52.98,52.81
2016-08-23,1379082.0,53.6,54.28,52.95,53.6,53.06
2016-08-24,1984640.0,53.98,54.44,53.63,53.98,53.68
2016-08-25,1971270.0,54.56,54.68,53.76,54.56,53.8
2016-08-26,2222253.0,55.31,55.94,54.18,55.31,54.56
2016-08-29,1173252.0,55.04,55.3,54.66,55.04,55.25
2016-08-30,1168802.0,54.89,55.56,54.61,54.89,55.05
2016-08-31,1304417.0,54.9,55.14,54.29,54.9,54.97
2016-09-01,1770093.0,55.07,55.08,54.16,55.07,54.82
2016-09-02,1149828.0,55.33,55.78,55.005,55.33,55.4
2016-09-06,1737377.0,55.5,55.825,55.08,55.5,55.29
2016-09-07,2394807.0,54.08,55.43,53.91,54.08,55.37
2016-09-08,3483993.0,53.5,54.31,53.235,53.5,53.9
2016-09-09,2208981.0,52.5,53.73,52.43,52.5,53.04
2016-09-12,2117054.0,53.09,53.275,52.31,53.09,52.38
2016-09-13,1904962.0,51.87,52.82,51.43,51.87,52.5
2016-09-14,2365671.0,51.65,52.46,51.33,51.65,51.81
2016-09-15,3071969.0,51.38,51.71,50.91,51.38,51.31
2016-09-16,2415117.0,50.98,51.4,50.76,50.98,51.2
2016-09-19,2429964.0,51.62,51.9,51.14,51.62,51.18
2016-09-20,1907517.0,51.36,52.26,51.36,51.36,51.98
2016-09-21,1690189.0,52.21,52.3,51.28,52.21,51.48
2016-09-22,2073632.0,52.43,52.93,52.17,52.43,52.7
2016-09-23,1307373.0,52.25,52.63,52.11,52.25,52.11
2016-09-26,1299109.0,51.76,52.25,51.51,51.76,51.84
2016-09-27,1562407.0,52.65,52.83,51.8,52.65,51.85
2016-09-28,1967070.0,52.28,52.7,51.36,52.28,52.57
2016-09-29,2268609.0,52.41,53.64,52.27,52.41,52.27
2016-09-30,1354713.0,52.99,53.19,52.13,52.99,52.63
2016-10-03,1848293.0,53.71,53.745,52.63,53.71,52.96
2016-10-04,2633563.0,54.64,54.78,53.2,54.64,53.75
2016-10-05,2973634.0,55.98,56.05,54.73,55.98,54.9
2016-10-06,1973496.0,54.86,55.91,54.6,54.86,55.8
