Date,High,Low,Adj Close,Volume,Open,Close
2005-01-03,25.42,24.29,6.0925,128700.0,25.25,24.37
2005-01-04,24.58,22.95,5.86,271400.0,24.49,23.44
2005-01-05,24.55,23.3,5.8425,609000.0,24.48,23.37
2005-01-06,24.22,23.55,6.0,968000.0,23.66,24.0
2005-01-07,24.15,23.62,5.9325,316100.0,24.05,23.73
2005-01-10,24.48,23.553,5.9575,378400.0,23.66,23.83
2005-01-11,23.86,22.76,5.8025,279400.0,23.69,23.21
2005-01-12,23.46,22.49,5.755,467800.0,23.42,23.02
2005-01-13,23.4,22.35,5.6575,229800.0,22.97,22.63
2005-01-14,22.93,22.04,5.6625,511500.0,22.74,22.65
2005-01-18,24.97,23.4,6.12,668900.0,23.45,24.48
2005-01-19,23.84,23.25,5.825,1387200.0,23.48,23.3
2005-01-20,23.26,22.8,5.765,1446800.0,23.14,23.06
2005-01-21,23.7,23.01,5.835,896400.0,23.01,23.34
2005-01-24,23.81,23.15,5.9425,550800.0,23.37,23.77
2005-01-25,24.08,23.5,5.94,742100.0,23.8,23.76
2005-01-26,24.29,23.7,6.0275,674500.0,23.85,24.11
2005-01-27,24.65,24.05,6.0875,537200.0,24.05,24.35
2005-01-28,24.65,24.17,6.1575,245200.0,24.31,24.63
2005-01-31,24.8,24.57,6.185,361300.0,24.72,24.74
2005-02-01,25.45,24.72,6.285,540900.0,25.1,25.14
2005-02-02,26.35,24.96,6.505,565400.0,25.14,26.02
2005-02-03,26.21,25.8,6.4725,322100.0,26.19,25.89
2005-02-04,26.96,25.76,6.725,430100.0,25.86,26.9
2005-02-07,26.6,25.88,6.5175,535200.0,26.16,26.07
2005-02-08,26.81,25.82,6.535,249100.0,26.23,26.14
2005-02-09,26.22,24.11,6.045,1075100.0,26.06,24.18
2005-02-10,24.6,23.64,6.07,352000.0,24.55,24.28
2005-02-11,25.43,23.97,6.24,302400.0,24.48,24.96
2005-02-14,25.14,24.81,6.25,104300.0,25.07,25.0
2005-02-15,25.43,24.8,6.2675,188000.0,25.26,25.07
2005-02-16,25.05,24.59,6.2,159200.0,24.96,24.8
2005-02-17,25.25,24.28,6.1225,228800.0,24.7,24.49
2005-02-18,24.9,24.04,6.0325,141600.0,24.6,24.13
