Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,99.16,93.9464,99.91,99.67,1462901.0,98.9
2015-01-05,99.68,92.5891,99.68,98.23,2124697.0,97.95
2015-01-06,98.3,92.344,98.92,97.97,2329516.0,97.93
2015-01-07,98.56,93.3149,99.34,99.0,1855173.0,98.05
2015-01-08,99.57,94.182,100.2,99.92,2214849.0,99.33
2015-01-09,100.04,93.7013,100.26,99.41,1302480.0,98.98
2015-01-12,99.65,93.296,99.834,98.98,1488997.0,98.95
2015-01-13,99.55,92.2592,99.72,97.88,2070179.0,97.26
2015-01-14,97.38,91.6748,97.94,97.26,2365452.0,97.01
2015-01-15,97.64,90.751,98.37,96.28,3060476.0,96.2
2015-01-16,96.25,91.8256,97.55,97.42,2435074.0,95.87
2015-01-20,98.0,91.5522,98.0,97.13,2011374.0,96.14
2015-01-21,96.81,91.1941,97.61,96.75,1907728.0,96.55
2015-01-22,97.27,93.1546,98.9265,98.83,4187128.0,97.0
2015-01-23,99.14,93.8804,100.36,99.6,2589843.0,98.84
2015-01-26,100.22,95.9164,101.88,101.76,3049478.0,99.43
2015-01-27,100.83,94.625,101.36,100.39,2019445.0,100.06
2015-01-28,100.7,93.2017,101.4799,98.88,2129839.0,98.82
2015-01-29,98.73,92.7682,99.09,98.42,1957783.0,97.64
2015-01-30,97.65,91.3826,98.41,96.95,1990742.0,96.86
2015-02-02,96.95,92.2309,98.06,97.85,1918273.0,95.67
2015-02-03,97.74,93.3997,99.16,99.09,1669301.0,97.62
2015-02-04,98.88,92.2309,99.32,97.85,1697202.0,97.66
2015-02-05,98.29,93.871,100.26,99.59,1901320.0,98.17
2015-02-06,98.87,90.2326,98.94,95.73,5384260.0,95.29
2015-02-09,95.65,91.1469,97.63,96.7,2811457.0,95.59
2015-02-10,97.17,90.8359,97.45,96.37,2965564.0,95.13
2015-02-11,96.59,90.4494,96.69,95.96,2445259.0,94.77
2015-02-12,96.28,90.4589,96.75,95.97,2101139.0,95.73
2015-02-13,95.95,90.8642,96.83,96.4,1748921.0,95.5
2015-02-17,96.46,90.6945,97.25,96.22,3051317.0,96.08
2015-02-18,96.12,90.6756,96.72,96.2,2429981.0,95.475
2015-02-19,96.19,89.7896,96.19,95.26,1731695.0,95.19
2015-02-20,95.3,90.9867,96.6,96.53,3039018.0,95.24
2015-02-23,96.53,91.7408,97.54,97.33,2621356.0,96.278
2015-02-24,95.42,89.2147,96.65,94.65,6782314.0,94.05
2015-02-25,94.39,92.2309,98.85,97.85,6038251.0,94.38
2015-02-26,97.56,93.2017,100.8,98.88,18725956.0,97.42
2015-02-27,99.4,93.4468,99.7,99.14,4150575.0,98.7
2015-03-02,98.81,93.6919,99.89,99.4,2911023.0,98.76
2015-03-03,99.31,92.6362,99.47,98.28,3117878.0,98.15
2015-03-04,98.34,92.9001,98.93,98.56,3103140.0,97.69
2015-03-05,98.42,93.5411,99.57,99.24,2153071.0,98.37
2015-03-06,98.18,91.0621,98.18,96.61,3799265.0,96.2
2015-03-09,97.0,91.0338,97.45,96.58,2366254.0,96.37
2015-03-10,95.94,89.1392,96.23,94.57,2642114.0,94.51
2015-03-11,94.51,89.1958,95.07,94.63,2146706.0,94.24
2015-03-12,95.5,90.7416,96.291,96.27,2231929.0,95.0
2015-03-13,96.22,88.8282,96.29,94.24,2510923.0,93.89
2015-03-16,94.73,89.1769,95.0,94.61,2881525.0,94.04
2015-03-17,94.45,88.7151,94.88,94.12,2764384.0,93.85
2015-03-18,94.1,90.0253,95.98,95.51,3493373.0,93.21
2015-03-19,95.5,89.1581,95.62,94.59,2758077.0,94.57
2015-03-20,94.7,92.0801,97.77,97.69,3581187.0,94.39
2015-03-23,97.72,92.0329,98.31,97.64,1888387.0,97.35
2015-03-24,97.77,91.5805,98.01,97.16,2271906.0,97.15
2015-03-25,97.13,89.9876,97.38,95.47,1827352.0,95.47
2015-03-26,94.62,89.7331,95.885,95.2,1471459.0,94.61
2015-03-27,95.8,90.5248,96.37,96.04,2379823.0,95.58
2015-03-30,96.57,90.6379,96.74,96.16,2564895.0,95.72
2015-03-31,95.81,88.7434,96.62,94.15,4335302.0,94.15
2015-04-01,96.26,90.9207,97.24,96.46,3388944.0,95.61
2015-04-02,96.56,91.2223,97.29,96.78,1526934.0,96.4
2015-04-06,96.69,92.41,98.16,98.04,2604672.0,96.5
2015-04-07,98.04,91.3072,98.64,96.87,2338535.0,96.86
2015-04-08,96.67,91.3826,97.57,96.53,1344292.0,96.21
2015-04-09,96.28,90.256,96.61,95.34,1737026.0,95.22
2015-04-10,95.55,90.0004,95.95,95.07,1468901.0,95.01
2015-04-13,95.0,89.7259,95.79,94.78,1645554.0,94.78
2015-04-14,94.8,89.4608,95.14,94.5,2372801.0,93.89
2015-04-15,96.0,90.0951,96.57,95.17,2404172.0,95.09
2015-04-16,94.57,91.6003,96.94,96.76,2774572.0,94.45
2015-04-17,96.24,90.9755,96.55,96.1,2320877.0,95.32
2015-04-20,96.14,90.7294,96.5,95.84,2222639.0,95.51
2015-04-21,95.84,89.9152,96.2,94.98,2150265.0,94.83
2015-04-22,94.98,90.8051,96.04,95.92,1837475.0,94.86
2015-04-23,95.79,90.9187,96.44,96.04,1335636.0,95.27
2015-04-24,95.93,90.2371,96.44,95.32,2210713.0,95.28
2015-04-27,95.68,90.114,96.03,95.19,1885803.0,95.02
2015-04-28,94.94,90.6536,95.78,95.76,1652500.0,94.87
2015-04-29,95.12,88.5236,95.62,93.51,3132928.0,93.5
2015-04-30,96.38,89.4892,96.83,94.53,4171977.0,94.09
2015-05-01,94.65,88.4952,94.85,93.48,3110338.0,93.11
2015-05-04,93.45,89.5934,94.75,94.64,2480088.0,93.28
2015-05-05,94.65,88.0408,94.98,93.0,3092818.0,92.86
2015-05-06,93.06,87.9083,93.9324,92.86,3276300.0,92.24
2015-05-07,92.92,88.6372,94.03,93.63,1913652.0,92.65
2015-05-08,94.75,89.8868,95.17,94.95,2055773.0,94.08
2015-05-11,94.4,88.6561,94.85,93.65,2369101.0,93.13
2015-05-12,93.06,88.6088,93.86,93.6,2170813.0,92.1
2015-05-13,93.91,87.984,94.37,92.94,3154842.0,92.51
2015-05-14,93.36,89.7543,94.85,94.81,2016836.0,93.165
2015-05-15,94.52,90.417,95.55,95.51,2565335.0,94.0901
2015-05-18,95.09,90.1235,95.74,95.2,1568009.0,94.82
2015-05-19,94.91,90.3602,95.77,95.45,1696847.0,94.69
2015-05-20,95.33,89.2904,95.33,94.32,2370301.0,94.1241
2015-05-21,94.14,88.8928,94.47,93.9,2322374.0,93.61
2015-05-22,93.76,89.3188,94.86,94.35,2274003.0,93.34
2015-05-26,94.06,89.565,94.69,94.61,2670123.0,93.63
2015-05-27,94.56,90.0856,95.35,95.16,2485382.0,94.01
2015-05-28,94.82,89.5555,94.98,94.6,2803353.0,94.0101
2015-05-29,94.7,87.842,94.7,92.79,5166869.0,92.58
2015-06-01,92.7,89.2052,94.4,94.23,2590858.0,92.59
2015-06-02,94.01,89.1295,94.66,94.15,2294345.0,93.54
2015-06-03,93.86,87.7379,94.01,92.68,3080604.0,92.64
2015-06-04,92.98,89.6218,95.69,94.67,4211008.0,92.83
2015-06-05,94.26,87.5864,94.31,92.52,4130574.0,92.5
2015-06-08,92.63,87.8799,93.38,92.83,2936294.0,92.45
2015-06-09,92.86,87.1604,93.03,92.07,2406495.0,91.99
2015-06-10,92.18,87.7568,93.4,92.7,1377914.0,91.995
2015-06-11,93.06,88.4384,93.84,93.42,1744354.0,92.67
2015-06-12,93.12,88.2301,93.57,93.2,1422661.0,92.71
2015-06-15,92.25,87.7568,92.77,92.26,1616852.0,91.99
2015-06-16,92.28,88.708,93.34,93.26,1676377.0,92.16
2015-06-17,93.28,89.526,94.49,94.12,2347751.0,92.87
2015-06-18,94.38,91.4855,96.29,96.18,3393738.0,94.01
2015-06-19,96.26,91.2857,97.06,95.97,3612232.0,95.97
2015-06-22,96.26,91.1145,96.65,95.79,1574269.0,95.7
2015-06-23,95.07,91.5521,96.35,96.25,1848089.0,94.99
2015-06-24,96.25,90.4392,96.3899,95.08,1692367.0,95.08
2015-06-25,95.37,90.1158,96.97,94.74,1299338.0,94.645
2015-06-26,94.85,89.6402,94.87,94.24,2707859.0,93.67
2015-06-29,94.14,88.4036,94.75,92.94,1569020.0,92.87
2015-06-30,93.65,88.7365,93.83,93.29,2034214.0,92.97
2015-07-01,93.88,89.4214,94.0799,94.01,1805806.0,93.18
2015-07-02,94.65,90.2775,95.1,94.91,1856500.0,94.04
2015-07-06,94.5,90.344,95.15,94.98,2076778.0,94.5
2015-07-07,95.54,90.9623,95.87,95.63,1601226.0,94.495
2015-07-08,95.18,89.8684,95.6,94.48,1167205.0,94.32
2015-07-09,95.31,89.7828,95.73,94.39,1350257.0,94.1
2015-07-10,94.83,90.7626,95.96,95.42,1972993.0,94.42
2015-07-13,96.04,91.0289,96.5501,95.7,1684439.0,95.31
2015-07-14,95.81,90.8196,96.27,95.48,1469033.0,95.426
2015-07-15,95.74,91.2667,96.08,95.95,1684279.0,95.26
2015-07-16,96.5,93.0454,98.02,97.82,2632524.0,96.368
2015-07-17,97.74,92.2179,97.82,96.95,1588605.0,96.44
2015-07-20,96.68,92.3225,97.16,97.06,2229002.0,96.1
2015-07-21,96.82,92.2179,97.76,96.95,1652250.0,96.58
2015-07-22,96.81,91.8279,97.22,96.54,1393766.0,96.285
2015-07-23,96.48,93.2166,98.0999,98.0,3172779.0,96.48
2015-07-24,98.2,92.0657,98.31,96.79,2361289.0,96.64
2015-07-27,96.76,91.7708,97.43,96.48,2057126.0,96.23
2015-07-28,96.59,91.9611,97.0,96.68,2563461.0,95.94
2015-07-29,95.66,91.6186,97.47,96.32,3657734.0,93.77
2015-07-30,96.04,90.3155,96.04,94.95,1746393.0,94.75
2015-07-31,95.03,90.4677,95.92,95.11,2710896.0,94.85
2015-08-03,95.25,90.7055,95.53,95.36,2229521.0,94.85
2015-08-04,95.15,91.4284,96.6,96.12,2261629.0,94.76
2015-08-05,96.48,91.923,96.99,96.64,1885230.0,96.1
2015-08-06,97.36,93.5591,98.594,98.36,3543696.0,97.36
2015-08-07,98.59,94.7861,99.71,99.65,2977923.0,98.47
2015-08-10,99.74,95.5851,100.57,100.49,2724195.0,99.37
2015-08-11,100.18,96.0702,101.17,101.0,2468548.0,99.005
2015-08-12,100.36,95.0905,100.77,99.97,2800342.0,99.15
2015-08-13,99.97,95.3568,101.08,100.25,2157197.0,99.27
2015-08-14,100.32,96.1463,101.275,101.08,1574174.0,99.75
2015-08-17,100.82,96.4982,101.54,101.45,1865295.0,100.3
2015-08-18,101.27,95.5851,101.54,100.49,1827299.0,100.34
2015-08-19,100.2,95.4995,101.03,100.4,1994313.0,99.68
2015-08-20,100.14,94.0251,100.26,98.85,2195072.0,98.72
2015-08-21,98.56,91.9801,99.15,96.7,3397474.0,96.62
2015-08-24,91.74,87.4524,94.86,91.94,7386418.0,89.67
2015-08-25,93.28,85.141,93.71,89.51,4352503.0,89.39
2015-08-26,91.19,87.0624,91.76,91.53,4163642.0,89.8
2015-08-27,92.39,89.2882,94.57,93.87,2877503.0,91.81
2015-08-28,93.88,88.8887,94.47,93.45,2286814.0,92.97
2015-08-31,93.28,87.6902,93.54,92.19,2198132.0,92.12
2015-09-01,90.37,85.6357,91.08,90.03,3258843.0,89.66
2015-09-02,91.09,86.72,91.45,91.17,2047455.0,89.98
2015-09-03,91.39,86.5773,92.0,91.02,1979387.0,90.79
2015-09-04,89.96,84.675,90.4,89.02,3065841.0,88.585
2015-09-08,90.32,85.6547,90.77,90.05,2199091.0,89.44
2015-09-09,91.09,84.3706,91.36,88.7,2050614.0,88.52
2015-09-10,88.57,84.0091,88.93,88.32,3130711.0,87.945
2015-09-11,88.53,84.9032,89.29,89.26,2080217.0,88.09
2015-09-14,89.29,84.4942,89.44,88.83,1681809.0,88.515
2015-09-15,89.04,85.1791,89.81,89.55,2037080.0,88.54
2015-09-16,89.25,86.1778,90.81,90.6,1788532.0,89.25
2015-09-17,90.65,87.0529,93.02,91.52,2441943.0,90.28
2015-09-18,90.16,86.0732,91.4,90.49,2946039.0,90.16
2015-09-21,90.59,86.4156,90.78,90.39,1360578.0,90.035
2015-09-22,89.73,85.1345,89.91,89.05,1470014.0,88.64
2015-09-23,88.85,84.8095,89.2,88.71,1224510.0,88.22
2015-09-24,88.28,84.1594,88.4799,88.03,2001477.0,87.365
2015-09-25,88.47,84.9338,89.61,88.84,1843165.0,88.23
2015-09-28,88.52,83.3755,88.68,87.21,2115769.0,87.1099
2015-09-29,87.35,83.1842,87.75,87.01,2015895.0,86.83
2015-09-30,87.96,84.1116,88.04,87.98,2227139.0,87.08
2015-10-01,87.95,84.494,88.985,88.38,1704342.0,87.47
2015-10-02,87.42,85.7942,89.8,89.74,2473957.0,87.23
2015-10-05,90.13,89.3506,93.61,93.46,3042347.0,90.13
2015-10-06,93.4,89.2646,93.7,93.37,2794624.0,92.775
2015-10-07,93.75,90.0963,94.24,94.24,2502861.0,93.28
2015-10-08,93.87,91.3679,95.76,95.57,2268664.0,93.85
2015-10-09,95.34,90.7656,95.69,94.94,2183667.0,94.83
2015-10-12,94.9,90.6317,95.21,94.8,1157527.0,94.55
2015-10-13,94.15,89.5801,94.74,93.7,1742395.0,93.49
2015-10-14,93.9,88.9682,93.99,93.06,1964369.0,92.7
2015-10-15,93.51,90.4883,94.7,94.65,1613596.0,93.42
2015-10-16,95.13,91.9032,96.26,96.13,2337199.0,94.9
2015-10-19,95.68,92.5342,96.8,96.79,2177029.0,95.68
2015-10-20,96.76,92.6489,97.14,96.91,1808815.0,96.15
2015-10-21,97.0,91.8363,97.17,96.06,1490951.0,95.92
2015-10-22,96.32,95.0964,99.6401,99.47,2415770.0,96.32
2015-10-23,99.58,94.8096,99.94,99.17,1545983.0,98.52
2015-10-26,99.17,95.1538,99.67,99.53,1045008.0,98.67
2015-10-27,99.14,94.9052,99.42,99.27,1107825.0,98.55
2015-10-28,99.56,96.4348,100.94,100.87,2922543.0,99.27
2015-10-29,99.86,97.4769,102.135,101.96,2736029.0,98.61
2015-10-30,102.11,97.735,102.62,102.23,3364280.0,101.42
2015-11-02,102.81,99.4846,104.12,104.06,2757706.0,102.29
2015-11-03,103.89,98.7389,103.98,103.28,2064564.0,103.05
2015-11-04,103.29,97.735,103.8,102.23,1732039.0,101.94
2015-11-05,101.73,96.4348,101.96,100.87,3137213.0,99.045
2015-11-06,100.25,93.7197,100.25,98.03,3114798.0,96.99
2015-11-09,97.83,92.8402,97.94,97.11,1839101.0,96.39
2015-11-10,97.13,92.8593,97.63,97.13,1753684.0,96.86
2015-11-11,97.42,93.3277,97.99,97.62,1111519.0,96.89
2015-11-12,97.31,93.0696,98.27,97.35,1682993.0,96.95
2015-11-13,97.6,92.1423,98.08,96.38,1623721.0,96.2
