Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,59.47,61.06,60.89,60.04,60.04,901603.0
2015-01-05,58.82,60.16,59.84,59.21,59.21,612113.0
2015-01-06,58.55,59.99,59.55,59.12,59.12,1470018.0
2015-01-07,58.83,60.11,59.68,59.51,59.51,1040141.0
2015-01-08,59.1,60.04,59.99,59.86,59.86,1325865.0
2015-01-09,58.94,60.05,59.81,58.95,58.95,638592.0
2015-01-12,58.0,59.01,58.92,58.12,58.12,586021.0
2015-01-13,57.37,59.35,58.55,57.52,57.52,1341788.0
2015-01-14,56.54,57.69,56.69,57.19,57.19,1137323.0
2015-01-15,56.07,57.3,57.3,56.12,56.12,887748.0
2015-01-16,55.91,58.15,56.16,58.07,58.07,909349.0
2015-01-20,57.11,58.5,58.27,57.8,57.8,712573.0
2015-01-21,56.19,57.57,56.74,57.34,57.34,485000.0
2015-01-22,57.1,58.73,57.61,58.58,58.58,517866.0
2015-01-23,58.436,59.49,58.62,59.41,59.41,612747.0
2015-01-26,59.17,59.97,59.65,59.91,59.91,874418.0
2015-01-27,58.77,59.92,59.05,59.81,59.81,645271.0
2015-01-28,59.54,60.5,60.31,59.73,59.73,858957.0
2015-01-29,59.58,60.62,59.83,60.57,60.57,595189.0
2015-01-30,59.22,60.44,60.21,59.62,59.62,1128516.0
2015-02-02,59.01,60.29,59.87,59.34,59.34,2069168.0
2015-02-03,61.8,64.95,62.62,63.17,63.17,3240023.0
2015-02-04,62.0,63.32,62.85,62.81,62.81,1683693.0
2015-02-05,63.1,63.74,63.17,63.41,63.41,948186.0
2015-02-06,63.01,63.71,63.44,63.32,63.32,875647.0
2015-02-09,62.83,63.73,62.96,63.5,63.5,981026.0
2015-02-10,63.71,64.61,64.15,64.52,64.52,977200.0
2015-02-11,63.24,64.41,64.36,63.89,63.89,713864.0
2015-02-12,63.24,64.0,64.0,63.47,63.47,869936.0
2015-02-13,63.11,63.76,63.4,63.7,63.7,609536.0
2015-02-17,63.06,63.71,63.6,63.15,63.15,555164.0
2015-02-18,62.09,63.15,63.15,62.33,62.33,808418.0
2015-02-19,61.93,62.77,62.57,62.28,62.28,882280.0
2015-02-20,61.34,62.75,62.17,62.63,62.63,1081168.0
2015-02-23,62.13,63.27,62.75,62.51,62.51,723167.0
2015-02-24,61.76,62.45,62.33,62.03,62.03,717417.0
2015-02-25,61.8278,62.39,62.0,62.0,62.0,702688.0
2015-02-26,61.41,62.017,62.0,61.44,61.44,555002.0
2015-02-27,61.0,61.84,61.44,61.5,61.5,894490.0
2015-03-02,61.66,62.76,61.68,62.6,62.6,1111356.0
2015-03-03,61.42,62.49,62.45,62.28,62.28,863022.0
2015-03-04,61.23,62.28,62.01,62.04,62.04,828026.0
2015-03-05,61.36,62.06,62.06,61.61,61.61,541634.0
2015-03-06,59.98,61.77,61.27,60.03,60.03,863583.0
2015-03-09,59.75,60.96,59.98,60.78,60.78,749576.0
2015-03-10,59.71,60.27,60.22,60.16,60.16,715478.0
2015-03-11,59.89,60.9,60.32,60.8,60.8,1025787.0
2015-03-12,60.77,62.24,60.99,62.17,62.17,784779.0
2015-03-13,61.18,62.3,62.14,61.53,61.53,527274.0
2015-03-16,61.78,62.84,61.82,62.8,62.8,898014.0
2015-03-17,62.19,62.75,62.45,62.21,62.21,649293.0
2015-03-18,61.8,62.98,62.09,62.88,62.88,570338.0
2015-03-19,62.59,63.45,62.59,63.39,63.39,716945.0
2015-03-20,62.99,63.83,63.6,63.49,63.49,954131.0
2015-03-23,63.18,63.59,63.45,63.2,63.2,540131.0
2015-03-24,62.6,63.5296,63.02,62.97,62.97,602966.0
2015-03-25,61.99,63.31,62.96,62.04,62.04,818057.0
2015-03-26,61.35,61.98,61.85,61.6,61.6,648198.0
2015-03-27,61.6,63.15,61.6,63.0,63.0,862088.0
2015-03-30,63.19,64.53,63.48,64.45,64.45,624695.0
2015-03-31,64.04,65.0,64.04,64.33,64.33,1632385.0
2015-04-01,63.18,64.19,64.19,63.77,63.77,614191.0
2015-04-02,64.21,65.154,64.35,64.47,64.47,857308.0
2015-04-06,64.08,65.02,64.12,64.91,64.91,800734.0
2015-04-07,63.69,65.08,64.93,63.7,63.7,726343.0
2015-04-08,63.92,64.85,63.93,64.81,64.81,647772.0
2015-04-09,64.16,65.09,64.69,64.91,64.91,541651.0
2015-04-10,64.96,65.67,65.04,65.46,65.46,468484.0
2015-04-13,64.52,65.33,65.33,64.62,64.62,416906.0
2015-04-14,63.88,65.08,64.52,64.68,64.68,536793.0
2015-04-15,64.58,65.22,64.92,64.87,64.87,335180.0
2015-04-16,64.18,64.935,64.87,64.33,64.33,347150.0
2015-04-17,62.77,63.86,63.84,63.52,63.52,591712.0
2015-04-20,63.776,64.62,63.98,64.51,64.51,756587.0
2015-04-21,64.445,65.36,64.78,64.9,64.9,1392799.0
2015-04-22,64.26,67.5,67.31,65.83,65.83,1747913.0
2015-04-23,64.79,65.87,65.8,64.97,64.97,1643795.0
2015-04-24,64.6,65.425,65.05,64.8,64.8,822252.0
2015-04-27,63.5128,65.11,65.11,63.67,63.67,889801.0
2015-04-28,62.27,63.91,63.51,62.51,62.51,1100616.0
2015-04-29,61.69,62.37,62.32,62.23,62.23,853406.0
2015-04-30,61.19,62.31,61.92,61.55,61.55,741199.0
2015-05-01,61.49,63.21,61.7,62.96,62.96,914169.0
2015-05-04,62.66,63.6597,63.08,63.57,63.57,716242.0
2015-05-05,62.79,64.25,63.36,63.09,63.09,932442.0
2015-05-06,62.0804,63.28,63.19,63.12,63.12,535499.0
2015-05-07,62.78,63.34,63.19,62.81,62.81,723212.0
2015-05-08,63.09,63.66,63.17,63.12,63.12,679343.0
2015-05-11,62.91,63.66,63.12,63.06,63.06,886253.0
2015-05-12,62.441,63.15,62.79,62.97,62.97,803058.0
2015-05-13,62.2372,63.21,62.97,62.37,62.37,469632.0
2015-05-14,62.15,62.9,62.9,62.32,62.32,492467.0
2015-05-15,62.15,62.54,62.32,62.3,62.3,942872.0
2015-05-18,62.19,62.73,62.32,62.69,62.69,1137587.0
2015-05-19,62.44,63.4,63.03,62.48,62.48,862459.0
2015-05-20,62.09,62.795,62.53,62.21,62.21,747753.0
2015-05-21,61.93,63.0,62.12,62.39,62.39,1006996.0
2015-05-22,62.1,62.75,62.51,62.26,62.26,480143.0
2015-05-26,61.31,62.24,62.11,61.36,61.36,548980.0
2015-05-27,61.38,63.42,61.66,63.28,63.28,853974.0
2015-05-28,62.95,63.47,63.28,63.38,63.38,489138.0
2015-05-29,62.39,63.34,63.19,62.41,62.41,496933.0
2015-06-01,62.13,63.35,62.16,62.93,62.93,628332.0
2015-06-02,62.28,63.31,62.42,62.7,62.7,738705.0
2015-06-03,62.7001,64.07,63.0,63.89,63.89,986446.0
2015-06-04,63.46,64.14,63.59,63.74,63.74,566944.0
2015-06-05,63.25,64.44,63.73,64.24,64.24,693105.0
2015-06-08,64.12,64.7,64.24,64.21,64.21,532737.0
2015-06-09,63.94,64.65,64.13,63.96,63.96,818178.0
2015-06-10,64.02,64.4096,64.16,64.19,64.19,960456.0
2015-06-11,63.45,64.61,64.39,63.72,63.72,1054439.0
2015-06-12,62.92,63.65,63.28,63.03,63.03,621368.0
2015-06-15,62.4,62.8,62.7,62.63,62.63,635712.0
2015-06-16,62.6,63.47,62.68,63.36,63.36,1078102.0
2015-06-17,63.26,63.94,63.63,63.55,63.55,585513.0
2015-06-18,63.44,63.9553,63.65,63.47,63.47,707162.0
