Date,Volume,Adj Close,High,Low,Close,Open
2016-01-04,1469226.0,88.5898,90.88,89.72,90.71,90.71
2016-01-05,1558656.0,89.127,91.45,90.36,91.26,90.72
2016-01-06,1442508.0,87.7792,90.59,89.28,89.88,90.4
2016-01-07,1949270.0,86.4998,88.97,88.15,88.57,88.33
2016-01-08,1179636.0,84.9861,89.09,86.83,87.02,88.81
2016-01-11,1208596.0,84.3903,87.7,85.555,86.41,87.53
2016-01-12,1093321.0,85.113,87.29,85.72,87.15,87.2
2016-01-13,1196419.0,83.902,87.89,85.52,85.91,87.71
2016-01-14,1135515.0,85.3474,88.09,85.795,87.39,86.11
2016-01-15,1676458.0,84.0778,87.65,85.09,86.09,87.65
2016-01-19,1089377.0,83.9704,87.08,85.57,85.98,86.76
2016-01-20,1576883.0,82.9547,85.8399,83.83,84.94,84.58
2016-01-21,894729.0,82.6422,85.96,84.24,84.62,85.23
2016-01-22,949259.0,84.3903,86.68,85.72,86.41,85.92
2016-01-25,1453963.0,83.736,86.63,85.24,85.74,86.19
2016-01-26,1113410.0,84.0192,86.75,85.65,86.03,86.19
2016-01-27,1412330.0,83.902,86.39,85.25,85.91,86.02
2016-01-28,947725.0,84.3708,87.99,85.43,86.09,86.1
2016-01-29,1882348.0,86.076,87.98,86.3,87.83,86.73
2016-02-01,839071.0,85.831,87.97,86.99,87.58,87.53
2016-02-02,900147.0,84.4786,87.01,85.91,86.2,86.49
2016-02-03,1414468.0,85.9878,88.11,86.31,87.74,87.06
2016-02-04,1255906.0,87.1737,89.04,87.21,88.95,87.45
2016-02-05,2260532.0,91.0154,92.89,89.01,92.87,89.2
2016-02-08,1982028.0,91.1232,93.7,91.96,92.98,92.27
2016-02-09,2188976.0,91.0252,93.5,92.11,92.88,92.47
2016-02-10,1496296.0,90.9762,94.79,92.65,92.83,93.04
2016-02-11,1751246.0,90.839,93.23,90.855,92.69,91.31
2016-02-12,1675512.0,91.9268,94.98,93.72,93.8,93.76
2016-02-16,1809831.0,92.2698,94.99,93.9,94.15,94.65
2016-02-17,2141074.0,93.1029,95.575,94.71,95.0,95.09
2016-02-18,1754022.0,92.6815,95.02,93.99,94.57,94.75
2016-02-19,1243724.0,91.7112,94.42,92.98,93.58,94.28
2016-02-22,1284046.0,91.8974,94.69,93.43,93.77,94.36
2016-02-23,2367368.0,92.1914,95.02,92.88,94.07,93.21
2016-02-24,1643763.0,92.7697,95.115,92.92,94.66,93.08
2016-02-25,1171494.0,93.4067,95.45,94.52,95.31,94.91
2016-02-26,1462139.0,93.8477,96.5,95.44,95.76,95.68
2016-02-29,1819016.0,93.3871,96.45,95.26,95.29,95.44
2016-03-01,1751138.0,94.0339,96.81,95.69,95.95,95.99
2016-03-02,1332491.0,95.4451,97.41,95.6,97.39,95.98
2016-03-03,1051722.0,96.2586,98.35,97.07,98.22,97.13
2016-03-04,1433074.0,96.9544,99.46,97.95,98.93,98.0
2016-03-07,1029953.0,97.1602,99.29,98.04,99.14,98.33
2016-03-08,1115085.0,96.4742,99.5925,98.2,98.44,98.47
2016-03-09,966083.0,96.7486,98.95,98.3,98.72,98.74
2016-03-10,931506.0,96.5918,99.54,97.62,98.56,99.19
2016-03-11,1104287.0,98.4734,100.59,98.92,100.48,99.63
2016-03-14,1420664.0,97.7776,100.64,99.77,99.77,99.93
2016-03-15,991423.0,97.8952,99.93,98.91,99.89,98.91
2016-03-16,1308135.0,97.7972,100.55,99.08,99.79,99.11
2016-03-17,1953013.0,99.9631,102.58,99.5801,102.0,99.94
2016-03-18,3541875.0,99.4437,102.48,100.98,101.47,102.17
2016-03-21,2093501.0,99.5613,101.86,100.93,101.59,101.08
2016-03-22,2534238.0,99.4339,102.23,100.97,101.46,101.31
2016-03-23,2463196.0,98.5028,101.37,100.05,100.51,101.24
2016-03-24,2178091.0,99.1104,101.32,99.67,101.13,100.03
2016-03-28,881211.0,100.1003,102.4899,101.25,102.14,101.51
2016-03-29,1371836.0,100.8843,103.06,101.74,102.94,102.05
2016-03-30,1441829.0,101.8839,104.12,102.93,103.96,103.2
2016-03-31,1441820.0,102.3641,104.76,103.62,104.45,103.96
2016-04-01,2170082.0,102.7758,105.01,103.63,104.87,104.09
2016-04-04,989940.0,102.7562,105.24,104.5,104.85,104.63
2016-04-05,2410112.0,99.8749,104.06,101.85,101.91,103.6
2016-04-06,1993508.0,100.0611,102.13,100.98,102.1,101.57
2016-04-07,834914.0,99.0124,102.09,100.68,101.03,101.67
2016-04-08,545753.0,99.2869,102.26,101.04,101.31,102.0
2016-04-11,800310.0,99.4437,102.56,101.46,101.47,101.96
2016-04-12,682854.0,100.4629,102.54,101.24,102.51,101.85
2016-04-13,744856.0,101.6781,103.78,102.53,103.75,103.08
2016-04-14,767060.0,101.8251,104.4,103.46,103.9,103.75
2016-04-15,806610.0,102.2171,104.39,103.32,104.3,103.47
2016-04-18,793187.0,103.55,105.66,103.77,105.66,103.89
2016-04-19,1110095.0,103.0894,106.17,105.11,105.19,105.99
2016-04-20,902514.0,102.3445,105.7,103.95,104.43,105.64
2016-04-21,1067674.0,101.1293,104.66,103.18,103.19,104.08
2016-04-22,1011305.0,101.1685,104.0,102.94,103.23,103.36
2016-04-25,932236.0,101.3841,103.51,102.265,103.45,103.04
2016-04-26,736392.0,102.6386,104.765,103.72,104.73,103.9
2016-04-27,843118.0,102.2367,104.73,103.97,104.32,104.5
2016-04-28,1252133.0,101.4233,104.16,102.82,103.16,103.11
2016-04-29,1760643.0,103.3503,105.37,102.56,105.12,102.66
2016-05-02,892095.0,104.8251,106.78,105.1101,106.62,105.55
2016-05-03,1189618.0,103.9894,106.14,104.68,105.77,105.81
2016-05-04,1152806.0,104.186,106.206,104.74,105.97,105.32
2016-05-05,1018225.0,103.6354,106.69,105.27,105.41,106.02
2016-05-06,1447877.0,103.016,105.34,104.3,104.78,105.17
2016-05-09,851661.0,102.9472,105.11,104.36,104.71,104.68
2016-05-10,943336.0,104.3335,106.31,105.01,106.12,105.44
2016-05-11,831623.0,103.7338,106.42,105.44,105.51,106.07
2016-05-12,1086437.0,103.9402,105.995,104.71,105.72,105.81
2016-05-13,1065698.0,104.0287,106.16,105.16,105.81,105.75
2016-05-16,662191.0,104.3925,106.47,105.54,106.18,105.6
2016-05-17,1004446.0,103.9402,106.5,105.4,105.72,106.14
2016-05-18,1218492.0,103.6158,106.64,104.91,105.39,105.74
2016-05-19,774227.0,103.016,105.21,103.94,104.78,104.95
2016-05-20,1020864.0,103.6158,105.78,104.6401,105.39,105.19
2016-05-23,728295.0,103.3602,105.49,103.88,105.13,104.96
2016-05-24,1369494.0,105.1299,106.97,105.12,106.93,105.53
2016-05-25,1046701.0,104.9234,107.47,106.49,106.72,107.0
2016-05-26,875489.0,105.179,107.2199,106.29,106.98,107.0
2016-05-27,1559491.0,106.8012,109.0,106.87,108.63,107.22
2016-05-31,2964353.0,107.4305,109.65,108.51,109.27,108.87
2016-06-01,1205458.0,107.4993,109.405,108.07,109.34,108.62
2016-06-02,742469.0,107.5878,109.44,108.57,109.43,109.15
2016-06-03,657860.0,106.8897,108.9,107.79,108.72,108.88
2016-06-06,1124131.0,107.5583,109.45,108.49,109.4,108.8
2016-06-07,959097.0,107.6763,110.04,108.74,109.52,109.46
2016-06-08,1189103.0,107.922,110.02,108.94,109.77,109.28
2016-06-09,569380.0,108.0105,110.01,109.27,109.86,109.59
2016-06-10,1176330.0,107.5288,109.83,108.8,109.37,108.8
2016-06-13,1112039.0,106.2113,109.475,108.03,108.03,108.86
2016-06-14,2173673.0,105.6706,108.36,107.14,107.48,107.75
2016-06-15,1361209.0,104.7857,107.6,106.38,106.58,107.42
2016-06-16,1114649.0,105.1888,107.04,105.09,106.99,105.72
2016-06-17,1641131.0,105.061,107.07,105.86,106.86,107.01
2016-06-20,1032270.0,105.5723,108.55,107.31,107.38,107.98
2016-06-21,815179.0,105.9852,108.33,107.59,107.8,107.98
2016-06-22,765994.0,105.9164,108.31,107.57,107.73,107.96
2016-06-23,1043935.0,107.0667,109.02,108.17,108.9,108.67
2016-06-24,4711505.0,102.259,105.21,103.41,104.01,104.39
2016-06-27,1596161.0,99.1031,102.88,100.55,100.8,102.57
2016-06-28,1505097.0,102.1705,103.95,101.59,103.92,101.85
2016-06-29,1334970.0,104.6383,106.5,104.72,106.43,104.72
2016-06-30,1992666.0,107.3911,109.24,106.58,109.23,106.95
2016-07-01,1432245.0,107.922,110.17,109.11,109.77,109.29
2016-07-05,1062368.0,106.467,109.525,107.73,108.29,109.13
2016-07-06,904133.0,106.2703,108.38,107.33,108.09,107.64
2016-07-07,1027775.0,107.1158,109.35,107.95,108.95,108.1
2016-07-08,832101.0,107.7254,109.76,109.12,109.57,109.54
2016-07-11,913360.0,108.3153,110.41,109.57,110.17,109.98
2016-07-12,755094.0,108.6987,111.46,110.43,110.56,111.12
2016-07-13,454884.0,108.4038,111.01,110.15,110.26,110.8
2016-07-14,877731.0,108.6889,111.6,110.49,110.55,111.44
2016-07-15,944383.0,108.974,111.1,110.18,110.84,110.79
2016-07-18,809807.0,108.6594,111.13,110.41,110.52,110.96
2016-07-19,1019744.0,107.8827,110.32,109.09,109.73,110.02
2016-07-20,458316.0,108.1285,110.17,109.64,109.98,110.0
2016-07-21,691160.0,107.4403,110.17,108.99,109.28,109.84
2016-07-22,503952.0,108.6987,110.59,109.52,110.56,109.74
2016-07-25,597128.0,108.4628,110.59,110.16,110.32,110.5
2016-07-26,818479.0,109.151,111.07,110.33,111.02,110.55
2016-07-27,895889.0,108.6299,111.22,109.86,110.49,110.88
2016-07-28,778173.0,108.8266,110.63,109.57,110.36,109.96
2016-07-29,2218900.0,105.5823,108.4,105.35,107.07,107.92
2016-08-01,1032459.0,106.8149,108.78,106.93,108.32,107.07
2016-08-02,912681.0,106.9036,108.9372,107.76,108.41,108.33
2016-08-03,1036369.0,108.1856,109.71,108.34,109.71,108.36
2016-08-04,1277063.0,108.4223,110.34,109.61,109.95,109.63
2016-08-05,808302.0,109.1125,110.92,110.16,110.65,110.76
2016-08-08,923183.0,108.8956,110.8326,110.16,110.43,110.5
2016-08-09,571689.0,108.7082,110.57,110.17,110.24,110.23
2016-08-10,667535.0,108.2448,110.5,109.53,109.77,110.49
2016-08-11,719293.0,108.3729,110.1999,109.7,109.9,110.19
2016-08-12,757158.0,108.087,110.08,109.44,109.61,109.76
