Date,Low,High,Open,Close,Adj Close,Volume
2015-01-02,61.51,64.26,62.18,63.83,59.8791,3364446.0
2015-01-05,59.6,62.51,62.17,59.91,56.2017,4813227.0
2015-01-06,58.73,61.23,59.74,59.26,55.592,4555589.0
2015-01-07,57.91,60.42,60.31,58.6,54.9728,4612123.0
2015-01-08,58.71,61.4,59.39,60.87,57.1023,3657166.0
2015-01-09,59.81,61.39,61.33,60.69,56.9334,3567588.0
2015-01-12,57.77,59.6,59.6,58.46,54.8415,4840614.0
2015-01-13,57.9,59.32,58.63,58.46,54.8415,4045928.0
2015-01-14,57.44,59.68,57.46,59.53,55.8452,4503149.0
2015-01-15,59.56,61.2,61.02,60.0,56.2862,5434329.0
2015-01-16,60.31,62.6,60.6,62.25,58.3969,4769442.0
2015-01-20,59.17,61.2,61.0,60.16,56.6708,4365489.0
2015-01-21,60.27,62.63,60.88,62.32,58.7055,2716151.0
2015-01-22,61.41,63.77,62.69,63.76,60.062,4531635.0
2015-01-23,62.81,65.15,63.44,62.88,59.233,5480808.0
2015-01-26,62.41,64.86,63.44,64.47,60.7308,3501154.0
2015-01-27,63.41,65.32,64.0,64.59,60.8438,3330122.0
2015-01-28,60.93,64.04,64.04,61.12,57.5751,5693450.0
2015-01-29,59.73,61.99,61.72,61.23,57.6787,4088070.0
2015-01-30,59.86,63.0675,60.3,62.57,58.941,5588433.0
2015-02-02,63.68,66.23,64.03,66.23,62.3887,4331825.0
2015-02-03,67.05,68.43,67.39,68.06,64.1126,5682031.0
2015-02-04,66.01,68.24,66.68,67.31,63.4061,6044605.0
2015-02-05,67.59,69.07,68.01,68.37,64.4046,3797696.0
2015-02-06,67.36,68.8199,68.63,68.33,64.3669,5016225.0
2015-02-09,67.18,69.02,68.7,67.22,63.3213,4410103.0
2015-02-10,64.03,66.9,66.9,66.25,62.4076,7653320.0
2015-02-11,63.2,65.01,64.75,64.75,60.9946,6323450.0
2015-02-12,63.82,67.57,65.98,64.58,60.8344,7348168.0
2015-02-13,65.16,67.09,65.86,67.05,63.1612,5850551.0
2015-02-17,65.5,66.84,66.5,66.79,62.9162,4554791.0
2015-02-18,65.43,67.23,65.8,65.75,61.9366,6852984.0
2015-02-19,63.23,66.79,63.53,66.63,62.7655,5817997.0
2015-02-20,65.81,67.25,66.68,66.22,62.3793,4508966.0
2015-02-23,64.84,66.4407,65.27,66.22,62.3793,4102868.0
2015-02-24,66.4,67.42,66.91,66.91,63.0293,2786774.0
2015-02-25,66.48,68.0,67.05,67.83,63.8959,2746249.0
2015-02-26,65.27,67.19,67.19,65.74,61.9271,3952877.0
2015-02-27,65.42,66.31,66.0,65.84,62.0213,4080047.0
2015-03-02,64.54,65.86,65.46,65.79,61.9742,3882651.0
2015-03-03,65.89,67.3,66.1,66.72,62.8503,3388231.0
2015-03-04,65.5,66.78,66.54,66.53,62.6713,2986551.0
2015-03-05,65.15,66.66,66.66,65.43,61.6351,3790454.0
2015-03-06,62.685,65.45,64.71,63.13,59.4685,6164682.0
2015-03-09,61.4,63.206,63.03,61.41,57.8483,3258731.0
2015-03-10,60.15,61.27,60.52,60.15,56.6614,3293720.0
2015-03-11,59.8301,61.46,60.19,61.16,57.6128,3444641.0
2015-03-12,60.07,61.55,61.53,60.17,56.6802,3322307.0
2015-03-13,58.2,59.52,59.46,59.36,55.9172,3565201.0
2015-03-16,57.58,59.91,58.63,59.83,56.3599,1011774.0
2015-03-17,58.65,59.76,59.52,59.09,55.6628,2412250.0
2015-03-18,58.18,61.93,58.65,61.5,57.9331,3217695.0
2015-03-19,59.38,60.63,60.1,59.88,56.407,2816205.0
2015-03-20,59.55,61.2,60.16,59.55,56.0962,6723807.0
2015-03-23,58.67,60.44,59.57,58.68,55.2766,3309128.0
2015-03-24,58.21,59.25,58.91,59.03,55.6063,3564392.0
2015-03-25,58.88,60.258,59.64,59.83,56.3599,3069110.0
2015-03-26,59.58,61.4,60.98,59.81,56.3411,3517144.0
2015-03-27,58.88,60.05,59.3,59.41,55.9643,3374792.0
2015-03-30,59.97,61.175,60.3,60.83,57.3019,3159930.0
2015-03-31,59.75,60.8225,59.86,60.33,56.8309,2740806.0
2015-04-01,60.54,61.61,60.93,60.63,57.1135,2450197.0
2015-04-02,60.135,61.585,60.23,61.44,57.8765,2275876.0
2015-04-06,61.6,65.0,61.85,64.84,61.0793,4577040.0
2015-04-07,64.35,66.575,64.76,65.44,61.6445,4024649.0
2015-04-08,64.86,66.59,65.98,65.25,61.4656,4311157.0
2015-04-09,65.405,66.9956,65.47,66.47,62.6148,3849150.0
2015-04-10,66.61,68.17,66.8,67.84,63.9053,3525963.0
2015-04-13,67.02,68.28,68.03,67.51,63.5945,3271102.0
2015-04-14,67.98,69.95,68.0,69.81,65.7611,3333853.0
2015-04-15,70.0,71.87,70.09,71.4,67.2589,4533401.0
2015-04-16,70.33,71.77,70.86,70.81,66.7031,3321260.0
2015-04-17,69.69,70.82,70.22,70.38,66.298,2801012.0
2015-04-20,70.26,71.58,70.4,70.67,66.8067,2366135.0
2015-04-21,68.22,70.795,70.67,68.37,64.6324,2402495.0
2015-04-22,67.09,68.9999,68.83,67.8,64.0936,3090856.0
2015-04-23,68.05,69.24,68.13,68.35,64.6135,2252772.0
2015-04-24,65.82,68.0,67.89,66.32,62.6945,2972111.0
2015-04-27,66.45,67.32,66.95,66.72,63.0726,2544716.0
2015-04-28,66.2101,67.3,66.69,66.79,63.1388,2273013.0
2015-04-29,66.63,68.8,66.73,68.56,64.812,5287967.0
2015-04-30,67.25,69.24,68.91,68.4,64.6608,2921346.0
2015-05-01,67.12,68.88,68.44,68.48,64.7364,2764764.0
2015-05-04,67.87,69.17,68.5,68.55,64.8026,3206383.0
2015-05-05,67.48,70.14,69.26,67.94,64.2259,6024650.0
2015-05-06,66.86,69.13,68.4,67.34,63.6587,4411561.0
2015-05-07,64.15,66.22,66.2,65.08,61.5223,4798548.0
2015-05-08,64.07,65.86,65.74,65.54,61.9571,3390424.0
2015-05-11,63.12,65.45,65.45,63.13,59.6789,4614715.0
2015-05-12,63.26,64.11,63.49,63.64,60.161,3657456.0
2015-05-13,62.26,64.29,64.18,62.7,59.2724,3599403.0
2015-05-14,62.42,63.55,62.93,62.63,59.2062,2777524.0
2015-05-15,62.1,63.91,62.34,63.42,59.953,3334430.0
2015-05-18,62.9,63.9,63.28,63.78,60.2934,2398595.0
2015-05-19,62.03,63.32,63.08,62.17,58.7714,2475130.0
2015-05-20,61.2,62.5,62.45,61.61,58.242,2678133.0
2015-05-21,61.61,62.615,62.08,62.17,58.7714,2890543.0
2015-05-22,61.5,62.98,61.61,62.53,59.1117,2537290.0
2015-05-26,60.82,61.93,61.63,61.41,58.0529,2742293.0
2015-05-27,59.78,61.85,61.29,60.77,57.4479,3257552.0
2015-05-28,58.8344,60.71,60.53,59.79,56.5215,4111492.0
2015-05-29,59.7,60.55,60.2,59.84,56.5687,4057829.0
2015-06-01,58.68,60.03,59.89,58.87,55.6518,4232585.0
2015-06-02,58.67,59.905,59.5,59.6,56.3419,3734352.0
2015-06-03,58.82,60.01,59.35,58.95,55.7274,2292708.0
2015-06-04,58.0075,58.75,58.56,58.25,55.0657,3108698.0
2015-06-05,57.83,59.67,57.92,59.35,56.1055,3539709.0
2015-06-08,57.73,59.4,59.01,58.21,55.0278,2857707.0
2015-06-09,58.56,59.4,58.95,58.57,55.3682,3578172.0
2015-06-10,58.59,59.61,59.51,58.96,55.7368,3907139.0
2015-06-11,57.72,59.13,58.91,58.15,54.9711,2996872.0
2015-06-12,57.49,58.27,57.8,58.18,54.9995,3501978.0
2015-06-15,57.41,59.03,57.56,57.97,54.801,2773842.0
2015-06-16,57.7,59.09,57.78,59.05,55.8219,2198276.0
2015-06-17,57.5,60.13,59.67,57.67,54.5174,3356357.0
2015-06-18,57.13,58.4,58.03,57.23,54.1014,2297908.0
2015-06-19,56.06,57.44,57.07,56.54,53.4491,4772280.0
2015-06-22,56.2,57.63,56.75,57.53,54.385,3736836.0
2015-06-23,57.5,58.93,57.71,58.85,55.6329,3594252.0
2015-06-24,58.5,59.3999,58.9,58.71,55.5005,2996577.0
2015-06-25,57.61,59.0,58.78,57.8,54.6403,2641533.0
2015-06-26,57.24,58.53,57.83,58.48,55.2831,3806852.0
2015-06-29,56.9,57.965,57.43,57.21,54.0825,3474167.0
2015-06-30,57.145,57.9593,57.79,57.63,54.4796,2885623.0
2015-07-01,55.82,58.85,57.64,56.08,53.0143,3080466.0
2015-07-02,56.11,56.99,56.2,56.78,53.676,2303062.0
2015-07-06,55.15,56.69,55.66,55.5,52.466,2878590.0
2015-07-07,53.75,55.99,55.16,55.7,52.6551,3716235.0
2015-07-08,53.11,55.94,55.16,53.46,50.5375,2863873.0
2015-07-09,53.82,54.97,54.6,53.83,50.8873,2464608.0
2015-07-10,52.79,54.74,54.22,52.94,50.0459,3178740.0
2015-07-13,52.5,53.44,52.9,53.26,50.3484,2953365.0
2015-07-14,52.82,54.5298,53.0,54.39,51.4167,3262659.0
2015-07-15,53.12,54.35,54.12,53.48,50.5564,3972421.0
2015-07-16,52.52,53.9,53.85,52.67,49.7907,2780900.0
2015-07-17,50.57,52.25,52.25,50.64,47.8717,4859249.0
2015-07-20,48.5,50.5416,50.3,48.62,46.1984,5746714.0
2015-07-21,47.37,49.44,48.9,47.53,45.1627,5201842.0
2015-07-22,46.62,47.6999,47.32,47.32,44.9632,4777346.0
2015-07-23,46.32,47.5,47.34,47.35,44.9917,4511130.0
2015-07-24,45.03,47.25,47.2,45.08,42.8347,4703977.0
2015-07-27,43.84,45.29,44.28,44.51,42.2931,5824085.0
2015-07-28,44.29,47.065,44.8,46.47,44.1555,7655075.0
2015-07-29,46.07,47.59,46.34,46.79,44.4596,6760594.0
2015-07-30,45.96,47.18,46.58,46.48,44.165,4823231.0
2015-07-31,45.7,46.64,46.47,45.86,43.5759,5070111.0
2015-08-03,44.3,46.42,45.05,45.27,43.0153,6497869.0
2015-08-04,45.01,46.23,45.92,45.35,43.0913,5332620.0
2015-08-05,44.34,46.8,46.02,44.44,42.2266,5775292.0
2015-08-06,43.04,46.9,44.39,46.6,44.279,6176508.0
2015-08-07,45.55,47.31,46.14,46.11,43.8134,6478305.0
2015-08-10,46.33,48.54,46.6,48.45,46.0369,10337008.0
2015-08-11,46.45,47.93,46.99,47.69,45.3148,6142360.0
2015-08-12,47.22,49.68,47.64,49.21,46.7591,6729664.0
2015-08-13,47.8,49.66,48.91,47.9,45.5143,6749208.0
2015-08-14,46.9,48.69,47.95,47.0,44.6591,5017853.0
2015-08-17,46.32,47.93,46.81,47.85,45.4668,2992646.0
2015-08-18,47.34,48.43,47.65,48.07,45.6758,2287791.0
2015-08-19,45.395,47.781,47.6,45.81,43.5284,4215163.0
2015-08-20,44.51,46.49,45.93,44.56,42.3406,5395511.0
2015-08-21,43.14,45.21,44.41,43.23,41.0769,5284455.0
2015-08-24,39.05,42.44,40.67,40.49,38.4734,7347837.0
2015-08-25,38.9,42.31,42.31,38.9,36.9625,6041841.0
2015-08-26,38.4,40.21,40.21,39.53,37.5612,8056355.0
2015-08-27,40.44,43.67,40.68,42.79,40.6588,7332749.0
2015-08-28,42.49,45.4,42.67,44.86,42.6257,6493750.0
2015-08-31,41.92,45.67,44.09,45.24,42.9868,6959990.0
2015-09-01,42.55,44.69,43.41,43.13,40.9819,5591207.0
2015-09-02,41.21,43.86,43.63,43.22,41.0674,5301249.0
2015-09-03,42.716,45.11,43.37,43.22,41.0674,4587827.0
2015-09-04,41.77,42.8,42.41,42.5,40.3832,5170700.0
2015-09-08,42.09,43.8,43.11,43.24,41.0864,4808292.0
2015-09-09,41.19,44.54,43.72,41.29,39.2335,6141260.0
2015-09-10,40.15,41.5599,41.5,40.84,38.8059,7537032.0
2015-09-11,39.28,40.31,40.28,40.2,38.1978,6136656.0
2015-09-14,39.13,40.52,40.1,40.24,38.2358,5373156.0
2015-09-15,40.19,41.14,40.29,40.43,38.4163,5188327.0
2015-09-16,40.75,43.17,40.79,43.04,40.8964,9020354.0
2015-09-17,41.89,43.78,43.07,41.99,39.8986,7923717.0
