Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,4472847.0,80.97,80.7274,82.29,82.74,80.4017
2015-01-05,8958380.0,80.87,75.04,75.8,80.87,74.0606
2015-01-06,6806224.0,75.37,74.39,75.24,77.39,73.5134
2015-01-07,6262188.0,76.59,75.73,76.44,78.17,74.6859
2015-01-08,6217237.0,77.49,76.63,78.91,79.05,77.0992
2015-01-09,4226026.0,78.91,77.7,79.14,79.63,77.3239
2015-01-12,7511665.0,77.4,74.66,75.05,77.4,73.3278
2015-01-13,5600631.0,75.1,74.61,75.8,76.54,74.0606
2015-01-14,7517965.0,74.52,73.82,77.35,77.46,75.575
2015-01-15,4178330.0,78.9,75.41,75.48,78.95,73.7479
2015-01-16,5487085.0,76.83,76.38,78.45,78.8,76.6498
2015-01-20,5461328.0,77.87,76.18,77.77,77.98,75.9854
2015-01-21,6113162.0,78.8,78.28,80.74,80.835,78.8872
2015-01-22,5254147.0,81.14,78.87,81.52,81.56,79.6493
2015-01-23,5184813.0,81.12,80.82,81.44,83.13,79.5712
2015-01-26,3304052.0,81.79,80.01,82.66,83.008,80.7632
2015-01-27,4005205.0,82.24,81.4,82.65,84.14,80.7534
2015-01-28,7092884.0,82.4,78.97,79.18,82.77,77.363
2015-01-29,6589631.0,79.91,77.95,80.14,80.5,78.301
2015-01-30,5202688.0,79.49,78.67,81.75,82.51,79.8741
2015-02-02,7752336.0,83.005,80.76,82.77,83.6,80.8706
2015-02-03,9888607.0,85.21,84.24,85.6,86.89,83.6357
2015-02-04,5472018.0,83.91,82.46,83.07,84.98,81.1638
2015-02-05,4703722.0,84.21,83.024,83.68,84.78,81.7598
2015-02-06,5046830.0,84.51,82.27,82.7,84.7,80.8023
2015-02-09,3086090.0,83.19,82.94,83.46,84.55,81.5448
2015-02-10,4528925.0,83.39,81.67,84.34,84.5,82.4046
2015-02-11,4894162.0,82.94,82.41,85.61,85.73,83.6455
2015-02-12,7110695.0,87.01,85.96,87.31,87.69,85.3065
2015-02-13,5594975.0,88.5,88.089,89.44,90.1,87.3876
