Date,Volume,Adj Close,High,Low,Close,Open
2016-01-04,930798.0,137.7163,138.5,137.93,138.3,138.15
2016-01-05,631223.0,137.8757,138.49,138.1,138.46,138.18
2016-01-06,637637.0,137.786,138.49,137.97,138.37,138.14
2016-01-07,1308670.0,137.318,138.29,137.5408,137.9,138.02
2016-01-08,796777.0,137.2184,138.29,137.7,137.8,138.15
2016-01-11,1142695.0,137.8358,138.65,137.74,138.42,137.74
2016-01-12,1170308.0,137.9155,138.59,138.03,138.5,138.5
2016-01-13,1139486.0,137.5968,138.8,138.14,138.18,138.49
2016-01-14,678919.0,137.9952,138.79,138.06,138.58,138.23
2016-01-15,1508883.0,137.7163,138.5,138.06,138.3,138.5
2016-01-19,1121016.0,137.9653,138.75,138.31,138.55,138.5
2016-01-20,1926699.0,137.786,138.6,138.24,138.37,138.35
2016-01-21,1124103.0,137.806,138.86,138.24,138.39,138.5
2016-01-22,950522.0,138.0151,138.75,138.41,138.6,138.72
2016-01-25,1917003.0,137.328,138.65,137.85,137.91,138.6
2016-01-26,1670423.0,138.0051,138.84,138.07,138.59,138.07
2016-01-27,1133069.0,138.0151,138.875,138.56,138.6,138.68
2016-01-28,1053387.0,138.971,139.7,138.6,139.56,138.6
2016-01-29,1130963.0,139.4092,140.23,139.37,140.0,139.54
2016-02-01,1019353.0,139.6282,140.27,139.61,140.22,140.0
2016-02-02,775631.0,139.6382,140.29,139.82,140.23,139.94
2016-02-03,1095148.0,139.6581,140.35,140.09,140.25,140.3
2016-02-04,1776090.0,139.8075,140.48,140.15,140.4,140.29
2016-02-05,1108648.0,139.7676,140.41,140.17,140.36,140.34
2016-02-08,1588788.0,139.907,140.5,139.58,140.5,140.15
2016-02-09,750556.0,139.5486,140.33,139.44,140.14,140.2
2016-02-10,907810.0,139.8672,140.46,139.89,140.46,140.17
2016-02-11,1282874.0,139.3594,140.36,139.78,139.95,140.25
2016-02-12,974449.0,139.5087,140.28,139.96,140.1,140.09
2016-02-16,1043379.0,139.8871,141.03,140.08,140.48,141.03
2016-02-17,322471.0,140.2556,141.0,140.69,140.85,140.75
2016-02-18,174951.0,140.0664,140.96,140.5,140.66,140.9
2016-02-19,1165365.0,140.634,141.23,140.58,141.23,140.64
2016-02-22,1003359.0,140.7734,141.74,141.22,141.37,141.25
2016-02-23,1177728.0,140.853,141.6,141.11,141.45,141.27
2016-02-24,507360.0,141.102,141.73,141.27,141.7,141.4
2016-02-25,515430.0,141.1617,141.79,141.5,141.76,141.7
2016-02-26,382559.0,141.2115,141.92,141.62,141.81,141.72
2016-02-29,698984.0,140.9227,141.9,141.5,141.52,141.58
2016-03-01,947634.0,141.2016,141.81,141.48,141.8,141.55
2016-03-02,756888.0,140.9427,141.82,141.54,141.54,141.78
2016-03-03,675182.0,140.9526,141.78,141.55,141.55,141.55
2016-03-04,1238176.0,140.9028,141.64,141.23,141.5,141.6
2016-03-07,571745.0,140.8929,141.65,141.38,141.49,141.44
2016-03-08,542648.0,141.0024,141.63,141.33,141.6,141.43
2016-03-09,784633.0,141.1617,141.84,141.57,141.76,141.7
2016-03-10,838093.0,141.2713,141.89,141.68,141.87,141.8
2016-03-11,993656.0,141.57,141.74,141.42,141.57,141.67
2016-03-14,1043876.0,141.54,141.68,141.35,141.54,141.56
2016-03-15,448400.0,141.35,141.49,141.25,141.35,141.41
2016-03-16,678975.0,141.3,141.55,141.25,141.3,141.26
2016-03-17,621254.0,141.5,141.7,141.33,141.5,141.4
2016-03-18,1063839.0,141.57,141.72,141.23,141.57,141.67
2016-03-21,271499.0,141.59,141.65,141.4,141.59,141.63
2016-03-22,503512.0,141.59,141.62,141.45,141.59,141.5
2016-03-23,376220.0,141.69,141.75,141.5,141.69,141.56
2016-03-24,381292.0,141.86,141.86,141.51,141.86,141.68
2016-03-28,613360.0,141.72,141.9,141.59,141.72,141.67
2016-03-29,380290.0,141.76,141.88,141.67,141.76,141.75
2016-03-30,532591.0,141.85,141.85,141.66,141.85,141.82
2016-03-31,616598.0,141.64,141.9,141.64,141.64,141.81
2016-04-01,641191.0,142.0,142.07,141.7,142.0,141.73
2016-04-04,389173.0,142.05,142.19,141.91,142.05,141.95
2016-04-05,689154.0,141.8,142.24,141.69,141.8,141.97
2016-04-06,338603.0,141.98,141.98,141.73,141.98,141.73
2016-04-07,836209.0,141.89,142.16,141.8,141.89,141.88
2016-04-08,368770.0,142.05,142.05,141.77,142.05,141.97
2016-04-11,1042828.0,142.06,142.12,141.88,142.06,142.07
2016-04-12,392573.0,142.0,142.14,141.8,142.0,142.05
2016-04-13,383090.0,141.62,142.05,141.55,141.62,142.0
2016-04-14,825911.0,141.77,141.94,141.75,141.77,141.75
2016-04-15,517508.0,142.0,142.03,141.75,142.0,141.85
2016-04-18,443548.0,141.91,142.0,141.78,141.91,141.9
2016-04-19,636878.0,141.75,142.05,141.69,141.75,141.95
2016-04-20,420591.0,141.79,141.9,141.75,141.79,141.85
2016-04-21,577847.0,141.75,142.02,141.75,141.75,141.82
2016-04-22,1045872.0,141.89,141.97,141.765,141.89,141.83
2016-04-25,441310.0,141.89,141.96,141.85,141.89,141.85
2016-04-26,865875.0,142.21,142.5,141.93,142.21,142.0
2016-04-27,531700.0,142.5,142.5,142.14,142.5,142.14
2016-04-28,467875.0,142.45,142.57,142.35,142.45,142.38
2016-04-29,1121426.0,142.44,142.5,142.03,142.44,142.03
2016-05-02,591032.0,142.52,142.655,142.39,142.52,142.41
2016-05-03,432933.0,142.59,142.6,142.42,142.59,142.43
2016-05-04,690534.0,142.47,142.69,142.43,142.47,142.5
2016-05-05,559904.0,142.6,143.0,142.35,142.6,142.55
2016-05-06,344649.0,142.6,142.72,142.53,142.6,142.6
2016-05-09,413577.0,142.6,142.65,142.51,142.6,142.56
2016-05-10,518032.0,142.6,142.7,142.57,142.6,142.6
2016-05-11,678222.0,142.62,142.67,142.55,142.62,142.58
2016-05-12,1216122.0,142.55,142.68,142.51,142.55,142.6
2016-05-13,2108356.0,142.94,143.05,142.43,142.94,142.58
2016-05-16,904631.0,142.91,143.02,142.9,142.91,142.94
2016-05-17,1176550.0,142.96,142.98,142.9,142.96,142.91
2016-05-18,823798.0,142.98,142.99,142.96,142.98,142.96
2016-05-19,1354557.0,142.95,142.99,142.95,142.95,142.97
2016-05-20,6655560.0,142.95,142.99,142.95,142.95,142.98
2016-05-23,0.0,142.95,142.95,142.95,142.95,142.95
2016-05-24,0.0,142.95,142.95,142.95,142.95,142.95
2016-05-25,0.0,142.95,142.95,142.95,142.95,142.95
2016-05-26,0.0,142.95,142.95,142.95,142.95,142.95
2016-05-27,0.0,142.95,142.95,142.95,142.95,142.95
2016-05-31,0.0,142.95,142.95,142.95,142.95,142.95
