Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,565853.0,164.06,163.81,165.81,166.465,151.5853
2015-01-05,1130490.0,165.66,165.13,166.93,166.98,152.6092
2015-01-06,983549.0,167.57,166.95,169.2,169.83,154.6845
2015-01-07,815826.0,170.38,169.0,171.16,171.51,156.4763
2015-01-08,785406.0,171.16,170.41,172.75,173.12,157.9299
2015-01-09,596292.0,173.13,171.35,173.28,174.44,158.4144
2015-01-12,737534.0,174.99,173.96,174.78,175.65,159.7858
2015-01-13,628309.0,175.19,173.7,174.6,176.04,159.6212
2015-01-14,677148.0,174.5,173.57,176.85,176.88,161.6782
2015-01-15,604166.0,177.06,176.49,177.5,177.89,162.2724
2015-01-16,634307.0,177.86,176.49,179.08,179.47,163.7169
2015-01-20,938588.0,180.21,175.23,175.57,180.67,160.508
2015-01-21,615877.0,175.76,174.44,176.94,177.22,161.7605
2015-01-22,672196.0,177.2,176.55,178.96,179.56,163.6072
2015-01-23,563401.0,179.39,178.34,178.9,179.83,163.5523
2015-01-26,529960.0,178.64,178.1,180.27,180.33,164.8048
2015-01-27,625972.0,180.04,178.93,179.46,181.3199,164.0643
2015-01-28,1655033.0,179.9,177.15,177.55,180.885,162.3181
2015-01-29,1107341.0,176.85,174.34,174.9,178.79,159.8955
2015-01-30,1172814.0,174.0,172.69,172.99,175.89,158.1493
2015-02-02,1034934.0,172.87,169.66,172.65,172.904,157.8385
2015-02-03,786136.0,173.0,170.64,173.68,173.81,158.7801
2015-02-04,687661.0,173.6,171.93,173.34,174.37,158.4693
2015-02-05,767195.0,173.8,173.17,175.0,175.45,159.9869
2015-02-06,1088199.0,174.55,168.41,169.16,175.0,154.6479
2015-02-09,1075233.0,169.24,168.16,168.44,170.38,153.9897
2015-02-10,1911066.0,169.18,167.41,170.08,170.32,155.489
2015-02-11,887975.0,170.53,169.16,170.44,172.2,155.8181
2015-02-12,854660.0,170.94,169.98,173.39,173.43,158.515
2015-02-13,587045.0,172.91,169.9601,170.82,173.12,156.1655
2015-02-17,637274.0,170.35,169.9801,170.74,172.21,156.0923
2015-02-18,881731.0,170.75,169.38,173.2,173.37,158.3413
2015-02-19,1114316.0,173.2,168.77,169.03,173.2,154.529
2015-02-20,867725.0,168.8,168.13,171.0,171.1,156.33
2015-02-23,791298.0,171.7,171.07,173.46,173.46,158.579
2015-02-24,1102263.0,172.65,168.07,168.9,172.72,154.4102
2015-02-25,695532.0,168.81,167.88,167.98,170.78,153.5691
2015-02-26,772849.0,168.02,165.95,166.23,168.17,151.9693
2015-02-27,1067796.0,166.61,165.67,168.34,168.34,153.8982
2015-03-02,671287.0,168.42,168.37,169.66,171.39,155.105
2015-03-03,471153.0,168.65,167.3,168.82,169.49,154.3371
2015-03-04,988778.0,168.55,167.46,168.14,169.53,153.7154
2015-03-05,696418.0,168.71,168.56,169.93,171.33,155.3518
2015-03-06,1311611.0,167.86,163.84,164.64,167.86,150.5157
2015-03-09,988878.0,165.65,165.53,166.47,166.89,152.1887
2015-03-10,864878.0,166.45,166.31,166.84,168.15,152.5269
2015-03-11,814548.0,166.63,166.48,167.29,168.5499,152.9383
2015-03-12,949641.0,168.11,168.11,171.22,171.61,156.5312
2015-03-13,707816.0,171.54,170.29,170.68,172.35,156.0375
2015-03-16,1051404.0,171.6,171.33,173.62,174.11,158.7253
2015-03-17,453292.0,173.09,172.34,172.86,174.16,158.0305
2015-03-18,1126934.0,173.0,171.73,175.66,176.18,160.5903
2015-03-19,952096.0,175.0,173.44,174.79,176.86,159.7949
2015-03-20,1304164.0,175.56,175.56,179.83,180.08,164.4025
2015-03-23,1442923.0,180.16,179.0,180.88,181.54,165.3624
2015-03-24,901849.0,180.96,179.28,180.29,181.69,164.8231
2015-03-25,933218.0,180.29,176.73,176.88,181.47,161.7056
2015-03-26,641953.0,176.78,175.06,175.96,177.69,160.8645
2015-03-27,582713.0,174.53,173.22,174.12,175.77,160.3251
2015-03-30,522008.0,174.9,174.16,176.15,176.43,162.1943
2015-03-31,1171134.0,175.52,174.09,174.25,176.67,160.4448
2015-04-01,606395.0,174.4,172.53,172.91,174.988,159.211
2015-04-02,655645.0,173.27,172.695,174.74,175.47,160.896
2015-04-06,531322.0,174.98,174.55,175.81,176.43,161.8813
2015-04-07,732739.0,175.35,172.53,172.59,175.67,158.9164
2015-04-08,587038.0,173.22,172.84,173.88,174.26,160.1042
2015-04-09,865670.0,173.27,168.52,169.23,173.43,155.8226
2015-04-10,658076.0,170.09,168.205,168.31,171.315,154.9754
2015-04-13,481453.0,168.31,167.72,167.72,169.26,154.4322
2015-04-14,419825.0,168.11,168.11,169.53,170.41,156.0988
2015-04-15,693891.0,169.1,167.46,168.0,169.68,154.69
2015-04-16,420830.0,167.45,166.97,169.04,169.96,155.6476
2015-04-17,694102.0,168.5,167.25,168.31,169.49,154.9754
2015-04-20,408817.0,168.36,167.63,168.25,169.35,154.9202
2015-04-21,494901.0,168.63,168.63,169.05,169.85,155.6568
2015-04-22,425977.0,168.85,168.36,170.64,171.35,157.1208
2015-04-23,391385.0,170.63,170.19,171.23,171.8099,157.6641
2015-04-24,397182.0,171.16,170.9,171.27,172.53,157.7009
2015-04-27,873838.0,171.9,171.37,171.55,173.12,157.9588
2015-04-28,873319.0,171.48,169.25,171.19,172.76,157.6273
2015-04-29,953122.0,169.72,166.316,167.75,171.13,154.4598
2015-04-30,1274398.0,166.92,163.44,164.34,168.4,151.32
2015-05-01,759988.0,165.42,165.09,167.63,168.46,154.3493
2015-05-04,840389.0,168.66,168.27,168.96,170.61,155.5739
2015-05-05,759972.0,168.41,163.35,163.7,168.48,150.7307
2015-05-06,836315.0,163.81,162.78,163.43,165.19,150.4821
2015-05-07,687447.0,163.73,163.73,165.98,167.35,152.83
2015-05-08,598885.0,169.04,167.97,168.51,170.4,155.1596
2015-05-11,508469.0,167.65,164.31,164.57,168.58,151.5318
2015-05-12,699494.0,163.53,162.42,165.25,166.68,152.1579
2015-05-13,739542.0,165.71,163.46,164.09,167.6,151.0898
2015-05-14,512497.0,164.75,164.1,167.19,167.28,153.9442
2015-05-15,567517.0,167.79,167.23,168.45,169.25,155.1044
2015-05-18,731418.0,167.85,167.27,167.84,169.025,154.5427
2015-05-19,317006.0,167.28,166.44,167.62,168.6,154.3401
2015-05-20,559603.0,168.02,166.9701,167.46,168.62,154.1928
2015-05-21,575621.0,167.46,165.24,165.6,167.95,152.4801
2015-05-22,392843.0,165.73,164.71,166.24,167.26,153.0694
2015-05-26,615611.0,165.94,164.135,164.83,166.08,151.7712
2015-05-27,448998.0,165.55,165.12,167.44,167.89,154.1744
2015-05-28,436137.0,167.43,167.03,167.78,168.19,154.4874
2015-05-29,1556111.0,168.09,165.52,166.5,168.73,153.3088
2015-06-01,673674.0,166.8,165.95,168.29,168.63,154.957
2015-06-02,482571.0,167.61,165.03,165.35,167.88,152.25
2015-06-03,728038.0,165.25,160.91,161.4,165.32,148.6129
2015-06-04,525208.0,159.46,159.46,161.01,162.09,148.2538
2015-06-05,864019.0,159.68,158.72,161.05,162.47,148.2906
2015-06-08,989505.0,161.2,160.07,160.95,161.99,148.1986
2015-06-09,677340.0,160.78,159.82,160.65,161.88,147.9223
2015-06-10,503626.0,160.39,159.39,161.34,162.73,148.5577
2015-06-11,729565.0,162.29,162.262,162.96,163.475,150.0493
2015-06-12,412974.0,162.93,162.07,162.54,163.46,149.6626
2015-06-15,1099182.0,162.35,161.2,162.76,162.87,149.8652
2015-06-16,605813.0,163.14,161.3701,164.51,165.34,151.4765
2015-06-17,700441.0,164.56,163.3,166.62,166.88,153.4193
2015-06-18,748811.0,167.1,166.95,168.29,169.81,154.957
2015-06-19,881858.0,167.74,165.86,165.86,168.02,152.7196
2015-06-22,1048554.0,166.41,164.87,164.91,166.83,151.8448
2015-06-23,691341.0,164.55,162.7,162.7,164.79,149.8099
2015-06-24,467670.0,162.98,162.14,162.32,164.0,149.46
2015-06-25,535268.0,162.6,161.31,161.5,163.83,148.705
2015-06-26,738414.0,160.89,159.77,161.92,162.13,150.2427
2015-06-29,721079.0,162.6172,159.08,159.08,163.72,147.6075
2015-06-30,628894.0,160.58,159.0,159.87,161.06,148.3405
2015-07-01,775434.0,160.61,158.97,162.95,162.95,151.1984
2015-07-02,561375.0,164.35,162.964,163.98,165.92,152.1541
2015-07-06,526874.0,163.23,163.14,164.95,165.21,153.0542
2015-07-07,640472.0,165.69,164.75,167.43,168.37,155.3553
2015-07-08,566852.0,166.68,165.68,166.65,167.78,154.6316
2015-07-09,532080.0,167.75,166.0,166.68,170.71,154.6594
2015-07-10,635416.0,167.01,166.26,167.3,168.662,155.2347
2015-07-13,708633.0,168.79,166.32,167.36,169.55,155.2903
2015-07-14,667778.0,167.78,165.48,168.19,168.77,156.0605
2015-07-15,421813.0,168.19,167.2,168.62,169.33,156.4595
2015-07-16,401587.0,169.01,168.72,169.84,170.35,157.5915
2015-07-17,455600.0,169.35,168.53,169.21,170.0,157.0069
2015-07-20,535877.0,168.41,168.065,169.4,169.94,157.1832
2015-07-21,587204.0,170.02,168.35,168.61,171.495,156.4502
2015-07-22,460119.0,168.84,168.683,170.03,170.84,157.7678
2015-07-23,455677.0,169.65,167.3,168.57,170.04,156.4131
2015-07-24,437739.0,168.2,167.442,169.27,169.79,157.0626
2015-07-27,573721.0,169.47,168.36,168.61,171.15,156.4502
2015-07-28,767512.0,169.53,168.63,169.89,172.15,157.6379
2015-07-29,820903.0,170.13,168.47,170.62,171.06,158.3152
2015-07-30,605083.0,170.23,169.38,171.23,171.82,158.8813
2015-07-31,733307.0,172.8,172.18,172.34,174.15,159.9112
2015-08-03,636752.0,172.44,172.04,173.97,174.31,161.4236
2015-08-04,514908.0,173.61,172.31,172.65,174.78,160.1988
2015-08-05,467334.0,173.04,171.51,172.38,173.57,159.9483
2015-08-06,510318.0,172.13,170.3,172.77,173.07,160.3102
2015-08-07,476884.0,172.7,171.18,173.85,173.85,161.3123
2015-08-10,661506.0,174.39,173.2,173.76,174.88,161.2288
2015-08-11,795725.0,173.35,173.27,175.22,176.41,162.5835
2015-08-12,738227.0,174.72,173.58,175.7,175.93,163.0289
2015-08-13,600304.0,175.01,174.437,176.08,177.1008,163.3815
2015-08-14,811063.0,176.11,174.52,177.12,177.44,164.3465
2015-08-17,778481.0,177.13,176.26,178.59,178.59,165.7105
2015-08-18,638905.0,178.48,178.48,179.7,180.24,166.7404
2015-08-19,584623.0,178.44,177.45,178.14,179.42,165.2929
2015-08-20,684144.0,178.35,176.7,177.4,180.0,164.6063
2015-08-21,872546.0,176.91,173.44,173.44,177.76,160.9319
2015-08-24,1307151.0,172.42,165.25,165.55,172.45,153.6109
2015-08-25,1102504.0,168.83,162.31,162.48,168.85,150.7623
2015-08-26,979470.0,166.14,163.47,166.49,167.12,154.4831
2015-08-27,898843.0,167.74,166.39,168.64,170.17,156.478
