Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,93.17,88.2924,93.94,93.02,2445736.0,92.14
2015-01-05,92.46,85.9575,92.78,90.56,3478969.0,90.32
2015-01-06,90.79,84.1256,90.9,88.63,4808205.0,87.94
2015-01-07,91.01,85.9575,91.01,90.3,5665051.0,89.53
2015-01-08,91.44,87.1759,91.81,91.58,3775453.0,91.0
2015-01-09,91.58,86.0717,91.8,90.42,3616239.0,90.24
2015-01-12,90.5,85.1959,90.94,89.5,3230588.0,89.08
2015-01-13,90.27,84.9389,91.14,89.23,3537553.0,88.43
2015-01-14,87.44,82.8828,88.42,87.07,6628255.0,86.25
2015-01-15,87.5,81.75,88.03,85.88,5830949.0,84.55
2015-01-16,85.54,81.9023,86.21,86.04,6768738.0,84.74
2015-01-20,86.46,83.0637,87.72,87.26,6342311.0,86.42
2015-01-21,87.56,83.4539,87.72,87.67,7177276.0,86.77
2015-01-22,84.5,80.3126,86.12,84.37,16389113.0,83.5
2015-01-23,84.43,80.0842,85.32,84.13,7363181.0,83.96
2015-01-26,83.78,79.2941,84.3,83.3,6631788.0,83.12
2015-01-27,82.5,78.4374,83.275,82.4,6329531.0,82.0801
2015-01-28,82.8,77.7996,83.39,81.73,7942158.0,81.71
2015-01-29,82.07,78.0566,82.33,82.0,7545019.0,81.16
2015-01-30,82.12,76.8096,82.2,80.69,7210192.0,80.56
2015-02-02,80.96,78.1804,82.25,82.13,5459088.0,80.85
2015-02-03,82.58,79.7034,83.77,83.73,5586211.0,82.54
2015-02-04,83.5,79.5892,84.47,83.61,6155674.0,83.33
2015-02-05,84.25,80.6553,84.9342,84.73,3966564.0,84.08
2015-02-06,85.11,80.9219,86.01,85.01,5139729.0,84.77
2015-02-09,84.53,80.8933,85.25,84.98,3100748.0,84.3
2015-02-10,85.6,81.7119,85.9662,85.84,3589926.0,85.12
2015-02-11,85.87,81.8738,86.18,86.01,4374834.0,85.32
2015-02-12,80.03,76.6097,81.53,80.48,32653122.0,80.0
2015-02-13,79.44,74.3251,79.75,78.08,34874386.0,77.72
2015-02-17,77.16,75.277,79.32,79.08,18577852.0,77.12
2015-02-18,78.72,75.9434,80.27,79.78,13416565.0,78.72
2015-02-19,79.89,74.6297,79.98,78.4,20856104.0,77.56
2015-02-20,78.22,75.991,79.88,79.83,11348300.0,78.2
2015-02-23,79.99,76.4384,80.48,80.3,6863683.0,79.47
2015-02-24,80.3,76.9714,81.7,80.86,10950979.0,80.26
2015-02-25,81.16,78.2184,82.25,82.17,8184691.0,80.87
2015-02-26,83.01,79.2465,83.47,83.25,8702304.0,82.41
2015-02-27,83.25,77.6663,83.38,81.59,8121085.0,81.52
2015-03-02,81.73,78.0852,82.21,82.03,5502995.0,81.56
2015-03-03,80.99,77.9709,81.93,81.91,6856146.0,80.9
2015-03-04,81.55,76.7525,81.56,80.63,6125725.0,80.56
2015-03-05,80.66,77.2475,81.4,81.15,5571779.0,80.64
2015-03-06,80.63,76.4479,81.15,80.31,6530206.0,80.06
2015-03-09,80.15,76.6383,80.8325,80.51,5846077.0,79.95
2015-03-10,79.73,75.3056,79.77,79.11,7524975.0,78.87
2015-03-11,79.4,75.6292,79.75,79.45,4540903.0,79.11
2015-03-12,80.1,77.6378,82.0,81.56,9386593.0,80.03
2015-03-13,81.5,76.7239,81.65,80.6,6919443.0,79.95
