Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,623.98,616.79,623.98,616.79,224682.0,613.49
2015-01-05,614.46,608.49,616.11,608.49,439807.0,605.7
2015-01-06,610.77,607.82,612.34,607.82,391854.0,599.81
2015-01-07,616.0,607.24,616.0,607.24,388517.0,605.59
2015-01-08,610.36,606.0,614.97,606.0,594329.0,605.07
2015-01-09,608.33,606.02,608.61,606.02,472520.0,600.04
2015-01-12,606.84,597.36,609.03,597.36,163631.0,596.56
2015-01-13,599.38,588.95,603.22,588.95,253222.0,583.55
2015-01-14,584.59,582.78,586.155,582.78,316910.0,577.93
2015-01-15,584.08,575.28,586.53,575.28,196611.0,574.92
2015-01-16,575.19,580.85,581.12,580.85,340648.0,569.54
2015-01-20,582.8,584.33,586.96,584.33,201186.0,578.05
2015-01-21,581.54,586.06,588.44,586.06,333102.0,579.0901
2015-01-22,587.74,600.1,602.68,600.1,254096.0,586.412
2015-01-23,603.35,604.0,605.95,604.0,272160.0,599.21
2015-01-26,602.85,612.14,612.61,612.14,247131.0,600.52
2015-01-27,608.44,608.59,612.86,608.59,272068.0,605.13
2015-01-28,610.25,610.57,617.687,610.57,258227.0,608.18
2015-01-29,606.01,611.13,612.9,611.13,262337.0,606.01
2015-01-30,611.45,596.96,614.63,596.96,349195.0,596.48
2015-02-02,600.51,593.75,601.59,593.75,316550.0,586.25
2015-02-03,598.55,607.84,608.13,607.84,264511.0,597.405
2015-02-04,607.2,601.63,612.81,601.63,281367.0,597.85
2015-02-05,605.96,614.88,621.48,614.88,364116.0,596.64
2015-02-06,613.95,611.34,618.1,611.34,225649.0,609.66
2015-02-09,607.14,613.05,613.56,613.05,223205.0,606.278
2015-02-10,620.22,616.66,620.22,616.66,158672.0,609.25
2015-02-11,615.0,620.51,621.99,620.51,188128.0,614.0
2015-02-12,619.89,617.51,621.75,617.51,160569.0,615.52
2015-02-13,614.13,618.5,619.62,618.5,164914.0,611.68
2015-02-17,615.55,615.15,620.31,615.15,205723.0,612.95
2015-02-18,613.72,617.92,617.99,617.92,167938.0,612.68
2015-02-19,621.48,618.34,623.44,618.34,238419.0,612.76
2015-02-20,618.98,623.31,625.0,623.31,236897.0,614.39
2015-02-23,625.0,636.77,636.965,636.77,281530.0,620.49
2015-02-24,638.58,637.79,640.0,637.79,164183.0,634.15
2015-02-25,640.98,637.12,642.17,637.12,188563.0,634.65
2015-02-26,633.3,644.97,646.52,644.97,231532.0,633.3
2015-02-27,647.24,642.68,651.95,642.68,319766.0,640.515
2015-03-02,642.42,649.53,649.53,649.53,326449.0,640.66
2015-03-03,671.14,651.9,674.76,651.9,666699.0,648.99
2015-03-04,653.47,652.48,654.76,652.48,448444.0,644.22
2015-03-05,655.85,650.97,657.88,650.97,345216.0,646.85
2015-03-06,647.46,645.2,652.86,645.2,277852.0,644.39
2015-03-09,644.53,650.89,651.14,650.89,236927.0,644.116
2015-03-10,650.43,643.05,650.43,643.05,338796.0,640.8119
2015-03-11,640.0,643.81,649.97,643.81,386329.0,640.0
