Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,167.0,165.2485,168.52,167.48,504252.0,166.27
2015-01-05,163.96,162.7917,166.72,164.99,840692.0,163.08
2015-01-06,165.48,163.3541,166.54,165.56,853998.0,163.61
2015-01-07,166.66,168.1691,170.46,170.44,595006.0,166.01
2015-01-08,171.95,172.5401,175.0,174.87,669612.0,171.38
2015-01-09,175.04,171.3955,175.854,173.71,653954.0,173.35
2015-01-12,174.88,171.7507,175.04,174.07,414888.0,173.26
2015-01-13,175.17,171.1883,177.2,173.5,521617.0,171.93
2015-01-14,171.53,171.6816,174.25,174.0,713879.0,171.3
2015-01-15,174.26,170.5371,174.5399,172.84,367611.0,172.74
2015-01-16,172.15,171.7408,174.23,174.06,593478.0,171.28
2015-01-20,175.97,173.4281,177.0372,175.77,593157.0,174.74
2015-01-21,175.78,173.9806,177.24,176.33,293075.0,175.12
2015-01-22,176.99,176.4276,178.99,178.59,608729.0,175.66
2015-01-23,178.55,176.0423,180.35,178.2,490703.0,177.75
2015-01-26,177.27,176.2892,178.65,178.45,324680.0,175.95
2015-01-27,177.42,175.1235,178.15,177.27,286307.0,175.5
2015-01-28,177.42,173.0292,178.89,175.15,543437.0,174.79
2015-01-29,175.31,174.7975,176.97,176.94,736595.0,173.53
2015-01-30,173.65,168.9591,176.49,171.03,1933088.0,168.83
2015-02-02,170.755,168.0107,170.755,170.07,856596.0,166.56
2015-02-03,170.74,170.4706,172.74,172.56,587685.0,169.44
2015-02-04,172.16,170.4903,174.14,172.58,775378.0,171.73
2015-02-05,173.39,171.7054,175.32,173.81,513066.0,172.99
2015-02-06,174.3,169.9173,175.96,172.0,617824.0,171.46
2015-02-09,171.81,166.8648,171.85,168.91,928583.0,168.62
2015-02-10,170.2,171.0732,173.39,173.17,440575.0,169.83
2015-02-11,173.3,171.5671,174.72,173.67,382605.0,172.89
2015-02-12,173.6,172.7625,175.1,174.88,575886.0,172.13
2015-02-13,174.38,173.2564,175.9,175.38,421306.0,173.27
2015-02-17,175.39,172.5748,175.85,174.69,735482.0,173.99
