Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,55.87,32.0389,56.79,56.17,2788074.0,55.69
2015-01-05,55.33,31.4628,55.66,55.16,5565281.0,54.96
2015-01-06,55.04,31.3658,55.8,54.99,5938251.0,54.73
2015-01-07,55.66,32.21,56.48,56.47,3921037.0,55.48
2015-01-08,57.05,32.5294,57.2,57.03,4405116.0,56.32
2015-01-09,57.26,32.21,57.31,56.47,2766868.0,56.355
2015-01-12,55.29,31.4228,55.61,55.09,5785752.0,54.86
2015-01-13,55.53,31.5084,56.22,55.24,5768359.0,55.13
2015-01-14,54.68,31.2631,55.41,54.81,7384723.0,53.72
2015-01-15,55.5,30.533,55.91,53.53,5276466.0,53.48
2015-01-16,54.02,32.2613,56.69,56.56,5642174.0,54.02
2015-01-20,56.52,32.6606,57.5,57.26,6731191.0,55.09
2015-01-21,57.46,33.2709,58.41,58.33,4906744.0,57.0
2015-01-22,58.49,33.2025,58.77,58.21,4268950.0,57.69
2015-01-23,58.42,33.3108,59.5,58.4,3905593.0,57.95
2015-01-26,58.79,33.6131,58.95,58.93,4892996.0,57.91
2015-01-27,58.58,33.8185,59.56,59.29,4767492.0,58.4
2015-01-28,59.12,32.4838,59.13,56.95,5321916.0,56.94
2015-01-29,57.39,32.5579,57.47,57.08,4099142.0,55.62
2015-01-30,56.45,33.077,58.53,57.99,5863703.0,56.29
2015-02-02,58.93,34.0695,59.76,59.73,4684366.0,58.25
2015-02-03,60.78,35.2331,62.13,61.77,7904966.0,60.77
2015-02-04,60.61,34.7824,61.485,60.98,5058216.0,60.21
2015-02-05,61.76,35.524,62.75,62.28,6270591.0,61.63
2015-02-06,62.85,35.7464,63.43,62.67,5640371.0,62.18
2015-02-09,62.98,35.8548,63.63,62.86,5319628.0,62.795
2015-02-10,62.64,35.3985,62.77,62.06,4535089.0,61.14
2015-02-11,61.27,35.1304,61.62,61.59,3714174.0,60.7
2015-02-12,62.37,35.581,62.95,62.38,4091675.0,62.03
2015-02-13,63.24,36.6819,64.41,64.31,4721842.0,63.0
2015-02-17,64.5,37.0982,65.04,65.04,4772826.0,63.5
2015-02-18,64.42,36.7617,64.99,64.45,3330243.0,64.01
2015-02-19,62.75,36.659,64.89,64.27,5243918.0,62.75
2015-02-20,64.17,36.2141,64.34,63.49,4292866.0,63.32
2015-02-23,62.7,35.889,63.32,62.92,3905947.0,62.41
2015-02-24,63.38,35.9518,63.61,63.03,6580331.0,61.31
2015-02-25,63.08,36.3225,63.74,63.68,3093938.0,62.61
2015-02-26,63.13,35.6494,63.31,62.5,2946126.0,62.3
2015-02-27,62.7,35.6551,63.09,62.51,2654626.0,62.45
2015-03-02,61.93,35.7749,62.635,62.55,2657547.0,61.49
