Date,Open,Adj Close,High,Close,Volume,Low
2015-01-02,151.5,149.17,151.6,149.17,3440150.0,148.5
2015-01-05,148.81,147.0,149.0,147.0,4169618.0,146.78
2015-01-06,147.64,146.84,148.53,146.84,4118156.0,146.11
2015-01-07,147.94,148.88,149.14,148.88,4158952.0,147.65
2015-01-08,150.6,151.37,151.37,151.37,4282213.0,150.51
2015-01-09,151.65,149.47,151.69,149.47,3262484.0,149.26
2015-01-12,149.96,148.28,150.12,148.28,5919374.0,147.95
2015-01-13,149.95,148.63,150.99,148.63,3913822.0,147.77
2015-01-14,147.27,147.82,148.37,147.82,4802750.0,146.42
2015-01-15,148.53,147.58,148.53,147.58,2896190.0,146.8
2015-01-16,147.2,149.21,149.26,149.21,4313755.0,146.56
2015-01-20,150.28,148.63,150.6,148.63,4053808.0,148.08
2015-01-21,148.34,147.18,148.43,147.18,4660296.0,146.59
2015-01-22,148.01,150.15,150.21,150.15,5891887.0,147.26
2015-01-23,149.99,149.12,150.0,149.12,3175704.0,149.09
2015-01-26,149.19,149.7,149.73,149.7,2461012.0,148.16
2015-01-27,148.25,147.65,148.8,147.65,3220301.0,147.55
2015-01-28,148.36,144.78,148.77,144.78,6386251.0,144.77
2015-01-29,145.4,146.29,146.94,146.29,4460657.0,144.25
2015-01-30,145.57,143.91,146.2,143.91,6242233.0,143.89
2015-02-02,144.13,146.73,146.75,146.73,5119383.0,143.3
2015-02-03,147.75,148.29,148.48,148.29,4981656.0,146.86
2015-02-04,148.26,147.53,148.5,147.53,3574160.0,147.1
2015-02-05,147.89,149.67,149.88,149.67,3085162.0,147.75
2015-02-06,149.8,150.18,151.63,150.18,4050554.0,149.55
2015-02-09,149.91,149.13,149.97,149.13,2428980.0,148.72
2015-02-10,149.66,149.92,150.51,149.92,2975487.0,148.9
2015-02-11,149.84,149.68,150.27,149.68,2731140.0,148.8
2015-02-12,150.0,149.79,150.41,149.79,3608640.0,149.36
2015-02-13,149.6,148.34,149.6,148.34,3669443.0,148.01
2015-02-17,148.36,149.17,149.37,149.17,2738051.0,148.16
2015-02-18,148.78,148.67,149.13,148.67,2220722.0,148.22
2015-02-19,148.21,147.48,148.35,147.48,2757525.0,147.09
2015-02-20,147.27,148.72,148.72,148.72,4876774.0,146.58
2015-02-23,148.2,147.37,148.45,147.37,3775235.0,146.82
2015-02-24,147.5,148.95,149.36,148.95,2914860.0,147.25
2015-02-25,149.39,148.78,149.39,148.78,2672135.0,148.47
2015-02-26,148.55,148.34,148.97,148.34,2549736.0,147.9
