Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,612110.0,129.34,129.29,131.26,131.46,121.7684
2015-01-05,891608.0,131.85,131.06,132.45,132.68,122.8723
2015-01-06,1636602.0,132.91,132.73,135.02,135.24,125.2565
2015-01-07,999297.0,135.44,134.33,136.53,137.04,126.6573
2015-01-08,937406.0,137.005,136.14,137.08,137.88,127.1675
2015-01-09,656705.0,137.38,136.36,137.77,138.52,127.8076
2015-01-12,740019.0,138.07,137.66,138.34,138.69,128.3364
2015-01-13,613464.0,138.78,137.18,138.04,139.775,128.0581
2015-01-14,1043889.0,137.43,136.39,139.66,139.77,129.561
2015-01-15,618650.0,139.71,139.1,139.97,140.33,129.8485
2015-01-16,731428.0,139.88,139.07,141.09,141.33,130.8876
2015-01-20,884442.0,141.58,140.065,140.52,141.86,130.3588
2015-01-21,566991.0,140.03,139.56,140.52,140.96,130.3588
2015-01-22,864092.0,140.9,140.63,143.16,143.41,132.8079
2015-01-23,523332.0,143.0,142.04,142.67,143.2,132.3533
2015-01-26,536761.0,142.3,141.995,144.23,144.27,133.8005
2015-01-27,698046.0,143.68,143.56,144.22,145.1,133.7912
2015-01-28,841619.0,144.71,142.98,142.98,146.07,132.6409
2015-01-29,741996.0,143.32,142.01,143.44,143.97,133.0676
2015-01-30,1632994.0,142.69,138.8,138.8,144.07,128.7632
2015-02-02,1535606.0,139.45,136.97,140.21,140.39,130.0712
2015-02-03,747140.0,139.53,139.01,141.81,141.91,131.5555
2015-02-04,892146.0,141.58,140.1,141.13,142.19,130.9247
2015-02-05,711414.0,142.0,141.58,143.79,143.93,133.3923
2015-02-06,1007628.0,143.45,140.27,140.95,143.5,130.7577
2015-02-09,595643.0,140.45,140.08,140.19,141.44,130.0526
2015-02-10,1226435.0,140.97,139.73,142.22,142.24,131.9358
2015-02-11,831564.0,142.45,139.91,140.92,142.86,130.7299
2015-02-12,865610.0,141.35,140.09,142.66,142.71,132.344
2015-02-13,529936.0,142.3,140.25,141.08,142.36,130.8783
2015-02-17,705486.0,140.92,139.78,140.25,141.71,130.1083
2015-02-18,826279.0,140.17,139.28,141.78,141.86,131.5277
2015-02-19,920657.0,141.19,138.09,138.47,141.19,128.457
2015-02-20,834176.0,138.19,137.84,139.37,140.12,129.2919
2015-02-23,858295.0,140.13,139.03,140.93,140.93,130.7391
2015-02-24,606864.0,140.2,137.51,138.26,140.64,128.2622
2015-02-25,785856.0,138.59,137.47,137.66,139.66,127.7056
2015-02-26,886333.0,137.45,136.13,136.23,137.77,126.379
2015-02-27,774273.0,136.37,135.57,137.41,137.84,127.4737
2015-03-02,792830.0,137.74,137.7,138.76,139.89,128.726
2015-03-03,586906.0,138.69,137.59,138.75,139.33,128.7168
2015-03-04,792400.0,138.6,136.96,137.3,138.66,127.3716
2015-03-05,810122.0,137.9,137.9,139.03,139.95,128.9765
