Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,81.18,75.3703,80.51,81.61,1019523.0,79.87
2015-01-05,80.19,74.9396,80.05,80.92,1346000.0,79.78
2015-01-06,80.33,74.1345,79.19,80.78,2106390.0,78.41
2015-01-07,80.05,76.7932,82.03,82.13,2024480.0,79.52
2015-01-08,82.75,79.1617,84.56,84.59,2741747.0,82.72
2015-01-09,84.44,78.4877,83.84,84.48,1763587.0,83.63
2015-01-12,84.04,77.5234,82.81,84.6,1353148.0,82.73
2015-01-13,83.67,77.2332,82.5,84.39,1723587.0,81.93
2015-01-14,81.75,76.7183,81.95,82.35,1358978.0,81.47
2015-01-15,82.08,75.6886,80.85,82.46,1224672.0,80.78
2015-01-16,80.58,77.0085,82.26,82.33,1317929.0,80.56
2015-01-20,82.54,76.5217,81.74,83.115,2007588.0,80.82
2015-01-21,81.81,76.709,81.94,82.48,2004738.0,81.38
2015-01-22,82.43,78.5626,83.92,83.95,2321791.0,81.45
2015-01-23,83.95,78.1413,83.47,84.18,1178830.0,83.38
2015-01-26,83.42,79.3396,84.75,84.79,1515809.0,83.15
2015-01-27,83.94,79.2928,84.7,85.13,1633093.0,83.57
2015-01-28,85.79,79.9387,85.39,87.33,4157148.0,85.035
2015-01-29,83.73,79.4051,84.82,85.35,2927270.0,82.76
2015-01-30,84.59,77.8792,83.19,85.53,3039262.0,83.06
2015-02-02,81.37,77.5328,82.82,82.91,3086198.0,81.32
2015-02-03,83.38,78.0945,83.42,83.8,2167171.0,82.76
2015-02-04,83.1,78.5158,83.87,85.0,2653076.0,83.1
2015-02-05,84.23,79.04,84.43,84.92,2228569.0,83.89
2015-02-06,84.61,80.0136,85.47,86.32,1936943.0,84.47
2015-02-09,85.36,78.8434,84.22,85.4,1514189.0,83.88
2015-02-10,84.9,79.686,85.12,85.18,2124205.0,84.48
2015-02-11,85.31,80.594,86.09,86.42,1930445.0,85.05
2015-02-12,86.64,80.5472,86.04,86.68,1533799.0,85.24
2015-02-13,86.04,80.5847,86.08,86.11,1253185.0,85.34
2015-02-17,86.1,80.8936,86.41,86.72,1309002.0,85.75
2015-02-18,86.33,80.7157,86.22,86.47,1420265.0,85.66
2015-02-19,86.26,80.6689,86.17,86.54,834214.0,85.87
2015-02-20,85.96,81.5021,87.06,87.06,1213276.0,85.65
2015-02-23,87.15,82.4757,88.1,88.15,1894590.0,86.9557
2015-02-24,88.11,83.5523,89.25,89.31,2442843.0,87.78
2015-02-25,88.91,82.6629,88.3,89.43,1678987.0,88.22
2015-02-26,88.16,82.5412,88.17,88.82,1145138.0,87.73
2015-02-27,88.06,82.3727,87.99,88.75,1502298.0,87.89
2015-03-02,88.71,83.8051,89.52,90.49,3820289.0,88.64
2015-03-03,89.93,82.7846,88.43,89.93,1942264.0,87.62
2015-03-04,88.09,83.3463,89.03,89.1,1620657.0,87.48
2015-03-05,89.21,83.2715,88.95,89.63,1504219.0,88.6
2015-03-06,88.72,81.4553,87.01,88.72,1501425.0,86.75
2015-03-09,87.26,82.3634,87.98,88.15,1244101.0,87.03
2015-03-10,87.03,81.3898,86.94,87.33,1785056.0,85.94
2015-03-11,87.18,81.6987,87.27,87.63,1172138.0,86.5
2015-03-12,87.74,82.8315,88.48,88.71,1197755.0,87.74
2015-03-13,88.22,82.4944,88.12,88.57,1172372.0,87.33
2015-03-16,88.73,84.2357,89.98,89.995,1368101.0,88.64
2015-03-17,89.46,83.8331,89.55,89.72,1343728.0,88.94
2015-03-18,89.33,84.6102,90.38,90.63,1896937.0,88.6
2015-03-19,90.4,84.1795,89.92,90.4,1627407.0,89.27
2015-03-20,90.32,85.4246,91.25,91.45,2488232.0,90.2
2015-03-23,91.42,84.554,90.32,91.59,1904597.0,90.29
2015-03-24,90.42,83.7395,89.45,90.68,1705775.0,89.38
2015-03-25,89.73,83.3276,89.01,90.64,2177868.0,88.86
2015-03-26,88.75,83.4493,89.14,90.07,1611582.0,88.11
2015-03-27,89.2,84.3387,90.09,90.21,1672604.0,89.07
2015-03-30,89.96,85.324,90.8,91.02,1416619.0,89.81
2015-03-31,90.57,84.8259,90.27,91.42,2290088.0,90.16
2015-04-01,90.21,83.4916,88.85,90.235,2131659.0,88.16
2015-04-02,89.25,84.1964,89.6,89.83,1257296.0,88.43
2015-04-06,88.97,84.5065,89.93,90.47,1400863.0,88.742
2015-04-07,89.9,84.5158,89.94,90.52,1180308.0,89.885
2015-04-08,90.09,84.7508,90.19,90.43,1623236.0,89.54
2015-04-09,89.9,84.4689,89.89,90.61,1490847.0,89.48
2015-04-10,89.76,85.0609,90.52,90.6,1909383.0,89.51
2015-04-13,90.48,84.2151,89.62,91.24,1822893.0,89.38
2015-04-14,90.29,84.8541,90.3,90.52,1368796.0,89.0
2015-04-15,90.56,84.7132,90.15,91.12,1502864.0,90.09
2015-04-16,90.15,84.2527,89.66,90.16,1151123.0,89.43
2015-04-17,89.16,84.1494,89.55,89.73,1460353.0,88.59
2015-04-20,89.93,84.7038,90.14,90.83,1425908.0,89.61
2015-04-21,90.4,84.9011,90.35,90.9,1000929.0,90.17
2015-04-22,90.46,85.9818,91.5,91.62,1788974.0,90.31
2015-04-23,91.09,85.9818,91.5,91.89,1488625.0,90.68
2015-04-24,91.41,85.869,91.38,91.78,1317588.0,90.9
2015-04-27,91.72,84.1306,89.53,91.91,1943220.0,89.44
2015-04-28,89.28,85.0233,90.48,90.57,2225849.0,88.52
2015-04-29,89.86,83.5386,88.9,90.36,2618076.0,88.24
2015-04-30,88.9,79.2536,84.34,88.9,5378085.0,83.85
2015-05-01,84.53,80.3906,85.55,85.77,2945726.0,84.09
2015-05-04,85.77,80.4658,85.63,86.23,2065301.0,85.19
2015-05-05,85.7,79.4697,84.57,86.0,1991026.0,84.34
2015-05-06,84.99,79.6482,84.76,85.2645,2190479.0,84.23
2015-05-07,84.8,79.8644,84.99,85.63,2153963.0,84.72
2015-05-08,85.87,81.4243,86.65,86.95,1657561.0,85.74
2015-05-11,86.59,81.1518,86.36,86.89,1754129.0,86.1
2015-05-12,86.11,80.9638,86.16,86.44,1826561.0,85.77
2015-05-13,86.51,81.2645,86.48,87.19,1996250.0,86.16
2015-05-14,87.07,82.6928,88.0,88.06,1653232.0,86.81
2015-05-15,87.95,82.27,87.55,88.34,2296028.0,87.18
2015-05-18,87.57,82.5519,87.85,88.43,2255014.0,87.37
2015-05-19,88.06,82.0351,87.3,88.98,3311119.0,87.25
2015-05-20,87.37,82.7586,88.07,88.53,2699785.0,86.96
2015-05-21,87.96,83.313,88.66,88.785,1871786.0,87.87
2015-05-22,88.47,83.1627,88.5,88.84,1296204.0,88.27
2015-05-26,88.48,82.3076,87.59,88.81,1756652.0,87.59
2015-05-27,87.6,83.3412,88.69,88.77,1340323.0,87.29
2015-05-28,88.68,82.7962,88.11,89.6299,2032678.0,88.08
2015-05-29,88.16,82.8526,88.17,88.91,2113758.0,87.81
2015-06-01,88.33,83.0875,88.42,88.72,1549436.0,87.62
2015-06-02,88.02,82.721,88.03,88.49,1274517.0,87.68
2015-06-03,88.2,82.7116,88.02,88.4199,1114894.0,87.73
2015-06-04,87.23,82.3264,87.61,88.09,1458101.0,87.12
2015-06-05,87.09,82.7304,88.04,88.17,2805883.0,86.17
2015-06-08,88.27,82.6835,87.99,88.75,2640102.0,87.91
2015-06-09,88.6,82.3734,87.66,88.99,2223311.0,87.505
2015-06-10,88.11,83.4164,88.77,88.98,1903004.0,87.7
2015-06-11,89.23,84.2621,89.67,90.11,2654307.0,88.75
2015-06-12,89.21,83.5198,88.88,89.37,1654866.0,88.68
2015-06-15,88.53,82.9466,88.27,88.92,2268236.0,88.08
2015-06-16,88.43,83.7453,89.12,89.45,2310213.0,88.15
2015-06-17,89.42,84.5628,89.99,90.29,2236755.0,89.265
2015-06-18,90.04,84.4313,89.85,90.658,2603518.0,89.84
2015-06-19,89.84,84.4501,89.87,90.57,2512659.0,89.7
2015-06-22,90.56,84.4407,89.86,90.74,2252430.0,89.78
2015-06-23,90.26,83.8487,89.23,90.31,2356039.0,89.15
2015-06-24,89.23,81.7813,87.03,89.37,3406278.0,87.01
2015-06-25,87.44,81.4431,86.67,87.44,3811842.0,85.85
2015-06-26,87.02,80.8417,86.03,87.02,9080896.0,85.64
2015-06-29,85.13,79.0534,83.74,85.61,3795609.0,83.63
2015-06-30,84.63,78.9685,83.65,84.87,4071790.0,83.57
2015-07-01,84.29,80.1957,84.95,85.125,3395066.0,84.18
2015-07-02,85.25,79.7709,84.5,85.46,1556760.0,84.14
2015-07-06,83.69,79.8087,84.54,84.88,2679328.0,83.63
2015-07-07,84.76,80.2429,85.0,85.35,2312826.0,83.8
2015-07-08,84.5,78.7325,83.4,85.19,2597120.0,83.29
2015-07-09,84.65,79.4499,84.16,84.9,2459723.0,83.815
2015-07-10,85.03,80.696,85.48,85.69,1457263.0,84.86
2015-07-13,86.13,81.3002,86.12,86.35,1376225.0,85.44
2015-07-14,85.76,81.3474,86.17,86.57,3056750.0,85.36
2015-07-15,86.11,81.7534,86.6,86.98,2223938.0,85.78
2015-07-16,87.22,82.1499,87.02,87.24,1488338.0,86.49
2015-07-17,87.14,81.9044,86.76,87.37,1916783.0,86.47
2015-07-20,86.72,81.7345,86.58,87.04,1177235.0,86.47
2015-07-21,86.56,81.3663,86.19,86.93,1526161.0,85.73
2015-07-22,86.09,81.961,86.82,86.89,1757459.0,86.08
2015-07-23,86.91,79.5538,84.27,87.09,3063626.0,84.04
2015-07-24,84.03,78.6286,83.29,84.13,2232801.0,83.04
2015-07-27,82.99,77.6846,82.29,83.16,2744459.0,82.13
2015-07-28,82.39,78.9968,83.68,83.78,2187388.0,82.09
2015-07-29,83.85,79.6293,84.35,84.43,3110641.0,83.42
2015-07-30,84.52,78.6758,83.34,86.47,7632424.0,80.05
2015-07-31,83.32,80.224,84.98,85.2,4519622.0,83.16
2015-08-03,84.56,81.017,85.82,86.13,2602865.0,84.56
2015-08-04,86.16,80.9509,85.75,86.64,2373083.0,85.55
2015-08-05,86.5,81.4418,86.27,86.55,1777165.0,85.67
2015-08-06,86.41,80.0352,84.78,86.59,2038459.0,84.62
2015-08-07,85.0,80.3184,85.08,85.13,2125692.0,84.01
2015-08-10,85.66,80.9321,85.73,86.41,1638722.0,85.62
2015-08-11,85.26,81.0831,85.89,86.0701,1939679.0,85.01
2015-08-12,85.01,80.2901,85.05,85.2,2212067.0,83.99
2015-08-13,85.1,79.4877,84.2,85.24,1572038.0,84.17
2015-08-14,83.97,79.5538,84.27,84.47,1955575.0,83.7775
2015-08-17,83.72,79.6198,84.34,84.45,1817371.0,82.91
2015-08-18,84.2,80.0541,84.8,84.93,1563344.0,84.0424
2015-08-19,84.02,80.4978,85.27,85.9,2473117.0,83.76
2015-08-20,84.48,77.6563,82.26,85.04,2544193.0,82.19
2015-08-21,81.73,76.0892,80.6,82.42,3033637.0,80.56
2015-08-24,76.65,74.5598,78.98,80.4,6632834.0,74.76
2015-08-25,80.8,74.9752,79.42,81.82,5448828.0,79.34
2015-08-26,81.23,78.8741,83.55,83.67,4654015.0,79.79
2015-08-27,84.15,79.0062,83.69,85.27,4646765.0,82.29
2015-08-28,83.55,78.723,83.39,83.565,2596932.0,82.885
2015-08-31,83.21,77.6657,82.27,84.185,1902621.0,82.08
2015-09-01,80.46,75.7399,80.23,81.42,3119402.0,79.68
2015-09-02,81.28,77.0804,81.65,81.75,2093862.0,80.55
2015-09-03,82.05,76.6084,81.15,82.56,1614798.0,80.85
2015-09-04,79.98,76.042,80.55,80.92,2087074.0,79.72
2015-09-08,81.87,77.6468,82.25,82.32,2014222.0,81.06
2015-09-09,83.07,76.6933,81.24,83.26,2378553.0,81.02
2015-09-10,81.17,78.3643,83.01,83.33,2617712.0,80.83
2015-09-11,82.79,80.2523,85.01,85.04,3073926.0,82.52
2015-09-14,85.09,79.5915,84.31,85.22,1953786.0,84.01
2015-09-15,84.48,80.3184,85.08,85.38,1895582.0,84.17
