Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,91.77,82.184,91.88,92.37,3772352.0,90.66
2015-01-05,90.35,77.8458,87.03,90.42,11301430.0,86.6
2015-01-06,87.28,77.3449,86.47,87.68,8664301.0,85.17
2015-01-07,87.37,78.5435,87.81,88.14,6510307.0,86.42
2015-01-08,89.18,79.3486,88.71,89.28,7613213.0,87.84
2015-01-09,88.76,78.4004,87.65,88.89,4816635.0,87.02
2015-01-12,87.73,77.7206,86.89,87.77,4351449.0,86.07
2015-01-13,87.68,77.2555,86.37,87.9,5081569.0,85.2
2015-01-14,84.89,76.9872,86.07,86.215,10366251.0,84.27
2015-01-15,86.03,76.048,84.32,86.17,6673352.0,84.3
2015-01-16,84.24,75.6331,83.86,84.32,10424799.0,83.045
2015-01-20,84.42,75.7323,83.97,84.5,5925459.0,83.19
2015-01-21,83.59,76.9949,85.37,85.4,6612657.0,83.59
2015-01-22,86.05,78.3027,86.82,87.36,5567782.0,85.43
2015-01-23,86.79,77.2114,85.61,87.0,5024636.0,85.2
2015-01-26,85.36,77.5902,86.03,86.26,8138605.0,84.9
2015-01-27,79.74,72.0165,79.85,81.35,27489451.0,79.1
2015-01-28,80.4,72.1608,80.01,81.2,14268261.0,79.96
2015-01-29,79.91,72.1518,80.0,80.18,9156118.0,78.81
2015-01-30,79.51,72.1247,79.97,80.82,8150271.0,79.42
2015-02-02,80.08,72.9094,80.84,80.88,7146676.0,79.49
2015-02-03,81.22,75.6872,83.92,84.11,10895323.0,81.15
2015-02-04,82.78,73.9105,81.95,83.32,8805961.0,81.66
2015-02-05,82.4,75.3715,83.57,83.63,6639808.0,81.87
2015-02-06,83.6,75.0469,83.21,84.14,5581462.0,82.8
2015-02-09,83.05,76.3636,84.67,84.87,7628540.0,82.95
2015-02-10,85.0,75.6692,83.9,85.0,6569097.0,83.4622
2015-02-11,83.56,75.2272,83.41,83.67,5722439.0,82.24
2015-02-12,84.08,75.3355,83.53,84.25,4622996.0,83.31
2015-02-13,84.11,76.7785,85.13,85.49,5645508.0,84.03
2015-02-17,84.86,77.004,85.38,85.58,3923191.0,84.2
2015-02-18,84.92,76.4809,84.8,85.8099,3568585.0,84.58
2015-02-19,83.81,75.128,83.3,84.0,5733478.0,82.205
2015-02-20,83.14,76.1562,84.44,84.62,6028081.0,82.4
2015-02-23,83.9,75.2994,83.49,83.98,5179733.0,83.14
2015-02-24,83.77,76.2103,84.5,84.69,3679440.0,83.6
2015-02-25,84.52,76.7965,85.15,85.3578,3450035.0,84.17
2015-02-26,85.1,75.579,83.8,85.1,4456798.0,83.56
2015-02-27,84.18,74.7673,82.9,84.18,4369311.0,82.89
2015-03-02,82.78,74.8575,83.0,83.07,4153944.0,82.24
2015-03-03,82.71,74.7131,82.84,83.79,4322227.0,82.65
2015-03-04,82.565,73.712,81.73,82.61,6858298.0,80.83
2015-03-05,80.41,73.5136,81.51,81.56,7123533.0,80.06
2015-03-06,80.37,72.2059,80.06,81.21,7913796.0,79.55
2015-03-09,80.17,72.8823,80.81,81.34,4740527.0,80.1
2015-03-10,80.02,72.0706,79.91,80.7636,4850525.0,79.74
2015-03-11,80.15,71.8812,79.7,80.15,4612178.0,79.26
2015-03-12,80.27,72.3231,80.19,80.48,3613401.0,79.8001
2015-03-13,79.9,71.4573,79.23,79.91,7272677.0,78.19
2015-03-16,79.57,72.1247,79.97,80.0,3598393.0,79.06
2015-03-17,79.35,70.7538,78.45,79.35,6979733.0,78.25
2015-03-18,78.25,73.3513,81.33,81.44,12153623.0,78.25
2015-03-19,80.5,72.2329,80.09,80.5,5235234.0,79.56
2015-03-20,80.62,73.225,81.19,81.25,8216642.0,80.19
2015-03-23,81.19,73.1348,81.09,81.92,4704036.0,81.02
2015-03-24,81.15,72.5847,80.48,81.2,3974998.0,80.2
2015-03-25,81.03,72.0255,79.86,81.04,4802545.0,79.83
2015-03-26,79.64,72.0435,79.88,80.8,4238537.0,79.51
2015-03-27,79.46,71.8541,79.67,79.88,6336966.0,78.76
2015-03-30,80.01,73.3874,81.37,81.52,4621215.0,80.0
2015-03-31,80.51,72.1788,80.03,80.65,4848153.0,79.81
2015-04-01,80.03,71.8271,79.64,80.52,4446226.0,79.39
2015-04-02,79.6,72.3682,80.24,80.4999,3556034.0,79.4001
2015-04-06,80.35,73.4956,81.49,82.0,4496080.0,79.98
2015-04-07,81.22,72.6388,80.54,81.43,3523649.0,80.5
2015-04-08,80.84,72.5486,80.44,81.24,4196156.0,79.92
2015-04-09,80.5,72.7651,80.68,81.21,4291550.0,80.28
2015-04-10,81.1,74.4967,82.6,82.8,6831559.0,80.74
2015-04-13,82.6,74.0818,82.14,82.61,5293899.0,81.6
2015-04-14,82.55,74.8575,83.0,83.24,5898718.0,81.54
2015-04-15,83.29,76.8055,85.16,85.73,9643762.0,83.0
2015-04-16,84.4,76.6973,84.34,84.9,5692312.0,84.0
2015-04-17,83.5,75.7334,83.28,83.59,5305523.0,82.66
2015-04-20,83.96,76.9338,84.6,84.75,3914620.0,83.88
2015-04-21,84.66,76.3154,83.92,84.97,5620905.0,83.61
2015-04-22,84.13,77.1793,84.87,84.94,6518307.0,83.09
2015-04-23,86.85,77.1065,84.79,87.5,18915586.0,83.85
2015-04-24,84.7,76.9338,84.6,85.17,5848686.0,84.02
2015-04-27,84.77,77.5976,85.33,85.94,5908191.0,84.4
2015-04-28,85.42,78.3888,86.2,86.22,5735889.0,84.5
2015-04-29,85.69,79.571,87.5,87.92,7012877.0,85.46
2015-04-30,86.85,79.0072,86.88,87.3,5459852.0,86.23
2015-05-01,87.69,79.4528,87.37,88.28,4850105.0,86.76
2015-05-04,87.73,79.3891,87.3,87.96,2751990.0,87.17
2015-05-05,87.57,79.1163,87.0,88.22,4623679.0,86.7
2015-05-06,87.75,79.1072,86.99,87.94,4465477.0,86.42
2015-05-07,86.65,78.5979,86.43,86.88,3892284.0,85.89
2015-05-08,87.78,79.3982,87.31,87.84,3577060.0,86.7
2015-05-11,88.4,80.7259,88.77,89.44,6882321.0,88.09
2015-05-12,88.19,80.1712,88.16,88.34,4066384.0,87.26
2015-05-13,88.59,80.4258,88.44,89.07,3179214.0,88.21
2015-05-14,88.78,80.6986,88.74,89.59,3226909.0,88.65
2015-05-15,88.5,80.4167,88.43,88.56,3204989.0,87.6
2015-05-18,88.39,80.2894,88.29,88.5,3074687.0,87.65
2015-05-19,87.89,79.3345,87.24,87.9124,5676841.0,86.505
2015-05-20,87.63,79.962,87.93,88.13,3841547.0,87.13
2015-05-21,88.23,81.2351,89.33,89.62,8155435.0,87.94
2015-05-22,89.18,80.5986,88.63,89.5,3483791.0,88.63
2015-05-26,88.13,79.8802,87.84,88.15,3144731.0,87.29
2015-05-27,87.99,79.9529,87.92,88.82,4517089.0,87.65
2015-05-28,87.33,78.216,86.01,87.45,5899123.0,85.73
2015-05-29,85.74,77.5885,85.32,86.33,4685557.0,85.11
2015-06-01,86.06,77.7795,85.53,86.37,3976901.0,84.7
2015-06-02,85.21,78.3615,86.17,86.68,2817145.0,85.07
2015-06-03,86.6,78.4161,86.23,87.055,2841823.0,85.81
2015-06-04,85.5,77.7249,85.47,86.4,3775249.0,85.32
2015-06-05,85.01,78.2524,86.05,86.5,3937629.0,84.91
2015-06-08,85.8,78.3433,86.15,86.48,3355823.0,85.78
2015-06-09,86.46,78.8707,86.73,87.62,3984912.0,86.42
2015-06-10,87.45,80.4622,88.48,88.71,4717130.0,87.36
2015-06-11,88.62,80.1803,88.17,88.76,2872879.0,87.92
2015-06-12,87.95,79.8893,87.85,88.409,2212758.0,87.5701
2015-06-15,87.14,79.2345,87.13,87.39,2721010.0,86.35
2015-06-16,86.79,78.7434,86.59,87.02,2895860.0,86.24
2015-06-17,86.89,79.3436,87.25,87.55,3402771.0,86.32
2015-06-18,86.83,79.5164,87.44,87.74,3373646.0,86.83
2015-06-19,87.27,79.5892,87.52,87.96,3910331.0,87.1508
2015-06-22,87.97,80.2712,88.27,88.32,3648566.0,87.71
2015-06-23,88.42,80.4349,88.45,88.6204,2538952.0,88.01
2015-06-24,88.79,80.1803,88.17,88.81,3413446.0,88.07
2015-06-25,88.22,78.8617,86.72,88.3292,3234196.0,86.66
2015-06-26,86.5,78.9526,86.82,86.95,4387343.0,85.81
2015-06-29,86.22,77.5703,85.3,86.74,4747217.0,85.1
2015-06-30,86.09,77.1338,84.82,86.25,4077877.0,84.8
2015-07-01,85.39,76.3427,83.95,85.45,5296181.0,83.54
2015-07-02,84.53,76.7337,84.38,84.78,2582215.0,83.85
2015-07-06,83.65,75.6152,83.15,84.15,4896585.0,82.73
2015-07-07,82.99,76.379,83.99,84.12,5192869.0,81.85
2015-07-08,83.05,74.8149,82.27,83.23,4325075.0,81.76
2015-07-09,83.43,74.2875,81.69,83.7,4570662.0,81.46
2015-07-10,82.64,74.7058,82.15,82.91,3495037.0,81.87
2015-07-13,82.87,76.0608,83.64,84.03,4228547.0,82.6801
2015-07-14,83.53,76.8064,84.46,84.68,3796415.0,83.52
2015-07-15,84.55,76.5336,84.16,84.86,3661720.0,83.75
2015-07-16,84.75,76.8701,83.76,84.89,3685980.0,83.41
2015-07-17,83.55,76.3195,83.16,83.65,2931494.0,82.76
2015-07-20,83.06,75.4843,82.25,83.29,4290853.0,82.14
2015-07-21,81.8,75.4568,82.22,82.89,4691867.0,81.25
2015-07-22,81.0,73.1991,79.76,81.12,10152585.0,79.15
2015-07-23,77.7,70.556,76.88,79.04,13909914.0,76.65
2015-07-24,76.91,69.8402,76.1,77.09,9174803.0,75.85
2015-07-27,75.18,69.1244,75.32,75.72,10269561.0,74.77
2015-07-28,75.92,71.382,77.78,78.15,15697569.0,75.79
2015-07-29,77.3,70.969,77.33,77.46,13794814.0,76.51
2015-07-30,76.98,71.9051,78.35,78.37,7385967.0,76.68
2015-07-31,78.6,72.1621,78.63,79.04,6203569.0,78.15
2015-08-03,78.42,70.9048,77.26,78.43,6443173.0,76.75
2015-08-04,77.33,70.2991,76.6,77.86,5822280.0,76.32
2015-08-05,77.5,70.556,76.88,77.922,4161973.0,76.72
2015-08-06,76.98,71.0883,77.46,77.65,5609216.0,76.183
2015-08-07,77.52,70.9323,77.29,78.15,7851288.0,76.94
2015-08-10,78.04,73.5662,80.16,80.31,9041444.0,77.9
2015-08-11,78.73,71.6206,78.04,78.93,8992532.0,77.2301
2015-08-12,77.31,72.4282,78.92,79.12,9362928.0,76.92
2015-08-13,78.55,71.3636,77.76,78.58,5662297.0,77.7
2015-08-14,77.66,72.0336,78.49,78.73,3811537.0,77.601
2015-08-17,78.13,72.0795,78.54,78.64,5226840.0,77.21
2015-08-18,78.51,72.3365,78.82,79.0,5146351.0,78.18
2015-08-19,78.25,71.0424,77.41,78.54,5861319.0,77.05
2015-08-20,77.28,70.1247,76.41,77.83,7767308.0,76.41
2015-08-21,75.94,68.8307,75.0,76.3,11804525.0,74.96
2015-08-24,71.82,66.83,72.82,74.88,15207831.0,70.23
2015-08-25,75.22,66.1325,72.06,75.49,9423747.0,72.03
2015-08-26,73.82,67.7936,73.87,74.08,8285786.0,72.53
2015-08-27,75.04,69.4364,75.66,76.22,8537646.0,74.2299
2015-08-28,75.19,69.7025,75.95,76.015,6649476.0,74.63
2015-08-31,75.32,70.1522,76.44,76.77,7019552.0,74.9
2015-09-01,74.5,68.7389,74.9,75.94,9053087.0,74.4599
2015-09-02,75.9,69.8402,76.1,76.16,5325772.0,74.95
2015-09-03,75.95,68.3259,74.45,76.005,11077090.0,73.775
2015-09-04,73.0,67.087,73.1,73.66,12007985.0,72.35
2015-09-08,74.58,68.1883,74.3,74.62,5647496.0,73.56
2015-09-09,75.0,66.9585,72.96,75.2,5859208.0,72.78
2015-09-10,72.89,66.4629,72.42,73.31,6106852.0,72.03
2015-09-11,72.23,66.6556,72.63,72.92,4413604.0,71.879
2015-09-14,72.35,66.7841,72.77,72.89,4232153.0,72.01
2015-09-15,73.02,68.4452,74.58,74.74,5109378.0,72.645
2015-09-16,74.85,69.418,75.64,75.87,5225786.0,74.58
2015-09-17,75.4,67.968,74.06,75.6802,7744980.0,73.91
2015-09-18,73.33,65.949,71.86,73.5,9260117.0,71.61
2015-09-21,72.3,66.2243,72.16,72.839,7594884.0,71.91
2015-09-22,71.12,65.7838,71.68,71.8,5717210.0,70.64
2015-09-23,71.67,64.4255,70.2,71.81,4754274.0,70.16
2015-09-24,66.2,60.3875,65.8,66.7,22583768.0,64.65
2015-09-25,65.0,59.6349,64.98,65.77,12364679.0,64.74
2015-09-28,64.24,58.5428,63.79,64.32,12513909.0,62.99
2015-09-29,63.65,59.02,64.31,65.385,8784296.0,63.6
2015-09-30,64.95,59.9836,65.36,65.64,7829920.0,64.15
2015-10-01,65.63,59.0934,64.39,66.1,7932800.0,63.61
2015-10-02,63.79,60.2957,65.7,65.73,8782179.0,63.1
2015-10-05,66.69,63.4894,69.18,69.48,10658962.0,66.515
2015-10-06,69.54,64.9945,70.82,71.15,9664015.0,69.08
2015-10-07,71.36,64.5907,70.38,72.71,8395534.0,69.15
2015-10-08,70.32,65.9306,71.84,72.18,6091642.0,69.85
2015-10-09,72.34,65.435,71.3,72.49,5573530.0,70.86
2015-10-12,71.51,64.7008,70.5,71.53,4643461.0,70.32
2015-10-13,69.96,64.398,70.17,71.03,4724800.0,69.26
2015-10-14,70.11,64.8936,70.71,71.06,4042585.0,69.57
2015-10-15,70.47,65.0037,70.83,70.915,4547862.0,69.76
2015-10-16,70.62,63.9483,69.68,70.835,8309903.0,69.111
2015-10-19,69.25,63.572,69.27,69.47,5711976.0,68.8
2015-10-20,68.86,64.4898,70.27,71.19,6385839.0,68.51
2015-10-21,70.59,63.9391,69.67,71.9,8727727.0,69.58
2015-10-22,67.92,65.7562,70.88,72.83,13908496.0,67.81
2015-10-23,71.71,66.5634,71.75,72.43,7942513.0,70.66
2015-10-26,71.79,66.35,71.52,72.3,6254526.0,71.42
2015-10-27,70.18,65.3017,70.39,71.08,8280476.0,68.34
2015-10-28,70.75,66.7675,71.97,72.11,5486887.0,70.476
2015-10-29,71.49,66.7675,71.97,72.57,4320856.0,71.28
2015-10-30,72.27,67.7137,72.99,73.28,7388715.0,71.63
2015-11-02,73.0,68.9661,74.34,74.64,5876460.0,72.83
2015-11-03,74.44,69.3465,74.75,75.32,5006020.0,74.2
2015-11-04,75.34,69.1609,74.55,75.93,5478414.0,74.3275
2015-11-05,74.65,68.8548,74.22,75.56,6238869.0,73.21
2015-11-06,73.42,68.5023,73.84,73.85,5538088.0,72.33
2015-11-09,73.43,66.6932,71.89,73.605,5914678.0,71.48
2015-11-10,71.79,67.1942,72.43,72.58,4373753.0,71.63
2015-11-11,72.54,66.7118,71.91,72.85,4190694.0,71.82
2015-11-12,70.82,63.6967,68.66,70.99,8731737.0,68.41
2015-11-13,68.7,64.5966,69.63,70.13,6429566.0,68.5
2015-11-16,69.48,65.3017,70.39,70.62,5167643.0,69.23
2015-11-17,70.13,64.374,69.39,70.36,4811991.0,69.05
2015-11-18,69.9,65.2367,70.32,70.45,3788000.0,69.378
2015-11-19,69.5,64.9584,70.02,70.11,6294556.0,68.6
2015-11-20,70.48,65.9974,71.14,71.21,6494967.0,70.1601
2015-11-23,70.98,65.8861,71.02,71.9,3847426.0,70.885
2015-11-24,70.78,66.2387,71.4,71.7099,3846515.0,70.44
2015-11-25,71.74,66.3221,71.49,71.89,3492996.0,70.725
2015-11-27,71.18,66.0717,71.22,71.53,1642061.0,70.7
2015-11-30,71.33,67.3983,72.65,72.79,5632804.0,71.15
2015-12-01,72.33,66.3871,71.56,72.64,6578315.0,70.85
2015-12-02,71.2,65.8954,71.03,72.13,5068182.0,70.62
2015-12-03,71.15,64.6059,69.64,71.22,8130772.0,69.37
2015-12-04,69.36,64.9213,69.98,70.03,5251614.0,68.8
2015-12-07,68.68,63.4184,68.36,68.73,6805815.0,67.72
2015-12-08,66.99,61.73,66.54,67.16,6865450.0,66.18
2015-12-09,66.3,61.1455,65.91,67.02,8578009.0,65.16
2015-12-10,65.98,61.5815,66.38,67.09,5768742.0,65.91
2015-12-11,65.38,60.7002,65.43,66.1,7564406.0,64.48
2015-12-14,65.63,61.3403,66.12,66.18,7370202.0,64.73
2015-12-15,65.46,61.9248,66.75,66.96,6061216.0,65.24
2015-12-16,66.22,62.8247,67.72,67.88,6746502.0,66.14
2015-12-17,67.18,60.2085,64.9,67.505,6799955.0,64.88
2015-12-18,64.6,60.4033,65.11,65.87,13435478.0,64.1
2015-12-21,65.59,60.5239,65.24,65.82,5311466.0,64.38
2015-12-22,66.25,63.4648,68.41,68.79,9696381.0,66.11
2015-12-23,69.59,64.8378,69.89,70.49,7586025.0,68.985
2015-12-24,69.75,64.3647,69.38,69.9,2322144.0,69.06
2015-12-28,69.12,63.6225,68.58,69.18,3883803.0,68.03
2015-12-29,69.22,64.1884,69.19,69.57,3539271.0,68.62
2015-12-30,68.66,63.7246,68.69,69.63,3158522.0,68.57
2015-12-31,68.45,63.0473,67.96,69.1,4356422.0,67.94
2016-01-04,66.88,63.0752,67.99,68.085,8586461.0,65.72
2016-01-05,68.38,62.4165,67.28,68.44,6132939.0,66.42
2016-01-06,65.98,61.4331,66.22,66.85,6639083.0,65.62
2016-01-07,65.08,59.3179,63.94,65.5246,8601168.0,63.66
2016-01-08,64.33,58.7149,63.29,64.53,8277398.0,62.93
2016-01-11,63.67,57.0265,61.47,63.7,9669268.0,60.85
2016-01-12,62.44,57.1471,61.6,62.5,8592650.0,60.39
2016-01-13,62.07,56.4884,60.89,62.76,7237267.0,60.39
2016-01-14,61.24,57.7686,62.27,62.97,9241746.0,60.38
2016-01-15,59.52,56.2565,59.87,60.09,12674231.0,58.75
2016-01-19,60.26,55.4672,59.03,60.54,8500032.0,58.48
2016-01-20,58.08,55.2604,58.81,59.38,10857465.0,56.36
2016-01-21,59.0,56.0873,59.69,60.42,8798165.0,58.25
2016-01-22,61.23,57.2995,60.98,62.56,7811195.0,60.6
2016-01-25,58.96,54.4148,57.91,59.35,10969851.0,57.76
2016-01-26,58.4,55.5893,59.16,59.66,8138377.0,58.09
2016-01-27,58.43,54.8,58.32,59.89,11007841.0,57.46
2016-01-28,62.01,57.3934,61.08,62.45,13566430.0,58.57
2016-01-29,61.69,58.4834,62.24,62.29,8220636.0,60.76
2016-02-01,61.97,58.9157,62.7,63.08,5955617.0,61.378
2016-02-02,61.28,57.0082,60.67,61.55,6281128.0,60.48
2016-02-03,61.47,59.4513,63.27,63.6,8331773.0,59.8
2016-02-04,63.6,61.9789,65.96,66.99,12598022.0,63.6
2016-02-05,65.67,62.1292,66.12,66.76,7462074.0,65.18
2016-02-08,65.42,60.6822,64.58,65.64,6315489.0,63.66
2016-02-09,63.9,60.0714,63.93,64.41,5637846.0,63.12
2016-02-10,64.27,58.3895,62.14,64.38,5954833.0,62.0
2016-02-11,60.91,57.7035,61.41,62.31,7054856.0,60.51
2016-02-12,61.99,59.3385,63.15,63.47,4297399.0,61.82
2016-02-16,64.16,61.2742,65.21,65.55,4819113.0,63.51
2016-02-17,66.0,63.2004,67.26,67.79,7373571.0,65.72
2016-02-18,67.15,62.1292,66.12,67.6,6175536.0,65.14
2016-02-19,64.92,61.4715,65.42,65.52,4994861.0,64.08
2016-02-22,66.41,63.2474,67.31,67.52,5787709.0,66.35
