Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,115.38,104.9037,114.44,115.77,641045.0,113.6
2015-01-05,114.71,103.1895,112.57,114.71,1088277.0,112.26
2015-01-06,113.06,102.282,111.58,113.2,1241733.0,111.09
2015-01-07,112.6,103.7395,113.17,113.27,957721.0,111.86
2015-01-08,113.99,105.417,115.0,115.25,1055065.0,113.8
2015-01-09,114.58,103.9229,113.37,115.03,812907.0,113.21
2015-01-12,113.19,102.667,112.0,113.82,543932.0,111.57
2015-01-13,113.14,102.8229,112.17,114.23,909968.0,111.64
2015-01-14,107.5,100.6962,109.85,110.79,907309.0,107.5
2015-01-15,110.47,100.6687,109.82,111.24,743725.0,109.59
2015-01-16,109.66,102.4378,111.75,111.83,949250.0,109.66
2015-01-20,112.14,101.2645,110.47,112.37,1223834.0,109.84
2015-01-21,110.32,101.3287,110.54,111.07,1029028.0,109.55
2015-01-22,111.68,103.9779,113.43,113.575,1311457.0,110.755
2015-01-23,113.49,103.4737,112.88,113.71,783885.0,112.61
2015-01-26,112.49,103.492,112.9,113.22,755927.0,111.94
2015-01-27,112.4,102.0253,111.3,112.47,604885.0,111.29
2015-01-28,112.03,100.192,109.3,112.89,1092502.0,109.21
2015-01-29,109.59,100.9528,110.13,110.205,1146251.0,108.43
2015-01-30,109.18,98.9637,107.96,109.65,2861712.0,107.86
2015-02-02,107.9,100.2012,109.31,109.44,2763284.0,107.23
2015-02-03,110.05,101.7595,111.01,111.06,2618240.0,109.52
2015-02-04,110.85,102.3187,111.62,112.295,1669378.0,110.43
2015-02-05,111.23,103.6754,113.1,113.36,968078.0,110.89
2015-02-06,113.51,103.4737,112.88,113.83,1113376.0,112.68
2015-02-09,112.07,102.6395,111.97,112.56,857602.0,111.71
2015-02-10,113.0,102.4378,111.75,113.0,1140579.0,111.63
2015-02-11,111.97,103.0887,112.46,112.8,793175.0,111.67
2015-02-12,112.53,103.547,112.96,113.06,1006271.0,112.31
2015-02-13,112.48,103.6295,113.05,113.45,697843.0,112.33
2015-02-17,113.56,104.4179,113.91,114.35,1402473.0,112.94
2015-02-18,113.79,104.2345,113.71,113.99,957787.0,113.05
2015-02-19,113.49,104.427,113.92,114.28,772042.0,113.2
2015-02-20,113.58,104.9587,114.5,114.73,1919830.0,112.97
2015-02-23,114.24,104.097,113.56,114.32,1727508.0,113.15
2015-02-24,113.46,104.9679,114.51,114.69,1270135.0,113.31
2015-02-25,114.04,104.7112,114.23,114.93,992927.0,114.04
2015-02-26,114.11,105.2154,114.78,114.88,1018737.0,113.96
2015-02-27,115.01,104.5095,114.01,115.1,1109133.0,113.99
2015-03-02,113.64,104.8395,114.37,114.67,1047097.0,113.6
2015-03-03,113.85,104.3445,113.83,114.47,977152.0,113.18
2015-03-04,113.75,103.217,112.6,113.75,1029863.0,112.34
2015-03-05,112.6,103.7579,113.19,113.34,866006.0,112.42
2015-03-06,113.09,102.6487,111.98,113.81,1769364.0,111.8
2015-03-09,112.15,103.4279,112.83,113.17,771574.0,111.92
2015-03-10,111.75,100.9345,110.11,112.01,1309569.0,110.08
2015-03-11,110.11,102.1078,110.82,111.17,820983.0,110.11
2015-03-12,111.52,103.8308,112.69,112.801,817905.0,111.41
2015-03-13,112.53,102.9555,111.74,112.67,1138487.0,111.15
2015-03-16,112.14,105.0379,114.0,114.16,1152157.0,111.88
2015-03-17,113.34,104.4482,113.36,113.82,791164.0,112.7
2015-03-18,113.3,105.7289,114.75,115.26,1539732.0,112.635
2015-03-19,114.68,104.743,113.68,115.06,980869.0,113.42
2015-03-20,113.63,104.614,113.54,114.1399,2168983.0,113.41
2015-03-23,113.83,104.614,113.54,114.7,1507660.0,113.54
2015-03-24,113.13,103.5176,112.35,113.69,673709.0,112.34
2015-03-25,112.22,102.8173,111.59,112.99,732033.0,111.59
2015-03-26,110.84,102.5133,111.26,111.87,1311894.0,110.84
2015-03-27,110.84,102.7805,110.9,111.3,1246024.0,110.44
2015-03-30,111.41,103.9945,112.21,112.72,734812.0,111.25
2015-03-31,111.24,103.3273,111.49,112.01,1497099.0,110.68
2015-04-01,112.46,102.8639,110.99,112.72,1185426.0,110.73
2015-04-02,110.95,103.0585,111.2,111.53,913171.0,110.62
2015-04-06,110.42,103.1141,111.26,111.82,807109.0,110.14
2015-04-07,111.27,103.1975,111.35,111.89,488335.0,111.13
2015-04-08,111.16,103.0956,111.24,111.93,1590830.0,110.91
2015-04-09,111.21,103.5775,111.76,111.97,993452.0,110.97
2015-04-10,111.79,103.7072,111.9,112.12,984652.0,111.49
2015-04-13,111.65,103.7443,111.94,112.58,982712.0,111.65
2015-04-14,111.48,103.7165,111.91,111.99,1015520.0,110.86
2015-04-15,112.06,103.6794,111.87,112.63,826392.0,111.76
2015-04-16,111.79,104.1428,112.37,112.66,1155029.0,111.22
2015-04-17,111.52,102.0761,110.14,111.71,1883935.0,109.76
2015-04-20,110.79,103.0214,111.16,111.49,1075932.0,110.76
2015-04-21,111.22,101.0288,109.01,111.33,1777444.0,108.8106
2015-04-22,108.28,99.963,107.86,109.29,1544473.0,106.82
2015-04-23,107.58,100.3801,108.31,108.61,1477415.0,107.44
2015-04-24,108.51,100.5654,108.51,108.81,1105269.0,108.0
2015-04-27,108.93,99.9816,107.88,108.98,1338400.0,107.65
2015-04-28,107.46,100.7971,108.76,109.08,1291826.0,107.46
2015-04-29,108.57,100.1299,108.04,108.87,710343.0,107.73
2015-04-30,108.25,99.1567,106.99,108.75,1531525.0,106.7
2015-05-01,107.38,99.7499,107.63,107.87,1168160.0,107.01
2015-05-04,107.68,99.5738,107.44,108.031,764802.0,107.28
2015-05-05,106.95,99.2401,107.08,107.73,893530.0,106.8
2015-05-06,107.38,99.0919,106.92,107.5,1260653.0,106.27
2015-05-07,107.09,99.7684,107.65,107.98,809485.0,106.47
