Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,34.51,34.67,34.67,34.73,1406667.0,34.27
2015-01-05,34.31,33.92,33.92,34.46,1349336.0,33.855
2015-01-06,34.04,33.66,33.66,34.16,1516066.0,33.385
2015-01-07,33.89,34.01,34.01,34.07,1250670.0,33.66
2015-01-08,34.24,34.75,34.75,34.75,1810019.0,34.04
2015-01-09,34.86,34.65,34.65,34.87,955740.0,34.5
2015-01-12,34.79,34.5,34.5,34.8,970537.0,34.29
2015-01-13,34.71,34.09,34.09,34.83,1224471.0,33.83
2015-01-14,33.7,33.76,33.76,34.01,1866021.0,33.345
2015-01-15,33.87,33.24,33.24,34.04,1497681.0,33.2
2015-01-16,33.13,33.09,33.09,33.38,3984204.0,32.78
2015-01-20,33.15,32.95,32.95,33.3,2048186.0,32.81
2015-01-21,32.87,32.64,32.64,33.0,3391844.0,32.55
2015-01-22,32.95,33.11,33.11,33.19,6393320.0,32.56
2015-01-23,33.11,32.95,32.95,33.38,2488518.0,32.94
2015-01-26,32.93,33.27,33.27,33.52,2046699.0,32.695
2015-01-27,32.99,33.23,33.23,33.44,2331794.0,32.98
2015-01-28,33.49,32.72,32.72,33.57,2103405.0,32.7
2015-01-29,32.74,32.99,32.99,33.04,2218656.0,32.6001
2015-01-30,32.77,32.34,32.34,32.86,1856307.0,32.29
2015-02-02,32.49,32.57,32.57,32.61,2998577.0,31.75
2015-02-03,32.83,33.68,33.68,33.705,4079879.0,32.76
2015-02-04,33.52,33.74,33.74,33.85,2640733.0,33.26
2015-02-05,33.96,34.78,34.78,34.92,2855641.0,33.96
2015-02-06,34.89,33.92,33.92,34.89,2299575.0,33.78
2015-02-09,33.7,34.03,34.03,34.08,1836833.0,33.68
2015-02-10,34.3,34.6,34.6,34.65,1426106.0,34.01
2015-02-11,34.61,34.72,34.72,34.81,1607799.0,34.25
2015-02-12,34.72,35.13,35.13,35.13,1018236.0,34.6
2015-02-13,35.0,34.96,34.96,35.03,1069082.0,34.735
2015-02-17,35.03,34.77,34.77,35.08,1323767.0,34.69
2015-02-18,34.66,35.0,35.0,35.01,1710144.0,34.518
2015-02-19,34.77,34.56,34.56,34.85,920103.0,34.54
2015-02-20,34.46,34.76,34.76,34.84,1397378.0,34.28
2015-02-23,34.81,34.89,34.89,34.91,987389.0,34.65
2015-02-24,34.86,34.67,34.67,34.86,987512.0,34.41
2015-02-25,34.67,34.78,34.78,34.995,1217922.0,34.61
2015-02-26,34.69,34.46,34.46,34.74,699204.0,34.325
2015-02-27,34.39,34.26,34.26,34.53,801182.0,34.25
2015-03-02,34.34,34.81,34.81,34.84,1450101.0,34.27
2015-03-03,34.64,34.48,34.48,34.66,1319732.0,34.27
2015-03-04,34.43,34.21,34.21,34.54,1264415.0,34.19
2015-03-05,34.32,34.53,34.53,34.69,2647439.0,34.06
2015-03-06,34.4,34.66,34.66,34.8,3895435.0,34.32
2015-03-09,34.7,34.87,34.87,34.97,1333458.0,34.65
2015-03-10,34.65,34.12,34.12,34.88,1533625.0,34.11
2015-03-11,34.16,34.14,34.14,34.37,1018715.0,33.97
2015-03-12,34.35,34.99,34.99,35.01,1177475.0,34.34
2015-03-13,34.94,34.54,34.54,35.2,1796477.0,34.42
2015-03-16,34.74,35.01,35.01,35.04,1689836.0,34.71
2015-03-17,34.85,34.93,34.93,35.02,1226294.0,34.66
2015-03-18,34.86,35.81,35.81,36.08,1771248.0,34.7
2015-03-19,35.74,35.74,35.74,35.91,1225053.0,35.54
2015-03-20,35.85,36.79,36.79,36.85,3055457.0,35.85
2015-03-23,36.77,36.58,36.58,36.87,1770701.0,36.58
2015-03-24,36.44,36.06,36.06,36.49,908175.0,36.04
2015-03-25,36.12,35.49,35.49,36.185,1160964.0,35.48
2015-03-26,35.37,35.65,35.65,35.82,1141405.0,35.3
2015-03-27,35.68,35.93,35.93,35.97,1107175.0,35.54
2015-03-30,36.16,36.41,36.41,36.51,977723.0,36.06
2015-03-31,36.89,38.71,38.71,38.99,5689124.0,36.71
2015-04-01,38.81,38.83,38.83,39.0,2367674.0,38.37
2015-04-02,38.79,38.89,38.89,39.335,2409958.0,38.69
2015-04-06,38.8,38.92,38.92,39.03,1293315.0,38.73
2015-04-07,38.83,38.35,38.35,38.89,1258721.0,38.34
2015-04-08,38.49,38.43,38.43,38.66,1700929.0,38.07
2015-04-09,38.34,38.65,38.65,38.79,1150234.0,38.27
2015-04-10,38.81,38.51,38.51,39.05,790907.0,38.39
2015-04-13,38.49,38.58,38.58,38.85,851043.0,38.35
2015-04-14,38.61,38.32,38.32,38.84,796673.0,38.225
2015-04-15,38.52,38.41,38.41,38.64,970008.0,38.31
2015-04-16,38.13,38.88,38.88,38.95,1391088.0,38.09
2015-04-17,38.59,38.42,38.42,38.71,1268956.0,38.1
2015-04-20,38.58,38.54,38.54,38.67,912601.0,38.37
2015-04-21,38.65,38.33,38.33,38.67,896353.0,38.28
2015-04-22,38.39,38.33,38.33,38.55,1422680.0,38.1
2015-04-23,38.17,38.23,38.23,38.315,1520390.0,37.93
2015-04-24,38.33,38.49,38.49,38.71,1165860.0,38.27
2015-04-27,38.62,38.36,38.36,38.935,1367234.0,38.3
2015-04-28,38.42,38.66,38.66,38.75,1484434.0,38.24
2015-04-29,39.0,38.59,38.59,39.77,2325173.0,37.95
2015-04-30,38.55,38.34,38.34,38.855,2097369.0,38.08
2015-05-01,38.64,38.51,38.51,38.73,968924.0,38.28
2015-05-04,38.58,38.58,38.58,38.79,1018232.0,38.22
2015-05-05,38.31,37.28,37.28,38.344,1796706.0,37.26
2015-05-06,37.29,36.87,36.87,37.48,1645759.0,36.52
2015-05-07,36.92,37.01,37.01,37.2,2021346.0,36.71
2015-05-08,37.58,37.55,37.55,37.9,1763441.0,37.46
2015-05-11,37.43,38.33,38.33,38.53,3682306.0,37.37
2015-05-12,38.04,37.57,37.57,38.0434,1647395.0,37.36
2015-05-13,37.57,37.6,37.6,37.88,1893386.0,37.27
2015-05-14,37.93,38.52,38.52,38.55,2622694.0,37.67
2015-05-15,38.67,38.57,38.57,38.72,1265542.0,38.37
2015-05-18,38.43,38.72,38.72,38.81,1241019.0,38.35
2015-05-19,38.74,38.69,38.69,38.87,1316070.0,38.53
2015-05-20,38.8,38.68,38.68,39.0,1097410.0,38.51
2015-05-21,38.64,38.25,38.25,38.76,1633743.0,37.99
2015-05-22,38.21,38.29,38.29,38.44,1137238.0,37.96
2015-05-26,38.23,38.36,38.36,38.45,1629089.0,37.93
2015-05-27,38.51,38.61,38.61,38.66,1904690.0,38.22
2015-05-28,38.49,38.32,38.32,38.624,1108266.0,38.16
2015-05-29,38.37,38.24,38.24,38.37,2458592.0,37.85
2015-06-01,38.36,38.48,38.48,38.64,1921145.0,38.08
2015-06-02,38.23,38.44,38.44,38.71,1405026.0,37.88
2015-06-03,38.41,38.15,38.15,38.5,969237.0,37.99
2015-06-04,38.0,37.91,37.91,38.05,1803783.0,37.76
2015-06-05,37.65,37.42,37.42,37.86,1498468.0,37.39
2015-06-08,37.53,36.85,36.85,37.54,1394506.0,36.83
2015-06-09,36.9,36.6,36.6,37.08,1472787.0,36.47
2015-06-10,36.68,37.1,37.1,37.29,1724939.0,36.68
2015-06-11,37.3,37.32,37.32,37.5,1169596.0,37.12
2015-06-12,37.18,37.29,37.29,37.41,846165.0,37.1
2015-06-15,37.05,36.57,36.57,37.1,1602617.0,36.54
2015-06-16,36.52,36.53,36.53,36.82,1405508.0,36.36
2015-06-17,36.57,36.7,36.7,36.77,1172862.0,36.28
2015-06-18,36.8,37.72,37.72,37.89,2511464.0,36.8
2015-06-19,37.19,37.12,37.12,37.54,1615387.0,36.95
2015-06-22,37.37,37.11,37.11,37.37,1028804.0,37.08
2015-06-23,37.38,37.39,37.39,37.5,1259980.0,37.07
2015-06-24,37.37,37.29,37.29,37.71,1553768.0,37.09
2015-06-25,37.33,37.21,37.21,37.34,1251242.0,37.04
2015-06-26,37.2,37.49,37.49,37.52,3300208.0,36.875
2015-06-29,37.23,36.51,36.51,37.5,1856789.0,36.45
2015-06-30,36.79,37.0,37.0,37.34,1897212.0,36.64
2015-07-01,37.37,37.52,37.52,37.54,1538872.0,36.99
2015-07-02,37.68,37.68,37.68,37.9,1728582.0,37.37
2015-07-06,37.35,37.43,37.43,37.75,1327841.0,37.2
2015-07-07,37.57,38.05,38.05,38.09,1824135.0,37.14
2015-07-08,37.75,37.31,37.31,37.94,1586595.0,37.22
2015-07-09,37.75,37.2,37.2,37.82,1114818.0,37.137
2015-07-10,37.73,37.6,37.6,37.7441,1121358.0,37.355
2015-07-13,38.02,37.8,37.8,38.09,1252057.0,37.59
2015-07-14,37.86,38.02,38.02,38.18,214452.0,37.74
2015-07-15,37.99,38.04,38.04,38.05,365730.0,37.66
2015-07-16,38.32,38.37,38.37,38.42,953131.0,38.175
2015-07-17,38.36,37.52,37.52,38.45,1500655.0,37.48
2015-07-20,37.53,38.02,38.02,38.03,1044578.0,37.44
2015-07-21,37.99,38.34,38.34,38.39,1333590.0,37.82
2015-07-22,38.28,38.47,38.47,38.69,2255485.0,38.191
2015-07-23,38.48,38.56,38.56,38.76,1453623.0,38.395
2015-07-24,38.48,37.69,37.69,38.5862,1982670.0,37.575
2015-07-27,37.52,37.37,37.37,37.6,1293671.0,37.2
2015-07-28,37.52,37.75,37.75,37.88,1366899.0,37.2
2015-07-29,37.69,37.18,37.18,37.69,2262923.0,36.81
2015-07-30,37.18,37.59,37.59,37.64,1552719.0,36.97
2015-07-31,37.69,37.97,37.97,38.26,1968453.0,37.5
2015-08-03,37.94,37.75,37.75,38.285,1804440.0,37.37
2015-08-04,37.8,37.63,37.63,37.83,935210.0,37.5
2015-08-05,37.91,38.0,38.0,38.14,1073497.0,37.7
2015-08-06,38.0,37.54,37.54,38.0,1461813.0,37.04
2015-08-07,37.52,37.46,37.46,37.52,1090620.0,37.12
2015-08-10,37.83,38.3,38.3,38.36,1319434.0,37.66
2015-08-11,38.07,38.5,38.5,38.63,2166515.0,38.01
2015-08-12,37.96,37.54,37.54,37.98,2207889.0,36.94
2015-08-13,37.47,38.02,38.02,38.06,1597898.0,37.25
2015-08-14,37.9,38.23,38.23,38.31,1195561.0,37.69
2015-08-17,38.07,37.91,37.91,38.29,1314459.0,37.715
2015-08-18,37.88,37.59,37.59,38.0,1515457.0,37.545
2015-08-19,37.45,37.31,37.31,37.56,1570386.0,36.9
2015-08-20,36.86,36.28,36.28,37.09,1510180.0,36.23
2015-08-21,36.0,34.92,34.92,36.0,2431845.0,34.91
2015-08-24,33.03,32.47,32.47,33.6,4256829.0,31.28
2015-08-25,33.35,31.57,31.57,33.35,2423266.0,31.53
2015-08-26,32.52,32.15,32.15,32.7,6027826.0,31.67
2015-08-27,32.61,32.59,32.59,33.03,4836387.0,32.09
2015-08-28,32.48,32.53,32.53,32.74,2932951.0,32.27
2015-08-31,32.43,32.02,32.02,32.68,3284672.0,31.94
2015-09-01,31.31,31.15,31.15,31.63,3219374.0,30.85
2015-09-02,31.77,32.33,32.33,32.33,3550298.0,31.5
2015-09-03,32.43,32.78,32.78,33.05,3795752.0,31.96
2015-09-04,32.2,31.79,31.79,32.3,2624077.0,31.525
2015-09-08,32.38,32.62,32.62,32.84,2679115.0,32.09
2015-09-09,33.0,32.3,32.3,33.32,2374086.0,32.21
2015-09-10,32.19,32.52,32.52,32.84,2482560.0,32.07
2015-09-11,32.35,32.77,32.77,32.89,1817735.0,32.21
2015-09-14,32.84,32.29,32.29,32.84,1903585.0,32.2
2015-09-15,32.36,32.97,32.97,33.05,3677457.0,32.16
2015-09-16,32.93,33.3,33.3,33.505,2036909.0,32.82
2015-09-17,33.16,33.37,33.37,34.04,2257635.0,33.03
2015-09-18,32.28,33.23,33.23,33.37,4827872.0,31.54
2015-09-21,33.31,33.55,33.55,33.86,2083902.0,33.25
2015-09-22,33.17,32.91,32.91,33.35,2119537.0,32.695
2015-09-23,33.01,33.3,33.3,33.43,1894926.0,32.845
2015-09-24,32.98,32.74,32.74,33.28,2341123.0,32.37
