Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,738551.0,274.23,272.99,277.9,278.72,50.0845
2015-01-05,844844.0,279.2,275.155,276.95,281.94,49.9133
2015-01-06,1114277.0,280.02,279.65,282.68,286.52,50.946
2015-01-07,1380285.0,284.77,284.77,290.74,292.72,52.3986
2015-01-08,786204.0,294.2,290.32,294.78,295.13,53.1267
2015-01-09,839746.0,295.27,294.2501,297.18,299.4,53.5593
2015-01-12,1024154.0,295.74,291.01,297.62,300.8,53.6386
2015-01-13,988286.0,299.57,295.01,299.24,303.09,53.9305
2015-01-14,1118408.0,296.07,286.0,289.34,298.41,52.1463
2015-01-15,1236479.0,293.38,288.0,288.74,296.21,52.0382
2015-01-16,881316.0,290.0,288.46,297.63,298.04,53.6404
2015-01-20,1078987.0,302.74,298.39,303.31,306.395,54.664
2015-01-21,387618.0,303.3,299.78,302.26,304.05,54.4748
2015-01-22,578713.0,304.0,302.0,307.25,307.55,55.3741
2015-01-23,587811.0,307.11,301.45,301.75,307.94,54.3829
2015-01-26,304153.0,300.89,299.62,303.82,304.75,54.756
2015-01-27,547395.0,302.0,301.49,306.21,308.317,55.1867
2015-01-28,296824.0,308.31,300.64,301.15,308.31,54.2748
2015-01-29,528849.0,301.6,297.79,306.79,307.01,55.2912
2015-01-30,500589.0,303.77,303.08,305.38,310.615,55.0371
2015-02-02,474116.0,307.43,299.57,304.77,308.0,54.9272
2015-02-03,786030.0,305.04,298.07,301.04,306.95,54.2549
2015-02-04,762217.0,299.15,296.21,297.06,301.85,53.5376
2015-02-05,623974.0,299.64,296.3,299.6,301.81,53.9954
2015-02-06,747090.0,299.79,292.0205,296.64,299.79,53.4619
2015-02-09,454161.0,294.92,294.0,297.01,298.61,53.5286
2015-02-10,473438.0,297.45,293.29,298.04,300.16,53.7143
2015-02-11,627099.0,298.63,296.87,298.79,300.795,53.8494
2015-02-12,484068.0,299.5,297.52,302.6,303.98,54.8064
2015-02-13,516395.0,302.46,300.01,301.4,304.48,54.5891
2015-02-17,787222.0,300.19,296.52,298.71,302.41,54.1019
2015-02-18,1218270.0,291.6,291.26,296.2,299.92,53.6473
2015-02-19,773039.0,296.49,295.0,304.38,306.59,55.1288
2015-02-20,602072.0,303.2,300.95,308.39,308.65,55.8551
2015-02-23,582302.0,308.89,308.89,312.68,313.69,56.6321
2015-02-24,480447.0,311.2,308.32,311.88,314.432,56.4872
2015-02-25,612195.0,312.32,305.88,307.24,313.13,55.6468
2015-02-26,491989.0,306.95,301.63,306.61,308.9,55.5327
2015-02-27,664801.0,306.98,304.88,306.23,308.72,55.4639
2015-03-02,862023.0,305.65,303.305,311.37,313.095,56.3948
2015-03-03,631773.0,310.5,308.8,311.23,312.69,56.3695
2015-03-04,648731.0,310.52,304.18,304.94,313.62,55.2302
2015-03-05,446301.0,304.99,302.42,303.29,306.46,54.9314
2015-03-06,667225.0,301.37,297.0,298.04,302.0,53.9805
2015-03-09,482207.0,299.39,298.57,304.27,305.255,55.1089
2015-03-10,1074499.0,299.45,291.98,292.92,301.16,53.0532
2015-03-11,1163062.0,294.84,290.45,290.77,295.95,52.6638
2015-03-12,472960.0,293.47,289.609,291.9,295.2,52.8685
2015-03-13,460703.0,290.63,289.01,292.64,293.36,53.0025
2015-03-16,439751.0,292.72,291.6732,293.01,295.02,53.0695
2015-03-17,629440.0,291.01,288.93,289.43,293.22,52.4211
2015-03-18,834933.0,287.77,284.851,294.8,296.25,53.3937
2015-03-19,689388.0,292.62,290.0,290.03,294.59,52.5298
2015-03-20,1160437.0,292.29,288.29,290.23,293.09,52.566
2015-03-23,558575.0,291.0,289.66,289.99,292.83,52.5225
2015-03-24,790030.0,288.56,288.0001,295.01,295.68,53.4317
2015-03-25,518254.0,296.41,293.69,293.75,300.59,53.2035
2015-03-26,673884.0,293.37,292.64,294.25,298.12,53.2941
2015-03-27,504900.0,293.54,287.96,288.66,294.25,52.2816
2015-03-30,406157.0,289.68,289.68,290.98,293.15,52.7018
2015-03-31,823902.0,287.94,282.74,283.68,290.19,51.3797
2015-04-01,689193.0,284.69,280.44,284.14,285.88,51.463
2015-04-02,550032.0,282.39,278.5,280.22,285.9,50.753
2015-04-06,568546.0,279.46,278.0,281.32,283.56,50.9522
2015-04-07,461903.0,281.52,280.61,281.25,284.9999,50.9395
2015-04-08,737221.0,281.5,281.5,284.95,286.82,51.6097
2015-04-09,600348.0,283.12,283.12,284.81,287.65,51.5843
2015-04-10,597991.0,284.81,281.63,284.52,286.46,51.5318
2015-04-13,429097.0,286.24,283.31,284.01,287.885,51.4394
2015-04-14,499247.0,283.72,278.98,282.4,283.97,51.1478
2015-04-15,599130.0,282.34,282.34,286.68,288.42,51.923
2015-04-16,759070.0,284.98,284.02,292.96,295.79,53.0604
2015-04-17,836207.0,292.23,290.94,291.23,297.12,52.7471
