Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,19.42,19.5478,19.76,19.895,13561169.0,19.04
2015-01-05,19.33,18.2914,18.49,19.34,13404721.0,18.42
2015-01-06,18.0,17.7968,17.99,18.73,15601629.0,17.77
2015-01-07,18.19,17.7375,17.93,18.3,9675230.0,17.77
2015-01-08,17.96,18.2123,18.41,18.7,15173020.0,17.56
2015-01-09,18.58,18.1727,18.37,18.694,7937569.0,18.02
2015-01-12,18.23,17.5,17.69,18.29,14878739.0,17.63
2015-01-13,17.71,17.7449,17.85,18.03,15405405.0,17.53
2015-01-14,17.48,18.6495,18.76,18.84,24626739.0,17.42
2015-01-15,18.85,18.222,18.33,19.05,17392694.0,18.07
2015-01-16,18.51,18.9179,19.03,19.14,14035477.0,18.4
2015-01-20,18.44,18.9676,19.08,19.45,21904126.0,18.14
2015-01-21,19.27,19.753,19.87,19.91,11799942.0,19.18
2015-01-22,19.95,19.5045,19.62,20.05,13634396.0,18.9
2015-01-23,19.71,19.5442,19.66,20.16,10778136.0,19.52
2015-01-26,19.62,20.0214,20.14,20.26,9409407.0,19.56
2015-01-27,20.01,20.1307,20.25,20.375,9854673.0,19.89
2015-01-28,20.05,19.0173,19.13,20.07,12798762.0,19.11
2015-01-29,19.38,19.0969,19.21,19.49,10816048.0,18.63
2015-01-30,19.0,19.067,19.18,19.48,15389895.0,18.755
2015-02-02,19.56,20.3992,20.52,20.6,16252808.0,19.455
2015-02-03,20.78,20.8863,21.01,21.49,16716096.0,20.63
2015-02-04,20.59,20.3992,20.52,20.8945,18481819.0,20.2
2015-02-05,20.81,20.7272,20.85,21.12,9484464.0,20.55
2015-02-06,21.08,20.6676,20.79,21.22,14353173.0,20.73
2015-02-09,20.96,20.3693,20.49,21.24,9487865.0,20.43
2015-02-10,20.54,20.1109,20.23,20.545,13097806.0,19.88
2015-02-11,20.04,19.9419,20.06,20.1,11543459.0,19.61
2015-02-12,20.44,20.3793,20.5,20.7,7554363.0,20.38
2015-02-13,20.86,20.9559,21.08,21.24,8157485.0,20.73
2015-02-17,20.93,21.1348,21.26,21.29,10236608.0,20.765
2015-02-18,20.94,20.6278,20.75,21.17,13217442.0,20.74
2015-02-19,20.16,20.2799,20.4,20.58,13516272.0,20.07
2015-02-20,20.41,20.1804,20.3,20.65,12571456.0,20.13
2015-02-23,19.95,19.5939,19.71,20.04,13512214.0,19.59
2015-02-24,19.96,19.7629,19.88,20.05,13101473.0,19.63
2015-02-25,18.47,17.8741,17.98,18.55,55061037.0,17.54
2015-02-26,17.72,17.0987,17.2,17.98,38366153.0,17.11
2015-02-27,17.29,16.5818,16.68,17.3,31102448.0,16.63
2015-03-02,16.71,16.5022,16.6,16.71,27733726.0,16.23
2015-03-03,16.6,16.1046,16.2,16.739,25198278.0,16.18
2015-03-04,16.26,15.3988,15.49,16.34,38045476.0,15.32
2015-03-05,15.395,15.8262,15.92,15.98,27400999.0,15.07
2015-03-06,15.81,15.0807,15.17,16.17,40038671.0,15.07
2015-03-09,15.07,14.1561,14.24,15.12,32218906.0,14.22
2015-03-10,14.26,13.7585,13.84,14.32,29754478.0,13.68
2015-03-11,14.02,14.2058,14.29,14.43,31331277.0,13.94
2015-03-12,14.29,13.838,13.92,14.36,20944565.0,13.9
2015-03-13,13.78,13.7187,13.8,13.91,21039339.0,13.475
2015-03-16,13.6,13.8778,13.96,13.99,17314388.0,13.47
2015-03-17,13.73,13.7287,13.81,13.935,14439134.0,13.67
2015-03-18,13.66,14.0468,14.13,14.24,27441740.0,13.55
2015-03-19,13.56,13.4205,13.5,13.8,31062127.0,13.38
2015-03-20,13.68,13.5298,13.61,13.77,27555585.0,13.6
2015-03-23,13.65,14.0269,14.11,14.16,27255079.0,13.63
2015-03-24,14.75,14.176,14.26,14.88,43429110.0,14.155
2015-03-25,14.3,14.2555,14.34,14.43,20372937.0,14.15
2015-03-26,14.64,14.1363,14.22,14.71,24485543.0,14.13
