Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,103.64,102.7393,102.83,104.53,722711.0,102.1
2015-01-05,102.26,100.9709,101.06,102.43,1457672.0,100.67
2015-01-06,101.77,101.3706,101.46,102.56,2241410.0,100.86
2015-01-07,103.72,103.7485,103.84,104.51,1781722.0,103.1
2015-01-08,105.1,109.0338,109.13,109.24,2313860.0,105.0
2015-01-09,109.04,107.9048,108.0,109.16,1307512.0,107.82
2015-01-12,108.55,106.0864,106.18,108.55,1772306.0,105.58
2015-01-13,107.3,106.7358,106.83,109.1,1104225.0,105.86
2015-01-14,105.64,107.3453,107.44,108.33,1762996.0,105.27
2015-01-15,107.57,106.7658,106.86,107.9386,1137366.0,106.11
2015-01-16,106.83,107.7949,107.89,107.97,1451337.0,105.84
2015-01-20,108.37,108.3644,108.46,109.24,1170908.0,107.28
2015-01-21,108.49,110.0329,110.13,110.72,1820969.0,108.02
2015-01-22,110.9,112.0811,112.18,112.18,1664808.0,109.85
2015-01-23,112.19,109.873,109.97,112.95,1229992.0,109.89
2015-01-26,109.74,109.3135,109.41,109.75,1308637.0,108.54
2015-01-27,108.75,108.7341,108.83,109.435,820703.0,108.19
2015-01-28,110.09,108.6042,108.7,110.19,2040509.0,108.54
2015-01-29,108.67,109.5234,109.62,109.86,1354803.0,107.84
2015-01-30,108.67,106.7358,106.83,109.47,1570782.0,106.63
2015-02-02,107.08,107.7849,107.88,107.89,1431133.0,105.23
2015-02-03,107.89,108.6042,108.7,109.09,1395716.0,107.68
2015-02-04,108.34,110.0029,110.1,110.83,1768512.0,107.64
2015-02-05,111.3,112.1211,112.22,113.39,2060912.0,111.25
2015-02-06,112.1,111.6015,111.7,112.79,1355349.0,111.22
2015-02-09,111.48,110.9221,111.02,112.05,1392001.0,110.76
2015-02-10,111.765,113.5998,113.7,113.93,1152074.0,111.73
2015-02-11,113.43,114.9686,115.07,115.27,1421858.0,113.43
2015-02-12,115.89,114.8786,114.98,115.9999,1080178.0,114.21
2015-02-13,114.73,114.3691,114.47,114.73,1103197.0,113.63
2015-02-17,114.26,115.3782,115.48,115.5,1316800.0,113.25
2015-02-18,115.3,115.9077,116.01,116.12,1016196.0,114.65
2015-02-19,115.58,116.0876,116.19,116.92,796619.0,115.3
2015-02-20,116.39,118.4355,118.54,118.61,1591565.0,116.07
2015-02-23,118.87,121.283,121.39,121.5,2298289.0,118.87
2015-02-24,121.37,120.6535,120.76,122.0,1505060.0,120.7
2015-02-25,121.0,121.0732,121.18,121.47,1438136.0,120.31
2015-02-26,120.82,121.4828,121.59,121.89,1524048.0,120.81
2015-02-27,121.58,121.5228,121.63,122.42,1557253.0,121.58
2015-03-02,121.42,122.372,122.48,123.0,2077450.0,121.0199
2015-03-03,122.21,121.0032,121.11,122.45,2265480.0,120.17
2015-03-04,119.25,121.7526,121.86,122.35,2901707.0,118.7
2015-03-05,121.86,122.402,122.51,123.0,1605335.0,121.67
2015-03-06,122.02,120.4637,120.57,122.09,2516791.0,119.82
2015-03-09,120.64,121.9024,122.01,122.29,1617230.0,120.34
2015-03-10,120.92,119.7443,119.81,121.03,1034223.0,119.81
2015-03-11,120.7,120.384,120.45,121.135,1293288.0,119.94
2015-03-12,121.02,122.6827,122.75,122.87,1051821.0,121.015
2015-03-13,122.23,122.8227,122.89,123.2,1029091.0,121.29
2015-03-16,123.29,124.9415,125.01,126.2599,1844381.0,123.0101
2015-03-17,124.62,124.7816,124.85,125.17,1263044.0,123.77
2015-03-18,125.0,127.4201,127.49,128.0,1560044.0,124.6
2015-03-19,127.48,128.0298,128.1,128.86,1290208.0,127.05
2015-03-20,129.22,128.3096,128.38,129.31,2025691.0,127.95
2015-03-23,128.38,128.3496,128.42,129.43,1616127.0,128.21
2015-03-24,128.52,129.499,129.57,130.02,1974048.0,128.32
2015-03-25,130.03,126.8404,126.91,131.06,1647850.0,126.89
2015-03-26,125.87,126.1408,126.21,127.53,1636741.0,125.06
2015-03-27,126.61,128.9093,128.98,129.24,1499362.0,126.61
2015-03-30,130.87,129.8888,129.96,131.13,1436897.0,129.53
2015-03-31,129.1,129.3691,129.44,130.41,1862908.0,128.78
2015-04-01,129.65,130.2986,130.37,130.38,2100723.0,128.04
2015-04-02,130.49,130.3985,130.47,131.58,1468320.0,129.8
2015-04-06,129.81,131.7378,131.81,132.37,1489874.0,129.62
2015-04-07,132.85,129.8088,129.88,133.46,1595094.0,129.88
2015-04-08,130.29,131.4179,131.49,131.5499,1393962.0,130.02
2015-04-09,131.41,132.1076,132.18,132.56,1381382.0,131.19
2015-04-10,132.45,133.2369,133.31,133.32,1667328.0,131.45
2015-04-13,133.51,132.7272,132.8,134.96,1351257.0,132.72
2015-04-14,132.92,132.8272,132.9,133.25,1587262.0,131.42
2015-04-15,133.14,130.1486,130.22,133.59,3103669.0,129.79
2015-04-16,134.49,132.7272,132.8,135.0,1936646.0,132.4401
2015-04-17,132.0,131.0581,131.13,132.575,1134758.0,130.11
2015-04-20,132.28,130.1986,130.27,132.42,1388226.0,130.08
2015-04-21,130.83,130.6284,130.7,131.44,1849435.0,130.2
2015-04-22,131.02,130.1786,130.25,131.31,1242533.0,129.49
2015-04-23,130.15,130.4984,130.57,131.03,1353136.0,129.9
2015-04-24,130.53,130.5884,130.66,130.87,1017630.0,130.24
2015-04-27,131.17,130.1786,130.25,131.68,2818295.0,129.63
2015-04-28,130.61,131.6378,131.71,132.03,2161924.0,128.4401
2015-04-29,130.76,126.6106,126.68,131.53,3426038.0,124.82
2015-04-30,126.36,124.5717,124.64,128.15,2366188.0,124.28
2015-05-01,125.64,125.4212,125.49,126.56,2680513.0,124.5
2015-05-04,126.07,126.6605,126.73,127.78,2158010.0,125.78
2015-05-05,126.1,125.1814,125.25,126.63,1459744.0,124.9419
2015-05-06,126.24,125.2213,125.29,126.5,1384819.0,124.3843
2015-05-07,125.44,126.4207,126.49,127.2,1395684.0,125.23
2015-05-08,127.32,128.4196,128.49,128.98,1333965.0,127.25
2015-05-11,128.56,128.2297,128.3,129.68,1252076.0,127.91
2015-05-12,127.82,131.7877,131.86,132.7433,4212462.0,127.6756
2015-05-13,132.46,131.6178,131.69,133.35,2521009.0,131.3
2015-05-14,132.48,131.7777,131.85,133.07,1460381.0,131.43
