Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,686.0,678.4,678.4,687.47,325015.0,671.0115
2015-01-05,678.4,667.69,667.69,679.92,374414.0,664.2
2015-01-06,666.79,664.38,664.38,672.0,609404.0,653.77
2015-01-07,668.4,694.26,694.26,694.85,685485.0,668.4
2015-01-08,702.5,719.99,719.99,727.97,1171539.0,702.5
2015-01-09,721.85,714.27,714.27,722.17,403975.0,711.96
2015-01-12,718.89,711.7,711.7,718.998,276813.0,709.48
2015-01-13,715.74,714.06,714.06,724.48,348130.0,707.16
2015-01-14,703.21,709.74,709.74,713.023,318743.0,700.0
2015-01-15,709.0,700.78,700.78,715.1,344788.0,698.11
2015-01-16,696.57,711.11,711.11,712.23,316094.0,696.57
2015-01-20,714.89,705.78,705.78,716.0,340908.0,702.5
2015-01-21,704.4,703.89,703.89,710.52,307491.0,702.06
2015-01-22,706.81,713.44,713.44,715.182,301898.0,703.54
2015-01-23,715.48,713.69,713.69,720.9999,324804.0,713.0
2015-01-26,715.34,723.43,723.43,725.86,227992.0,712.37
2015-01-27,718.38,721.33,721.33,724.83,275869.0,716.0
2015-01-28,722.97,711.99,711.99,726.9794,244546.0,710.64
2015-01-29,715.55,714.53,714.53,717.15,273697.0,708.82
2015-01-30,714.64,709.84,709.84,716.98,385772.0,707.72
2015-02-02,713.55,712.55,712.55,716.44,468256.0,700.01
2015-02-03,716.5,726.63,726.63,726.63,1364246.0,710.0
2015-02-04,680.28,676.0,676.0,686.72,2472481.0,667.15
2015-02-05,679.8,670.91,670.91,679.99,830175.0,670.03
2015-02-06,677.0,659.92,659.92,677.89,869927.0,657.975
2015-02-09,655.78,648.01,648.01,658.07,646247.0,647.28
2015-02-10,652.0,665.03,665.03,666.2495,734482.0,648.93
2015-02-11,666.36,669.64,669.64,676.75,528792.0,664.0
2015-02-12,671.08,670.29,670.29,672.24,288687.0,665.26
2015-02-13,671.67,674.89,674.89,678.17,377436.0,667.13
2015-02-17,674.46,670.93,670.93,677.67,280725.0,669.3
2015-02-18,669.96,674.57,674.57,674.95,297038.0,669.0
2015-02-19,674.6,673.28,673.28,682.52,295810.0,672.24
2015-02-20,670.59,674.0,674.0,674.68,266275.0,669.38
2015-02-23,673.47,671.17,671.17,679.72,215912.0,670.0
2015-02-24,670.15,667.91,667.91,673.22,235844.0,666.5178
2015-02-25,670.3,675.52,675.52,678.94,379171.0,668.72
2015-02-26,675.0,670.29,670.29,678.89,281938.0,669.14
2015-02-27,670.5,664.97,664.97,673.59,441099.0,664.97
2015-03-02,664.97,670.86,670.86,673.3,398903.0,663.05
2015-03-03,670.38,668.43,668.43,672.255,264424.0,664.56
2015-03-04,664.6,664.16,664.16,667.0,305978.0,659.25
2015-03-05,667.16,670.49,670.49,671.59,249801.0,666.2
2015-03-06,666.92,658.68,658.68,666.92,381628.0,657.61
2015-03-09,658.01,660.34,660.34,662.98,321824.0,653.37
2015-03-10,657.14,654.74,654.74,658.325,240895.0,652.3
2015-03-11,658.68,660.77,660.77,667.8,351071.0,658.29
2015-03-12,662.53,670.39,670.39,671.59,277180.0,662.33
2015-03-13,668.0,674.51,674.51,677.64,358967.0,667.51
2015-03-16,676.09,678.88,678.88,682.5,275025.0,676.09
2015-03-17,677.0,672.0,672.0,678.46,305615.0,671.01
2015-03-18,669.26,673.28,673.28,674.63,476882.0,662.7
2015-03-19,673.97,680.67,680.67,681.18,390698.0,671.0
2015-03-20,684.96,686.65,686.65,689.23,457284.0,682.44
2015-03-23,685.65,687.34,687.34,692.4306,279898.0,682.833
2015-03-24,686.5,680.81,680.81,689.71,331964.0,680.41
2015-03-25,680.0,665.97,665.97,683.13,370814.0,665.74
2015-03-26,662.27,658.82,658.82,664.87,370439.0,658.07
2015-03-27,660.51,662.72,662.72,668.64,286555.0,658.01
2015-03-30,668.07,655.36,655.36,669.01,419810.0,651.5
2015-03-31,653.82,650.54,650.54,659.255,332107.0,650.54
2015-04-01,650.0,652.53,652.53,653.02,404976.0,644.06
2015-04-02,653.0,652.39,652.39,656.06,308047.0,648.88
2015-04-06,648.48,660.02,660.02,663.29,284243.0,648.0
2015-04-07,659.42,658.46,658.46,664.29,323754.0,654.74
2015-04-08,658.46,654.55,654.55,662.7,549697.0,652.5
2015-04-09,653.79,651.72,651.72,654.5,375246.0,648.57
2015-04-10,666.1,683.02,683.02,685.0,1194216.0,665.0
2015-04-13,680.7,683.73,683.73,687.74,514403.0,677.0
2015-04-14,681.16,677.85,677.85,687.2,438126.0,676.14
2015-04-15,683.26,677.6,677.6,687.76,363695.0,675.59
2015-04-16,678.0,681.55,681.55,684.0,340688.0,677.1241
2015-04-17,678.79,683.95,683.95,685.23,519597.0,673.05
2015-04-20,686.77,686.93,686.93,688.55,435759.0,682.63
2015-04-21,691.4,692.52,692.52,699.03,1883305.0,689.0
2015-04-22,655.13,641.23,641.23,656.99,3774245.0,635.25
2015-04-23,641.98,635.6,635.6,643.48,1093626.0,635.25
2015-04-24,638.58,637.5,637.5,639.73,793655.0,634.129
2015-04-27,640.13,643.75,643.75,646.22,759807.0,636.09
2015-04-28,643.75,639.58,639.58,646.9699,634652.0,636.44
2015-04-29,637.7,630.07,630.07,638.7,788677.0,626.75
2015-04-30,631.99,621.34,621.34,635.0,563401.0,619.72
2015-05-01,628.96,634.0,634.0,634.0,523670.0,626.922
2015-05-04,636.69,633.57,633.57,641.96,318620.0,633.33
2015-05-05,631.84,625.67,625.67,634.95,420963.0,625.19
2015-05-06,625.33,627.23,627.23,627.82,518677.0,618.47
2015-05-07,627.0,628.82,628.82,633.41,318815.0,625.39
2015-05-08,636.0,633.82,633.82,637.7,442391.0,632.05
2015-05-11,630.33,635.67,635.67,637.5,416582.0,628.32
