Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,82.79,77.5959,82.49,83.235,1485267.0,81.73
2015-01-05,81.57,75.8086,80.59,82.16,2683973.0,80.2
2015-01-06,80.73,74.3976,79.09,80.77,2932383.0,78.86
2015-01-07,80.16,75.2442,79.99,80.46,2434464.0,79.71
2015-01-08,80.71,75.9779,80.77,81.3899,2011242.0,80.58
2015-01-09,80.9,74.661,79.37,81.0299,2711562.0,79.36
2015-01-12,79.79,74.3694,79.06,80.0,2381207.0,78.65
2015-01-13,79.75,73.7391,78.39,80.04,3949414.0,77.63
2015-01-14,77.44,72.1964,76.75,77.44,4149363.0,75.5101
2015-01-15,76.71,72.3846,76.95,78.38,3918793.0,76.64
2015-01-16,76.64,72.1024,76.65,77.21,4689852.0,75.55
2015-01-20,76.63,72.7985,77.39,77.62,3295989.0,76.44
2015-01-21,77.08,72.6291,77.21,77.6,2486590.0,76.6
2015-01-22,76.96,71.6791,76.2,77.155,7580269.0,74.75
2015-01-23,76.63,72.996,77.6,78.72,4822781.0,76.63
2015-01-26,77.23,73.551,78.19,78.3,4297938.0,76.5
2015-01-27,77.28,72.2152,76.77,77.58,3205619.0,76.7
2015-01-28,76.66,70.0329,74.45,76.84,4404952.0,74.43
2015-01-29,74.2,70.5126,74.96,75.25,4577701.0,73.895
2015-01-30,74.5,68.8665,73.21,74.91,4937840.0,73.11
2015-02-02,73.7,70.0047,74.42,74.52,3551958.0,72.77
2015-02-03,74.69,71.03,75.51,75.6,2830811.0,74.54
2015-02-04,75.74,70.8325,75.3,76.085,3317898.0,75.08
2015-02-05,75.45,71.5662,75.78,75.96,3303534.0,75.41
2015-02-06,76.32,71.9817,76.22,77.51,3805269.0,76.07
2015-02-09,75.69,72.4539,76.72,77.04,2441454.0,75.29
2015-02-10,77.42,72.775,77.06,77.6,2063309.0,76.75
2015-02-11,77.1,73.0206,77.32,77.575,1923621.0,76.9021
2015-02-12,78.03,74.881,79.29,79.64,3961519.0,77.89
2015-02-13,79.39,74.4938,78.88,79.71,3216127.0,78.645
2015-02-17,78.79,75.5515,80.0,80.28,3469093.0,78.77
2015-02-18,79.73,74.9282,79.34,79.99,2534281.0,79.27
2015-02-19,79.39,75.0038,79.42,79.7499,2190662.0,79.09
2015-02-20,79.2,75.9198,80.39,80.42,2590534.0,78.57
2015-02-23,80.39,75.6082,80.06,80.39,2397464.0,79.38
2015-02-24,79.84,76.0237,80.5,80.82,2225269.0,79.62
2015-02-25,80.18,75.2304,79.66,80.42,3103759.0,79.55
2015-02-26,79.48,74.7488,79.15,79.97,2731679.0,78.72
2015-02-27,78.86,74.3333,78.71,79.41,3329248.0,78.71
2015-03-02,78.34,74.7488,79.15,79.28,3486426.0,78.27
2015-03-03,79.15,74.7394,79.14,79.4199,2257001.0,78.78
2015-03-04,78.95,74.2766,78.65,78.9799,2340494.0,78.25
2015-03-05,78.65,74.5033,78.89,78.97,2043229.0,78.2
2015-03-06,79.55,74.5882,78.98,80.71,3088665.0,78.76
2015-03-09,78.87,75.4004,79.84,80.02,3048141.0,78.62
2015-03-10,79.02,73.3983,77.72,79.115,2864719.0,77.7
2015-03-11,78.05,73.88,78.23,78.531,2259422.0,77.715
2015-03-12,79.04,76.9209,81.45,81.515,4562460.0,79.04
2015-03-13,81.4,75.5515,80.0,81.4,2770505.0,79.27
2015-03-16,80.64,76.9398,81.47,81.77,2888944.0,80.53
2015-03-17,81.0,76.9681,81.5,81.65,2201291.0,80.67
2015-03-18,80.97,77.0814,81.62,81.91,2175866.0,80.51
2015-03-19,81.48,76.1371,80.62,81.59,2653769.0,80.5301
2015-03-20,80.97,76.6187,81.13,81.45,3649608.0,80.76
2015-03-23,81.27,76.732,81.25,81.99,1731483.0,81.18
2015-03-24,80.94,75.6837,80.14,80.96,2118103.0,80.13
2015-03-25,80.18,74.456,78.84,80.18,1918310.0,78.84
2015-03-26,78.8,74.1444,78.51,78.9,2291083.0,77.89
2015-03-27,78.47,74.2766,78.65,79.02,2636339.0,78.05
2015-03-30,79.19,74.796,79.2,79.61,1962706.0,79.06
2015-03-31,78.58,74.4371,78.82,79.185,2666749.0,78.45
2015-04-01,78.83,75.4288,79.87,80.04,3607550.0,78.57
2015-04-02,79.64,75.8443,80.31,80.44,1968462.0,79.46
2015-04-06,79.43,75.8537,80.32,80.84,2099331.0,79.14
2015-04-07,79.86,75.2399,79.67,80.28,2301082.0,79.67
2015-04-08,79.66,75.731,80.19,81.04,2564228.0,79.65
2015-04-09,80.04,75.8915,80.36,80.41,1857790.0,79.62
2015-04-10,80.23,76.1276,80.61,80.66,2233387.0,80.01
2015-04-13,80.61,76.5809,81.09,81.33,1644170.0,80.43
2015-04-14,81.09,76.8265,81.35,81.47,2773762.0,80.77
2015-04-15,81.55,78.2147,82.82,82.96,3696215.0,81.36
2015-04-16,82.62,78.3942,83.01,83.21,2373380.0,82.52
2015-04-17,82.4,77.4403,82.0,82.62,2752579.0,81.822
2015-04-20,82.36,77.6198,82.19,82.64,1700001.0,82.05
2015-04-21,82.5,76.9965,81.53,82.61,2294923.0,81.5
2015-04-22,81.55,77.2137,81.76,81.89,2544289.0,81.04
2015-04-23,81.68,77.3081,81.86,82.34,2361803.0,81.55
2015-04-24,80.09,75.9671,80.44,81.06,3780660.0,79.36
2015-04-27,80.58,75.8915,80.36,81.07,2815742.0,80.3
2015-04-28,80.52,76.2409,80.73,80.92,1783539.0,80.06
2015-04-29,80.6,75.8915,80.36,80.99,1899864.0,79.84
2015-04-30,80.23,76.3543,80.85,80.85,4201151.0,79.82
2015-05-01,81.24,77.3742,81.93,81.99,2840021.0,80.97
2015-05-04,82.0,77.6859,82.26,82.43,1934767.0,81.81
2015-05-05,82.0,77.6953,82.27,83.035,2760834.0,81.94
2015-05-06,82.74,78.0447,82.64,82.99,3284637.0,82.0
2015-05-07,82.16,77.837,82.02,82.32,3150832.0,81.4
2015-05-08,82.59,78.9188,83.16,83.355,2767448.0,82.16
2015-05-11,83.14,79.0612,83.31,83.66,2109461.0,83.0
2015-05-12,82.89,78.6816,82.91,83.155,2438862.0,82.24
2015-05-13,82.98,79.3838,83.65,83.71,2172307.0,82.72
2015-05-14,84.12,80.162,84.47,84.5,2390780.0,83.75
2015-05-15,84.63,79.7445,84.03,84.74,3146217.0,83.59
2015-05-18,84.24,80.2474,84.56,84.715,1665580.0,84.0
2015-05-19,84.91,81.0541,85.41,85.55,2616302.0,84.69
2015-05-20,85.25,80.9971,85.35,85.68,2119107.0,84.92
2015-05-21,85.27,80.7694,85.11,85.44,2156252.0,84.8
2015-05-22,84.9,80.684,85.02,85.36,1740838.0,84.61
2015-05-26,84.98,79.6685,83.95,84.98,2833589.0,83.48
2015-05-27,84.45,80.3139,84.63,85.045,2131658.0,84.11
2015-05-28,84.48,80.0007,84.3,84.72,1847862.0,83.88
2015-05-29,84.38,79.2984,83.56,84.52,2473589.0,83.32
2015-06-01,83.8,79.1371,83.39,84.04,2129335.0,83.13
2015-06-02,83.44,79.6685,83.95,84.3,2427899.0,83.27
2015-06-03,84.0,80.0007,84.3,84.912,2221364.0,83.98
2015-06-04,83.55,78.9473,83.19,84.28,3164012.0,83.05
2015-06-05,83.89,80.608,84.94,85.01,3965382.0,83.73
2015-06-08,85.08,80.608,84.94,85.37,3476658.0,84.69
2015-06-09,84.74,81.2059,85.57,85.72,2361681.0,84.59
2015-06-10,85.8,82.4966,86.93,86.99,4359677.0,85.4
2015-06-11,86.99,83.1893,87.66,87.94,2939069.0,86.74
2015-06-12,87.47,83.1039,87.57,87.78,2627504.0,87.12
2015-06-15,86.78,83.028,87.49,87.59,2810064.0,86.78
2015-06-16,87.37,83.5784,88.07,88.12,2250457.0,87.18
2015-06-17,88.49,83.3601,87.84,88.49,2870436.0,87.71
2015-06-18,88.16,84.0055,88.52,88.65,2655712.0,87.71
2015-06-19,88.15,83.9106,88.42,88.76,3604848.0,88.02
2015-06-22,89.0,84.7647,89.32,89.5,2141052.0,88.96
2015-06-23,89.93,84.8216,89.38,89.99,1881231.0,89.17
2015-06-24,89.31,84.5464,89.09,89.6456,2153771.0,89.07
2015-06-25,89.48,84.3186,88.85,90.1,2431729.0,88.52
2015-06-26,89.16,84.5179,89.06,89.32,3244000.0,88.79
2015-06-29,87.87,83.2747,87.75,88.55,3131037.0,87.66
2015-06-30,88.52,83.4835,87.97,88.75,2827527.0,87.71
2015-07-01,89.01,84.0814,88.6,89.01,2728918.0,88.19
2015-07-02,88.72,83.8157,88.32,89.07,1903697.0,88.02
2015-07-06,87.41,83.2747,87.75,88.0,1999440.0,87.25
2015-07-07,87.67,83.4076,87.89,87.96,2581668.0,86.35
2015-07-08,87.39,81.8133,86.21,87.54,2361747.0,86.12
2015-07-09,87.22,82.3068,86.73,87.61,2025755.0,86.7
2015-07-10,87.82,83.1988,87.67,88.08,1723577.0,87.1
2015-07-13,88.53,84.4895,89.03,89.09,2058801.0,88.11
2015-07-14,88.73,84.48,89.02,89.22,1783767.0,88.58
2015-07-15,89.74,85.5049,90.1,90.56,2211271.0,89.04
2015-07-16,90.65,86.321,90.96,91.08,2067274.0,90.51
2015-07-17,90.63,86.3495,90.99,91.02,2402086.0,90.265
2015-07-20,91.08,86.7765,91.44,91.85,2377211.0,90.58
2015-07-21,91.42,87.0328,91.71,92.06,2522032.0,91.2
2015-07-22,91.62,86.9758,91.65,92.1,2484577.0,91.28
2015-07-23,91.62,86.1407,90.77,91.8,2646159.0,90.6
2015-07-24,83.54,74.8381,78.86,83.9,16799746.0,78.23
2015-07-27,78.04,74.6009,78.61,79.38,7195609.0,77.9501
2015-07-28,79.25,74.6388,78.65,79.25,7524101.0,77.795
2015-07-29,78.94,75.5594,79.62,79.74,4626549.0,78.89
2015-07-30,80.22,77.3435,81.5,81.585,4276495.0,80.11
