Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,84.82,81.1467,84.62,84.91,458371.0,83.82
2015-01-05,84.25,80.4371,83.88,85.02,746348.0,83.51
2015-01-06,84.18,80.3316,83.77,84.84,1007284.0,83.01
2015-01-07,84.36,81.4344,84.92,85.14,1450177.0,84.26
2015-01-08,85.35,82.3262,85.85,86.03,2587489.0,84.98
2015-01-09,85.52,81.3097,84.79,85.78,906716.0,84.72
2015-01-12,85.0,80.696,84.15,85.0,644003.0,83.64
2015-01-13,85.01,80.9549,84.42,85.64,839588.0,83.645
2015-01-14,83.62,80.9357,84.4,84.47,608567.0,83.3
2015-01-15,84.9,81.3673,84.85,85.19,1069391.0,84.51
2015-01-16,84.57,81.6837,85.18,85.3,1270672.0,84.31
2015-01-20,86.47,82.4701,86.0,86.71,1526579.0,85.43
2015-01-21,85.58,82.0865,85.6,86.08,1348153.0,85.26
2015-01-22,86.03,83.4098,86.98,87.14,1680157.0,85.71
2015-01-23,83.57,83.6784,87.26,87.94,1948349.0,83.0
2015-01-26,87.84,83.5729,87.15,88.0,722381.0,86.87
2015-01-27,85.96,82.7386,86.28,87.08,856666.0,85.47
2015-01-28,87.12,82.7194,86.26,87.36,989437.0,86.16
2015-01-29,86.23,83.1509,86.71,86.89,771923.0,85.28
2015-01-30,85.75,82.1057,85.62,86.49,948611.0,85.54
2015-02-02,85.9,82.7386,86.28,86.33,750038.0,84.71
2015-02-03,86.78,83.4578,87.03,87.31,963401.0,86.17
2015-02-04,86.68,83.7071,87.29,87.74,928363.0,86.6
2015-02-05,87.47,83.7838,87.37,87.7,735963.0,86.83
2015-02-06,87.71,83.7647,87.35,88.21,640925.0,87.13
2015-02-09,87.15,84.177,87.78,88.2,1248212.0,87.15
2015-02-10,88.23,84.8962,88.53,88.71,878815.0,87.82
2015-02-11,88.18,84.4167,88.03,88.63,446423.0,87.6
2015-02-12,88.25,85.2223,88.57,88.89,754800.0,87.85
2015-02-13,88.43,85.4532,88.81,89.02,535401.0,88.304
2015-02-17,88.58,85.4532,88.81,88.9,715564.0,88.241
2015-02-18,88.81,86.0883,89.47,89.48,490461.0,88.6
2015-02-19,89.5,86.4154,89.81,89.85,675516.0,89.15
2015-02-20,89.64,87.4257,90.86,90.86,639407.0,89.49
2015-02-23,90.17,87.5604,91.0,91.0,664363.0,90.13
2015-02-24,90.98,87.9645,91.42,91.71,801461.0,90.5
2015-02-25,91.55,86.5212,89.92,91.55,757143.0,89.7
2015-02-26,89.69,85.9632,89.34,89.852,653433.0,88.94
2015-02-27,89.2,85.713,89.08,89.48,669929.0,88.77
2015-03-02,89.22,87.291,90.72,90.89,859704.0,88.83
2015-03-03,90.22,86.7907,90.2,90.75,660079.0,89.58
2015-03-04,90.0,86.9639,90.38,90.61,801311.0,89.97
2015-03-05,90.38,87.4642,90.9,90.96,768804.0,89.99
2015-03-06,90.5,87.6759,91.12,91.47,1351661.0,90.44
2015-03-09,91.13,89.6773,93.2,93.38,1492313.0,91.1
2015-03-10,92.57,87.8491,91.3,93.72,1409406.0,91.29
2015-03-11,91.3,87.1948,90.62,91.49,733756.0,90.42
2015-03-12,90.86,88.1666,91.63,91.72,549997.0,90.81
2015-03-13,92.27,89.7061,93.23,93.33,1316564.0,91.79
2015-03-16,93.58,91.3323,94.92,94.98,881905.0,93.47
2015-03-17,94.68,91.1591,94.74,94.9,1006830.0,94.113
2015-03-18,94.34,92.6216,96.26,96.7,1092414.0,93.86
2015-03-19,96.12,92.4965,96.13,96.59,612720.0,95.735
2015-03-20,96.54,92.891,96.54,96.91,798306.0,95.81
2015-03-23,96.66,92.4484,96.08,96.99,648293.0,95.97
2015-03-24,95.6,91.6786,95.28,96.4085,518104.0,95.031
2015-03-25,95.57,89.9563,93.49,95.64,543137.0,93.46
2015-03-26,93.12,90.9666,94.54,94.72,917234.0,92.125
2015-03-27,94.57,91.9769,95.59,95.61,579917.0,94.37
2015-03-30,96.22,93.324,96.99,97.49,609529.0,96.0
2015-03-31,96.87,92.9006,96.55,96.98,635661.0,96.32
2015-04-01,96.12,92.4292,96.06,96.12,894412.0,94.3
2015-04-02,96.15,92.3426,95.97,96.95,530991.0,95.824
2015-04-06,95.24,92.8237,96.47,96.88,703561.0,95.24
2015-04-07,96.21,92.8718,96.52,96.9,631444.0,96.018
2015-04-08,96.89,93.6608,97.34,97.84,719624.0,96.61
2015-04-09,97.3,93.6031,97.28,97.595,785984.0,96.53
2015-04-10,97.31,94.5653,98.28,98.31,678673.0,96.91
2015-04-13,98.03,94.4113,98.12,98.82,921691.0,97.71
2015-04-14,97.84,93.9013,97.59,98.19,749546.0,97.1075
2015-04-15,97.88,93.6127,97.29,98.31,610897.0,97.05
2015-04-16,96.93,93.4683,97.14,97.41,459766.0,96.43
2015-04-17,96.46,91.4381,95.03,96.46,831427.0,94.7
2015-04-20,95.68,92.5254,96.16,96.64,613800.0,95.51
2015-04-21,96.64,92.4677,96.1,96.96,526248.0,95.9
2015-04-22,96.12,92.9006,96.55,96.61,543627.0,95.2
2015-04-23,96.03,94.2477,97.95,98.39,882459.0,95.56
2015-04-24,97.84,94.0938,97.79,98.2299,647056.0,97.48
2015-04-27,97.81,94.6519,98.37,98.47,1220390.0,97.55
2015-04-28,98.3,95.258,99.0,99.03,682389.0,97.5775
2015-04-29,98.68,94.7673,98.49,99.19,952591.0,98.09
2015-04-30,98.28,93.6512,97.33,98.68,925127.0,96.83
2015-05-01,97.57,93.9783,97.67,98.05,543140.0,97.09
2015-05-04,97.67,93.9206,97.61,98.45,381655.0,97.6
2015-05-05,97.48,92.7563,96.4,97.865,729742.0,96.15
2015-05-06,96.8,92.4965,96.13,96.93,723812.0,95.69
2015-05-07,96.28,92.1598,95.78,96.53,908272.0,95.65
2015-05-08,96.72,93.5838,97.26,97.45,1341973.0,96.65
2015-05-11,97.26,93.2374,96.9,97.5,760556.0,96.86
2015-05-12,96.31,92.814,96.46,96.69,611439.0,95.91
2015-05-13,96.46,93.5549,97.23,97.72,775767.0,96.36
2015-05-14,97.76,94.9501,98.68,98.84,559597.0,97.44
2015-05-15,98.41,94.8251,98.22,98.62,657024.0,97.7
2015-05-18,98.22,95.4719,98.89,99.1,528278.0,98.12
2015-05-19,98.95,95.2305,98.64,99.37,619662.0,98.43
2015-05-20,98.93,95.1243,98.53,99.04,554443.0,98.48
2015-05-21,98.62,94.9699,98.37,98.9,634387.0,98.12
