Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,59.9,59.24,59.24,60.43,2801679.0,58.51
2015-01-05,58.6,58.17,58.17,59.235,3688208.0,57.835
2015-01-06,58.18,57.2,57.2,58.55,3182909.0,56.55
2015-01-07,57.79,56.93,56.93,57.95,4284339.0,56.6
2015-01-08,57.33,58.59,58.59,58.78,3750215.0,57.17
2015-01-09,59.16,58.16,58.16,59.5,6860268.0,57.77
2015-01-12,58.45,57.73,57.73,58.6,2724454.0,57.52
2015-01-13,58.39,57.97,57.97,59.54,3581467.0,57.3
2015-01-14,57.41,57.25,57.25,57.78,3098375.0,56.38
2015-01-15,57.15,55.11,55.11,57.54,4820351.0,55.03
2015-01-16,54.96,56.64,56.64,56.72,3236722.0,54.95
2015-01-20,56.7,57.29,57.29,57.56,6514496.0,55.81
2015-01-21,56.99,57.71,57.71,58.55,3544888.0,56.8424
2015-01-22,57.91,58.0,58.0,58.455,5481512.0,57.17
2015-01-23,58.0,58.62,58.62,59.045,3887260.0,57.7801
2015-01-26,58.53,59.78,59.78,59.98,4753114.0,58.4
2015-01-27,58.9,57.79,57.79,58.9,4150674.0,57.24
2015-01-28,58.43,56.35,56.35,58.5,4683351.0,56.35
2015-01-29,56.8,58.1,58.1,58.255,4424379.0,55.85
2015-01-30,57.5,56.45,56.45,58.14,3817413.0,56.37
2015-02-02,56.88,57.28,57.28,57.33,3495228.0,55.45
2015-02-03,57.66,58.61,58.61,58.66,3474189.0,57.23
2015-02-04,58.44,58.99,58.99,59.465,3013115.0,58.21
2015-02-05,58.95,59.26,59.26,59.48,2512756.0,58.76
2015-02-06,59.26,59.17,59.17,59.7,2714230.0,58.65
2015-02-09,58.85,57.98,57.98,58.98,2878945.0,57.82
2015-02-10,58.5,58.79,58.79,59.17,3093739.0,58.22
2015-02-11,58.82,58.8,58.8,59.1,3413685.0,58.605
2015-02-12,59.29,61.26,61.26,61.34,5284819.0,59.22
2015-02-13,61.25,62.85,62.85,63.22,5106967.0,61.1
2015-02-17,62.58,62.07,62.07,62.61,3447241.0,61.83
2015-02-18,62.4,63.0,63.0,63.0,2534349.0,62.29
