Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,63.31,46.0124,63.25,63.58,759841.0,62.37
2015-01-05,62.87,45.0812,61.97,62.97,753117.0,61.86
2015-01-06,62.09,45.1976,62.13,62.53,1017045.0,61.6
2015-01-07,62.38,45.525,62.58,62.82,782388.0,61.75
2015-01-08,62.96,46.0415,63.29,63.66,1274464.0,62.72
2015-01-09,63.5,46.769,64.29,64.44,962908.0,63.34
2015-01-12,64.19,45.9687,63.19,64.49,1067900.0,63.11
2015-01-13,63.49,45.9324,63.14,64.35,1200254.0,62.6
2015-01-14,62.46,46.1579,63.45,63.64,1128420.0,62.34
2015-01-15,62.82,45.3649,62.36,63.39,933280.0,62.09
2015-01-16,62.3,45.7505,62.89,62.95,1144831.0,61.84
2015-01-20,63.41,45.8087,62.97,63.86,768825.0,62.48
2015-01-21,62.65,45.4668,62.5,62.97,902881.0,61.95
2015-01-22,62.9,46.2379,63.56,63.56,1117653.0,62.54
2015-01-23,63.66,46.8854,64.45,65.02,1244842.0,63.66
2015-01-26,64.39,46.3325,63.69,64.5,972850.0,63.38
2015-01-27,62.91,45.6487,62.75,63.4,1052466.0,62.265
2015-01-28,63.19,45.0885,61.98,63.435,1142196.0,61.94
2015-01-29,62.04,45.7141,62.84,62.93,1348577.0,61.15
2015-01-30,62.0,44.1428,60.68,62.0,2222465.0,60.42
2015-02-02,60.32,44.6084,61.32,61.38,1722731.0,59.8
2015-02-03,61.74,45.1394,62.05,62.4,1841304.0,61.49
2015-02-04,61.96,45.5614,62.63,63.06,1917545.0,61.82
2015-02-05,62.95,46.1579,63.45,63.52,1228561.0,62.61
2015-02-06,64.07,47.3,65.02,65.35,1579691.0,63.93
2015-02-09,64.83,47.1691,64.84,64.98,1726951.0,64.4
2015-02-10,60.18,44.2956,60.89,62.2,5736260.0,59.88
2015-02-11,60.96,45.2049,62.14,62.34,3220248.0,60.49
2015-02-12,62.28,46.9217,64.5,64.74,2763942.0,62.28
2015-02-13,64.61,48.0857,66.1,66.635,1875762.0,64.42
2015-02-17,66.16,48.5149,66.69,66.94,1075210.0,66.11
2015-02-18,66.64,48.7549,67.02,67.33,2198229.0,66.49
2015-02-19,67.0,48.6604,66.89,67.13,1067177.0,66.4
2015-02-20,66.76,48.6895,66.93,67.14,817277.0,66.32
2015-02-23,69.13,52.1886,71.74,73.29,5474774.0,69.0
2015-02-24,72.69,51.5339,70.84,72.983,4358325.0,69.61
2015-02-25,70.61,51.272,70.48,70.86,1979066.0,70.15
2015-02-26,70.78,51.5484,70.86,71.22,1648567.0,70.19
2015-02-27,70.58,51.5921,70.92,71.38,1737236.0,70.515
2015-03-02,70.87,51.6503,71.0,71.16,1227188.0,70.24
2015-03-03,70.63,51.352,70.59,70.65,1022236.0,69.98
2015-03-04,70.32,50.9665,70.06,70.36,1489020.0,69.92
2015-03-05,70.0,50.821,69.86,70.125,1681778.0,69.41
2015-03-06,69.67,50.0935,68.86,70.5,1202440.0,68.77
2015-03-09,68.88,50.2899,69.13,69.48,1212526.0,68.74
2015-03-10,68.87,48.9659,67.31,69.0,1803779.0,67.25
2015-03-11,67.28,48.4858,66.65,67.76,2077087.0,66.27
2015-03-12,66.72,49.5406,68.1,68.11,1993790.0,66.72
2015-03-13,67.71,49.0096,67.37,68.23,1757548.0,66.93
2015-03-16,67.94,49.0823,67.47,68.18,1124730.0,67.26
2015-03-17,67.27,48.5222,66.7,67.334,924372.0,66.685
2015-03-18,66.6,48.7913,67.07,67.41,1301101.0,65.875
2015-03-19,67.11,48.5804,66.78,67.61,689800.0,66.75
2015-03-20,66.92,48.544,66.73,67.31,1375153.0,66.71
2015-03-23,66.89,48.3839,66.51,67.39,1759909.0,66.38
2015-03-24,66.43,47.8165,65.73,66.78,1038794.0,65.66
2015-03-25,66.33,46.8199,64.36,66.34,1318405.0,64.33
2015-03-26,64.07,47.5764,65.17,65.415,1751921.0,64.06
2015-03-27,65.31,48.0145,65.77,65.85,1422210.0,64.92
2015-03-30,65.97,48.5109,66.45,66.72,787027.0,65.97
2015-03-31,66.08,47.6568,65.28,66.3,1593892.0,65.26
2015-04-01,65.2,47.6203,65.23,65.72,865195.0,64.39
2015-04-02,65.25,47.7298,65.38,65.99,713316.0,65.1
2015-04-06,65.01,47.6933,65.33,65.74,1263172.0,64.42
2015-04-07,65.31,47.6568,65.28,65.7,809616.0,65.14
2015-04-08,65.27,47.2917,64.78,65.56,1181635.0,64.39
2015-04-09,64.88,47.08,64.49,65.135,1166719.0,64.28
2015-04-10,64.62,48.0729,65.85,65.98,1375796.0,64.49
2015-04-13,66.04,47.7444,65.4,66.27,941075.0,65.4
2015-04-14,64.38,47.153,64.59,64.97,1053104.0,64.25
2015-04-15,64.62,47.9415,65.67,65.83,1604555.0,64.465
2015-04-16,65.44,48.0656,65.84,66.76,1330991.0,65.3
2015-04-17,65.5,47.8904,65.6,65.87,1220723.0,65.26
2015-04-20,65.79,47.8466,65.54,66.3,1110320.0,65.36
2015-04-21,65.58,47.4961,65.06,65.75,1009900.0,65.0
2015-04-22,65.25,48.0583,65.83,66.02,855406.0,65.2
2015-04-23,65.61,47.9269,65.65,65.96,771167.0,65.5
2015-04-24,65.5,47.8612,65.56,65.75,842101.0,65.2
2015-04-27,65.5,47.5034,65.07,65.75,881767.0,64.92
2015-04-28,65.01,47.7371,65.39,65.62,586093.0,64.67
2015-04-29,65.24,47.3136,64.81,65.28,576131.0,64.61
2015-04-30,64.68,47.0508,64.45,65.04,1744822.0,63.91
