Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,36.11,33.6509,35.85,36.45,4688586.0,35.5
2015-01-05,35.4,32.7404,34.88,35.54,8631318.0,34.78
2015-01-06,34.34,31.4357,33.49,34.51,14541315.0,33.34
2015-01-07,33.78,31.8487,33.93,34.2,9713037.0,33.3
2015-01-08,34.15,32.3556,34.47,34.71,9576124.0,33.85
2015-01-09,34.57,32.2899,34.4,34.7,8366311.0,34.21
2015-01-12,34.18,31.8299,33.91,34.22,10455531.0,33.74
2015-01-13,34.07,31.492,33.55,34.29,9908927.0,33.09
2015-01-14,33.12,31.5859,33.65,34.1599,11787704.0,33.01
2015-01-15,33.81,32.0177,34.11,34.63,9834016.0,33.72
2015-01-16,34.16,32.7217,34.86,34.93,8396792.0,34.14
2015-01-20,34.84,32.4213,34.54,35.14,6282306.0,34.43
2015-01-21,34.51,32.5715,34.7,35.0,4724295.0,34.37
2015-01-22,35.01,33.0877,35.25,35.45,5676072.0,34.83
2015-01-23,35.02,32.3556,34.47,35.07,5979659.0,34.42
2015-01-26,34.45,32.8155,34.96,35.0,4828189.0,34.38
2015-01-27,34.58,32.2148,34.32,34.74,5919111.0,34.13
2015-01-28,34.65,31.6328,33.7,34.75,8821482.0,33.621
2015-01-29,33.7,31.6891,33.76,33.86,7452888.0,33.34
2015-01-30,33.53,31.2574,33.3,33.87,7672922.0,33.25
2015-02-02,33.47,31.6141,33.68,33.7,6155085.0,33.21
2015-02-03,33.86,32.5339,34.66,34.71,6117683.0,33.81
2015-02-04,34.5,32.4495,34.57,34.78,5683286.0,34.32
2015-02-05,34.61,33.0408,35.2,35.24,5089728.0,34.61
2015-02-06,35.27,33.2661,35.44,35.69,6979238.0,35.22
2015-02-09,35.29,33.1347,35.3,35.58,4786543.0,35.2
2015-02-10,35.45,33.3506,35.53,35.64,4045281.0,35.16
2015-02-11,35.39,33.7354,35.94,36.24,6557518.0,35.39
2015-02-12,36.04,34.3268,36.57,36.61,5193484.0,36.02
2015-02-13,36.64,33.8668,36.08,36.95,7623266.0,35.88
2015-02-17,34.9,33.6509,35.85,35.95,6732254.0,34.9
2015-02-18,35.88,33.2192,35.39,35.9,7729139.0,35.29
2015-02-19,35.2,33.3506,35.53,35.78,6136600.0,35.14
2015-02-20,35.41,33.3693,35.55,35.685,5792191.0,35.16
2015-02-23,35.6,33.5758,35.77,35.78,3859992.0,35.42
2015-02-24,35.74,33.3881,35.57,35.81,2973194.0,35.515
2015-02-25,35.54,33.2004,35.21,35.65,5886027.0,35.18
2015-02-26,35.29,32.3518,34.31,35.39,9977829.0,34.28
2015-02-27,34.5,32.3518,34.31,34.77,11347462.0,34.14
2015-03-02,34.44,32.6912,34.67,34.71,8529832.0,34.31
2015-03-03,34.29,32.1726,34.12,34.37,6730066.0,34.05
2015-03-04,34.0,32.2857,34.24,34.28,12541051.0,33.6601
2015-03-05,34.12,31.9463,33.88,34.17,7065687.0,33.78
2015-03-06,33.6,31.7577,33.68,33.95,6931604.0,33.55
2015-03-09,33.58,32.0123,33.95,34.02,5559369.0,33.58
2015-03-10,33.56,31.522,33.43,33.74,7926222.0,33.43
2015-03-11,33.6,31.7389,33.66,33.84,4563265.0,33.47
2015-03-12,33.8,32.2292,34.18,34.31,5509311.0,33.8
2015-03-13,34.11,32.182,34.13,34.2,8170807.0,33.76
2015-03-16,34.37,32.6818,34.66,34.68,5758676.0,34.22
2015-03-17,34.42,32.6535,34.63,34.73,4376705.0,34.39
2015-03-18,34.5,33.0589,35.06,35.19,5892243.0,34.3
2015-03-19,34.91,32.7666,34.75,35.05,4715816.0,34.53
2015-03-20,34.89,33.1532,35.16,35.35,12272772.0,34.89
2015-03-23,34.99,31.7766,33.7,35.0,9363643.0,33.64
2015-03-24,33.65,31.8331,33.76,34.15,9378356.0,33.47
2015-03-25,33.96,31.4088,33.31,33.9899,7976184.0,33.3
2015-03-26,33.09,31.3711,33.27,33.43,9833967.0,32.71
2015-03-27,33.16,31.3051,33.2,33.26,6591495.0,32.77
2015-03-30,33.34,31.4465,33.35,33.6,7334173.0,33.25
2015-03-31,33.24,31.2297,33.12,33.345,9094595.0,32.83
2015-04-01,33.2,31.5408,33.45,33.6,9978486.0,32.96
2015-04-02,33.28,31.4183,33.32,33.4,9257266.0,32.935
2015-04-06,32.98,31.3428,33.24,33.43,6827743.0,32.98
2015-04-07,33.44,31.6351,33.55,33.67,6559133.0,33.17
2015-04-08,33.56,31.3523,33.25,33.66,6767293.0,33.21
2015-04-09,33.34,31.8614,33.79,33.85,6499730.0,33.31
2015-04-10,33.95,31.8237,33.75,34.08,8002786.0,33.72
2015-04-13,33.55,31.192,33.08,33.72,8282558.0,33.01
2015-04-14,31.87,31.3145,33.21,33.26,19032568.0,31.87
2015-04-15,33.72,30.9845,32.86,34.12,14157994.0,32.82
2015-04-16,32.52,30.5696,32.42,32.64,11139884.0,31.95
2015-04-17,32.24,31.3994,33.3,33.31,15361858.0,32.22
2015-04-20,33.34,32.8986,34.89,35.0,21352520.0,33.11
2015-04-21,34.89,33.3324,35.35,35.67,28097727.0,33.61
2015-04-22,35.28,34.1905,36.26,36.44,25233130.0,35.28
2015-04-23,35.87,34.7845,36.89,37.235,15457403.0,35.84
2015-04-24,36.82,35.0014,37.12,37.195,11592896.0,36.27
2015-04-27,37.08,34.8034,36.91,37.54,14914520.0,36.72
2015-04-28,36.82,34.7091,36.81,37.005,8562824.0,36.49
2015-04-29,36.74,34.8411,36.95,37.04,11309665.0,36.25
2015-04-30,36.65,34.0302,36.09,36.76,8872682.0,35.99
2015-05-01,36.42,35.322,37.46,37.67,15666377.0,36.3
2015-05-04,37.46,34.5205,36.61,37.64,19848576.0,36.02
2015-05-05,36.44,33.389,35.41,36.72,13026632.0,35.32
2015-05-06,35.45,33.6153,35.65,36.06,10387447.0,35.035
2015-05-07,35.63,33.8604,35.91,36.305,8309777.0,35.46
2015-05-08,36.39,34.5865,36.68,37.155,11655982.0,36.26
2015-05-11,36.5,34.0019,36.06,36.81,7169308.0,36.03
2015-05-12,35.87,33.653,35.69,36.06,6886462.0,35.48
2015-05-13,35.73,32.7949,34.78,36.07,10684835.0,34.72
2015-05-14,34.53,32.9081,34.9,35.22,14828832.0,34.31
2015-05-15,34.89,33.4738,35.5,35.5,10495495.0,34.795
2015-05-18,35.35,33.6907,35.73,35.96,8285818.0,35.18
2015-05-19,35.72,33.5681,35.6,36.04,4860953.0,35.52
2015-05-20,35.39,33.257,35.27,35.67,8118747.0,35.12
2015-05-21,35.26,33.521,35.55,35.87,7946339.0,35.15
2015-05-22,35.42,33.4455,35.47,35.655,4322068.0,35.29
2015-05-26,35.26,32.7949,34.78,35.42,6081652.0,34.72
2015-05-27,34.93,33.2664,35.1,35.245,6175023.0,34.65
2015-05-28,35.01,32.9062,34.72,35.05,4340880.0,34.38
2015-05-29,34.76,32.2997,34.08,34.78,8608921.0,33.995
2015-06-01,34.23,32.4513,34.24,34.47,8229122.0,33.95
2015-06-02,34.17,32.3186,34.1,34.44,6401451.0,33.97
2015-06-03,34.09,32.3186,34.1,34.56,6939264.0,34.04
2015-06-04,33.89,32.2618,34.04,34.31,7492445.0,33.85
2015-06-05,34.04,32.6314,34.43,34.54,4428925.0,34.01
2015-06-08,34.29,32.2523,34.03,34.31,6707832.0,33.78
2015-06-09,33.93,31.9964,33.76,34.07,4350398.0,33.64
2015-06-10,33.87,32.1954,33.97,34.02,5976127.0,33.69
2015-06-11,34.02,33.1432,34.97,35.48,10898494.0,33.93
2015-06-12,34.73,32.9347,34.75,35.62,8155436.0,34.61
2015-06-15,34.55,32.8589,34.67,35.02,4151897.0,34.43
2015-06-16,34.7,32.7736,34.58,34.93,6081165.0,34.42
2015-06-17,34.6,33.001,34.82,34.96,6349943.0,34.45
2015-06-18,34.97,33.6834,35.54,35.67,8336470.0,34.97
