Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,2203929.0,39.83,39.47,39.59,40.04,30.6157
2015-01-05,3036874.0,39.4,38.62,38.75,39.5797,29.9661
2015-01-06,4186158.0,38.73,37.96,38.27,39.04,29.5949
2015-01-07,3642759.0,38.56,37.915,38.47,38.68,29.7496
2015-01-08,2882255.0,38.9,38.61,38.86,39.147,30.0512
2015-01-09,2158189.0,38.97,38.28,38.4,38.97,29.6955
2015-01-12,2586849.0,38.5,38.38,38.65,38.8,29.8888
2015-01-13,3294057.0,38.92,38.37,38.6,39.4,29.8501
2015-01-14,2607390.0,38.27,38.01,38.31,38.56,29.6259
2015-01-15,3149148.0,38.56,38.27,38.3,38.84,29.6181
2015-01-16,4558435.0,38.34,38.12,38.4,38.55,29.6955
2015-01-20,2498302.0,38.7,38.4,38.74,38.86,29.9584
2015-01-21,3483161.0,38.61,38.4,38.63,39.21,29.8733
2015-01-22,3538262.0,38.72,38.65,39.37,39.47,30.4456
2015-01-23,2984939.0,39.49,39.07,39.24,39.69,30.3451
2015-01-26,2556616.0,39.17,38.75,39.0,39.27,30.1595
2015-01-27,3018176.0,38.75,38.72,38.79,39.1,29.9971
2015-01-28,2758413.0,39.11,38.27,38.35,39.1692,29.6568
2015-01-29,5231005.0,38.26,37.47,37.5,38.42,28.9995
2015-01-30,7269765.0,37.3,36.81,37.17,37.47,28.7443
2015-02-02,4684915.0,37.32,37.07,38.22,38.28,29.5563
2015-02-03,5637870.0,38.28,38.2,39.59,39.69,30.6157
2015-02-04,3856682.0,39.42,39.31,39.41,39.92,30.4765
2015-02-05,5445432.0,39.29,38.18,38.43,39.48,29.7187
2015-02-06,3626596.0,38.57,38.1,38.56,38.75,29.8192
2015-02-09,11607976.0,39.49,39.47,39.67,40.2,30.6776
2015-02-10,5651826.0,39.7,39.63,40.18,40.22,31.072
2015-02-11,5109813.0,40.26,40.03,40.52,40.59,31.3349
2015-02-12,12709861.0,39.56,38.465,39.29,39.79,30.3837
2015-02-13,4680862.0,39.23,38.96,39.46,39.74,30.5152
2015-02-17,4018714.0,39.4,38.955,39.23,39.45,30.3373
2015-02-18,10148410.0,38.06,37.46,37.51,38.49,29.0072
2015-02-19,4837612.0,37.32,37.02,37.59,37.77,29.0691
2015-02-20,6748171.0,37.4,36.93,37.02,37.46,28.6283
2015-02-23,4678607.0,37.1,36.45,36.63,37.12,28.3267
2015-02-24,3960731.0,36.55,36.21,37.06,37.19,28.6592
2015-02-25,3045561.0,37.28,37.09,37.3,37.47,28.8448
2015-02-26,4527963.0,37.39,37.105,37.4,37.61,28.9222
2015-02-27,4971031.0,37.4,37.3,37.86,37.99,29.2779
2015-03-02,4453160.0,38.06,37.38,37.63,38.33,29.1
2015-03-03,3594861.0,37.64,37.51,37.68,37.96,29.1387
