Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,49.92,48.8845,49.18,50.01,8636618.0,48.71
2015-01-05,49.46,48.0694,48.36,49.48,10556547.0,47.81
2015-01-06,48.55,46.9362,47.22,48.74,12879077.0,46.25
2015-01-07,47.48,46.6877,46.97,47.59,10515111.0,46.51
2015-01-08,47.48,47.9004,48.19,48.32,10483710.0,47.26
2015-01-09,48.33,46.5983,46.88,48.5,8804395.0,46.79
2015-01-12,46.72,45.7832,46.06,46.97,11572757.0,45.55
2015-01-13,46.68,46.3299,46.61,47.75,12498055.0,45.955
2015-01-14,45.84,45.0377,45.31,46.16,13109677.0,44.4701
2015-01-15,45.09,44.7793,45.05,45.76,8530463.0,44.91
2015-01-16,45.0,45.5645,45.84,45.895,13020121.0,44.61
2015-01-20,47.01,48.8745,49.17,49.29,21152430.0,46.91
2015-01-21,48.77,48.8845,49.18,49.6,14828942.0,48.2
2015-01-22,49.93,50.3953,50.7,50.81,16031825.0,49.18
2015-01-23,50.35,50.2562,50.56,51.06,8613577.0,50.06
2015-01-26,50.23,49.8486,50.15,50.8253,9385482.0,49.95
2015-01-27,49.29,48.8845,49.18,49.8999,9786613.0,48.91
2015-01-28,49.5,48.1688,48.46,49.91,9575108.0,48.28
2015-01-29,48.67,49.9083,50.21,50.35,9764525.0,48.2
2015-01-30,49.33,47.0257,47.31,49.8,17133229.0,47.01
2015-02-02,47.1,46.2305,46.51,47.16,20909283.0,44.81
2015-02-03,45.0,45.7335,46.01,46.23,17598979.0,44.93
2015-02-04,46.55,46.6778,46.96,47.45,12204291.0,46.43
2015-02-05,46.93,45.8627,46.14,46.98,11306478.0,45.27
2015-02-06,45.97,45.2365,45.51,46.68,10883272.0,45.29
2015-02-09,44.5,44.1829,44.45,44.88,14020624.0,43.71
2015-02-10,45.13,45.0477,45.32,45.74,11276448.0,44.74
2015-02-11,45.72,44.7097,44.98,45.93,9619135.0,44.8
2015-02-12,44.35,44.5407,44.81,44.9,15764754.0,43.73
2015-02-13,44.08,44.2326,44.5,44.53,16355663.0,43.35
2015-02-17,44.78,44.491,44.76,45.32,12153209.0,44.62
2015-02-18,45.15,44.998,45.27,45.45,9886214.0,44.65
2015-02-19,46.86,45.6441,45.92,47.39,14675985.0,45.835
2015-02-20,45.73,47.1549,47.44,47.48,13624775.0,45.51
2015-02-23,47.97,46.9064,47.19,48.27,12104423.0,46.86
2015-02-24,46.9,47.7414,48.03,48.27,12044304.0,46.4
2015-02-25,47.93,46.5585,46.84,48.01,10815825.0,46.6
2015-02-26,47.2,45.6441,45.92,47.38,14398391.0,45.57
2015-02-27,45.8,44.2525,44.52,45.87,15232074.0,44.5
2015-03-02,45.09,45.1172,45.39,45.51,11247492.0,44.98
2015-03-03,44.58,45.5049,45.78,45.81,12970884.0,44.27
2015-03-04,45.36,44.8787,45.15,45.5,10363299.0,44.8
2015-03-05,45.47,44.1232,44.39,45.47,12145319.0,44.05
2015-03-06,44.31,43.5169,43.78,44.715,7527208.0,43.63
2015-03-09,43.87,44.3022,44.57,44.72,8415248.0,43.8
2015-03-10,44.36,43.1591,43.42,44.39,9909369.0,43.27
2015-03-11,43.46,43.7555,44.02,44.39,8603546.0,43.44
2015-03-12,44.13,45.0576,45.33,45.4,9284917.0,44.07
2015-03-13,45.45,45.2266,45.5,46.37,10038672.0,45.33
2015-03-16,46.15,45.8826,46.16,46.49,8515433.0,45.96
2015-03-17,46.5,46.3697,46.65,46.95,11583542.0,46.2
2015-03-18,46.75,45.5347,45.81,46.78,19014878.0,45.41
2015-03-19,46.36,46.976,47.26,47.35,16817186.0,46.35
2015-03-20,46.81,47.135,47.42,47.63,21270709.0,46.81
2015-03-23,47.42,46.3001,46.58,47.59,10785552.0,46.56
2015-03-24,46.34,45.7534,46.03,46.43,9509180.0,46.0201
2015-03-25,45.91,44.2525,44.52,45.97,10383595.0,44.38
2015-03-26,43.14,43.8251,44.09,44.35,15909655.0,42.6
2015-03-27,44.38,44.6103,44.88,45.22,7979343.0,44.32
2015-03-30,45.34,45.2862,45.56,45.9,8324377.0,45.34
2015-03-31,45.58,44.6898,44.96,45.62,9678501.0,44.66
2015-04-01,43.67,43.0,43.26,43.99,19301727.0,42.92
2015-04-02,42.91,41.9961,42.25,43.37,15554810.0,42.25
2015-04-06,41.41,41.5091,41.76,41.91,18499027.0,41.02
2015-04-07,42.0,41.3898,41.64,42.45,9156441.0,41.61
2015-04-08,41.94,43.0299,43.29,43.3,14039114.0,41.91
2015-04-09,43.42,42.8808,43.14,43.97,9692416.0,42.76
2015-04-10,43.12,42.9702,43.23,43.53,8159246.0,43.04
2015-04-13,43.08,42.8112,43.07,43.87,10223166.0,42.99
2015-04-14,43.06,42.8211,43.08,43.19,10244222.0,42.45
2015-04-15,44.48,43.9344,44.2,45.34,22814891.0,43.8
2015-04-16,44.2,44.7196,44.99,45.4,13257581.0,44.16
2015-04-17,44.72,44.491,44.76,45.23,9580901.0,44.58
2015-04-20,45.14,45.4552,45.73,45.82,8819119.0,44.76
2015-04-21,45.9,45.9522,46.23,46.385,9400578.0,45.56
2015-04-22,46.35,46.2504,46.53,46.62,9687589.0,45.67
2015-04-23,46.27,46.151,46.43,46.93,10078059.0,46.12
2015-04-24,46.77,46.6977,46.98,47.38,10280634.0,46.68
2015-04-27,47.04,46.1709,46.45,47.1,9985817.0,46.33
2015-04-28,46.29,45.9224,46.2,46.45,8684353.0,45.16
2015-04-29,45.84,44.7594,45.03,46.0,11460521.0,44.26
