Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,88.79,81.9141,88.34,89.37,1874035.0,87.42
2015-01-05,88.06,80.1616,86.45,88.06,3013948.0,85.88
2015-01-06,86.27,79.4939,85.73,87.0,3517161.0,84.89
2015-01-07,85.9,79.1508,85.36,85.92,3055949.0,84.74
2015-01-08,86.17,80.1986,86.49,86.58,2844460.0,85.62
2015-01-09,86.5,79.4197,85.65,86.67,2313202.0,85.3201
2015-01-12,85.5,79.2343,85.45,85.64,2498545.0,84.54
2015-01-13,86.06,79.6423,85.89,86.29,2687913.0,85.01
2015-01-14,84.83,80.1894,86.48,86.65,3308467.0,84.55
2015-01-15,87.02,80.857,87.2,88.09,3972689.0,86.93
2015-01-16,86.85,80.9497,87.3,87.41,3490560.0,86.56
2015-01-20,87.37,80.7921,87.13,87.79,2306244.0,86.91
2015-01-21,86.7,81.2557,87.63,87.91,1954439.0,86.5
2015-01-22,88.38,82.999,89.51,89.715,2866308.0,88.06
2015-01-23,88.99,81.9233,88.35,89.01,1798196.0,88.02
2015-01-26,88.31,81.9975,88.43,88.81,2718990.0,87.88
2015-01-27,85.35,79.7814,86.04,86.62,3300672.0,85.35
2015-01-28,86.7,78.4276,84.58,86.915,3472055.0,84.52
2015-01-29,84.45,79.6608,85.91,86.07,3510944.0,84.29
2015-01-30,85.24,78.9932,85.19,86.45,4221346.0,85.1
2015-02-02,85.53,80.3377,86.64,86.7,2509385.0,84.85
2015-02-03,87.3,82.183,88.63,88.777,3107615.0,87.17
2015-02-04,88.34,82.2293,88.68,89.5,3042908.0,88.162
2015-02-05,88.81,82.6373,89.12,89.23,1732668.0,88.5
2015-02-06,88.91,82.5075,88.98,89.2,1809895.0,88.53
2015-02-09,88.58,82.4797,88.95,89.25,1205902.0,88.13
2015-02-10,89.19,82.2943,88.75,89.2,1516769.0,88.4
2015-02-11,88.53,82.3592,88.82,89.31,1728627.0,88.18
2015-02-12,89.42,82.8692,89.37,89.45,2297330.0,88.235
2015-02-13,89.38,83.4904,90.04,90.385,1996629.0,89.18
2015-02-17,89.99,83.3791,89.92,90.37,1805170.0,89.21
2015-02-18,91.75,86.0033,92.75,92.78,5953603.0,91.37
2015-02-19,92.46,85.0389,91.71,92.46,4522805.0,91.44
2015-02-20,90.45,85.7066,92.43,92.47,7028480.0,89.91
2015-02-23,92.03,84.362,90.98,92.09,3019679.0,90.82
2015-02-24,90.72,84.8442,91.5,91.66,2191639.0,90.64
2015-02-25,91.34,84.9555,91.62,91.88,1543037.0,91.34
2015-02-26,91.24,84.5475,91.18,91.75,2132843.0,90.96
2015-02-27,91.08,84.0097,90.6,91.29,2265554.0,90.51
2015-03-02,90.4,84.4084,91.03,91.094,2162581.0,90.21
2015-03-03,90.86,84.6309,91.27,91.62,1681964.0,90.69
2015-03-04,90.79,83.8706,90.45,90.9899,1730300.0,90.22
2015-03-05,90.09,83.8799,90.46,90.905,2713425.0,89.45
2015-03-06,89.61,83.6944,90.26,90.28,3711430.0,89.28
2015-03-09,90.35,85.3264,92.02,92.399,3144304.0,90.308
2015-03-10,91.0,84.3713,90.99,91.92,4379404.0,90.6
2015-03-11,91.42,83.6666,90.23,91.44,3116797.0,89.8
2015-03-12,90.86,83.6202,90.18,91.04,2289751.0,89.99
2015-03-13,89.9,82.9804,89.49,90.0,3706971.0,88.56
2015-03-16,89.49,82.6559,89.14,89.61,2851067.0,88.81
2015-03-17,88.94,82.183,88.63,89.14,2078137.0,88.48
2015-03-18,88.25,82.8228,89.32,89.66,2591383.0,87.51
2015-03-19,89.0,81.673,88.08,89.01,2586638.0,87.63
2015-03-20,88.35,82.693,89.18,89.51,5981939.0,88.23
2015-03-23,89.33,82.8877,89.39,90.12,2233771.0,89.3
2015-03-24,89.26,82.0346,88.47,89.3,2232018.0,88.26
2015-03-25,88.63,81.877,88.3,89.11,2720827.0,88.27
2015-03-26,88.0,81.6081,88.01,88.46,1988796.0,87.78
2015-03-27,87.3,81.6544,87.46,87.56,2065381.0,86.91
2015-03-30,87.58,82.7281,88.61,89.04,1748624.0,87.31
2015-03-31,88.12,81.8692,87.69,88.6,2704983.0,87.505
2015-04-01,87.76,81.7851,87.6,88.53,3318673.0,87.48
2015-04-02,87.47,82.1399,87.98,88.61,1555288.0,87.47
2015-04-06,88.02,82.6067,88.48,89.05,1929604.0,87.74
2015-04-07,88.63,82.5694,88.44,89.02,1763240.0,88.2
2015-04-08,88.52,82.0186,87.85,89.12,2095860.0,87.39
2015-04-09,87.71,82.5787,88.45,88.654,2911531.0,87.385
2015-04-10,88.03,83.1576,89.07,89.76,2053924.0,88.03
2015-04-13,88.79,82.1586,88.0,89.46,2794318.0,87.9
2015-04-14,88.04,82.0839,87.92,88.07,1823943.0,87.43
2015-04-15,88.11,83.4096,89.34,89.74,3320293.0,87.55
2015-04-16,89.15,83.0362,88.94,89.36,1709599.0,88.64
2015-04-17,88.12,81.7011,87.51,88.39,2242036.0,87.46
2015-04-20,88.24,82.9989,88.9,88.98,2524084.0,87.93
2015-04-21,89.02,82.0839,87.92,89.15,2215202.0,87.72
2015-04-22,87.9,82.252,88.1,88.13,2026261.0,87.62
2015-04-23,88.63,82.7094,88.59,88.89,1981473.0,88.24
2015-04-24,88.49,82.5227,88.39,88.67,1482515.0,87.91
2015-04-27,88.36,83.0269,88.93,89.06,2081783.0,88.2801
2015-04-28,88.9,82.9895,88.89,89.3,2747460.0,88.27
2015-04-29,88.41,83.9045,89.87,90.26,2287030.0,88.3828
