Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,65.93,61.4616,65.36,66.0199,1649052.0,64.71
2015-01-05,65.08,60.0887,63.9,65.095,2176396.0,63.685
2015-01-06,64.07,58.6782,62.4,64.095,2944155.0,62.25
2015-01-07,62.89,59.5527,63.33,63.67,2382522.0,62.78
2015-01-08,64.01,60.5119,64.35,64.7,2051782.0,63.85
2015-01-09,64.35,59.5433,63.32,64.62,2561242.0,63.28
2015-01-12,63.52,59.2612,63.02,63.7,1739212.0,62.58
2015-01-13,63.69,58.7158,62.44,64.1,3653288.0,61.92
2015-01-14,61.14,57.4745,61.12,61.815,3776962.0,60.345
2015-01-15,61.21,56.5154,60.1,61.89,4488446.0,60.06
2015-01-16,59.78,56.5812,60.17,60.23,6404525.0,59.1
2015-01-20,60.5,57.2394,60.87,60.9344,4149288.0,60.38
2015-01-21,60.77,57.2112,60.84,61.21,5608022.0,60.26
2015-01-22,58.03,53.9012,57.32,58.04,19602008.0,55.76
2015-01-23,57.25,53.2053,56.58,58.49,8160584.0,56.5
2015-01-26,56.96,53.3182,56.7,56.96,7049054.0,56.05
2015-01-27,56.04,52.4154,55.74,56.64,5257940.0,55.66
2015-01-28,55.89,51.7572,55.04,56.3,6460069.0,55.01
2015-01-29,54.68,51.5691,54.84,55.12,7319565.0,54.0196
2015-01-30,54.44,51.1365,54.38,55.05,6967073.0,54.23
2015-02-02,54.41,52.0111,55.31,55.41,5047625.0,54.09
2015-02-03,55.32,53.2335,56.37,56.4,6601816.0,55.22
2015-02-04,56.01,53.6018,56.76,57.19,6332561.0,55.99
2015-02-05,56.93,54.3006,57.5,57.73,6071355.0,56.88
2015-02-06,57.87,55.2922,58.55,59.4199,7022825.0,57.77
2015-02-09,58.105,55.4339,58.7,58.855,4078150.0,57.82
2015-02-10,59.19,55.4905,58.76,59.26,3386836.0,58.22
2015-02-11,58.52,55.245,58.5,58.82,4638506.0,58.22
2015-02-12,58.6,56.1233,59.43,59.47,4871248.0,58.18
2015-02-13,59.36,56.5577,59.89,60.03,5202130.0,59.155
2015-02-17,59.47,55.6322,58.91,59.72,5674594.0,58.58
2015-02-18,58.98,55.9627,59.26,59.5,3876075.0,58.575
2015-02-19,59.24,56.331,59.65,60.0,3011654.0,59.09
2015-02-20,59.46,57.1715,60.54,60.58,4558674.0,59.3725
2015-02-23,60.56,57.2565,60.63,60.66,3452690.0,60.04
2015-02-24,60.53,57.3793,60.76,60.97,3054885.0,60.41
2015-02-25,60.79,57.7287,61.13,61.2,3210217.0,60.41
2015-02-26,61.05,57.8514,61.26,61.455,3660138.0,60.97
