Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,71.0,68.146,70.78,71.47,2718783.0,70.6
2015-01-05,70.5,67.7032,70.32,71.07,2508512.0,70.01
2015-01-06,70.48,66.8463,69.43,70.91,3644076.0,69.15
2015-01-07,70.02,67.655,70.27,70.61,4239081.0,69.6
2015-01-08,70.0,66.9233,69.51,70.42,8738468.0,68.76
2015-01-09,69.65,65.585,68.12,69.9,6656675.0,68.06
2015-01-12,67.77,64.6126,67.11,68.15,11344796.0,65.32
2015-01-13,67.79,65.2769,67.8,68.06,5957729.0,66.85
2015-01-14,67.04,65.1325,67.65,67.7,4987155.0,66.4
2015-01-15,66.1,63.4188,65.87,67.94,9812188.0,65.65
2015-01-16,65.71,65.1133,67.63,67.72,8606548.0,65.32
2015-01-20,67.75,64.8341,67.34,68.01,5085578.0,67.102
2015-01-21,67.24,64.7089,67.21,67.79,3854319.0,66.82
2015-01-22,67.12,67.1736,69.77,69.9,11936476.0,66.91
2015-01-23,70.1,66.9137,69.5,70.82,7592210.0,69.48
2015-01-26,68.6,66.2782,68.84,69.2,5424056.0,68.12
2015-01-27,68.04,65.1325,67.65,68.36,4546191.0,67.61
2015-01-28,68.36,64.6222,67.12,68.37,5053995.0,66.98
2015-01-29,67.67,65.3732,67.9,68.11,4148690.0,66.7676
2015-01-30,67.4,64.5645,67.06,68.06,6425012.0,66.93
2015-02-02,67.14,64.5163,67.01,67.24,3380344.0,65.86
2015-02-03,67.49,65.9605,68.51,68.59,3365746.0,67.27
2015-02-04,68.54,66.2494,68.81,69.5,3905375.0,68.1201
2015-02-05,68.87,65.9413,68.49,69.45,4462006.0,68.4
2015-02-06,68.85,65.6332,68.17,69.02,2789141.0,67.8
2015-02-09,67.79,65.1133,67.63,68.19,2529781.0,67.45
2015-02-10,67.88,65.2962,67.82,68.01,7474433.0,67.28
2015-02-11,67.8,65.1903,67.71,68.09,3539201.0,67.63
2015-02-12,67.87,65.0748,67.59,67.97,9888719.0,67.44
2015-02-13,67.77,66.259,68.82,68.88,5141415.0,67.62
2015-02-17,69.54,66.9714,69.56,69.9,4540085.0,69.305
2015-02-18,69.63,67.7032,70.32,70.53,3339767.0,69.39
2015-02-19,70.33,68.069,70.7,71.57,4349822.0,70.28
2015-02-20,70.71,69.0222,71.69,71.73,3506993.0,70.3
2015-02-23,72.27,68.8104,71.47,72.74,3113225.0,71.1
2015-02-24,71.32,69.2532,71.93,71.96,2360746.0,71.02
2015-02-25,72.2,69.7828,72.48,73.27,3240031.0,72.2
2015-02-26,72.32,69.5036,72.19,72.71,2563513.0,71.93
2015-02-27,72.07,69.9176,72.62,72.81,2359053.0,72.07
2015-03-02,72.63,70.3701,73.09,73.53,2624081.0,72.62
2015-03-03,72.83,68.9837,71.65,72.96,3775841.0,70.96
2015-03-04,71.57,69.2725,71.95,72.305,3285702.0,71.32
2015-03-05,72.2,69.0414,71.71,72.2,2648135.0,71.59
2015-03-06,71.42,68.6659,71.32,71.905,2212421.0,71.12
2015-03-09,71.29,69.0799,71.75,71.81,2263279.0,71.01
2015-03-10,71.28,68.3867,71.03,71.75,3384406.0,70.88
2015-03-11,71.06,68.7911,71.45,71.88,4324113.0,70.98
2015-03-12,74.0,71.5158,74.28,74.36,8983063.0,72.51
2015-03-13,74.4,71.5351,74.3,75.25,4954154.0,73.82
