Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,34.63,34.48,34.48,34.64,1987147.0,34.12
2015-01-05,34.35,33.06,33.06,34.41,1943507.0,32.9375
2015-01-06,33.08,31.98,31.98,33.13,3874813.0,31.93
2015-01-07,32.27,32.21,32.21,32.27,4011683.0,31.465
2015-01-08,32.64,32.47,32.47,32.75,4341083.0,31.935
2015-01-09,32.38,32.03,32.03,32.54,3059567.0,31.96
2015-01-12,32.2,31.64,31.64,32.2899,3348599.0,31.575
2015-01-13,31.88,31.21,31.21,32.22,4466206.0,31.02
2015-01-14,30.57,30.0,30.0,30.76,6142527.0,29.575
2015-01-15,30.15,29.47,29.47,30.15,5078301.0,29.43
2015-01-16,29.25,29.415,29.415,29.72,9682437.0,28.94
2015-01-20,29.61,29.25,29.25,29.61,6504557.0,28.75
2015-01-21,29.12,29.455,29.455,29.83,5661986.0,29.05
2015-01-22,29.62,30.06,30.06,30.195,4569542.0,29.49
2015-01-23,29.25,29.84,29.84,30.146,3029665.0,29.25
2015-01-26,29.98,30.06,30.06,30.36,2152424.0,29.88
2015-01-27,29.59,30.05,30.05,30.2,2156689.0,29.55
2015-01-28,30.22,29.775,29.775,30.288,4595618.0,29.64
2015-01-29,29.9,29.74,29.74,29.9,4583852.0,29.295
2015-01-30,29.56,28.985,28.985,29.85,5457886.0,28.94
2015-02-02,29.16,29.28,29.28,29.28,3332523.0,28.715
2015-02-03,29.51,29.57,29.57,30.19,6038323.0,29.32
2015-02-04,29.61,30.1,30.1,30.44,4554247.0,29.6
2015-02-05,30.1,29.19,29.19,30.28,5389772.0,29.04
2015-02-06,29.15,29.905,29.905,30.43,2719136.0,29.15
2015-02-09,29.48,30.05,30.05,30.22,2457129.0,29.48
2015-02-10,30.23,30.84,30.84,30.88,2686933.0,29.87
2015-02-11,30.91,30.595,30.595,31.0,2592550.0,30.19
2015-02-12,30.67,30.345,30.345,30.95,3758842.0,30.065
2015-02-13,30.25,31.45,31.45,31.54,4509473.0,30.25
2015-02-17,31.5,30.8,30.8,31.74,3753393.0,30.78
2015-02-18,30.85,30.9,30.9,31.12,4991759.0,30.61
2015-02-19,30.65,31.1,31.1,32.37,9924046.0,29.7
2015-02-20,31.0,30.93,30.93,31.17,23015882.0,29.445
2015-02-23,32.0,32.335,32.335,33.82,17369364.0,31.9
2015-02-24,32.9,33.0,33.0,33.165,7012927.0,32.34
2015-02-25,33.06,32.94,32.94,33.77,6331370.0,32.775
2015-02-26,32.95,32.445,32.445,33.14,3316307.0,32.13
2015-02-27,32.53,32.3,32.3,32.73,4123595.0,32.21
2015-03-02,32.38,32.65,32.65,32.81,3452185.0,32.1
2015-03-03,32.56,33.995,33.995,34.05,5858203.0,32.46
2015-03-04,33.92,33.8,33.8,33.95,4156424.0,33.32
2015-03-05,33.82,33.56,33.56,33.93,2602125.0,33.36
2015-03-06,33.39,33.08,33.08,33.53,5398008.0,32.79
2015-03-09,33.08,32.805,32.805,33.27,2998106.0,32.65
