Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,2269109.0,83.54,83.09,84.05,84.23,73.9722
2015-01-05,3780536.0,83.599,82.61,82.84,83.91,72.9073
2015-01-06,5291373.0,82.92,82.92,84.2,84.79,74.1042
2015-01-07,2583493.0,84.26,83.72,84.47,84.89,74.3418
2015-01-08,2167894.0,84.92,84.57,84.81,85.28,74.6411
2015-01-09,2671743.0,85.0,84.22,84.93,85.39,74.7467
2015-01-12,2300236.0,85.2,84.645,85.01,85.49,74.8171
2015-01-13,3529652.0,85.3,85.17,85.47,86.7799,75.2219
2015-01-14,3383205.0,85.08,84.65,85.69,85.78,75.4156
2015-01-15,3890790.0,85.89,85.36,86.76,86.95,76.3573
2015-01-16,3903880.0,86.73,86.595,87.35,87.39,76.8765
2015-01-20,3179923.0,87.44,86.73,87.69,87.73,77.1758
2015-01-21,2834651.0,87.5,86.9,88.68,88.79,78.0471
2015-01-22,2541912.0,88.83,87.94,88.63,89.29,78.003
2015-01-23,1817309.0,88.95,88.61,88.72,89.23,78.0823
2015-01-26,1750115.0,88.63,87.82,88.55,88.7,77.9326
2015-01-27,1906951.0,88.46,88.35,88.72,89.26,78.0823
2015-01-28,3199797.0,88.96,87.66,87.85,89.97,77.3166
2015-01-29,2850509.0,87.86,87.374,89.36,89.58,78.6455
2015-01-30,3526400.0,88.86,87.07,87.14,89.39,76.6917
2015-02-02,3610609.0,87.0,86.11,87.0,87.29,76.5685
2015-02-03,3980139.0,86.9,86.31,86.78,87.12,76.3749
2015-02-04,3685533.0,86.66,85.76,85.98,87.18,75.6708
2015-02-05,2548577.0,86.53,85.77,86.72,86.8142,76.3221
2015-02-06,4354502.0,86.07,82.53,83.11,86.61,73.1449
2015-02-09,3938100.0,83.15,82.21,82.7,83.61,72.7841
2015-02-10,4130988.0,82.6,82.39,84.18,84.29,74.0866
2015-02-11,3368237.0,83.09,81.6,81.85,83.3,72.7357
2015-02-12,4835932.0,81.69,80.89,81.06,82.05,72.0336
2015-02-13,4677509.0,80.97,79.21,79.84,80.97,70.9495
2015-02-17,6286588.0,79.44,78.8,79.39,80.915,70.5496
2015-02-18,4841194.0,79.23,79.03,80.97,81.42,71.9537
2015-02-19,5472921.0,81.21,79.12,79.17,81.23,70.3541
2015-02-20,4419152.0,79.14,77.79,78.71,79.61,69.9453
2015-02-23,3944043.0,78.86,78.41,79.26,79.61,70.4341
2015-02-24,3771712.0,79.08,78.755,79.85,80.18,70.9584
2015-02-25,3250746.0,79.95,78.75,79.01,79.9625,70.2119
2015-02-26,2549015.0,79.27,78.5,78.56,79.359,69.812
2015-02-27,2474492.0,78.49,78.03,78.55,78.87,69.8031
2015-03-02,5027653.0,78.48,76.39,77.06,78.48,68.4791
2015-03-03,3688230.0,77.06,76.61,77.51,77.51,68.8789
2015-03-04,2773214.0,77.12,76.57,77.08,77.3,68.4968
2015-03-05,2562930.0,77.29,77.17,77.58,77.89,68.9411
2015-03-06,6385656.0,76.56,74.55,74.96,76.56,66.6129
2015-03-09,3301321.0,75.0,74.75,74.76,75.48,66.4352
2015-03-10,5272060.0,74.2,73.98,74.7,75.45,66.3818
2015-03-11,4940734.0,75.06,74.04,74.28,75.23,66.0086
2015-03-12,3497390.0,74.65,74.57,75.28,75.46,66.8973
2015-03-13,3089993.0,75.24,73.98,74.61,75.24,66.3019
2015-03-16,3235727.0,75.19,75.15,75.71,76.325,67.2794
2015-03-17,2565928.0,75.36,74.82,75.08,75.89,66.7195
2015-03-18,5754443.0,75.07,74.79,76.4,76.81,67.8925
2015-03-19,4431245.0,76.18,75.8,76.01,77.14,67.546
2015-03-20,7064822.0,76.11,75.86,76.67,76.75,68.1325
2015-03-23,3073452.0,76.68,76.44,76.8,76.99,68.248
2015-03-24,2642266.0,76.68,75.71,76.06,77.27,67.5904
2015-03-25,2984249.0,76.31,74.82,74.96,76.75,66.6129
2015-03-26,4173721.0,74.85,73.63,74.35,75.18,66.0708
2015-03-27,3182672.0,74.66,74.3,75.0,75.19,66.6484
2015-03-30,3353524.0,75.41,75.09,75.9,76.18,67.4482
2015-03-31,6030584.0,75.84,75.5,76.78,76.85,68.2302
