Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,3019780.0,60.63,59.6,60.96,61.63,58.4614
2015-01-05,3867318.0,59.69,57.8,58.7,59.69,56.2941
2015-01-06,4685844.0,58.6,56.77,57.5,59.19,55.1433
2015-01-07,4208724.0,58.09,57.38,57.77,58.94,55.4022
2015-01-08,4551664.0,58.75,58.01,59.82,60.45,57.3682
2015-01-09,3539071.0,60.0,59.07,60.41,60.72,57.934
2015-01-12,4333086.0,59.21,57.92,59.13,59.59,56.7064
2015-01-13,4911764.0,59.28,58.47,58.89,59.79,56.4763
2015-01-14,5974009.0,58.28,57.31,58.5,59.38,56.1023
2015-01-15,3749886.0,59.92,57.78,57.86,60.17,55.4885
2015-01-16,5251960.0,58.37,58.29,60.7,60.81,58.2121
2015-01-20,4769510.0,59.6,58.4,59.64,60.0,57.1955
2015-01-21,4001528.0,60.4,59.95,61.6,61.67,59.0752
2015-01-22,3888364.0,61.98,59.92,61.25,62.18,58.7396
2015-01-23,3998187.0,60.95,60.14,60.16,61.62,57.6942
2015-01-26,3336860.0,60.4,60.02,61.72,62.1601,59.1903
2015-01-27,2737509.0,61.23,60.63,62.1,62.57,59.5547
2015-01-28,4752652.0,61.5,58.33,58.43,61.538,56.0351
2015-01-29,3087218.0,58.93,56.91,58.72,59.21,56.3133
2015-01-30,3792560.0,58.12,57.6801,60.27,60.93,57.7997
2015-02-02,4579567.0,61.34,60.85,62.84,62.85,60.2644
2015-02-03,6447402.0,63.79,63.33,64.07,64.94,61.444
2015-02-04,5257023.0,62.74,62.351,64.0,64.27,61.3768
2015-02-05,5249470.0,64.54,64.07,65.0,65.4,62.3359
2015-02-06,4855112.0,65.71,64.86,65.27,65.91,62.5948
2015-02-09,3941210.0,65.65,64.623,64.73,65.86,62.0769
2015-02-10,4257443.0,64.7,62.69,64.18,64.72,61.5495
2015-02-11,3883738.0,63.0,62.45,64.6,64.64,61.9522
2015-02-12,4933463.0,65.59,65.1,65.78,66.28,63.0839
2015-02-13,4872369.0,66.68,65.41,66.47,66.69,63.7456
2015-02-17,4581990.0,66.12,65.814,66.65,67.08,63.9182
2015-02-18,6839757.0,64.86,63.54,63.95,65.85,61.3289
2015-02-19,4240556.0,62.37,62.18,64.41,64.8,61.77
2015-02-20,2771023.0,64.17,63.33,63.82,64.71,61.2042
2015-02-23,2263478.0,63.16,62.68,63.95,64.39,61.3289
2015-02-24,2992973.0,64.57,63.89,64.84,64.9,62.1824
2015-02-25,3355778.0,64.73,63.98,65.45,65.53,62.7674
2015-02-26,3560539.0,64.73,62.26,62.55,64.94,59.9863
2015-02-27,3278286.0,62.74,61.5,61.59,62.93,59.0656
2015-03-02,4529143.0,61.46,60.225,60.86,61.55,58.3655
2015-03-03,3615455.0,60.76,60.65,61.25,61.96,58.7396
2015-03-04,3745003.0,61.44,60.53,61.86,61.98,59.3246
2015-03-05,2499598.0,61.64,60.82,60.83,61.64,58.3368
2015-03-06,4572738.0,59.87,59.11,59.18,60.19,56.7544
2015-03-09,2790027.0,59.02,58.02,58.04,59.48,55.6611
2015-03-10,2809686.0,57.46,56.965,56.99,58.11,54.6542
2015-03-11,7497025.0,58.39,57.47,57.84,58.48,55.6995
2015-03-12,3328260.0,57.96,57.09,57.17,58.1,55.0543
2015-03-13,3691833.0,56.55,56.35,57.7,57.75,55.5647
2015-03-16,3568344.0,57.12,56.79,58.75,58.8,56.5758
2015-03-17,2518528.0,58.23,57.53,58.05,58.67,55.9017
2015-03-18,3533880.0,57.2,57.0,60.24,60.58,58.0107
2015-03-19,2238146.0,59.09,58.18,58.26,59.45,56.1039
2015-03-20,4336665.0,58.85,58.59,58.66,59.62,56.4891
2015-03-23,2834887.0,58.76,57.95,57.97,59.226,55.8247
2015-03-24,2868925.0,58.09,57.74,57.84,58.58,55.6995
2015-03-25,6181971.0,58.45,58.34,59.64,60.35,57.4329
2015-03-26,3811185.0,60.94,59.63,60.06,61.18,57.8373
2015-03-27,2277434.0,59.89,58.945,59.15,59.89,56.961
2015-03-30,3248358.0,59.93,59.52,60.71,60.81,58.4633
2015-03-31,3135490.0,59.84,59.54,60.31,61.06,58.0781
2015-04-01,3582084.0,60.68,60.59,61.58,62.26,59.3011
2015-04-02,4740544.0,61.37,61.06,62.55,62.92,60.2352
2015-04-06,3923060.0,62.97,62.85,63.41,64.05,61.0633
2015-04-07,3389159.0,63.48,63.24,63.33,64.29,60.9863
2015-04-08,2821397.0,63.68,62.96,63.04,63.99,60.707
