Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,47.19,46.87,46.87,47.67,1959789.0,46.58
2015-01-05,46.96,46.57,46.57,47.34,2736062.0,46.515
2015-01-06,46.87,45.96,45.96,47.33,4418865.0,45.42
2015-01-07,46.27,46.81,46.81,47.03,4849402.0,46.1
2015-01-08,47.01,48.125,48.125,48.25,3876985.0,47.01
2015-01-09,48.05,47.51,47.51,48.25,2952604.0,47.07
2015-01-12,47.55,47.06,47.06,47.62,2158811.0,46.51
2015-01-13,47.59,46.42,46.42,48.18,3288670.0,46.02
2015-01-14,45.52,46.9,46.9,46.95,3100433.0,45.21
2015-01-15,46.93,46.64,46.64,46.99,3073572.0,45.9903
2015-01-16,46.67,48.085,48.085,48.16,3220006.0,46.26
2015-01-20,48.24,47.81,47.81,48.59,4050056.0,47.51
2015-01-21,47.71,48.07,48.07,48.49,4209317.0,47.29
2015-01-22,48.34,49.36,49.36,49.3999,3478697.0,47.92
2015-01-23,49.43,49.79,49.79,50.41,5258595.0,49.33
2015-01-26,49.3,49.475,49.475,49.79,4312003.0,48.79
2015-01-27,48.8,48.41,48.41,49.1699,5997997.0,48.22
2015-01-28,51.86,54.61,54.61,55.17,16170011.0,51.215
2015-01-29,54.43,55.33,55.33,55.58,8256749.0,53.88
2015-01-30,55.0,54.86,54.86,55.8,5048637.0,54.47
2015-02-02,55.03,54.965,54.965,55.11,5238857.0,53.5501
2015-02-03,55.04,54.52,54.52,55.25,4349057.0,53.97
2015-02-04,54.54,54.555,54.555,55.28,3670303.0,54.04
2015-02-05,54.73,56.39,56.39,56.695,4959336.0,54.61
2015-02-06,56.28,55.14,55.14,56.95,4833611.0,54.7999
2015-02-09,54.7,54.275,54.275,54.9999,3216803.0,54.08
2015-02-10,54.47,54.76,54.76,55.083,3769484.0,53.86
2015-02-11,54.87,54.945,54.945,55.28,2192961.0,54.52
2015-02-12,55.29,56.195,56.195,56.64,3783165.0,55.22
2015-02-13,56.35,56.39,56.39,56.91,2907157.0,55.64
2015-02-17,56.46,56.76,56.76,56.9,3173988.0,55.94
2015-02-18,56.58,57.605,57.605,57.62,3469515.0,56.52
2015-02-19,57.61,57.14,57.14,57.7,3000820.0,57.075
