Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,104.69,100.6532,104.31,105.24,1191485.0,103.61
2015-01-05,103.83,98.4049,101.98,104.19,2074312.0,101.94
2015-01-06,101.69,95.4618,98.93,101.73,3396212.0,97.78
2015-01-07,99.94,96.8609,100.38,100.64,2315516.0,99.08
2015-01-08,101.46,99.0224,102.62,103.16,1935508.0,101.37
2015-01-09,102.56,97.7776,101.33,102.8,1781970.0,101.22
2015-01-12,101.61,97.2276,100.76,101.75,2157701.0,99.51
2015-01-13,101.25,98.347,101.92,102.24,2082974.0,100.82
2015-01-14,100.27,97.7776,101.33,101.42,1721269.0,99.95
2015-01-15,101.73,97.1504,100.68,102.4,1460542.0,100.65
2015-01-16,100.94,98.6268,102.21,102.39,1754278.0,100.52
2015-01-20,102.99,98.9645,102.56,103.48,1937991.0,101.37
2015-01-21,102.4,100.354,104.0,104.05,1716380.0,101.8
2015-01-22,104.75,102.641,106.37,106.44,2078719.0,104.28
2015-01-23,106.45,102.1681,105.88,107.19,1753778.0,105.77
2015-01-26,106.01,103.2682,107.02,107.06,1884962.0,105.42
2015-01-27,105.64,102.7471,106.48,107.44,1462733.0,105.54
2015-01-28,106.96,99.9488,103.58,106.96,1730474.0,103.54
2015-01-29,103.46,100.7207,104.38,104.65,2048116.0,102.45
2015-01-30,103.02,100.1321,103.77,104.64,2634520.0,103.02
2015-02-02,102.53,99.8619,103.49,104.34,2058983.0,101.57
2015-02-03,103.91,102.3611,106.08,106.14,1566362.0,103.79
2015-02-04,106.0,100.7786,104.44,106.0,1384065.0,104.13
2015-02-05,105.12,102.6506,106.38,106.7,1281691.0,104.64
2015-02-06,106.61,102.9401,106.68,107.35,1052861.0,106.35
2015-02-09,106.59,103.4805,107.24,107.44,1358535.0,106.54
2015-02-10,107.61,104.5322,108.33,108.34,1305800.0,106.76
2015-02-11,108.25,105.4779,109.31,109.805,1834730.0,107.88
2015-02-12,110.05,106.8867,110.77,111.16,1585047.0,109.62
2015-02-13,111.02,107.7069,111.62,112.1,1150321.0,110.6201
2015-02-17,111.65,107.7552,111.67,111.98,1029627.0,110.9
2015-02-18,111.32,107.649,111.56,111.57,1246877.0,110.68
2015-02-19,110.85,107.8516,111.77,111.8,1324246.0,110.01
2015-02-20,111.73,108.585,112.53,112.57,2188056.0,110.92
2015-02-23,112.07,107.5043,111.41,112.1,1481430.0,110.98
2015-02-24,111.23,109.0385,113.0,113.38,2182522.0,110.38
2015-02-25,113.0,111.5956,115.65,115.68,2135534.0,112.9
2015-02-26,115.32,112.0781,116.15,116.72,1820595.0,114.52
2015-02-27,115.98,111.4895,115.54,116.995,1612739.0,115.45
2015-03-02,115.52,111.8948,115.96,116.03,1369810.0,114.752
2015-03-03,115.29,112.1167,116.19,116.37,1179075.0,114.73
2015-03-04,115.78,112.107,116.18,116.54,1681256.0,114.76
2015-03-05,116.74,112.6764,116.77,116.89,1029626.0,115.71
2015-03-06,116.5,110.9877,114.69,116.72,1360322.0,114.51
2015-03-09,114.69,112.1393,115.88,116.23,1117448.0,114.51
2015-03-10,114.75,111.1813,114.89,115.5,1665183.0,114.16
2015-03-11,114.51,110.8038,114.5,115.4,1167606.0,114.31
2015-03-12,114.44,112.0716,115.81,115.88,1030459.0,114.44
2015-03-13,115.32,110.7748,114.47,115.54,1074339.0,114.01
2015-03-16,114.78,111.4522,115.17,115.59,1220693.0,114.48
2015-03-17,114.41,110.62,114.31,114.87,1156435.0,113.41
2015-03-18,113.87,111.9651,115.7,116.45,1338847.0,112.745
2015-03-19,115.16,111.2974,115.01,115.525,968344.0,114.31
2015-03-20,115.75,111.549,115.27,116.02,1572471.0,115.24
2015-03-23,115.46,110.5909,114.28,115.46,1290188.0,114.27
2015-03-24,114.28,109.9135,113.58,114.57,1529040.0,113.52
2015-03-25,114.17,110.1458,113.82,114.98,1893650.0,113.32
2015-03-26,113.51,110.5716,114.26,114.645,1029624.0,113.4801
2015-03-27,114.14,110.5522,114.24,114.55,1077246.0,113.706
2015-03-30,114.89,111.0845,114.79,115.67,1188921.0,114.34
2015-03-31,114.33,110.6877,114.38,115.41,929507.0,114.19
2015-04-01,114.38,109.8748,113.54,114.58,1279497.0,113.15
2015-04-02,113.16,109.7103,113.37,114.36,900786.0,113.16
2015-04-06,113.21,110.9393,114.64,114.98,1085740.0,113.04
2015-04-07,114.58,110.8716,114.57,115.28,516680.0,114.3859
2015-04-08,114.71,111.6167,115.34,115.5,807464.0,114.71
2015-04-09,115.5,112.1199,115.86,116.19,901745.0,115.3
2015-04-10,116.0,112.6038,116.36,116.94,947184.0,115.44
2015-04-13,116.09,111.7038,115.43,116.84,897786.0,115.4
2015-04-14,115.49,112.4006,116.15,116.32,1015983.0,115.055
2015-04-15,116.37,113.2425,117.02,117.28,850287.0,116.28
2015-04-16,116.59,113.0586,116.83,117.3104,809736.0,116.281
2015-04-17,116.08,111.4812,115.2,116.27,1189903.0,114.49
2015-04-20,115.98,112.4006,116.15,116.44,857530.0,115.65
2015-04-21,116.23,112.1393,115.88,116.63,982817.0,115.46
2015-04-22,115.88,112.3038,116.05,116.06,1109416.0,115.05
2015-04-23,116.01,112.1103,115.85,116.4111,505289.0,115.63
