Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,65.01,60.1204,65.51,65.935,1900628.0,64.78
2015-01-05,65.579,59.9736,65.35,65.81,2464261.0,65.11
2015-01-06,65.1,60.203,65.6,66.73,2243071.0,65.03
2015-01-07,65.66,61.2125,66.7,67.34,2385610.0,65.5
2015-01-08,66.98,61.5521,67.07,67.38,2765953.0,66.48
2015-01-09,67.09,61.8366,67.38,67.82,2724173.0,66.58
2015-01-12,66.87,61.3777,66.88,67.47,2068992.0,66.33
2015-01-13,67.21,61.029,66.5,67.99,2757083.0,66.14
2015-01-14,66.4,61.9651,67.52,67.57,1880055.0,66.0501
2015-01-15,67.58,62.2679,67.85,68.23,2449320.0,67.21
2015-01-16,68.0,62.4056,68.0,68.13,1616669.0,67.4
2015-01-20,68.4,62.5616,68.17,68.434,1882393.0,67.685
2015-01-21,67.9,62.8277,68.46,68.57,1964644.0,67.46
2015-01-22,68.78,62.5708,68.18,68.79,1892297.0,67.85
2015-01-23,68.4,62.7635,68.39,68.69,1224729.0,68.1
2015-01-26,68.4,62.7176,68.34,68.48,1570626.0,67.85
2015-01-27,68.25,62.7451,68.37,68.84,1582213.0,68.14
2015-01-28,68.41,62.0568,67.62,69.32,1841458.0,67.51
2015-01-29,67.64,63.3692,69.05,69.1,2957655.0,67.48
2015-01-30,68.78,62.5432,68.15,69.59,3136997.0,68.06
2015-02-02,68.03,62.6717,68.29,68.46,1722680.0,67.09
2015-02-03,67.97,62.3321,67.92,68.26,2191006.0,67.48
2015-02-04,67.72,61.9467,67.5,68.36,1384964.0,67.38
2015-02-05,67.74,62.1578,67.73,67.97,947485.0,67.3
2015-02-06,67.4,59.0742,64.37,67.69,2637740.0,64.08
2015-02-09,64.59,58.8356,64.11,65.07,1713971.0,63.89
2015-02-10,64.12,60.5701,66.0,66.07,2525139.0,64.0
2015-02-11,65.55,59.3495,64.67,65.55,1981665.0,64.49
2015-02-12,64.58,59.4688,64.8,64.93,2156353.0,64.06
2015-02-13,64.75,57.7343,62.91,64.75,2615417.0,62.41
2015-02-17,62.93,58.1932,63.41,64.03,2745362.0,62.31
2015-02-18,63.32,59.9552,65.33,65.48,2156846.0,63.17
2015-02-19,65.44,59.0926,64.39,65.44,1523585.0,64.05
2015-02-20,64.47,58.8172,64.09,64.63,1743490.0,63.32
2015-02-23,64.34,60.0837,65.47,65.48,2353103.0,64.22
2015-02-24,65.38,60.2397,65.64,65.9262,1530486.0,65.0
2015-02-25,65.64,59.5514,64.89,65.84,1955290.0,64.58
2015-02-26,65.1,58.8264,64.1,65.14,2554191.0,63.83
2015-02-27,64.21,58.9641,64.25,64.45,1417520.0,63.63
2015-03-02,64.1,58.4777,63.72,64.22,3106992.0,62.7
2015-03-03,63.49,58.496,63.74,63.87,2190736.0,63.14
2015-03-04,63.71,58.2299,63.45,63.79,1418890.0,63.18
2015-03-05,63.72,58.5695,63.82,64.34,1761979.0,63.58
2015-03-06,63.06,56.2751,61.32,63.06,2434066.0,61.02
2015-03-09,61.43,56.7065,61.79,62.25,1809791.0,61.195
2015-03-10,61.65,56.9634,62.07,62.55,2301445.0,61.44
2015-03-11,61.82,56.8992,62.0,62.44,2691297.0,61.33
2015-03-12,62.47,57.8628,63.05,63.48,2189541.0,62.35
2015-03-13,62.75,57.6609,62.83,62.96,2145426.0,61.83
2015-03-16,63.24,58.8815,64.16,64.39,1969153.0,63.0
2015-03-17,63.9,58.2941,63.52,64.17,1595897.0,63.47
2015-03-18,63.56,60.1021,65.49,65.99,2107854.0,63.41
2015-03-19,65.3,59.478,64.81,65.84,2278563.0,64.64
2015-03-20,65.4,58.8907,64.17,65.68,6584383.0,63.72
2015-03-23,64.1,58.9365,64.22,64.56,2357277.0,63.93
2015-03-24,64.08,57.9362,63.13,64.43,2528944.0,62.97
2015-03-25,63.33,57.4315,62.58,63.79,2151206.0,62.5
2015-03-26,62.49,57.1103,62.23,62.94,2117222.0,61.65
2015-03-27,62.01,57.4475,62.18,62.785,1641209.0,61.79
2015-03-30,62.54,58.2421,63.04,63.27,1454853.0,62.33
2015-03-31,62.81,57.7155,62.47,63.42,2558989.0,62.13
2015-04-01,62.43,58.1405,62.93,63.18,2127981.0,61.58
2015-04-02,62.96,58.2421,63.04,63.18,1250872.0,62.7
2015-04-06,63.16,59.3507,64.24,64.55,2033612.0,63.16
2015-04-07,64.14,58.8796,63.73,64.32,2629948.0,63.55
2015-04-08,63.7,58.8611,63.71,63.99,2210990.0,63.46
2015-04-09,63.62,58.547,63.37,63.66,1536678.0,63.09
2015-04-10,63.64,58.935,63.79,63.99,1266932.0,63.18
2015-04-13,63.57,58.0296,62.81,63.58,1430538.0,62.7
2015-04-14,62.91,58.1959,62.99,63.33,1697509.0,62.68
2015-04-15,63.11,57.7339,62.49,63.59,1990093.0,62.39
2015-04-16,62.39,56.9856,61.68,62.51,3399498.0,61.09
2015-04-17,61.36,56.422,61.07,61.97,3245048.0,60.765
2015-04-20,60.52,56.9579,61.65,62.28,2949405.0,60.52
2015-04-21,61.65,55.8954,60.5,62.08,3722804.0,60.37
2015-04-22,60.55,55.4427,60.01,60.81,4858125.0,59.78
2015-04-23,60.01,55.84,60.44,60.73,3384604.0,59.89
2015-04-24,60.45,56.8932,61.58,61.87,2769477.0,60.28
2015-04-27,61.89,56.3666,61.01,61.9,2091627.0,60.64
2015-04-28,60.82,56.9671,61.66,61.94,2384692.0,60.72
2015-04-29,62.83,57.2905,62.01,62.97,4306417.0,61.33
2015-04-30,61.87,56.3019,60.94,61.93,3235869.0,60.42
2015-05-01,61.02,56.8562,61.54,61.59,2242672.0,60.495
2015-05-04,61.6,57.2073,61.92,62.31,2439099.0,61.285
2015-05-05,61.64,55.7753,60.37,61.78,1925819.0,60.08
2015-05-06,60.24,55.0639,59.6,60.36,2319565.0,59.05
2015-05-07,59.87,55.5628,60.14,60.5,2258139.0,59.73
2015-05-08,60.95,56.0525,60.67,61.25,2603827.0,60.305
2015-05-11,60.43,55.6829,60.27,61.415,1391743.0,60.16
2015-05-12,59.85,54.99,59.52,59.97,3177048.0,58.98
2015-05-13,59.6,54.3617,58.84,60.06,2090205.0,58.57
2015-05-14,59.09,55.2025,59.75,59.76,2047277.0,59.05
2015-05-15,59.9,55.84,60.44,60.615,2472879.0,59.6
2015-05-18,60.16,56.1448,60.77,61.05,1397930.0,60.11
2015-05-19,60.46,55.9693,60.58,60.98,1399080.0,60.22
2015-05-20,60.71,56.1818,60.81,61.34,1255330.0,60.49
2015-05-21,60.83,56.2003,60.83,61.11,1171740.0,60.51
2015-05-22,60.81,56.1171,60.74,60.94,919476.0,60.22
2015-05-26,60.71,55.8584,60.46,60.76,1746522.0,59.91
2015-05-27,60.48,56.1541,60.78,60.92,1625371.0,60.31
2015-05-28,60.83,56.4035,61.05,61.25,1766389.0,60.58
2015-05-29,61.06,56.1818,60.81,61.34,2414437.0,60.74
2015-06-01,60.91,56.1541,60.78,61.22,1253391.0,60.74
2015-06-02,60.38,55.0085,59.54,60.47,1919109.0,59.18
2015-06-03,59.49,54.1585,58.62,59.54,2113947.0,58.09
2015-06-04,58.17,54.3617,58.84,59.09,1811875.0,58.17
2015-06-05,58.0,53.29,57.68,58.34,1807435.0,57.5
2015-06-08,57.69,53.1422,57.52,57.82,1775464.0,57.36
2015-06-09,57.43,52.902,57.26,57.6,1157333.0,57.25
2015-06-10,57.62,53.0498,57.42,58.07,1831252.0,57.34
2015-06-11,57.99,53.4656,57.87,58.22,1183559.0,57.61
2015-06-12,57.5,52.8466,57.2,57.87,1085857.0,57.165
2015-06-15,57.24,52.9944,57.36,57.48,1674248.0,56.88
2015-06-16,57.3,53.1976,57.58,57.81,1371036.0,57.1
2015-06-17,57.54,53.5764,57.99,58.13,1657490.0,57.25
