Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,76.55,72.6114,75.59,76.73,926393.0,75.01
2015-01-05,75.19,71.7373,74.68,75.24,1350913.0,74.496
2015-01-06,74.68,71.0745,73.99,74.83,1588333.0,73.81
2015-01-07,74.4,71.4011,74.33,74.63,1586647.0,73.91
2015-01-08,74.64,72.4289,75.4,75.61,1463675.0,74.42
2015-01-09,75.43,71.9486,74.9,75.6,1121532.0,74.65
2015-01-12,74.73,71.3338,74.26,75.09,1947406.0,73.56
2015-01-13,74.32,71.5836,74.52,75.785,1458523.0,74.03
2015-01-14,73.48,71.1994,74.12,74.24,1321466.0,73.03
2015-01-15,74.07,70.8055,73.71,74.165,1540745.0,73.43
2015-01-16,73.32,71.2954,74.22,74.38,1654298.0,73.05
2015-01-20,74.72,71.5932,74.53,74.74,1529830.0,73.99
2015-01-21,73.34,71.0649,73.98,74.6,1972690.0,72.89
2015-01-22,74.45,72.1503,75.11,75.33,2247915.0,73.75
2015-01-23,75.05,70.7959,73.7,75.05,3109271.0,73.15
2015-01-26,73.37,69.989,72.86,73.62,2360697.0,72.53
2015-01-27,71.88,68.9227,71.75,72.0,3381183.0,70.78
2015-01-28,71.96,67.6259,70.4,71.96,2644459.0,70.38
2015-01-29,70.81,69.1341,71.97,72.06,2648669.0,70.69
2015-01-30,71.37,67.8085,70.59,71.86,2362237.0,70.5
2015-02-02,70.72,68.9996,71.83,71.85,3291650.0,70.41
2015-02-03,72.3,69.9698,72.84,72.96,2163572.0,71.96
2015-02-04,72.74,69.6912,72.55,73.395,2392588.0,72.42
2015-02-05,74.59,75.3107,78.4,78.69,6222459.0,74.59
2015-02-06,78.43,76.4154,79.55,81.14,5206138.0,78.27
2015-02-09,79.37,76.3289,79.46,79.63,2667889.0,78.41
2015-02-10,80.25,76.8573,80.01,80.37,2400266.0,79.13
2015-02-11,80.09,77.1935,80.36,80.81,1770613.0,79.79
2015-02-12,80.2,77.7218,80.91,81.271,1666889.0,80.2
2015-02-13,81.19,79.2395,82.49,82.73,3703888.0,80.98
