Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,76.03,71.0031,76.48,76.67,1566326.0,75.63
2015-01-05,75.67,68.5521,73.84,75.75,2104523.0,73.72
2015-01-06,73.76,68.2643,73.53,74.45,1497602.0,72.66
2015-01-07,74.18,67.828,73.06,74.22,1670246.0,72.83
2015-01-08,73.91,69.9262,75.32,75.33,2302925.0,73.51
2015-01-09,75.72,69.1092,74.44,75.9,1158398.0,73.85
2015-01-12,74.23,67.3824,72.58,74.39,1697822.0,72.19
2015-01-13,73.29,66.6025,71.74,73.82,1914993.0,70.8
2015-01-14,70.57,65.7113,70.78,70.96,2088999.0,69.19
2015-01-15,71.32,64.8015,69.8,71.4,2437774.0,69.75
2015-01-16,69.53,65.9805,71.07,71.25,2255606.0,69.35
2015-01-20,71.32,64.8572,69.86,71.6,2474148.0,69.31
2015-01-21,69.5,66.1476,71.25,71.37,1943184.0,68.4
2015-01-22,71.84,67.2895,72.48,72.6,1722661.0,71.18
2015-01-23,71.47,64.1887,69.14,71.61,2870314.0,69.1
2015-01-26,69.33,64.7736,69.77,70.17,1606291.0,68.76
2015-01-27,68.92,65.2842,70.32,70.9,1328346.0,68.8
2015-01-28,70.82,63.7338,68.65,71.14,1472459.0,68.47
2015-01-29,69.02,63.7245,68.64,69.25,2675077.0,67.78
2015-01-30,67.8,65.8134,70.89,71.72,4057024.0,67.13
2015-02-02,71.04,64.8479,69.85,71.596,2599132.0,68.74
2015-02-03,70.35,67.8837,73.12,73.27,3249235.0,70.34
2015-02-04,72.05,66.6675,71.81,72.68,1758057.0,71.16
2015-02-05,72.24,68.645,73.94,74.38,1592490.0,72.23
2015-02-06,74.04,67.958,73.2,74.64,1468359.0,73.05
2015-02-09,73.2,69.2392,74.58,75.36,1845807.0,73.2
2015-02-10,74.78,69.0071,74.33,74.78,1137625.0,73.44
2015-02-11,74.08,68.58,73.87,74.24,1214197.0,72.91
2015-02-12,74.35,69.7312,75.11,75.425,1040778.0,74.35
2015-02-13,75.34,70.2511,75.67,76.1,1254774.0,75.11
2015-02-17,75.3,70.4368,75.87,76.26,1329381.0,74.7
2015-02-18,75.42,70.1211,75.53,75.8,982494.0,75.0
2015-02-19,74.91,69.3413,74.69,75.53,1671918.0,74.35
2015-02-20,74.46,70.0654,75.47,75.665,926780.0,74.07
2015-02-23,75.15,70.4646,75.9,76.09,1177146.0,74.83
2015-02-24,76.27,70.4089,75.84,76.48,661909.0,75.58
2015-02-25,75.92,70.7803,76.24,76.54,747944.0,75.92
2015-02-26,75.77,69.8983,75.29,76.48,1315856.0,74.9
2015-02-27,75.26,69.1277,74.46,75.64,1295416.0,74.44
2015-03-02,73.98,70.0097,75.41,75.43,1261092.0,73.52
2015-03-03,75.0,68.9978,74.32,75.34,1393313.0,73.92
