Date,Volume,Open,Low,Close,High,Adj Close
2015-01-02,1371417.0,72.51,71.5,72.15,72.79,72.15
2015-01-05,1582005.0,71.8,70.62,71.97,72.29,71.97
2015-01-06,2352322.0,72.15,71.87,73.86,74.32,73.86
2015-01-07,3495123.0,74.3,74.12,76.98,77.19,76.98
2015-01-08,3995868.0,77.9,77.03,78.22,79.95,78.22
2015-01-09,1380620.0,78.83,77.01,77.96,78.96,77.96
2015-01-12,1301508.0,77.99,77.4,77.96,79.21,77.96
2015-01-13,3080485.0,78.73,78.17,79.87,80.17,79.87
2015-01-14,1624686.0,78.89,77.95,79.09,79.85,79.09
2015-01-15,1691553.0,79.26,77.92,78.08,79.72,78.08
2015-01-16,1832289.0,77.71,77.7,79.99,80.1,79.99
2015-01-20,2606491.0,80.44,79.57,81.04,81.24,81.04
2015-01-21,2305976.0,80.66,79.3,79.82,81.5,79.82
2015-01-22,3890628.0,81.2,79.53,80.02,81.5,80.02
2015-01-23,1947261.0,80.27,78.48,78.87,80.8593,78.87
2015-01-26,30131433.0,78.61,78.508,79.15,80.3,79.15
2015-01-27,3736997.0,78.64,78.1,79.73,80.5,79.73
2015-01-28,5100263.0,79.96,79.6,81.195,82.88,81.195
2015-01-29,5235257.0,81.27,80.81,81.64,82.565,81.64
2015-01-30,5061529.0,81.08,79.03,79.61,81.42,79.61
2015-02-02,3236393.0,80.34,78.75,80.62,81.1,80.62
2015-02-03,4113453.0,81.0,78.21,79.4,81.96,79.4
2015-02-04,3028716.0,79.18,77.23,77.57,79.32,77.57
2015-02-05,1806270.0,78.27,77.848,79.33,79.6,79.33
2015-02-06,1272630.0,79.0,77.02,79.69,79.9,79.69
2015-02-09,1291307.0,79.34,79.022,79.46,79.89,79.46
2015-02-10,1474090.0,79.79,79.33,81.11,81.14,81.11
2015-02-11,1273339.0,81.25,80.63,81.32,82.09,81.32
2015-02-12,1731135.0,81.58,81.37,82.89,83.52,82.89
2015-02-13,1865157.0,83.29,82.49,84.01,84.15,84.01
2015-02-17,2063511.0,84.01,83.34,85.37,85.54,85.37
2015-02-18,1446489.0,85.08,83.67,85.21,85.34,85.21
2015-02-19,1958679.0,85.32,84.624,84.99,86.42,84.99
2015-02-20,3829833.0,85.52,83.23,86.32,87.36,86.32
2015-02-23,2658113.0,86.04,84.89,84.94,86.75,84.94
2015-02-24,2567612.0,85.01,84.16,85.25,86.14,85.25
2015-02-25,2638339.0,85.15,83.59,85.19,85.82,85.19
2015-02-26,1263385.0,84.98,84.46,85.24,85.91,85.24
2015-02-27,1943230.0,85.36,84.69,85.6,85.99,85.6
2015-03-02,3049445.0,87.49,86.6,87.32,89.88,87.32
2015-03-03,3576467.0,86.52,84.84,85.88,87.19,85.88
2015-03-04,2204417.0,84.44,83.01,85.65,85.67,85.65
2015-03-05,1936700.0,86.2,85.96,87.71,87.9703,87.71
2015-03-06,2991828.0,86.96,85.03,87.03,87.55,87.03
2015-03-09,2508390.0,87.05,86.13,89.54,89.61,89.54
2015-03-10,2742011.0,88.63,88.02,89.0,89.98,89.0
2015-03-11,11366169.0,89.03,86.08,87.76,92.8,87.76
2015-03-12,5328479.0,87.9,87.63,90.495,91.766,90.495
2015-03-13,4632802.0,90.04,86.23,87.33,90.24,87.33
2015-03-16,4322324.0,89.01,88.33,89.65,90.06,89.65
2015-03-17,2140654.0,89.24,89.13,90.78,90.85,90.78
