Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,91.01,90.0141,92.24,92.99,3463289.0,90.36
2015-01-05,89.96,84.5882,86.68,90.78,6173633.0,86.02
2015-01-06,85.84,82.1778,84.21,86.6,8150001.0,82.76
2015-01-07,85.18,81.6606,83.68,85.73,5950313.0,82.72
2015-01-08,84.72,84.7834,86.88,87.65,5839080.0,84.07
2015-01-09,87.02,85.3494,87.46,88.03,4002104.0,86.01
2015-01-12,85.11,82.4706,84.51,85.35,4809907.0,83.2
2015-01-13,84.97,83.0073,85.06,86.66,5463581.0,84.05
2015-01-14,84.07,85.7861,87.74,88.09,6696077.0,83.67
2015-01-15,89.04,84.6031,86.53,89.5,4941650.0,86.45
2015-01-16,86.86,88.2989,90.31,90.535,5483464.0,86.54
2015-01-20,89.09,87.3407,89.33,89.7799,5960560.0,87.52
2015-01-21,90.59,88.5238,90.54,91.4,4911539.0,89.68
2015-01-22,91.38,88.3478,90.36,91.38,4470971.0,88.58
2015-01-23,90.07,88.7682,90.79,92.52,4433593.0,89.7
2015-01-26,91.23,90.2739,92.33,92.39,3431019.0,90.15
2015-01-27,91.94,90.929,93.0,94.41,5282954.0,91.12
2015-01-28,92.33,86.1381,88.1,92.686,5773162.0,87.762
2015-01-29,89.12,86.9301,88.91,89.41,5188673.0,86.76
2015-01-30,88.16,87.0474,89.03,90.07,7469810.0,87.4
2015-02-02,90.99,90.4597,92.52,92.57,5615398.0,89.53
2015-02-03,94.72,94.1653,96.31,97.88,8906563.0,94.65
2015-02-04,94.4,93.0702,95.19,97.53,9868596.0,93.54
2015-02-05,95.71,94.0479,96.19,97.285,5595960.0,95.16
2015-02-06,96.99,93.6569,95.79,97.21,5297475.0,95.57
2015-02-09,96.6,93.8133,95.95,97.23,4249851.0,95.78
2015-02-10,96.65,93.1387,95.26,96.69,4308296.0,93.84
2015-02-11,93.84,91.1245,93.2,94.09,6331834.0,92.15
2015-02-12,94.96,92.6889,94.8,95.24,3944487.0,93.47
2015-02-13,95.94,94.7617,96.92,96.97,4158472.0,95.25
2015-02-17,96.08,94.3413,96.49,96.67,4234184.0,95.65
2015-02-18,94.81,93.1875,95.31,96.49,4522787.0,94.5
2015-02-19,86.68,91.7112,93.8,94.74,18682231.0,86.58
2015-02-20,93.09,89.0517,91.08,93.46,7937509.0,90.07
2015-02-23,90.06,89.8828,91.93,92.1,5501226.0,89.25
2015-02-24,92.85,89.5699,91.61,93.0,4214973.0,91.26
2015-02-25,91.54,90.9583,93.03,93.25,5787809.0,91.29
2015-02-26,91.81,88.1229,90.13,92.25,5426658.0,89.61
2015-02-27,90.63,87.722,89.72,90.71,3837526.0,89.29
2015-03-02,89.08,87.0767,89.06,89.2,5347819.0,87.08
2015-03-03,88.98,88.3576,90.37,91.1099,4380705.0,88.6
2015-03-04,90.2,88.4749,90.49,90.95,3924790.0,88.55
2015-03-05,89.85,87.5949,89.59,90.52,2688091.0,89.37
2015-03-06,88.92,86.5976,88.57,90.0,4063583.0,88.23
2015-03-09,88.08,85.7666,87.72,89.2499,3443595.0,87.64
2015-03-10,86.88,84.2706,86.19,88.57,4862440.0,86.15
2015-03-11,86.42,84.6226,86.55,87.37,3973714.0,85.88
2015-03-12,87.05,83.8013,85.71,87.19,3051652.0,85.62
2015-03-13,85.2,83.4885,85.39,85.6584,4415161.0,84.1
2015-03-16,85.11,85.9426,87.9,88.03,4953790.0,85.06
2015-03-17,86.86,84.8671,86.8,87.97,3798459.0,86.4
2015-03-18,86.08,88.6411,90.66,91.37,5386050.0,86.0
2015-03-19,89.4,87.5363,89.53,89.9,3558725.0,88.36
2015-03-20,89.75,88.6606,90.68,91.935,5980026.0,89.43
2015-03-23,91.25,87.0181,89.0,91.4102,3199682.0,89.0
2015-03-24,89.2,86.8616,88.84,89.944,2681222.0,88.64
2015-03-25,89.68,87.9567,89.96,90.645,3664807.0,88.79
2015-03-26,91.49,89.3255,91.36,91.93,4856933.0,90.25
2015-03-27,90.62,88.5433,90.56,91.12,2539126.0,90.14
2015-03-30,91.64,90.0881,92.14,92.5,3478814.0,90.78
2015-03-31,91.13,89.6482,91.69,92.47,3575881.0,90.83
2015-04-01,92.04,89.1886,91.22,93.35,3814311.0,91.06
2015-04-02,90.3,90.6454,92.71,92.97,4596338.0,89.23
2015-04-06,93.36,92.7573,94.87,95.4,4769984.0,93.3
2015-04-07,95.2,92.1707,94.27,95.99,5231811.0,94.12
2015-04-08,95.01,91.9458,94.04,95.58,3274411.0,93.8
2015-04-09,94.11,93.5786,95.71,96.07,3408394.0,94.11
2015-04-10,95.87,94.439,96.59,96.6,2570412.0,95.25
2015-04-13,96.75,92.5814,94.69,96.9,3111389.0,94.2
2015-04-14,95.66,94.4757,96.46,96.95,3204352.0,95.34
2015-04-15,96.76,95.9448,97.96,98.335,5859464.0,96.43
2015-04-16,97.83,95.984,98.0,98.95,4054436.0,97.17
2015-04-17,97.04,95.2299,97.23,97.47,3201149.0,96.39
2015-04-20,97.18,95.7294,97.74,99.01,3130708.0,97.18
2015-04-21,97.83,94.603,96.59,98.32,3238541.0,96.36
2015-04-22,96.94,95.6902,97.7,98.6,2897780.0,96.3
2015-04-23,97.98,96.2485,98.27,99.25,2707385.0,97.84
2015-04-24,97.9,94.7304,96.72,97.97,3139607.0,95.91
2015-04-27,97.55,95.3572,97.36,97.96,2980489.0,96.56
2015-04-28,97.64,96.4346,98.46,98.81,3736627.0,97.64
2015-04-29,98.22,97.6882,99.74,99.98,3902568.0,97.79
2015-04-30,100.0,96.9145,98.95,100.44,3461923.0,98.48
2015-05-01,99.21,96.8655,98.9,101.0,3584709.0,97.61
2015-05-04,99.11,97.3454,99.39,101.36,7311516.0,98.55
2015-05-05,98.7,92.5952,94.54,100.2,11761465.0,94.53
