Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,72.28,57.4192,73.41,73.69,1408947.0,72.06
2015-01-05,73.24,57.9276,74.06,74.32,1800293.0,72.94
2015-01-06,74.31,58.2561,74.48,74.98,2043199.0,74.11
2015-01-07,74.78,59.1165,75.58,75.82,1719631.0,74.56
2015-01-08,75.76,59.7813,76.43,76.48,2122400.0,75.01
2015-01-09,76.47,60.2272,77.0,77.36,1890404.0,75.96
2015-01-12,77.27,60.9233,77.89,78.05,1803308.0,77.16
2015-01-13,77.97,60.2976,77.09,78.03,2071558.0,76.79
2015-01-14,76.67,61.0719,78.08,78.19,1460900.0,76.67
2015-01-15,78.42,61.4239,78.53,78.68,1388031.0,77.79
2015-01-16,78.68,62.0966,79.39,79.62,2204285.0,78.22
2015-01-20,79.94,60.9937,77.98,80.08,3457183.0,77.445
2015-01-21,77.53,60.7982,77.73,77.92,2149673.0,76.77
2015-01-22,77.78,62.034,79.31,79.32,1805056.0,77.7
2015-01-23,79.58,62.4173,79.8,80.095,2127956.0,78.99
2015-01-26,79.67,62.6519,80.1,80.28,1792807.0,79.27
2015-01-27,79.9,62.7614,80.24,80.63,1373438.0,79.8
2015-01-28,80.77,62.2843,79.63,81.03,1641685.0,79.58
2015-01-29,79.35,62.0575,79.34,79.8,1768605.0,78.64
2015-01-30,78.97,60.7043,77.61,79.27,2333060.0,77.54
2015-02-02,77.72,60.3054,77.1,77.78,2397703.0,75.95
2015-02-03,77.13,61.0015,77.99,77.99,2193612.0,76.42
2015-02-04,80.45,61.7446,78.94,80.46,2702182.0,77.639
2015-02-05,79.02,62.7849,80.27,80.52,2177743.0,78.98
2015-02-06,79.88,61.1032,78.12,80.0,2992413.0,77.755
2015-02-09,78.21,60.9077,77.87,78.49,1346679.0,77.79
2015-02-10,78.25,60.7747,77.7,78.56,3667034.0,77.21
2015-02-11,77.85,60.9859,77.97,78.41,2092617.0,77.29
2015-02-12,78.08,62.4642,79.86,80.08,1950674.0,77.97
2015-02-13,79.72,61.596,78.75,79.76,1884956.0,78.35
2015-02-17,78.42,61.7993,79.01,79.39,2024515.0,78.38
2015-02-18,79.04,62.5659,79.99,80.09,1674654.0,78.58
2015-02-19,79.79,60.6808,77.58,79.806,1672279.0,77.35
2015-02-20,77.71,61.5178,78.65,78.74,1835806.0,77.29
2015-02-23,79.01,62.5346,79.95,79.97,2038824.0,78.71
2015-02-24,79.65,60.9937,77.98,79.65,2011255.0,77.74
2015-02-25,78.01,60.7747,77.7,79.2,2130917.0,77.69
2015-02-26,77.85,60.102,76.84,77.96,1994824.0,76.8
2015-02-27,77.05,60.2506,77.03,77.34,2717801.0,76.53
2015-03-02,77.28,60.6808,77.58,78.24,1735765.0,77.08
