Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,84.91,84.65,84.65,85.42,2491061.0,84.18
2015-01-05,84.49,84.22,84.22,85.5,4429769.0,83.8072
2015-01-06,84.25,83.28,83.28,85.21,3966822.0,83.04
2015-01-07,83.61,84.56,84.56,85.08,3442039.0,83.55
2015-01-08,85.19,86.41,86.41,86.64,4480717.0,85.1
2015-01-09,86.08,84.9,84.9,86.38,2600906.0,84.71
2015-01-12,85.13,83.08,83.08,85.47,9929662.0,82.908
2015-01-13,83.81,83.58,83.58,84.77,2959017.0,83.04
2015-01-14,82.62,84.26,84.26,84.4,4435546.0,82.62
2015-01-15,84.95,84.3,84.3,85.62,3394349.0,84.24
2015-01-16,84.19,85.38,85.38,85.45,3369775.0,83.6
2015-01-20,85.27,83.48,83.48,85.32,5339494.0,82.75
2015-01-21,83.09,83.54,83.54,84.1,3761687.0,82.9
2015-01-22,83.79,84.99,84.99,85.01,3716923.0,83.24
2015-01-23,85.21,84.8,84.8,85.42,2449656.0,84.42
2015-01-26,85.0,84.75,84.75,85.24,3548789.0,84.1
2015-01-27,84.3,83.67,83.67,84.73,2878775.0,83.29
2015-01-28,83.54,81.95,81.95,84.08,5764361.0,81.755
2015-01-29,82.2,82.28,82.28,82.29,4543898.0,80.81
2015-01-30,81.87,80.71,80.71,82.48,4553327.0,80.6
2015-02-02,81.33,81.78,81.78,81.91,5404368.0,79.01
2015-02-03,81.84,81.87,81.87,82.47,4300270.0,80.9375
2015-02-04,82.06,82.34,82.34,83.26,6078361.0,81.61
2015-02-05,82.75,82.695,82.695,83.1,1812890.0,82.2
2015-02-06,83.13,81.84,81.84,83.13,2305720.0,81.45
2015-02-09,82.0,81.24,81.24,82.46,3072053.0,80.87
2015-02-10,81.59,82.24,82.24,82.27,3319742.0,80.91
2015-02-11,82.23,84.79,84.79,84.875,4142360.0,82.23
2015-02-12,85.0,84.5,84.5,85.1,3445086.0,83.99
2015-02-13,84.57,84.9,84.9,84.92,2097952.0,83.93
2015-02-17,84.6,85.19,85.19,85.29,2838319.0,84.29
2015-02-18,85.1,85.17,85.17,85.27,2318351.0,84.79
2015-02-19,85.07,85.5,85.5,85.73,2971485.0,84.8601
2015-02-20,85.62,86.08,86.08,86.12,3754892.0,84.915
2015-02-23,86.08,86.72,86.72,86.87,5345794.0,85.83
2015-02-24,88.0,87.62,87.62,88.83,5942323.0,86.05
2015-02-25,87.44,85.09,85.09,87.44,5194317.0,84.85
2015-02-26,84.83,84.54,84.54,85.0519,6628483.0,84.16
2015-02-27,84.74,84.79,84.79,84.97,3398753.0,84.09
2015-03-02,84.39,84.93,84.93,85.19,2605202.0,84.35
2015-03-03,84.76,84.35,84.35,84.76,2098736.0,84.14
2015-03-04,84.08,84.83,84.83,85.03,2912639.0,83.61
2015-03-05,83.09,84.28,84.28,84.47,3457749.0,83.02
