Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,207.82,193.83,210.35,210.69,258804.0,207.26
2015-01-05,209.66,194.604,211.19,212.215,350671.0,209.29
2015-01-06,210.59,197.4053,214.23,214.57,470381.0,210.59
2015-01-07,214.22,200.3816,217.46,217.69,620575.0,213.53
2015-01-08,218.205,201.6717,218.86,219.12,379765.0,216.25
2015-01-09,219.4,203.2935,220.62,221.56,332619.0,218.279
2015-01-12,221.5,204.6019,222.04,223.66,282274.0,220.89
2015-01-13,222.19,204.9705,222.44,223.66,389549.0,220.402
2015-01-14,221.64,207.7349,225.44,225.94,312404.0,220.62
2015-01-15,225.92,209.4212,227.27,227.61,401365.0,225.49
2015-01-16,226.79,210.2505,228.17,228.34,536526.0,225.785
2015-01-20,230.16,208.3523,226.11,230.42,330384.0,225.2
2015-01-21,226.13,208.0943,225.83,226.27,382407.0,224.4
2015-01-22,225.92,210.8495,228.82,229.18,486978.0,225.27
2015-01-23,229.3,209.9649,227.86,229.678,429607.0,226.83
2015-01-26,228.24,212.0382,230.11,230.49,437181.0,227.715
2015-01-27,228.97,211.2826,229.29,231.99,408652.0,228.5
2015-01-28,229.79,209.4581,227.31,231.69,489489.0,227.25
2015-01-29,226.92,211.4945,229.52,229.74,393092.0,225.93
2015-01-30,228.98,208.297,226.05,229.615,1474817.0,225.22
2015-02-02,225.95,208.6011,226.38,226.76,541276.0,220.585
2015-02-03,225.08,210.4532,228.39,228.55,551389.0,223.06
2015-02-04,228.01,210.2413,228.16,228.56,350472.0,225.44
2015-02-05,228.62,212.3791,230.48,230.76,434332.0,224.49
2015-02-06,230.48,206.1316,223.7,230.48,358050.0,222.08
2015-02-09,223.74,204.6849,222.13,224.23,379618.0,221.56
2015-02-10,222.5,206.6844,224.3,224.405,360358.0,220.97
2015-02-11,223.37,206.2237,223.8,225.92,257748.0,222.13
2015-02-12,224.2,210.0846,227.99,228.02,296162.0,223.38
2015-02-13,227.67,208.8867,226.69,227.95,276856.0,224.67
2015-02-17,226.24,208.4444,226.21,228.47,234177.0,225.27
2015-02-18,225.16,210.057,227.96,228.19,303359.0,224.16
2015-02-19,227.96,205.9933,223.55,227.96,235830.0,223.0
2015-02-20,223.24,208.767,226.56,226.77,268040.0,222.0
2015-02-23,227.03,210.5362,228.48,228.9,276007.0,225.872
2015-02-24,227.04,205.6432,223.17,227.42,224753.0,222.07
2015-02-25,223.17,204.9152,222.38,225.55,258843.0,222.22
2015-02-26,221.95,203.0354,220.34,223.14,257792.0,220.03
2015-02-27,220.72,204.9613,222.43,222.66,295502.0,218.3545
2015-03-02,223.25,207.4769,225.16,227.418,345091.0,223.25
2015-03-03,224.1,205.9473,223.5,224.65,232799.0,221.72
2015-03-04,223.08,203.8648,221.24,224.44,396954.0,221.01
2015-03-05,223.16,208.426,226.19,227.77,463819.0,223.065
2015-03-06,223.81,202.1324,219.36,223.81,407299.0,218.8
2015-03-09,220.34,204.7217,222.17,222.448,285508.0,220.08
2015-03-10,221.93,205.9473,223.5,224.74,372061.0,220.164
2015-03-11,223.4,206.021,223.58,224.99,291664.0,223.01
2015-03-12,225.48,210.8034,228.77,229.4,361717.0,225.4
2015-03-13,228.98,210.5638,228.51,229.787,298955.0,226.9801
2015-03-16,230.18,216.1847,234.61,234.61,335010.0,229.575
2015-03-17,234.54,214.3787,232.65,234.54,356168.0,232.03
2015-03-18,233.01,218.129,236.72,237.4,458381.0,230.19
2015-03-19,236.23,216.3967,234.84,238.85,548125.0,234.765
2015-03-20,234.9,221.6582,240.55,241.48,818654.0,234.9
2015-03-23,240.88,221.0132,239.85,243.17,355589.0,239.81
2015-03-24,239.09,219.0874,237.76,240.87,273178.0,237.68
2015-03-25,237.86,214.821,233.13,239.03,284343.0,232.81
2015-03-26,232.2,215.0053,233.33,234.18,388856.0,228.2935
2015-03-27,232.8,215.4476,232.37,236.28,377933.0,231.81
2015-03-30,233.54,217.0423,234.09,234.43,336935.0,231.76
2015-03-31,233.25,213.1574,229.9,235.03,411986.0,229.75
2015-04-01,230.18,210.5799,227.12,231.25,436549.0,226.42
2015-04-02,226.64,212.4621,229.15,230.55,271475.0,226.61
2015-04-06,230.51,214.1124,230.93,231.9,277776.0,229.85
2015-04-07,230.28,210.6355,227.18,231.06,202904.0,227.11
2015-04-08,227.17,211.5349,228.15,228.96,238594.0,227.0
2015-04-09,227.47,205.7308,221.89,227.47,274381.0,221.32
2015-04-10,222.65,206.0089,222.19,224.88,205988.0,221.56
2015-04-13,221.47,205.703,221.86,224.04,233651.0,221.47
2015-04-14,221.86,206.7785,223.02,224.65,186143.0,221.86
2015-04-15,223.14,205.4434,221.58,223.87,278421.0,221.22
2015-04-16,221.12,207.0474,223.31,224.38,198762.0,220.75
2015-04-17,222.26,206.2593,222.46,223.53,216870.0,220.948
2015-04-20,222.49,206.8805,223.13,225.0,192737.0,221.8
