Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,87.48,76.4692,87.71,88.1,1945307.0,86.66
2015-01-05,87.81,75.8938,87.05,88.2597,1662065.0,86.56
2015-01-06,87.11,75.7543,86.89,88.75,1838006.0,86.83
2015-01-07,87.02,76.5215,87.77,88.3062,1094190.0,86.67
2015-01-08,87.94,76.9749,88.29,88.73,1018479.0,87.8
2015-01-09,88.51,76.539,87.79,88.888,1466340.0,86.88
2015-01-12,88.13,75.8851,87.04,88.22,1114882.0,86.55
2015-01-13,87.52,75.0132,86.04,88.63,2595390.0,85.71
2015-01-14,85.6,75.981,87.15,87.2,1521252.0,85.17
2015-01-15,87.41,77.1493,88.49,88.64,1482739.0,87.0
2015-01-16,88.55,77.3062,88.67,89.0,1295743.0,88.0
2015-01-20,89.1,77.3323,88.7,89.56,1196682.0,87.94
2015-01-21,88.47,78.1867,89.68,89.76,957553.0,87.93
2015-01-22,90.04,77.9601,89.42,90.33,1503876.0,88.71
2015-01-23,89.67,78.117,89.6,89.88,1255198.0,89.22
2015-01-26,89.49,77.4457,88.83,89.72,1217345.0,88.4
2015-01-27,88.89,77.1057,88.44,89.2725,1145713.0,88.34
2015-01-28,88.45,77.5329,88.93,90.12,2028579.0,88.45
2015-01-29,88.67,78.3786,89.9,90.06,1200952.0,88.27
2015-01-30,89.57,76.2949,87.51,89.787,1281377.0,87.43
2015-02-02,87.56,76.8528,88.15,88.57,1542165.0,86.78
2015-02-03,88.21,77.9601,89.42,89.52,1757523.0,87.47
2015-02-04,89.06,76.26,87.47,89.25,1581846.0,87.16
2015-02-05,87.48,75.4317,86.52,88.13,2212510.0,85.6
2015-02-06,86.15,71.8485,82.41,86.37,2851671.0,81.99
2015-02-09,82.54,70.8807,81.3,83.14,2098965.0,81.03
2015-02-10,80.67,72.0751,81.84,81.89,2476638.0,80.59
2015-02-11,81.8,71.3001,80.96,81.81,1725067.0,80.48
2015-02-12,81.08,71.0271,80.65,81.28,1509757.0,80.26
2015-02-13,80.16,69.6797,79.12,80.25,2088228.0,78.35
2015-02-17,79.08,69.4507,78.86,79.84,1516703.0,78.15
2015-02-18,78.9,70.6837,80.26,80.37,1303475.0,78.53
2015-02-19,80.44,70.2433,79.76,80.8,812706.0,79.45
2015-02-20,79.68,69.8558,79.32,79.83,1160649.0,78.5
