Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,128.19,63.86,127.72,129.81,607890.0,126.61
2015-01-05,126.6,63.89,127.78,129.22,638267.0,126.5
2015-01-06,126.97,63.51,127.02,128.82,833490.0,125.41
2015-01-07,128.2,65.0,130.0,130.49,775390.0,127.27
2015-01-08,131.02,66.575,133.15,133.47,1159457.0,130.56
2015-01-09,133.15,66.58,133.16,134.0,839683.0,132.085
2015-01-12,133.73,67.645,135.29,136.28,1136244.0,132.85
2015-01-13,136.34,66.81,133.62,137.19,750812.0,132.6401
2015-01-14,131.67,65.835,131.67,133.06,780061.0,131.02
2015-01-15,132.6,64.295,128.59,133.12,1275328.0,128.47
2015-01-16,128.37,64.58,129.16,129.27,988158.0,127.17
2015-01-20,130.27,64.23,128.46,131.88,983144.0,128.02
2015-01-21,128.4,64.44,128.88,129.45,887950.0,127.54
2015-01-22,129.77,65.17,130.34,130.88,1161344.0,127.56
2015-01-23,130.62,64.815,129.63,130.88,769960.0,129.5
2015-01-26,129.5,65.07,130.14,130.38,998880.0,128.82
2015-01-27,129.17,64.69,129.38,130.45,545712.0,128.29
2015-01-28,129.98,64.435,128.87,131.1,629199.0,128.75
2015-01-29,128.91,64.64,129.28,129.62,784501.0,127.81
2015-01-30,128.51,62.675,125.35,128.96,2081685.0,124.69
2015-02-02,125.69,62.74,125.48,127.39,1539672.0,124.56
2015-02-03,126.37,63.5,127.0,127.519,1406308.0,123.97
2015-02-04,129.06,67.425,134.85,137.58,2069921.0,128.52
2015-02-05,135.0,67.415,134.83,136.87,1056087.0,134.63
2015-02-06,134.79,66.31,132.62,136.75,1304981.0,131.95
2015-02-09,132.35,64.04,128.08,132.82,1093939.0,127.71
2015-02-10,130.36,65.035,130.07,131.1,895340.0,129.26
2015-02-11,129.75,65.795,131.59,131.86,917588.0,129.36
2015-02-12,132.38,66.17,132.34,132.87,719474.0,130.5601
2015-02-13,132.72,67.115,134.23,134.23,1067447.0,131.25
2015-02-17,134.09,66.52,133.04,134.67,662162.0,132.05
2015-02-18,133.24,67.11,134.22,134.747,929009.0,133.0
2015-02-19,134.32,66.86,133.72,134.98,678655.0,133.51
2015-02-20,133.32,67.23,134.46,134.62,757284.0,131.94
2015-02-23,134.46,67.125,134.25,134.88,601369.0,133.6
2015-02-24,133.86,66.995,133.99,134.97,691209.0,133.34
2015-02-25,133.66,67.025,134.05,134.98,672406.0,133.55
2015-02-26,134.22,67.45,134.9,135.5,628491.0,133.97
2015-02-27,134.4,66.51,133.02,135.16,1169215.0,133.02
2015-03-02,132.62,67.925,135.85,136.06,1173405.0,132.61
2015-03-03,135.78,67.29,134.58,136.1,736550.0,133.76
2015-03-04,133.89,67.88,135.76,136.61,606344.0,133.55
2015-03-05,135.6,67.825,135.65,136.95,679447.0,135.12
2015-03-06,135.23,66.5,133.0,136.0,825180.0,132.59
2015-03-09,133.43,66.95,133.9,134.46,1915238.0,132.43
2015-03-10,132.89,66.825,133.65,133.88,963975.0,132.01
2015-03-11,134.0,67.355,134.71,136.0,948338.0,133.65
2015-03-12,135.06,68.5,137.0,137.42,1168401.0,134.725
2015-03-13,136.85,67.675,135.35,137.34,1052373.0,134.39
2015-03-16,137.0,74.32,148.64,149.71,2954507.0,137.0
2015-03-17,147.5,74.05,148.1,148.76,1135481.0,146.53
2015-03-18,148.0,74.19,148.38,149.95,1336877.0,147.55
2015-03-19,147.27,74.47,148.94,149.32,885081.0,147.26
2015-03-20,149.79,73.385,146.77,150.41,1763929.0,146.71
2015-03-23,146.91,73.05,146.1,147.52,702612.0,145.75
2015-03-24,146.48,72.9,145.8,147.95,823539.0,145.32
2015-03-25,146.55,71.125,142.25,147.88,1294782.0,142.07
2015-03-26,140.77,70.95,141.9,142.8,1053473.0,138.13
2015-03-27,141.97,71.84,143.68,144.17,734602.0,141.91
2015-03-30,144.87,72.07,144.14,145.227,605883.0,143.89
2015-03-31,143.15,71.23,142.46,144.11,721701.0,142.21
2015-04-01,142.06,70.35,140.7,142.23,1006386.0,138.91
2015-04-02,141.31,70.305,140.61,142.05,841485.0,139.89
2015-04-06,140.24,69.925,139.85,140.63,894542.0,139.2514
2015-04-07,139.98,69.375,138.75,141.0845,1008210.0,138.7216
2015-04-08,139.15,69.51,139.02,140.56,996933.0,138.04
2015-04-09,138.91,69.685,139.37,140.0,803160.0,137.7
2015-04-10,140.0,70.84,141.68,142.0,1041674.0,139.364
2015-04-13,141.99,71.55,143.1,145.87,925324.0,141.79
2015-04-14,143.01,71.375,142.75,143.65,623709.0,141.2916
2015-04-15,143.0,70.64,141.28,143.0,702251.0,140.84
2015-04-16,141.02,70.865,141.73,142.27,459497.0,140.765
2015-04-17,140.78,69.97,139.94,141.1248,660964.0,139.02
2015-04-20,141.07,70.64,141.28,143.07,720144.0,140.36
2015-04-21,141.63,70.24,140.48,142.0,876192.0,140.271
2015-04-22,140.99,70.435,140.87,141.5,593156.0,139.61
2015-04-23,140.75,70.96,141.92,143.21,1103776.0,140.66
2015-04-24,144.37,69.165,138.33,144.43,2303213.0,136.32
2015-04-27,139.22,65.485,130.97,139.42,1412009.0,130.53
2015-04-28,130.91,64.95,129.9,131.46,1753159.0,128.25
2015-04-29,129.75,64.98,129.96,130.98,1158806.0,129.0
2015-04-30,129.54,63.325,126.65,130.97,1238530.0,126.09
2015-05-01,127.12,63.595,127.19,129.08,1772169.0,126.46
2015-05-04,127.64,63.875,127.75,129.34,1084112.0,127.57
2015-05-05,126.88,61.93,123.86,128.48,1550197.0,122.75
2015-05-06,123.86,62.195,124.39,125.97,1256109.0,123.37
2015-05-07,124.74,61.975,123.95,125.855,1236872.0,123.76
2015-05-08,124.76,63.2,126.4,126.64,1886499.0,124.27
2015-05-11,126.0,63.535,127.07,128.43,1625773.0,126.0
2015-05-12,131.1,65.235,130.47,133.7,2193279.0,130.45
2015-05-13,131.0,64.16,128.32,131.43,1522584.0,127.89
2015-05-14,129.07,65.28,130.56,130.78,1102390.0,128.2
2015-05-15,130.58,65.705,131.41,131.49,874752.0,129.5
2015-05-18,131.56,65.86,131.72,132.6,659510.0,130.63
2015-05-19,130.0,65.54,131.08,131.29,1799371.0,125.44
2015-05-20,131.43,66.18,132.36,134.27,1114029.0,131.04
2015-05-21,131.91,65.91,131.82,132.22,1033755.0,130.29
2015-05-22,131.21,65.44,130.88,132.84,584515.0,130.73
2015-05-26,130.3,64.28,128.56,131.55,796230.0,127.81
2015-05-27,128.82,65.225,130.45,130.79,1020914.0,128.18
2015-05-28,130.01,65.325,130.65,131.45,990730.0,129.745
2015-05-29,130.87,65.36,130.72,131.92,1161163.0,130.23
2015-06-01,130.78,66.095,132.19,132.48,974325.0,129.24
2015-06-02,131.45,65.625,131.25,132.47,870614.0,130.42
2015-06-03,131.44,66.085,132.17,132.67,688107.0,130.925
2015-06-04,131.06,65.8,131.6,131.96,911294.0,130.29
2015-06-05,131.23,66.45,132.9,133.11,688167.0,130.36
2015-06-08,132.6,66.455,132.91,134.03,1186811.0,132.24
2015-06-09,134.23,66.65,133.3,134.74,659673.0,132.53
2015-06-10,133.75,67.35,134.7,135.07,570844.0,132.95
2015-06-11,134.85,67.585,135.17,136.41,616176.0,134.362
2015-06-12,134.54,66.79,133.58,135.17,760357.0,133.3491
2015-06-15,132.73,66.8,133.6,133.9,602653.0,132.0001
2015-06-16,133.46,68.955,137.91,138.27,1997784.0,133.16
2015-06-17,137.99,70.8,141.6,144.4,2818857.0,136.0
2015-06-18,141.65,72.55,145.1,146.87,2307884.0,141.068
2015-06-19,145.24,73.085,146.17,146.59,1259530.0,144.38
2015-06-22,147.18,72.16,144.32,147.296,1429305.0,143.82
2015-06-23,145.12,72.315,144.63,147.24,919400.0,143.875
2015-06-24,144.04,71.43,142.86,145.11,957149.0,142.79
2015-06-25,143.62,72.305,144.61,146.0779,959433.0,142.92
2015-06-26,145.31,73.04,146.08,146.65,1022184.0,144.44
2015-06-29,144.45,71.175,142.35,146.11,783392.0,142.17
2015-06-30,143.71,71.215,142.43,144.05,657930.0,141.65
