Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,44.99,42.46,44.42,44.99,1127256.0,43.77
2015-01-05,44.33,41.1409,43.04,44.38,1146848.0,42.92
2015-01-06,43.02,40.6725,42.55,43.36,1146072.0,42.41
2015-01-07,42.68,40.6821,42.56,42.7,989536.0,42.17
2015-01-08,42.95,41.7909,43.72,43.76,924428.0,42.84
2015-01-09,43.67,41.5424,43.46,43.71,782608.0,43.2
2015-01-12,43.55,41.6857,43.61,43.76,1162649.0,42.91
2015-01-13,43.92,41.8052,43.735,44.47,933494.0,43.33
2015-01-14,43.37,41.5806,43.5,43.63,739184.0,42.85
2015-01-15,43.54,41.2747,43.18,43.73,809826.0,42.95
2015-01-16,43.04,41.4563,43.37,43.4,811618.0,42.63
2015-01-20,43.52,41.6284,43.55,43.77,670842.0,43.02
2015-01-21,43.35,41.5519,43.47,43.712,806051.0,43.109
2015-01-22,43.68,42.785,44.76,44.77,1283397.0,43.49
2015-01-23,44.29,42.3357,44.29,44.59,914722.0,44.0
2015-01-26,44.54,43.2438,45.24,45.5,1586972.0,44.54
2015-01-27,44.78,42.785,44.76,45.1,1121230.0,44.06
2015-01-28,44.96,42.374,44.33,45.47,1318263.0,44.21
2015-01-29,44.18,42.5986,44.565,44.655,1460289.0,44.01
2015-01-30,44.21,41.7527,43.68,44.79,6983428.0,43.28
2015-02-02,43.9,42.0872,44.03,44.22,1262536.0,43.38
2015-02-03,44.28,42.3549,44.31,44.5,990525.0,43.8975
2015-02-04,44.25,42.1254,44.07,44.305,1050047.0,43.555
2015-02-05,44.4,42.8328,44.81,44.81,931665.0,44.2101
2015-02-06,44.74,43.0479,45.035,45.31,1098062.0,44.655
2015-02-09,44.78,42.7276,44.7,44.99,766216.0,44.53
2015-02-10,44.92,43.0049,44.99,45.12,548098.0,44.49
2015-02-11,44.92,43.0909,45.08,45.27,926642.0,44.9
2015-02-12,45.43,43.3203,45.32,45.43,707754.0,44.92
2015-02-13,45.35,43.7887,45.81,45.855,798038.0,45.25
2015-02-17,45.64,43.8365,45.86,46.07,1028313.0,45.254
2015-02-18,45.78,43.5832,45.595,45.785,657591.0,45.3301
2015-02-19,45.57,43.5975,45.61,46.17,781416.0,45.46
2015-02-20,45.57,43.4971,45.505,45.64,988208.0,45.25
2015-02-23,45.5,43.4637,45.47,45.65,1772932.0,45.17
2015-02-24,45.6,45.7626,47.875,48.16,2763902.0,45.47
2015-02-25,47.51,46.035,48.16,48.49,1889622.0,47.5
2015-02-26,48.0,46.6372,48.79,49.02,1635957.0,47.79
2015-02-27,48.88,46.1688,48.3,48.95,1299063.0,48.215
2015-03-02,48.13,46.121,48.25,48.67,1291365.0,47.94
2015-03-03,47.91,45.9585,48.08,48.13,1778949.0,47.72
2015-03-04,47.56,45.8725,47.99,48.09,948589.0,47.51
2015-03-05,48.1,45.8534,47.97,48.1,659439.0,47.66
2015-03-06,47.52,45.557,47.66,47.83,1291564.0,47.17
2015-03-09,47.73,45.7195,47.83,48.03,1139244.0,47.57
2015-03-10,47.38,45.1269,47.21,47.57,1152870.0,47.2
2015-03-11,47.22,45.4806,47.58,48.01,1802375.0,47.07
2015-03-12,47.75,46.1306,48.26,48.38,1076807.0,47.63
2015-03-13,47.97,45.9203,48.04,48.57,965273.0,47.86
2015-03-16,48.37,46.857,49.02,49.24,1175997.0,48.19
2015-03-17,48.74,46.5607,48.71,49.03,848929.0,48.51
2015-03-18,48.52,47.0243,49.195,49.29,1255010.0,48.38
2015-03-19,49.07,46.7137,48.87,49.25,936986.0,48.85
2015-03-20,49.12,47.096,49.27,49.48,1644935.0,48.86
2015-03-23,49.37,46.9909,49.16,49.505,993753.0,49.1
2015-03-24,49.06,47.1438,49.32,49.48,794434.0,49.056
2015-03-25,49.28,46.0398,48.165,49.39,1067218.0,48.16
2015-03-26,48.02,45.9346,48.055,48.23,871998.0,47.73
2015-03-27,47.96,45.8534,47.97,48.22,706856.0,47.83
2015-03-30,48.2,46.3026,48.44,48.62,881732.0,48.0
2015-03-31,48.15,46.0541,48.18,48.39,653549.0,47.94
2015-04-01,48.0,45.7482,47.86,48.13,884975.0,47.43
2015-04-02,47.87,44.9644,47.04,48.22,1372048.0,47.03
2015-04-06,46.64,44.8401,46.91,47.15,1213176.0,46.25
2015-04-07,47.05,44.5104,46.565,47.24,1466779.0,46.45
2015-04-08,46.53,44.582,46.64,46.75,1008923.0,46.24
2015-04-09,46.48,44.582,46.64,46.98,612382.0,46.36
2015-04-10,46.63,44.8019,46.87,46.945,653883.0,46.53
2015-04-13,46.85,44.6442,46.705,47.32,1194489.0,46.6
2015-04-14,46.56,44.7445,46.81,46.85,897273.0,46.11
2015-04-15,46.75,44.6298,46.69,47.0,972737.0,46.26
2015-04-16,46.62,44.3526,46.4,46.85,786888.0,46.33
2015-04-17,46.09,43.5879,45.6,46.23,1463025.0,45.27
2015-04-20,45.88,44.5151,46.57,46.835,1403825.0,45.77
2015-04-21,46.86,44.8497,46.92,47.12,1145397.0,46.3
2015-04-22,47.0,44.5629,46.62,47.0,825071.0,46.31
2015-04-23,46.38,44.6107,46.67,46.96,679064.0,46.19
2015-04-24,46.62,44.41,46.46,46.64,766793.0,46.21
2015-04-27,46.57,44.3335,46.38,46.7,636242.0,46.105
2015-04-28,46.24,44.582,46.64,46.66,811321.0,46.01
2015-04-29,46.43,44.1328,46.17,46.64,1057208.0,45.94
2015-04-30,46.05,43.8078,45.83,46.12,1393272.0,45.51
2015-05-01,45.95,44.4004,46.45,46.53,847384.0,45.92
2015-05-04,46.42,44.9262,47.0,47.01,924674.0,46.3305
2015-05-05,46.88,44.6442,46.705,47.25,1709741.0,46.51
2015-05-06,48.27,45.9872,48.11,49.11,2900328.0,47.9
2015-05-07,48.11,45.9681,48.09,49.08,1912062.0,47.88
2015-05-08,48.46,45.9442,48.065,49.01,1205390.0,48.02
2015-05-11,48.01,45.8247,47.94,48.46,948857.0,47.84
2015-05-12,47.8,45.6144,47.72,47.8,1252367.0,47.23
2015-05-13,47.7,44.9644,47.04,47.93,1625207.0,46.97
2015-05-14,47.25,45.4662,47.565,47.59,864767.0,47.07
2015-05-15,47.73,45.5953,47.7,47.83,744511.0,47.48
2015-05-18,47.56,45.8342,47.95,48.08,943337.0,47.4
2015-05-19,47.91,45.3659,47.46,47.99,1033704.0,47.35
2015-05-20,47.4,45.1843,47.27,47.57,1171313.0,47.08
2015-05-21,47.28,45.1843,47.27,47.35,666469.0,47.04
2015-05-22,47.19,44.7445,46.81,47.24,530740.0,46.68
2015-05-26,46.81,44.4578,46.51,46.9,1345600.0,46.43
2015-05-27,46.69,44.907,46.98,47.06,1728863.0,46.22
2015-05-28,46.59,44.2953,45.98,46.65,1381737.0,45.915
2015-05-29,45.86,44.1604,45.84,46.27,1813568.0,45.72
2015-06-01,45.95,44.6469,46.345,46.48,2291174.0,45.84
2015-06-02,46.23,44.8059,46.51,46.745,1396034.0,46.02
2015-06-03,46.8,46.5495,48.32,48.42,2305941.0,46.55
2015-06-04,48.02,45.8174,47.56,48.38,1625605.0,47.49
2015-06-05,47.5,46.1883,47.945,48.18,1559376.0,47.5
2015-06-08,47.85,45.0756,46.79,47.91,1534400.0,46.775
2015-06-09,46.58,45.0756,46.79,47.05,1000997.0,46.57
2015-06-10,46.93,45.7789,47.52,47.63,1992246.0,46.75
2015-06-11,47.44,46.5303,48.3,48.31,1446064.0,47.44
2015-06-12,48.06,46.3328,48.095,48.38,1284617.0,47.89
2015-06-15,47.77,46.2027,47.96,47.97,923428.0,47.325
2015-06-16,47.81,45.9619,47.71,48.0,761049.0,47.49
2015-06-17,47.55,46.0582,47.81,47.83,1062208.0,47.14
2015-06-18,47.96,46.6459,48.42,48.59,1025244.0,47.73
2015-06-19,48.55,46.2798,48.04,48.55,1522037.0,47.9
2015-06-22,48.08,46.5977,48.37,48.54,782781.0,48.08
2015-06-23,48.47,46.1642,47.92,48.67,963042.0,47.86
2015-06-24,47.99,45.3164,47.04,48.12,1157722.0,46.86
2015-06-25,47.05,45.143,46.86,47.266,741353.0,46.76
2015-06-26,47.04,45.249,46.97,47.19,865349.0,46.775
2015-06-29,46.77,44.2086,45.89,46.88,828012.0,45.87
2015-06-30,46.2,44.4157,46.105,46.5,905890.0,45.87
2015-07-01,46.56,44.6036,46.3,46.56,1087783.0,46.14
2015-07-02,46.29,44.4783,46.17,46.55,1024577.0,45.855
2015-07-06,45.71,43.6884,45.35,46.01,1251997.0,45.24
2015-07-07,45.56,43.6739,45.335,45.72,1483816.0,44.78
