Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,15.59,13.0718,15.36,15.65,24773033.0,15.183
2015-01-05,15.12,12.5612,14.76,15.13,44079745.0,14.69
2015-01-06,14.88,12.4421,14.62,14.9,32974961.0,14.38
2015-01-07,14.78,12.7995,15.04,15.09,26060725.0,14.77
2015-01-08,15.4,13.1229,15.42,15.48,33867408.0,15.23
2015-01-09,15.46,12.9442,15.21,15.47,23225766.0,15.06
2015-01-12,15.31,12.9527,15.22,15.32,22743309.0,15.11
2015-01-13,15.38,12.9442,15.21,15.48,26419345.0,15.08
2015-01-14,15.07,12.8591,15.11,15.16,36783234.0,14.83
2015-01-15,15.12,12.6463,14.86,15.16,24978705.0,14.8
2015-01-16,14.81,12.7825,15.02,15.04,32089873.0,14.75
2015-01-20,15.08,12.774,15.01,15.13,28457156.0,14.75
2015-01-21,14.98,12.7399,14.97,15.11,23269615.0,14.88
2015-01-22,15.01,12.791,15.03,15.07,23663527.0,14.9
2015-01-23,15.02,12.6889,14.91,15.08,21618011.0,14.89
2015-01-26,14.98,12.8335,15.08,15.15,25224773.0,14.965
2015-01-27,14.96,12.6378,14.85,14.99,34609134.0,14.72
2015-01-28,14.83,12.4335,14.46,14.83,40548209.0,14.42
2015-01-29,14.62,12.7689,14.85,14.96,40712716.0,14.3
2015-01-30,14.75,12.6485,14.71,14.89,30435475.0,14.63
2015-02-02,14.75,13.13,15.27,15.3,40367900.0,14.735
2015-02-03,15.47,13.4568,15.65,15.79,48335448.0,15.44
2015-02-04,15.68,13.6459,15.87,16.02,41178141.0,15.65
2015-02-05,16.01,13.6287,15.85,16.02,25709622.0,15.75
2015-02-06,15.84,13.6373,15.86,16.0,28185780.0,15.77
2015-02-09,15.76,13.6889,15.92,16.03,20284403.0,15.72
2015-02-10,16.05,13.8351,16.09,16.14,27928530.0,15.91
2015-02-11,16.08,13.9727,16.25,16.31,34284056.0,16.01
2015-02-12,16.34,14.0673,16.36,16.45,23738806.0,16.3
2015-02-13,16.33,14.0157,16.3,16.36,19954568.0,16.19
2015-02-17,16.21,13.8523,16.11,16.3,44357632.0,16.0
2015-02-18,16.16,13.9383,16.21,16.33,22810983.0,16.06
2015-02-19,16.19,14.1275,16.43,16.48,24863292.0,16.17
2015-02-20,16.39,14.1017,16.4,16.46,21516096.0,16.25
2015-02-23,16.33,14.0845,16.38,16.45,19014867.0,16.29
2015-02-24,16.36,14.0673,16.36,16.42,17672510.0,16.28
2015-02-25,16.34,14.1963,16.51,16.62,23320169.0,16.34
2015-02-26,16.4,14.0845,16.38,16.57,20798171.0,16.37
2015-02-27,16.38,14.0501,16.34,16.4,20336562.0,16.22
2015-03-02,16.41,14.2478,16.57,16.59,26339900.0,16.405
2015-03-03,16.07,13.9039,16.17,16.3,37685237.0,16.06
2015-03-04,16.09,13.7835,16.03,16.14,25659401.0,15.93
2015-03-05,16.09,13.8523,16.11,16.23,16548157.0,16.09
2015-03-06,16.04,13.6975,15.93,16.2,24420536.0,15.91
2015-03-09,15.98,13.7835,16.03,16.1,17132373.0,15.93
2015-03-10,15.94,13.517,15.72,15.95,31687721.0,15.69
2015-03-11,15.77,13.5428,15.75,15.85,20613814.0,15.7
2015-03-12,15.88,13.9039,16.17,16.23,31172242.0,15.86
2015-03-13,16.16,13.9297,16.2,16.25,27877715.0,16.0
2015-03-16,16.26,14.1791,16.49,16.5,37730325.0,16.24
2015-03-17,16.39,14.0931,16.39,16.49,20914125.0,16.36
2015-03-18,16.31,14.1533,16.46,16.51,33743721.0,16.11
2015-03-19,16.42,14.0501,16.34,16.46,18020315.0,16.28
2015-03-20,16.35,14.1705,16.48,16.54,42096844.0,16.34
